frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed
00870,Phoenix,76.0,Fireball,30.0,Giant,36.0,Musketeer,73.0,,,,8.0,,,
00885,Phoenix,76.0,Fireball,30.0,Giant,36.0,Musketeer,73.0,,,,8.0,,,
00900,Phoenix,76.0,Fireball,30.0,Giant,36.0,Musketeer,73.0,,,,8.0,,,
00915,Phoenix,76.0,Fireball,30.0,Giant,36.0,Musketeer,73.0,,,,9.0,,,
00930,Phoenix,76.0,Fireball,30.0,Giant,36.0,Musketeer,73.0,,,,9.0,,,
00945,Phoenix,76.0,Fireball,30.0,Giant,36.0,Musketeer,73.0,,,,9.0,,,
00960,Phoenix,76.0,Fireball,30.0,Giant,36.0,Musketeer,73.0,,,,9.0,,,
00975,Phoenix,76.0,Fireball,30.0,Giant,36.0,Musketeer,73.0,,,,9.0,,,
00990,Phoenix,76.0,Fireball,30.0,Giant,36.0,Musketeer,73.0,,,,9.0,,,
01005,Phoenix,76.0,Fireball,30.0,Giant,36.0,Archer Queen,1.0,,,,6.0,,,
01020,Phoenix,76.0,Fireball,30.0,Giant,36.0,Archer Queen,1.0,,,,6.0,,,
01035,Phoenix,76.0,Fireball,30.0,Giant,36.0,Archer Queen,1.0,,,,6.0,,,
01050,Phoenix,76.0,Fireball,30.0,Giant,36.0,Archer Queen,1.0,,,,6.0,,,
01065,Phoenix,76.0,Fireball,30.0,Giant,36.0,Archer Queen,1.0,,,,6.0,,,
01080,Phoenix,76.0,Fireball,30.0,Giant,36.0,Archer Queen,1.0,,,,6.0,,,
01095,Phoenix,76.0,Fireball,30.0,Giant,36.0,Archer Queen,1.0,,,,7.0,,,
01110,Phoenix,76.0,Fireball,30.0,Giant,36.0,Fire Spirit,29.0,,,,7.0,,,
01125,Phoenix,76.0,Fireball,30.0,Giant,36.0,Fire Spirit,29.0,,,,7.0,,,
01140,Phoenix,76.0,Fireball,30.0,Giant,36.0,Fire Spirit,29.0,,,,7.0,,,
01155,Phoenix,76.0,Fireball,30.0,Giant,36.0,Fire Spirit,29.0,,,,7.0,,,
01170,Phoenix,76.0,Fireball,30.0,Giant,36.0,Fire Spirit,29.0,,,,8.0,,,
01185,Phoenix,76.0,Fireball,30.0,Giant,36.0,Archer Queen,1.0,,,,8.0,,,
01200,Phoenix,76.0,Fireball,30.0,Giant,36.0,Archer Queen,1.0,,,,8.0,,,
01215,Phoenix,76.0,Fireball,30.0,Giant,36.0,Archer Queen,1.0,,,,8.0,,,
01230,Phoenix,76.0,Fireball,30.0,Giant,36.0,Archer Queen,1.0,,,,8.0,,,
01245,Phoenix,76.0,Fireball,30.0,Giant,36.0,Archer Queen,1.0,,,,8.0,,,
01260,Phoenix,76.0,Fireball,30.0,Giant,36.0,Archer Queen,1.0,,,,9.0,,,
01275,Phoenix,76.0,Fireball,30.0,Giant,36.0,Archer Queen,1.0,,,,9.0,,,
01290,Phoenix,76.0,Fireball,30.0,Giant,36.0,Fire Spirit,29.0,,,,9.0,,,
01305,Phoenix,76.0,Fireball,30.0,Giant,36.0,Fire Spirit,29.0,,,,9.0,,,
01320,Phoenix,76.0,Fireball,30.0,Giant,36.0,Fire Spirit,29.0,,,,9.0,,,
01335,Phoenix,76.0,Fireball,30.0,Giant,36.0,Archer Queen,1.0,,,,5.0,,,
01350,Phoenix,76.0,Fireball,30.0,Giant,36.0,Inferno Tower,57.0,,,,5.0,,,
01365,Phoenix,76.0,Fireball,30.0,Giant,36.0,Inferno Tower,57.0,,,,5.0,,,
01380,Phoenix,76.0,Fireball,30.0,Giant,36.0,Golem,47.0,,,,5.0,,,
01395,Phoenix,76.0,Fireball,30.0,Giant,36.0,Inferno Tower,57.0,,,,5.0,,,
01410,Phoenix,76.0,Fireball,30.0,Giant,36.0,Inferno Tower,57.0,,,,5.0,,,
01425,Phoenix,76.0,Fireball,30.0,Giant,36.0,Golem,47.0,,,,6.0,,,
01440,Phoenix,76.0,Fireball,30.0,Giant,36.0,Golem,47.0,,,,6.0,,,
01455,Phoenix,76.0,Fireball,30.0,Giant,36.0,Golem,47.0,,,,6.0,,,
01470,Phoenix,76.0,Fireball,30.0,Giant,36.0,Inferno Tower,57.0,,,,6.0,,,
01485,Phoenix,76.0,Fireball,30.0,Giant,36.0,Golem,47.0,,,,6.0,,,
01500,Phoenix,76.0,Fireball,30.0,Giant,36.0,Inferno Tower,57.0,,,,6.0,,,
01515,Phoenix,76.0,Fireball,30.0,Giant,36.0,Inferno Tower,57.0,,,,7.0,,,
01530,Phoenix,76.0,Fireball,30.0,Giant,36.0,Inferno Tower,57.0,,,,7.0,,,
01545,Phoenix,76.0,Fireball,30.0,Giant,36.0,Inferno Tower,57.0,,,,7.0,,,
01560,Phoenix,76.0,Fireball,30.0,Giant,36.0,Inferno Tower,57.0,,,,7.0,,,
01575,Phoenix,76.0,Fireball,30.0,Giant,36.0,Inferno Tower,57.0,,,,7.0,,,
01590,Phoenix,76.0,Fireball,30.0,Giant,36.0,Inferno Tower,57.0,,,,8.0,,,
01605,Phoenix,76.0,Fireball,30.0,Giant,36.0,Golem,47.0,,,,8.0,,,
01620,Phoenix,76.0,Fireball,30.0,Giant,36.0,Inferno Tower,57.0,,,,8.0,,,
01635,Phoenix,76.0,Fireball,30.0,Giant,36.0,Inferno Tower,57.0,,,,8.0,,,
01650,Phoenix,76.0,Fireball,30.0,Giant,36.0,Inferno Tower,57.0,,,,8.0,,,
01665,Phoenix,76.0,Fireball,30.0,Giant,36.0,Inferno Tower,57.0,,,,8.0,,,
01680,Phoenix,76.0,Fireball,30.0,Giant,36.0,Golem,47.0,,,,9.0,,,
01695,Phoenix,76.0,Fireball,30.0,Giant,36.0,Inferno Tower,57.0,,,,9.0,,,
01710,Phoenix,76.0,Fireball,30.0,Giant,36.0,Inferno Tower,57.0,,,,9.0,,,
01725,Phoenix,76.0,Fireball,30.0,Giant,36.0,Inferno Tower,57.0,,,,9.0,,,
01740,Phoenix,76.0,Fireball,30.0,Giant,36.0,Inferno Tower,57.0,,,,9.0,,,
01755,Phoenix,76.0,Fireball,30.0,Giant,36.0,Inferno Tower,57.0,,,,9.0,,,
01770,Phoenix,76.0,Fireball,30.0,Lightning,60.0,Inferno Tower,57.0,,,,5.0,,,
01785,Phoenix,76.0,Fireball,30.0,Lightning,60.0,Inferno Tower,57.0,,,,5.0,,,
01800,Phoenix,76.0,Fireball,30.0,Lightning,60.0,Inferno Tower,57.0,,,,5.0,,,
01815,Phoenix,76.0,Fireball,30.0,Lightning,60.0,Inferno Tower,57.0,,,,5.0,,,
01830,Phoenix,76.0,Fireball,30.0,Lightning,60.0,Inferno Tower,57.0,,,,5.0,,,
01845,Phoenix,76.0,Fireball,30.0,Lightning,60.0,Inferno Tower,57.0,,,,5.0,,,
01860,Phoenix,76.0,Fireball,30.0,Lightning,60.0,Inferno Tower,57.0,,,,6.0,,,
01875,Phoenix,76.0,Fireball,30.0,Lightning,60.0,Inferno Tower,57.0,,,,6.0,,,
01890,Phoenix,76.0,Fireball,30.0,Lightning,60.0,Inferno Tower,57.0,,,,6.0,,,
01905,Phoenix,76.0,Fireball,30.0,Lightning,60.0,Inferno Tower,57.0,,,,6.0,,,
01920,Phoenix,76.0,Fireball,30.0,Lightning,60.0,Inferno Tower,57.0,,,,6.0,,,
01935,Phoenix,76.0,Fireball,30.0,Lightning,60.0,Inferno Tower,57.0,,,,7.0,,,
01950,Phoenix,76.0,Fireball,30.0,Lightning,60.0,Inferno Tower,57.0,,,,7.0,,,
01965,Phoenix,76.0,Fireball,30.0,Lightning,60.0,Inferno Tower,57.0,,,,7.0,,,
01980,Phoenix,76.0,Fireball,30.0,Lightning,60.0,Inferno Tower,57.0,,,,7.0,,,
01995,Phoenix,76.0,Fireball,30.0,Lightning,60.0,Inferno Tower,57.0,,,,7.0,,,
02010,Phoenix,76.0,Fireball,30.0,Lightning,60.0,Inferno Tower,57.0,,,,7.0,,,
02025,Phoenix,76.0,Fireball,30.0,Lightning,60.0,Inferno Tower,57.0,,,,8.0,,,
02040,Phoenix,76.0,Fireball,30.0,Lightning,60.0,Inferno Tower,57.0,,,,8.0,,,
02055,Phoenix,76.0,Fireball,30.0,Lightning,60.0,Inferno Tower,57.0,,,,8.0,,,
02070,Phoenix,76.0,Fireball,30.0,Lightning,60.0,Inferno Tower,57.0,,,,8.0,,,
02085,Phoenix,76.0,Fireball,30.0,Lightning,60.0,Rage,80.0,,,,8.0,,,
02100,Phoenix,76.0,Fireball,30.0,Lightning,60.0,Rage,80.0,,,,9.0,,,
02115,Phoenix,76.0,Fireball,30.0,Lightning,60.0,Golem,47.0,,,,9.0,,,
02130,Phoenix,76.0,Fireball,30.0,Lightning,60.0,Inferno Tower,57.0,,,,9.0,,,
02145,Phoenix,76.0,Fireball,30.0,Lightning,60.0,Inferno Tower,57.0,,,,9.0,,,
02160,Phoenix,76.0,Fireball,30.0,Lightning,60.0,Golem,47.0,,,,9.0,,,
02175,Phoenix,76.0,Fireball,30.0,Lightning,60.0,Golem,47.0,,,,9.0,,,
02190,Phoenix,76.0,Fireball,30.0,Lightning,60.0,Inferno Tower,57.0,,,,10.0,,,
02205,Archer Queen,1.0,Fireball,30.0,Lightning,60.0,Inferno Tower,57.0,,,,6.0,,,
02220,Archer Queen,1.0,Fireball,30.0,Lightning,60.0,Inferno Tower,57.0,,,,6.0,,,
02235,Archer Queen,1.0,Fireball,30.0,Lightning,60.0,Golem,47.0,,,,6.0,,,
02250,Archer Queen,1.0,Fireball,30.0,Lightning,60.0,Inferno Tower,57.0,,,,6.0,,,
02265,Archer Queen,1.0,Fireball,30.0,Lightning,60.0,Inferno Tower,57.0,,,,6.0,,,
02280,Archer Queen,1.0,Fireball,30.0,Lightning,60.0,Inferno Tower,57.0,,,,2.0,,,
02295,Archer Queen,1.0,Fireball,30.0,Lightning,60.0,Inferno Tower,57.0,,,,3.0,,,
02310,Archer Queen,1.0,Fireball,30.0,Lightning,60.0,Inferno Tower,57.0,,,,3.0,,,
02325,Archer Queen,1.0,Fireball,30.0,Lightning,60.0,Inferno Tower,57.0,,,,3.0,,,
02340,Archer Queen,1.0,Fireball,30.0,Lightning,60.0,Inferno Tower,57.0,,,,3.0,,,
02355,Archer Queen,1.0,Fireball,30.0,Lightning,60.0,Inferno Tower,57.0,,,,3.0,,,
02370,Archer Queen,1.0,Fireball,30.0,Lightning,60.0,Inferno Tower,57.0,,,,8.0,,,
02385,Archer Queen,1.0,Fireball,30.0,Lightning,60.0,Inferno Tower,57.0,,,,8.0,,,
02400,Archer Queen,1.0,Fireball,30.0,Lightning,60.0,Inferno Tower,57.0,,,,8.0,,,
02415,Archer Queen,1.0,Fireball,30.0,Lightning,60.0,Golem,47.0,,,,8.0,,,
02430,Archer Queen,1.0,Fireball,30.0,Lightning,60.0,Musketeer,73.0,,,,8.0,,,
02445,Archer Queen,1.0,Fireball,30.0,Lightning,60.0,Musketeer,73.0,,,,8.0,,,
02460,Archer Queen,1.0,Fireball,30.0,Lightning,60.0,Musketeer,73.0,,,,9.0,,,
02475,Archer Queen,1.0,Fireball,30.0,Lightning,60.0,Musketeer,73.0,,,,9.0,,,
02490,Three Musketeers,98.0,Fireball,30.0,Lightning,60.0,Rage,80.0,,,,9.0,,,
02505,Three Musketeers,98.0,Fireball,30.0,Lightning,60.0,Rage,80.0,,,,9.0,,,
02520,Three Musketeers,98.0,Fireball,30.0,Lightning,60.0,Inferno Tower,57.0,,,,9.0,,,
02535,Witch,103.0,Fireball,30.0,Lightning,60.0,Inferno Tower,57.0,,,,10.0,,,
02550,Three Musketeers,98.0,Fireball,30.0,Lightning,60.0,Inferno Tower,57.0,,,,10.0,,,
02565,P.E.K.K.A,75.0,Fireball,30.0,Lightning,60.0,Rage,80.0,,,,7.0,,,
02580,Wizard,104.0,Fireball,30.0,Lightning,60.0,Inferno Tower,57.0,,,,7.0,,,
02595,Musketeer,73.0,Fireball,30.0,Lightning,60.0,Inferno Tower,57.0,,,,7.0,,,
02610,Musketeer,73.0,Fireball,30.0,Lightning,60.0,Inferno Tower,57.0,,,,7.0,,,
02625,Wizard,104.0,Fireball,30.0,Lightning,60.0,Inferno Tower,57.0,,,,7.0,,,
02640,P.E.K.K.A,75.0,Fireball,30.0,Lightning,60.0,Inferno Tower,57.0,,,,8.0,,,
02655,Musketeer,73.0,Fireball,30.0,Lightning,60.0,Inferno Tower,57.0,,,,8.0,,,
02670,Wizard,104.0,Fireball,30.0,Lightning,60.0,Inferno Tower,57.0,,,,8.0,,,
02685,Wizard,104.0,Fireball,30.0,Lightning,60.0,Inferno Tower,57.0,,,,8.0,,,
02700,Wizard,104.0,Fireball,30.0,Lightning,60.0,Inferno Tower,57.0,,,,8.0,,,
02715,P.E.K.K.A,75.0,Fireball,30.0,Lightning,60.0,Rage,80.0,,,,8.0,,,
02730,P.E.K.K.A,75.0,Fireball,30.0,Lightning,60.0,Golem,47.0,,,,9.0,,,
02745,Executioner,28.0,Fireball,30.0,Lightning,60.0,Golem,47.0,,,,9.0,,,
02760,Executioner,28.0,Fireball,30.0,Lightning,60.0,Golem,47.0,,,,9.0,,,
02775,Executioner,28.0,Fireball,30.0,Lightning,60.0,Golem,47.0,,,,9.0,,,
02790,Executioner,28.0,Fireball,30.0,Lightning,60.0,Golem,47.0,,,,9.0,,,
02805,Archer Queen,1.0,Fireball,30.0,Lightning,60.0,Golem,47.0,,,,6.0,,,
02820,Archer Queen,1.0,Fireball,30.0,Lightning,60.0,Golem,47.0,,,,6.0,,,
02835,Archer Queen,1.0,Fireball,30.0,Lightning,60.0,Golem,47.0,,,,6.0,,,
02850,Archer Queen,1.0,Fireball,30.0,Lightning,60.0,Golem,47.0,,,,6.0,,,
02865,Archer Queen,1.0,Fireball,30.0,Lightning,60.0,Golem,47.0,,,,6.0,,,
02880,Archer Queen,1.0,Fireball,30.0,Lightning,60.0,Golem,47.0,,,,6.0,,,
02895,Archer Queen,1.0,Fireball,30.0,Lightning,60.0,Golem,47.0,,,,7.0,,,
02910,Archer Queen,1.0,Fireball,30.0,Lightning,60.0,Golem,47.0,,,,7.0,,,
02925,Archer Queen,1.0,Fireball,30.0,Lightning,60.0,Golem,47.0,,,,7.0,,,
02940,Archer Queen,1.0,Fireball,30.0,Lightning,60.0,Golem,47.0,,,,7.0,,,
