frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed
00885,Rage,81.0,Goblin Cage,40.0,Inferno Dragon,56.0,Ice Golem,53.0,,,,8.0,,,
00900,Rage,81.0,Goblin Cage,40.0,Inferno Dragon,56.0,Ice Golem,53.0,,,,8.0,,,
00915,Rage,81.0,Goblin Cage,40.0,Inferno Dragon,56.0,Ice Golem,53.0,,,,8.0,,,
00930,Rage,81.0,Goblin Cage,40.0,Inferno Dragon,56.0,Ice Golem,53.0,,,,8.0,,,
00945,Rage,81.0,Goblin Cage,40.0,Inferno Dragon,56.0,Ice Golem,53.0,,,,8.0,,,
00960,Rage,81.0,Goblin Cage,40.0,Inferno Dragon,56.0,Ice Golem,53.0,,,,9.0,,,
00975,Rage,81.0,Goblin Cage,40.0,Inferno Dragon,56.0,Ice Golem,53.0,,,,9.0,,,
00990,Rage,81.0,Goblin Cage,40.0,Inferno Dragon,56.0,Ice Golem,53.0,,,,9.0,,,
01005,Rage,81.0,Goblin Cage,40.0,Inferno Dragon,56.0,Ice Golem,53.0,,,,9.0,,,
01020,Rage,81.0,Goblin Cage,40.0,Inferno Dragon,56.0,Ice Golem,53.0,,,,9.0,,,
01035,Rage,81.0,Goblin Cage,40.0,Inferno Dragon,56.0,Ice Golem,53.0,,,,9.0,,,
01050,Rage,81.0,Goblin Cage,40.0,Inferno Dragon,56.0,Ice Golem,53.0,,,,10.0,,,
01065,Rage,81.0,Goblin Cage,40.0,Inferno Dragon,56.0,Ice Golem,53.0,,,,10.0,,,
01080,Rage,81.0,Goblin Cage,40.0,Inferno Dragon,56.0,Ice Golem,53.0,,,,10.0,,,
01095,Rage,81.0,Goblin Cage,40.0,Inferno Dragon,56.0,Ice Golem,53.0,,,,10.0,,,
01110,Rage,81.0,Goblin Cage,40.0,Inferno Dragon,56.0,Ice Golem,53.0,,,,10.0,,,
01125,Rage,81.0,Goblin Cage,40.0,Inferno Dragon,56.0,Fireball,30.0,,,,8.0,,,
01140,Rage,81.0,Goblin Cage,40.0,Inferno Dragon,56.0,Fireball,30.0,,,,8.0,,,
01155,Rage,81.0,Goblin Cage,40.0,Inferno Dragon,56.0,Fireball,30.0,,,,8.0,,,
01170,Rage,81.0,Goblin Cage,40.0,Inferno Dragon,56.0,Fireball,30.0,,,,8.0,,,
01185,Rage,81.0,Goblin Cage,40.0,Inferno Dragon,56.0,Fireball,30.0,,,,8.0,,,
01200,Rage,81.0,Goblin Cage,40.0,Inferno Dragon,56.0,Fireball,30.0,,,,8.0,,,
01215,Rage,81.0,Goblin Cage,40.0,Inferno Dragon,56.0,Fireball,30.0,,,,9.0,,,
01230,Rage,81.0,Goblin Cage,40.0,Inferno Dragon,56.0,Fireball,30.0,,,,9.0,,,
01245,Rage,81.0,Goblin Cage,40.0,Inferno Dragon,56.0,Fireball,30.0,,,,9.0,,,
01260,Rage,81.0,Goblin Cage,40.0,Inferno Dragon,56.0,Fireball,30.0,,,,9.0,,,
01275,Rage,81.0,Goblin Cage,40.0,Inferno Dragon,56.0,Fireball,30.0,,,,9.0,,,
01290,Rage,81.0,Goblin Cage,40.0,Inferno Dragon,56.0,Fireball,30.0,,,,10.0,,,
01305,Rage,81.0,Goblin Cage,40.0,Inferno Dragon,56.0,Fireball,30.0,,,,10.0,,,
01320,Rage,81.0,Goblin Cage,40.0,Inferno Dragon,56.0,Fireball,30.0,,,,10.0,,,
01335,Rage,81.0,Goblin Cage,40.0,Inferno Dragon,56.0,Fireball,30.0,,,,10.0,,,
01350,Rage,81.0,Goblin Cage,40.0,Inferno Dragon,56.0,Fireball,30.0,,,,10.0,,,
01365,Rage,81.0,Goblin Cage,40.0,Inferno Dragon,56.0,Fireball,30.0,,,,10.0,,,
01380,Rage,81.0,Goblin Cage,40.0,Inferno Dragon,56.0,Fireball,30.0,,,,10.0,,,
01395,Rage,81.0,Goblin Cage,40.0,Inferno Dragon,56.0,Fireball,30.0,,,,10.0,,,
01410,Rage,81.0,Goblin Cage,40.0,Inferno Dragon,56.0,Fireball,30.0,,,,10.0,,,
01425,Rage,81.0,Goblin Cage,40.0,Inferno Dragon,56.0,Fireball,30.0,,,,10.0,,,
01440,Rage,81.0,Goblin Cage,40.0,Inferno Dragon,56.0,Fireball,30.0,,,,10.0,,,
01455,Rage,81.0,Goblin Cage,40.0,Inferno Dragon,56.0,Fireball,30.0,,,,10.0,,,
01470,Rage,81.0,Goblin Cage,40.0,Inferno Dragon,56.0,Fireball,30.0,,,,10.0,,,
01485,Rage,81.0,Goblin Cage,40.0,Inferno Dragon,56.0,Fireball,30.0,,,,10.0,,,
01500,Rage,81.0,Goblin Cage,40.0,Inferno Dragon,56.0,Fireball,30.0,,,,10.0,,,
01515,Rage,81.0,Goblin Cage,40.0,Inferno Dragon,56.0,Fireball,30.0,,,,10.0,,,
01530,Rage,81.0,Goblin Cage,40.0,Inferno Dragon,56.0,Fireball,30.0,,,,10.0,,,
01545,Rage,81.0,Goblin Cage,40.0,Inferno Dragon,56.0,Fireball,30.0,,,,10.0,,,
01560,Rage,81.0,Goblin Cage,40.0,Inferno Dragon,56.0,Fireball,30.0,,,,10.0,,,
01575,Rage,81.0,Goblin Cage,40.0,Inferno Dragon,56.0,Fireball,30.0,,,,10.0,,,
01590,Rage,81.0,Goblin Cage,40.0,Inferno Dragon,56.0,Fireball,30.0,,,,10.0,,,
01605,Rage,81.0,Goblin Cage,40.0,Inferno Dragon,56.0,Fireball,30.0,,,,10.0,,,
01620,Rage,81.0,Goblin Cage,40.0,Inferno Dragon,56.0,Fireball,30.0,,,,10.0,,,
01635,Rage,81.0,Goblin Cage,40.0,Inferno Dragon,56.0,Fireball,30.0,,,,10.0,,,
01650,Rage,81.0,Goblin Cage,40.0,Inferno Dragon,56.0,Fireball,30.0,,,,10.0,,,
01665,Rage,81.0,Goblin Cage,40.0,Inferno Dragon,56.0,Fireball,30.0,,,,10.0,,,
01680,Rage,81.0,Goblin Cage,40.0,Inferno Dragon,56.0,Fireball,30.0,,,,10.0,,,
01695,Rage,81.0,Goblin Cage,40.0,Inferno Dragon,56.0,Fireball,30.0,,,,10.0,,,
01710,Rage,81.0,Goblin Cage,40.0,Inferno Dragon,56.0,Fireball,30.0,,,,10.0,,,
01725,Rage,81.0,Goblin Cage,40.0,Inferno Dragon,56.0,Fireball,30.0,,,,10.0,,,
01740,Rage,81.0,Goblin Cage,40.0,Inferno Dragon,56.0,Fireball,30.0,,,,10.0,,,
01755,Rage,81.0,Goblin Cage,40.0,Inferno Dragon,56.0,Fireball,30.0,,,,10.0,,,
01770,Rage,81.0,Goblin Cage,40.0,Inferno Dragon,56.0,Fireball,30.0,,,,10.0,,,
01785,Rage,81.0,Goblin Cage,40.0,Inferno Dragon,56.0,Fireball,30.0,,,,10.0,,,
01800,Rage,81.0,Goblin Cage,40.0,Inferno Dragon,56.0,Fireball,30.0,,,,10.0,,,
01815,Rage,81.0,Goblin Cage,40.0,Inferno Dragon,56.0,Fireball,30.0,,,,10.0,,,
01830,Rage,81.0,Goblin Cage,40.0,Inferno Dragon,56.0,Fireball,30.0,,,,10.0,,,
01845,Rage,81.0,Goblin Cage,40.0,Inferno Dragon,56.0,Fireball,30.0,,,,10.0,,,
01860,Rage,81.0,Goblin Cage,40.0,Miner,66.0,Fireball,30.0,,,,6.0,,,
01875,Rage,81.0,Goblin Cage,40.0,Miner,66.0,Fireball,30.0,,,,6.0,,,
01890,Rage,81.0,Goblin Cage,40.0,Miner,66.0,Fireball,30.0,,,,6.0,,,
01905,Rage,81.0,Goblin Cage,40.0,Miner,66.0,Fireball,30.0,,,,6.0,,,
01920,Rage,81.0,Goblin Cage,40.0,Miner,66.0,Fireball,30.0,,,,6.0,,,
01935,Rage,81.0,Goblin Cage,40.0,Miner,66.0,Fireball,30.0,,,,3.0,,,
01950,Rage,81.0,Goblin Cage,40.0,Miner,66.0,Fireball,30.0,,,,7.0,,,
01965,Rage,81.0,Goblin Cage,40.0,Miner,66.0,Fireball,30.0,,,,7.0,,,
01980,Rage,81.0,Goblin Cage,40.0,Miner,66.0,Fireball,30.0,,,,7.0,,,
