frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed,0,predicted_elixirConsumed
00945,Musketeer,73.0,The Log,98.0,Mortar,71.0,Goblins,45.0,,,,8,False,False,,,
00960,Musketeer,73.0,The Log,98.0,Mortar,71.0,Goblins,45.0,,,,8,False,False,,,
00975,Musketeer,73.0,The Log,98.0,Mortar,71.0,Goblins,45.0,,,,8,False,False,,,
00990,Musketeer,73.0,The Log,98.0,Mortar,71.0,Goblins,45.0,,,,8,False,False,,,
01005,Musketeer,73.0,The Log,98.0,Mortar,71.0,Goblins,45.0,,,,9,False,False,,,
01020,Musketeer,73.0,The Log,98.0,Mortar,71.0,Goblins,45.0,,,,9,False,False,,,
01035,Musketeer,73.0,The Log,98.0,Mortar,71.0,Goblins,45.0,,,,9,False,False,,,
01050,Musketeer,73.0,The Log,98.0,Mortar,71.0,Goblins,45.0,,,,9,False,False,,,
01065,Musketeer,73.0,The Log,98.0,Mortar,71.0,Goblins,45.0,,,,9,False,False,,,
01080,Musketeer,73.0,The Log,98.0,Mortar,71.0,Goblins,45.0,,,,9,False,False,,,
01095,Musketeer,73.0,The Log,98.0,Mortar,71.0,Goblins,45.0,,,,10,False,False,,,
01110,Musketeer,73.0,The Log,98.0,Mortar,71.0,Goblins,45.0,,,,10,False,False,,,
01125,Musketeer,73.0,The Log,98.0,Mortar,71.0,Goblins,45.0,,,,10,False,False,,,
01140,Musketeer,73.0,The Log,98.0,Mortar,71.0,Goblins,45.0,,,,10,False,False,,,
01155,Musketeer,73.0,The Log,98.0,Phoenix,77.0,Goblins,45.0,Mortar,71.0,3.0,6,True,True,,Mortar,4.0
01170,Musketeer,73.0,The Log,98.0,Phoenix,77.0,Miner,66.0,Goblins,45.0,4.0,7,True,False,,Goblins,2.0
01185,Musketeer,73.0,The Log,98.0,Phoenix,77.0,Miner,66.0,,,,7,False,False,,,
01200,Musketeer,73.0,The Log,98.0,Phoenix,77.0,Miner,66.0,,,,4,False,True,,,
01215,Musketeer,73.0,The Log,98.0,Phoenix,77.0,Miner,66.0,,,,4,False,False,,,
01230,Musketeer,73.0,The Log,98.0,Phoenix,77.0,Miner,66.0,,,,4,False,False,,,
01245,Musketeer,73.0,The Log,98.0,Phoenix,77.0,Miner,66.0,,,,5,False,False,,,
01260,Musketeer,73.0,The Log,98.0,Phoenix,77.0,Miner,66.0,,,,5,False,False,,,
