frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed
00930,Poison,78.0,Miner,66.0,Bomb Tower,12.0,Mighty Miner,65.0,,,,8,,,
00945,Poison,78.0,Miner,66.0,Bomb Tower,12.0,Mighty Miner,65.0,,,,8,,,
00960,Poison,78.0,Miner,66.0,Bomb Tower,12.0,Mighty Miner,65.0,,,,8,,,
00975,Poison,78.0,Miner,66.0,Bomb Tower,12.0,Mighty Miner,65.0,,,,8,,,
00990,Poison,78.0,Miner,66.0,Bomb Tower,12.0,Mighty Miner,65.0,,,,9,,,
01005,Poison,78.0,Miner,66.0,Bomb Tower,12.0,Mighty Miner,65.0,,,,9,,,
01020,Poison,78.0,The Log,98.0,Bomb Tower,12.0,Mighty Miner,65.0,,,,6,,,
01035,Poison,78.0,The Log,98.0,Bomb Tower,12.0,Mighty Miner,65.0,,,,6,,,
01050,Poison,78.0,The Log,98.0,Bomb Tower,12.0,Mighty Miner,65.0,,,,6,,,
01065,Poison,78.0,The Log,98.0,Bomb Tower,12.0,Mighty Miner,65.0,,,,6,,,
01080,Poison,78.0,The Log,98.0,Bomb Tower,12.0,Mighty Miner,65.0,,,,7,,,
01095,Poison,78.0,The Log,98.0,Bomb Tower,12.0,Mighty Miner,65.0,,,,8,,,
01110,Poison,78.0,The Log,98.0,Bomb Tower,12.0,Mighty Miner,65.0,,,,8,,,
01125,Poison,78.0,The Log,98.0,Bomb Tower,12.0,Mighty Miner,65.0,,,,7,,,
01140,Poison,78.0,The Log,98.0,Bomb Tower,12.0,Prince,79.0,,,,7,,,
01155,Poison,78.0,The Log,98.0,Bomb Tower,12.0,Prince,79.0,,,,7,,,
01170,Poison,78.0,The Log,98.0,Bomb Tower,12.0,Mighty Miner,65.0,,,,8,,,
01185,Poison,78.0,The Log,98.0,Bomb Tower,12.0,Mighty Miner,65.0,,,,8,,,
01200,Poison,78.0,The Log,98.0,Bomb Tower,12.0,Bats,9.0,,,,4,,,
01215,Poison,78.0,The Log,98.0,Bomb Tower,12.0,Bats,9.0,,,,4,,,
01230,Poison,78.0,The Log,98.0,Bomb Tower,12.0,Bats,9.0,,,,4,,,
01245,Poison,78.0,The Log,98.0,Bomb Tower,12.0,Bats,9.0,,,,5,,,
01260,Poison,78.0,The Log,98.0,Bomb Tower,12.0,Bats,9.0,,,,5,,,
01275,Poison,78.0,The Log,98.0,Bomb Tower,12.0,Bats,9.0,,,,5,,,
01290,Poison,78.0,The Log,98.0,Bomb Tower,12.0,Bats,9.0,,,,5,,,
01305,Poison,78.0,The Log,98.0,Bomb Tower,12.0,Bats,9.0,,,,5,,,
01320,Poison,78.0,The Log,98.0,Bomb Tower,12.0,Bats,9.0,,,,5,,,
01335,Poison,78.0,The Log,98.0,Bomb Tower,12.0,Bats,9.0,,,,6,,,
01350,Poison,78.0,The Log,98.0,Bomb Tower,12.0,Bats,9.0,,,,6,,,
01365,Poison,78.0,The Log,98.0,Bomb Tower,12.0,Bats,9.0,,,,6,,,
01380,Poison,78.0,The Log,98.0,Bomb Tower,12.0,Bats,9.0,,,,6,,,
01395,Poison,78.0,The Log,98.0,Bomb Tower,12.0,Bats,9.0,,,,6,,,
01410,Poison,78.0,The Log,98.0,Bomb Tower,12.0,Bats,9.0,,,,7,,,
01425,Poison,78.0,The Log,98.0,Bomb Tower,12.0,Bats,9.0,,,,7,,,
