frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed
00930,Witch,104.0,Skeletons,94.0,The Log,98.0,Royal Delivery,85.0,,,,8,,,
00945,Witch,104.0,Skeletons,94.0,The Log,98.0,Royal Delivery,85.0,,,,8,,,
00960,Witch,104.0,Skeletons,94.0,The Log,98.0,Royal Delivery,85.0,,,,8,,,
00975,Witch,104.0,Skeletons,94.0,The Log,98.0,Royal Delivery,85.0,,,,8,,,
00990,Witch,104.0,Skeletons,94.0,The Log,98.0,Royal Delivery,85.0,,,,8,,,
01005,Witch,104.0,Skeletons,94.0,The Log,98.0,Royal Delivery,85.0,,,,9,,,
01020,Witch,104.0,Skeletons,94.0,The Log,98.0,Royal Delivery,85.0,,,,9,,,
01035,Witch,104.0,Skeletons,94.0,The Log,98.0,Royal Delivery,85.0,,,,9,,,
01050,Witch,104.0,Skeletons,94.0,The Log,98.0,Royal Delivery,85.0,,,,9,,,
01065,Archer Queen,0.0,Skeletons,94.0,The Log,98.0,Royal Delivery,85.0,,,,9,,,
01080,Archer Queen,0.0,Earthquake,20.0,The Log,98.0,Royal Delivery,85.0,,,,9,,,
01095,Archer Queen,0.0,Earthquake,20.0,The Log,98.0,Royal Delivery,85.0,,,,9,,,
01110,Archer Queen,0.0,Earthquake,20.0,The Log,98.0,Royal Delivery,85.0,,,,9,,,
01125,Archer Queen,0.0,Earthquake,20.0,The Log,98.0,Royal Delivery,85.0,,,,9,,,
01140,Archer Queen,0.0,Earthquake,20.0,The Log,98.0,Royal Delivery,85.0,,,,9,,,
01155,Archer Queen,0.0,Earthquake,20.0,The Log,98.0,Royal Delivery,85.0,,,,9,,,
01170,Archer Queen,0.0,Earthquake,20.0,The Log,98.0,Royal Delivery,85.0,,,,10,,,
01185,Archer Queen,0.0,Earthquake,20.0,The Log,98.0,Royal Delivery,85.0,,,,10,,,
01200,Archer Queen,0.0,Earthquake,20.0,The Log,98.0,Royal Delivery,85.0,,,,10,,,
01215,Archer Queen,0.0,Earthquake,20.0,The Log,98.0,Royal Delivery,85.0,,,,10,,,
01230,Archer Queen,0.0,Earthquake,20.0,The Log,98.0,Royal Delivery,85.0,,,,10,,,
01245,Archer Queen,0.0,Earthquake,20.0,The Log,98.0,Royal Delivery,85.0,,,,10,,,
01260,Archer Queen,0.0,Earthquake,20.0,The Log,98.0,Royal Delivery,85.0,,,,10,,,
01275,Archer Queen,0.0,Earthquake,20.0,The Log,98.0,Royal Delivery,85.0,,,,10,,,
01290,Archer Queen,0.0,Earthquake,20.0,The Log,98.0,Royal Delivery,85.0,,,,10,,,
01305,Archer Queen,0.0,Earthquake,20.0,The Log,98.0,Royal Delivery,85.0,,,,10,,,
01320,Archer Queen,0.0,Earthquake,20.0,The Log,98.0,Royal Delivery,85.0,,,,10,,,
01335,Archer Queen,0.0,Earthquake,20.0,The Log,98.0,Royal Delivery,85.0,,,,10,,,
01350,Archer Queen,0.0,Earthquake,20.0,The Log,98.0,Royal Delivery,85.0,,,,10,,,
01365,Archer Queen,0.0,Earthquake,20.0,The Log,98.0,Royal Delivery,85.0,,,,10,,,
01380,Archer Queen,0.0,Earthquake,20.0,The Log,98.0,Royal Delivery,85.0,,,,10,,,
01395,Witch,104.0,Earthquake,20.0,The Log,98.0,Royal Delivery,85.0,,,,10,,,
01410,Witch,104.0,Earthquake,20.0,The Log,98.0,Royal Delivery,85.0,,,,10,,,
01425,Archer Queen,0.0,Earthquake,20.0,The Log,98.0,Royal Delivery,85.0,,,,10,,,
01440,Archer Queen,0.0,Earthquake,20.0,The Log,98.0,Royal Delivery,85.0,,,,10,,,
01455,Witch,104.0,Earthquake,20.0,The Log,98.0,Royal Delivery,85.0,,,,10,,,
01470,Witch,104.0,Earthquake,20.0,The Log,98.0,Royal Delivery,85.0,,,,10,,,
01485,Witch,104.0,Earthquake,20.0,The Log,98.0,Royal Delivery,85.0,,,,10,,,
01500,Archer Queen,0.0,Earthquake,20.0,The Log,98.0,Royal Delivery,85.0,,,,10,,,
01515,Archer Queen,0.0,Cannon,15.0,The Log,98.0,Royal Delivery,85.0,,,,7,,,
01530,Archer Queen,0.0,Cannon,15.0,The Log,98.0,Royal Delivery,85.0,,,,7,,,
01545,Archer Queen,0.0,Cannon,15.0,The Log,98.0,Royal Delivery,85.0,,,,7,,,
01560,Archer Queen,0.0,Cannon,15.0,The Log,98.0,Royal Delivery,85.0,,,,7,,,
01575,Archer Queen,0.0,Cannon,15.0,The Log,98.0,Royal Delivery,85.0,,,,7,,,
01590,Archer Queen,0.0,Cannon,15.0,The Log,98.0,Royal Delivery,85.0,,,,7,,,
01605,Archer Queen,0.0,Cannon,15.0,The Log,98.0,Royal Delivery,85.0,,,,8,,,
01620,Archer Queen,0.0,Cannon,15.0,The Log,98.0,Royal Delivery,85.0,,,,8,,,
01635,Archer Queen,0.0,Cannon Cart,16.0,The Log,98.0,Royal Delivery,85.0,,,,8,,,
01650,Archer Queen,0.0,Cannon Cart,16.0,The Log,98.0,Royal Delivery,85.0,,,,8,,,
01665,Archer Queen,0.0,Cannon,15.0,The Log,98.0,Royal Delivery,85.0,,,,8,,,
01680,Archer Queen,0.0,Cannon Cart,16.0,The Log,98.0,Royal Delivery,85.0,,,,8,,,
01695,Archer Queen,0.0,Cannon,15.0,The Log,98.0,Royal Delivery,85.0,,,,9,,,
01710,Archer Queen,0.0,Cannon,15.0,The Log,98.0,Royal Delivery,85.0,,,,9,,,
01725,Hog Rider,51.0,Cannon,15.0,The Log,98.0,Royal Delivery,85.0,,,,4,,,
01740,Hog Rider,51.0,Cannon,15.0,The Log,98.0,Royal Delivery,85.0,,,,4,,,
01755,Hog Rider,51.0,Cannon,15.0,The Log,98.0,Royal Delivery,85.0,,,,4,,,
01770,Hog Rider,51.0,Cannon,15.0,The Log,98.0,Royal Delivery,85.0,,,,5,,,
01785,Hog Rider,51.0,Cannon,15.0,The Log,98.0,Royal Delivery,85.0,,,,5,,,
01800,Hog Rider,51.0,Cannon,15.0,The Log,98.0,Royal Delivery,85.0,,,,5,,,
01815,Hog Rider,51.0,Cannon,15.0,The Log,98.0,Royal Delivery,85.0,,,,5,,,
01830,Hog Rider,51.0,Cannon,15.0,The Log,98.0,Royal Delivery,85.0,,,,5,,,
01845,Hog Rider,51.0,Cannon,15.0,The Log,98.0,Royal Delivery,85.0,,,,5,,,
01860,Hog Rider,51.0,Cannon,15.0,The Log,98.0,Royal Delivery,85.0,,,,6,,,
