frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed
00885,Goblin Cage,40.0,Royal Recruits,89.0,Electro Wizard,24.0,Fireball,30.0,,,,8,,,
00900,Goblin Cage,40.0,Royal Recruits,89.0,Electro Wizard,24.0,Fireball,30.0,,,,8,,,
00915,Goblin Cage,40.0,Royal Recruits,89.0,Electro Wizard,24.0,Fireball,30.0,,,,8,,,
00930,Goblin Cage,40.0,Royal Recruits,89.0,Electro Wizard,24.0,Fireball,30.0,,,,8,,,
00945,Goblin Cage,40.0,Royal Recruits,89.0,Electro Wizard,24.0,Fireball,30.0,,,,9,,,
00960,Goblin Cage,40.0,Royal Recruits,89.0,Royal Hogs,88.0,Fireball,30.0,,,,9,,,
00975,Goblin Cage,40.0,Royal Recruits,89.0,Royal Hogs,88.0,Fireball,30.0,,,,9,,,
00990,Goblin Cage,40.0,Royal Recruits,89.0,Royal Hogs,88.0,Fireball,30.0,,,,9,,,
01005,Goblin Cage,40.0,Royal Recruits,89.0,Royal Hogs,88.0,Fireball,30.0,,,,9,,,
01020,Goblin Cage,40.0,Royal Recruits,89.0,Royal Hogs,88.0,Fireball,30.0,,,,9,,,
01035,Goblin Cage,40.0,Royal Recruits,89.0,Royal Hogs,88.0,Fireball,30.0,,,,10,,,
01050,Goblin Cage,40.0,Royal Recruits,89.0,Royal Hogs,88.0,Fireball,30.0,,,,10,,,
01065,Goblin Cage,40.0,Royal Recruits,89.0,Royal Hogs,88.0,Fireball,30.0,,,,10,,,
01080,Goblin Cage,40.0,Royal Recruits,89.0,Royal Hogs,88.0,Fireball,30.0,,,,10,,,
01095,Goblin Cage,40.0,Royal Recruits,89.0,Royal Hogs,88.0,Fireball,30.0,,,,10,,,
01110,Goblin Cage,40.0,Royal Recruits,89.0,Electro Wizard,24.0,Fireball,30.0,,,,10,,,
01125,Goblin Cage,40.0,Royal Recruits,89.0,Electro Wizard,24.0,Fireball,30.0,,,,10,,,
01140,Goblin Cage,40.0,Royal Recruits,89.0,Electro Wizard,24.0,Fireball,30.0,,,,10,,,
01155,Goblin Cage,40.0,Royal Recruits,89.0,Electro Wizard,24.0,Fireball,30.0,,,,10,,,
01170,Goblin Cage,40.0,Royal Recruits,89.0,Electro Wizard,24.0,Fireball,30.0,,,,10,,,
01185,Goblin Cage,40.0,Royal Recruits,89.0,Royal Hogs,88.0,Fireball,30.0,,,,10,,,
01200,Goblin Cage,40.0,Royal Recruits,89.0,Electro Wizard,24.0,Fireball,30.0,,,,10,,,
01215,Goblin Cage,40.0,Royal Recruits,89.0,Electro Wizard,24.0,Fireball,30.0,,,,10,,,
01230,Goblin Cage,40.0,Royal Recruits,89.0,Electro Wizard,24.0,Fireball,30.0,,,,10,,,
01245,Goblin Cage,40.0,Royal Recruits,89.0,Electro Wizard,24.0,Fireball,30.0,,,,10,,,
01260,Goblin Cage,40.0,Royal Recruits,89.0,Electro Wizard,24.0,Fireball,30.0,,,,10,,,
01275,Goblin Cage,40.0,Royal Recruits,89.0,Electro Wizard,24.0,Fireball,30.0,,,,10,,,
01290,Goblin Cage,40.0,Royal Recruits,89.0,Royal Hogs,88.0,Fireball,30.0,,,,10,,,
01305,Goblin Cage,40.0,Royal Recruits,89.0,Electro Wizard,24.0,Fireball,30.0,,,,10,,,
01320,Goblin Cage,40.0,Royal Recruits,89.0,Royal Hogs,88.0,Fireball,30.0,,,,10,,,
01335,Goblin Cage,40.0,Royal Recruits,89.0,Electro Wizard,24.0,Fireball,30.0,,,,10,,,
01350,Goblin Cage,40.0,Royal Recruits,89.0,Royal Hogs,88.0,Fireball,30.0,,,,10,,,
01365,Goblin Cage,40.0,Royal Recruits,89.0,Electro Wizard,24.0,Fireball,30.0,,,,10,,,
01380,Goblin Cage,40.0,Royal Recruits,89.0,Electro Wizard,24.0,Fireball,30.0,,,,10,,,
01395,Goblin Cage,40.0,Royal Recruits,89.0,Electro Wizard,24.0,Fireball,30.0,,,,10,,,
01410,Goblin Cage,40.0,Royal Recruits,89.0,Electro Wizard,24.0,Fireball,30.0,,,,10,,,
01425,Goblin Cage,40.0,Royal Recruits,89.0,Royal Hogs,88.0,Fireball,30.0,,,,10,,,
01440,Goblin Cage,40.0,Royal Recruits,89.0,Electro Wizard,24.0,Fireball,30.0,,,,10,,,
01455,Goblin Cage,40.0,Royal Recruits,89.0,Electro Wizard,24.0,Fireball,30.0,,,,10,,,
01470,Goblin Cage,40.0,Royal Recruits,89.0,Electro Wizard,24.0,Fireball,30.0,,,,10,,,
01485,Goblin Cage,40.0,Royal Recruits,89.0,Electro Wizard,24.0,Fireball,30.0,,,,10,,,
01500,Goblin Cage,40.0,Royal Recruits,89.0,Electro Wizard,24.0,Fireball,30.0,,,,10,,,
01515,Goblin Cage,40.0,Royal Recruits,89.0,Electro Wizard,24.0,Fireball,30.0,,,,10,,,
01530,Goblin Cage,40.0,Royal Recruits,89.0,Electro Wizard,24.0,Fireball,30.0,,,,10,,,
01545,Goblin Cage,40.0,Royal Recruits,89.0,Electro Wizard,24.0,Fireball,30.0,,,,10,,,
01560,Golden Knight,46.0,,,Electro Wizard,24.0,Fireball,30.0,,,,6,,,
01575,Golden Knight,46.0,,,Electro Wizard,24.0,Fireball,30.0,,,,6,,,
01590,Golden Knight,46.0,,,Electro Wizard,24.0,Fireball,30.0,,,,6,,,
01605,Golden Knight,46.0,,,Electro Wizard,24.0,Fireball,30.0,,,,6,,,
01620,Golden Knight,46.0,,,Royal Hogs,88.0,Fireball,30.0,,,,6,,,
01635,Golden Knight,46.0,Royal Recruits,89.0,Electro Wizard,24.0,Fireball,30.0,,,,7,,,
01650,Golden Knight,46.0,Royal Recruits,89.0,Electro Wizard,24.0,Fireball,30.0,,,,7,,,
01665,Golden Knight,46.0,Royal Recruits,89.0,Electro Wizard,24.0,Fireball,30.0,,,,7,,,
01680,Golden Knight,46.0,Royal Recruits,89.0,Electro Wizard,24.0,Fireball,30.0,,,,7,,,
01695,Golden Knight,46.0,Royal Recruits,89.0,Electro Wizard,24.0,Fireball,30.0,,,,7,,,
01710,Golden Knight,46.0,Royal Recruits,89.0,Electro Wizard,24.0,Fireball,30.0,,,,7,,,
01725,Golden Knight,46.0,Royal Recruits,89.0,Royal Hogs,88.0,Fireball,30.0,,,,8,,,
01740,Golden Knight,46.0,Royal Recruits,89.0,Royal Hogs,88.0,Fireball,30.0,,,,8,,,
01755,Golden Knight,46.0,Royal Recruits,89.0,Electro Wizard,24.0,Fireball,30.0,,,,8,,,
01770,Golden Knight,46.0,Royal Recruits,89.0,Electro Wizard,24.0,Fireball,30.0,,,,8,,,
01785,Golden Knight,46.0,Royal Recruits,89.0,Electro Wizard,24.0,Fireball,30.0,,,,8,,,
01800,Golden Knight,46.0,Royal Recruits,89.0,Electro Wizard,24.0,Fireball,30.0,,,,8,,,
01815,Golden Knight,46.0,Royal Recruits,89.0,Electro Wizard,24.0,Fireball,30.0,,,,9,,,
