frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed,predicted_elixirConsumed
01035,Rocket,84.0,Princess,80.0,Ice Spirit,54.0,Goblin Barrel,39.0,,,,8,False,False,0.0,0.0
01050,Rocket,84.0,Princess,80.0,Ice Spirit,54.0,Goblin Barrel,39.0,,,,8,False,False,0.0,0.0
01065,Rocket,84.0,Princess,80.0,Ice Spirit,54.0,Goblin Barrel,39.0,,,,8,False,False,0.0,0.0
01080,Rocket,84.0,Princess,80.0,Ice Spirit,54.0,Goblin Barrel,39.0,,,,8,False,False,0.0,0.0
01095,Rocket,84.0,Princess,80.0,Ice Spirit,54.0,Goblin Barrel,39.0,,,,9,False,False,0.0,0.0
01110,Rocket,84.0,Princess,80.0,Ice Spirit,54.0,Goblin Barrel,39.0,,,,9,False,False,0.0,0.0
01125,Rocket,84.0,Princess,80.0,Ice Spirit,54.0,Goblin Barrel,39.0,,,,9,False,False,0.0,0.0
01140,Rocket,84.0,Princess,80.0,Goblins,45.0,Goblin Barrel,39.0,Ice Spirit,54.0,3.0,8,True,True,1.0,1.0
01155,Rocket,84.0,Princess,80.0,Goblins,45.0,Cannon,15.0,Goblin Barrel,39.0,4.0,5,True,True,3.0,4.0
01170,Rocket,84.0,Princess,80.0,Goblins,45.0,Cannon,15.0,,,,6,False,False,0.0,0.0
01185,Rocket,84.0,Princess,80.0,Goblins,45.0,Cannon,15.0,,,,6,False,False,0.0,0.0
01200,Rocket,84.0,Princess,80.0,Goblins,45.0,Cannon,15.0,,,,6,False,False,0.0,0.0
01215,Rocket,84.0,Princess,80.0,Goblins,45.0,Cannon,15.0,,,,6,False,False,0.0,0.0
01230,Rocket,84.0,Princess,80.0,Goblins,45.0,Cannon,15.0,,,,6,False,False,0.0,0.0
01245,Rocket,84.0,Princess,80.0,Goblins,45.0,Cannon,15.0,,,,6,False,False,0.0,0.0
01260,Rocket,84.0,Princess,80.0,Goblins,45.0,Cannon,15.0,,,,7,False,False,0.0,0.0
01275,Rocket,84.0,Princess,80.0,Goblins,45.0,Cannon,15.0,,,,7,False,False,0.0,0.0
01290,Rocket,84.0,Princess,80.0,Goblins,45.0,Cannon,15.0,,,,7,False,False,0.0,0.0
01305,Rocket,84.0,Princess,80.0,Goblins,45.0,Cannon,15.0,,,,7,False,False,0.0,0.0
01320,Rocket,84.0,Princess,80.0,Goblins,45.0,Cannon,15.0,,,,7,False,False,0.0,0.0
01335,Rocket,84.0,Princess,80.0,Goblins,45.0,Cannon,15.0,,,,7,False,False,0.0,0.0
01350,Rocket,84.0,Princess,80.0,Goblins,45.0,Cannon,15.0,,,,8,False,False,0.0,0.0
01365,Rocket,84.0,Princess,80.0,Goblins,45.0,Cannon,15.0,,,,8,False,False,0.0,0.0
01380,Rocket,84.0,Mighty Miner,65.0,Goblins,45.0,Cannon,15.0,Princess,80.0,2.0,5,True,True,3.0,3.0
01395,Rocket,84.0,Mighty Miner,65.0,Goblins,45.0,Cannon,15.0,,,,5,False,False,0.0,0.0
01410,Rocket,84.0,Mighty Miner,65.0,Goblins,45.0,Cannon,15.0,,,,5,False,False,0.0,0.0
01425,Rocket,84.0,Mighty Miner,65.0,Goblins,45.0,Cannon,15.0,,,,6,False,False,0.0,0.0
01440,Rocket,84.0,Mighty Miner,65.0,Goblins,45.0,Cannon,15.0,,,,6,False,False,0.0,0.0
01455,Rocket,84.0,Mighty Miner,65.0,Goblins,45.0,Cannon,15.0,,,,6,False,False,0.0,0.0
01470,Rocket,84.0,Mighty Miner,65.0,Goblins,45.0,Cannon,15.0,,,,6,False,False,0.0,0.0
01485,Rocket,84.0,Mighty Miner,65.0,Goblins,45.0,Cannon,15.0,,,,6,False,False,0.0,0.0
01500,Rocket,84.0,Mighty Miner,65.0,Goblins,45.0,Cannon,15.0,,,,6,False,False,0.0,0.0
01515,Rocket,84.0,Mighty Miner,65.0,Goblins,45.0,Cannon,15.0,,,,7,False,False,0.0,0.0
01530,Rocket,84.0,Mighty Miner,65.0,Goblins,45.0,Cannon,15.0,,,,7,False,False,0.0,0.0
01545,Rocket,84.0,Mighty Miner,65.0,Goblins,45.0,Cannon,15.0,,,,7,False,False,0.0,0.0
01560,Rocket,84.0,Mighty Miner,65.0,Goblins,45.0,Cannon,15.0,,,,7,False,False,0.0,0.0
01575,Rocket,84.0,Mighty Miner,65.0,Goblins,45.0,Cannon,15.0,,,,7,False,False,0.0,0.0
01590,Rocket,84.0,Mighty Miner,65.0,Goblins,45.0,Cannon,15.0,,,,8,False,False,0.0,0.0
01605,Rocket,84.0,Mighty Miner,65.0,Goblins,45.0,Cannon,15.0,,,,8,False,False,0.0,0.0
01620,Rocket,84.0,Mighty Miner,65.0,The Log,98.0,Cannon,15.0,Goblins,45.0,3.0,6,True,True,2.0,2.0
01635,Rocket,84.0,Mighty Miner,65.0,The Log,98.0,Cannon,15.0,,,,6,False,False,0.0,0.0
01650,Rocket,84.0,Mighty Miner,65.0,The Log,98.0,Cannon,15.0,,,,6,False,False,0.0,0.0
01665,Rocket,84.0,Mighty Miner,65.0,The Log,98.0,Cannon,15.0,,,,6,False,False,0.0,0.0
01680,Rocket,84.0,Mighty Miner,65.0,The Log,98.0,Cannon,15.0,,,,7,False,False,0.0,0.0
01695,Rocket,84.0,Mighty Miner,65.0,The Log,98.0,Cannon,15.0,,,,7,False,False,0.0,0.0
