frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed,0,predicted_elixirConsumed
00855,The Log,98.0,Miner,66.0,Archers,1.0,Mortar,71.0,,,,8,False,False,,,
00870,The Log,98.0,Miner,66.0,Archers,1.0,Mortar,71.0,,,,8,False,False,,,
00885,The Log,98.0,Miner,66.0,Archers,1.0,Mortar,71.0,,,,8,False,False,,,
00900,The Log,98.0,Miner,66.0,Archers,1.0,Mortar,71.0,,,,8,False,False,,,
00915,The Log,98.0,Miner,66.0,Archers,1.0,Mortar,71.0,,,,8,False,False,,,
00930,The Log,98.0,Miner,66.0,Archers,1.0,Mortar,71.0,,,,9,False,False,,,
00945,The Log,98.0,Miner,66.0,Archers,1.0,Mortar,71.0,,,,9,False,False,,,
00960,The Log,98.0,Miner,66.0,Archers,1.0,Mortar,71.0,,,,9,False,False,,,
00975,The Log,98.0,Miner,66.0,Archers,1.0,Mortar,71.0,,,,9,False,False,,,
00990,The Log,98.0,Miner,66.0,Archers,1.0,Mortar,71.0,,,,9,False,False,,,
01005,The Log,98.0,Miner,66.0,Archers,1.0,Mortar,71.0,,,,10,False,False,,,
01020,The Log,98.0,Miner,66.0,Archers,1.0,Mortar,71.0,,,,10,False,False,,,
01035,The Log,98.0,Miner,66.0,Archers,1.0,Mortar,71.0,,,,10,False,False,,,
01050,The Log,98.0,Miner,66.0,Archers,1.0,Mortar,71.0,,,,10,False,False,,,
01065,The Log,98.0,Miner,66.0,Archers,1.0,Mortar,71.0,,,,10,False,False,,,
01080,The Log,98.0,Miner,66.0,Archers,1.0,Mortar,71.0,,,,10,False,False,,,
01095,The Log,98.0,Miner,66.0,Archers,1.0,Mortar,71.0,,,,10,False,False,,,
01110,The Log,98.0,Miner,66.0,Poison,78.0,Mortar,71.0,Archers,1.0,3.0,10,True,False,,Archers,3.0
01125,The Log,98.0,Miner,66.0,Poison,78.0,Mortar,71.0,,,,10,False,False,,,
01140,The Log,98.0,Miner,66.0,Poison,78.0,Mortar,71.0,,,,7,False,True,,,
01155,The Log,98.0,Miner,66.0,Poison,78.0,Ice Spirit,54.0,Mortar,71.0,4.0,3,True,True,,Mortar,4.0
