frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed
00945,Royal Recruits,89.0,Royal Hogs,88.0,Zappies,108.0,Arrows,2.0,,,,8,,,
00960,Royal Recruits,89.0,Royal Hogs,88.0,Zappies,108.0,Arrows,2.0,,,,8,,,
00975,Royal Recruits,89.0,Royal Hogs,88.0,Zappies,108.0,Arrows,2.0,,,,8,,,
00990,Royal Recruits,89.0,Royal Hogs,88.0,Zappies,108.0,Arrows,2.0,,,,8,,,
01005,Royal Recruits,89.0,Royal Hogs,88.0,Zappies,108.0,Arrows,2.0,,,,8,,,
01020,Royal Recruits,89.0,Royal Hogs,88.0,Zappies,108.0,Arrows,2.0,,,,9,,,
01035,Royal Recruits,89.0,Royal Hogs,88.0,Zappies,108.0,Arrows,2.0,,,,9,,,
01050,Royal Recruits,89.0,Royal Hogs,88.0,Zappies,108.0,Arrows,2.0,,,,9,,,
01065,Royal Recruits,89.0,Royal Hogs,88.0,Zappies,108.0,Arrows,2.0,,,,9,,,
01080,Royal Recruits,89.0,Royal Hogs,88.0,Barbarian Hut,7.0,Arrows,2.0,,,,5,,,
01095,Royal Recruits,89.0,Royal Hogs,88.0,Barbarian Hut,7.0,Arrows,2.0,,,,5,,,
01110,Royal Recruits,89.0,Royal Hogs,88.0,Barbarian Hut,7.0,Arrows,2.0,,,,6,,,
01125,Royal Recruits,89.0,Royal Hogs,88.0,Barbarian Hut,7.0,Arrows,2.0,,,,6,,,
01140,Royal Recruits,89.0,Royal Hogs,88.0,Barbarian Hut,7.0,Arrows,2.0,,,,6,,,
01155,Royal Recruits,89.0,Royal Hogs,88.0,Barbarian Hut,7.0,Arrows,2.0,,,,6,,,
01170,Royal Recruits,89.0,Royal Hogs,88.0,Barbarian Hut,7.0,Arrows,2.0,,,,6,,,
01185,Royal Recruits,89.0,Royal Hogs,88.0,Barbarian Hut,7.0,Arrows,2.0,,,,7,,,
01200,Royal Recruits,89.0,Royal Hogs,88.0,Barbarian Hut,7.0,Arrows,2.0,,,,7,,,
01215,Royal Recruits,89.0,Royal Hogs,88.0,Barbarian Hut,7.0,Arrows,2.0,,,,7,,,
01230,Royal Recruits,89.0,Royal Hogs,88.0,Barbarian Hut,7.0,Arrows,2.0,,,,7,,,
01245,Royal Recruits,89.0,Royal Hogs,88.0,Barbarian Hut,7.0,Arrows,2.0,,,,7,,,
