frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed
00855,Goblins,45.0,Mortar,71.0,Witch,104.0,Miner,66.0,,,,8,,,
00870,Goblins,45.0,Mortar,71.0,Witch,104.0,Miner,66.0,,,,8,,,
00885,Goblins,45.0,Mortar,71.0,Witch,104.0,Miner,66.0,,,,8,,,
00900,Goblins,45.0,Mortar,71.0,Witch,104.0,Miner,66.0,,,,8,,,
00915,Goblins,45.0,Mortar,71.0,Witch,104.0,Miner,66.0,,,,9,,,
00930,Goblins,45.0,Mortar,71.0,Witch,104.0,Miner,66.0,,,,9,,,
00945,Goblins,45.0,Mortar,71.0,Witch,104.0,Miner,66.0,,,,9,,,
00960,Goblins,45.0,Mortar,71.0,Witch,104.0,Miner,66.0,,,,9,,,
00975,Goblins,45.0,Mortar,71.0,Witch,104.0,Miner,66.0,,,,9,,,
00990,Goblins,45.0,Mortar,71.0,Witch,104.0,Miner,66.0,,,,10,,,
01005,Goblins,45.0,Mortar,71.0,Witch,104.0,Miner,66.0,,,,10,,,
01020,Goblins,45.0,Mortar,71.0,Witch,104.0,Miner,66.0,,,,10,,,
01035,Goblins,45.0,Mortar,71.0,Witch,104.0,Miner,66.0,,,,10,,,
01050,Goblins,45.0,Mortar,71.0,Witch,104.0,Miner,66.0,,,,10,,,
01065,Goblins,45.0,Mortar,71.0,Witch,104.0,Miner,66.0,,,,10,,,
01080,The Log,98.0,Mortar,71.0,Witch,104.0,Miner,66.0,,,,8,,,
01095,The Log,98.0,Mortar,71.0,Witch,104.0,Miner,66.0,,,,8,,,
01110,The Log,98.0,Mortar,71.0,Lumberjack,61.0,Miner,66.0,,,,8,,,
01125,The Log,98.0,Mortar,71.0,Witch,104.0,Miner,66.0,,,,8,,,
01140,The Log,98.0,Mortar,71.0,Lumberjack,61.0,Miner,66.0,,,,8,,,
01155,The Log,98.0,Mortar,71.0,Witch,104.0,Miner,66.0,,,,9,,,
01170,The Log,98.0,Mortar,71.0,Lumberjack,61.0,Miner,66.0,,,,9,,,
01185,The Log,98.0,Mortar,71.0,Witch,104.0,Miner,66.0,,,,9,,,
01200,Poison,78.0,Mortar,71.0,Witch,104.0,Miner,66.0,,,,7,,,
01215,Poison,78.0,Mortar,71.0,Witch,104.0,Miner,66.0,,,,7,,,
01230,Poison,78.0,Mortar,71.0,Lumberjack,61.0,Miner,66.0,,,,7,,,
01245,Poison,78.0,Mortar,71.0,Witch,104.0,Miner,66.0,,,,8,,,
01260,Poison,78.0,Mortar,71.0,Witch,104.0,Miner,66.0,,,,8,,,
01275,Poison,78.0,Mortar,71.0,Witch,104.0,Miner,66.0,,,,8,,,
01290,Poison,78.0,Mortar,71.0,Witch,104.0,Miner,66.0,,,,8,,,
01305,Poison,78.0,Mortar,71.0,Witch,104.0,Miner,66.0,,,,8,,,
01320,Poison,78.0,Mortar,71.0,Witch,104.0,Miner,66.0,,,,9,,,
01335,Poison,78.0,Mortar,71.0,Witch,104.0,Miner,66.0,,,,9,,,
01350,Poison,78.0,Mortar,71.0,Witch,104.0,Miner,66.0,,,,9,,,
01365,Poison,78.0,Mortar,71.0,Witch,104.0,Miner,66.0,,,,9,,,
01380,Poison,78.0,Mortar,71.0,Lumberjack,61.0,Miner,66.0,,,,9,,,
01395,Poison,78.0,Mortar,71.0,Witch,104.0,Miner,66.0,,,,9,,,
01410,Poison,78.0,Mortar,71.0,Lumberjack,61.0,Miner,66.0,,,,10,,,
01425,Poison,78.0,Mortar,71.0,Witch,104.0,Miner,66.0,,,,10,,,
01440,Poison,78.0,Mortar,71.0,Witch,104.0,Miner,66.0,,,,10,,,
01455,Poison,78.0,Mortar,71.0,Witch,104.0,Miner,66.0,,,,10,,,
01470,Poison,78.0,Mortar,71.0,Witch,104.0,Valkyrie,102.0,,,,7,,,
01485,Poison,78.0,Mortar,71.0,Witch,104.0,Valkyrie,102.0,,,,7,,,
01500,Poison,78.0,Mortar,71.0,Witch,104.0,Valkyrie,102.0,,,,7,,,
01515,Poison,78.0,Mortar,71.0,Lumberjack,61.0,Valkyrie,102.0,,,,7,,,
01530,Poison,78.0,Mortar,71.0,Witch,104.0,Valkyrie,102.0,,,,7,,,
01545,Poison,78.0,Mortar,71.0,Witch,104.0,Valkyrie,102.0,,,,8,,,
01560,Poison,78.0,Mortar,71.0,Witch,104.0,Valkyrie,102.0,,,,8,,,
01575,Poison,78.0,Mortar,71.0,Witch,104.0,Valkyrie,102.0,,,,8,,,
01590,Poison,78.0,Mortar,71.0,Witch,104.0,Valkyrie,102.0,,,,8,,,
01605,Poison,78.0,Mortar,71.0,Lumberjack,61.0,Valkyrie,102.0,,,,8,,,
01620,Poison,78.0,Mortar,71.0,Lumberjack,61.0,Valkyrie,102.0,,,,8,,,
01635,Poison,78.0,Mortar,71.0,Lumberjack,61.0,Valkyrie,102.0,,,,9,,,
01650,Poison,78.0,Mortar,71.0,Witch,104.0,Valkyrie,102.0,,,,9,,,
01665,Poison,78.0,Mortar,71.0,Lumberjack,61.0,Valkyrie,102.0,,,,9,,,
01680,Poison,78.0,Mortar,71.0,Witch,104.0,Valkyrie,102.0,,,,9,,,
01695,Poison,78.0,Mortar,71.0,Lumberjack,61.0,Valkyrie,102.0,,,,9,,,
01710,Poison,78.0,Ice Spirit,54.0,Witch,104.0,Valkyrie,102.0,,,,5,,,
01725,Poison,78.0,Ice Spirit,54.0,Witch,104.0,Valkyrie,102.0,,,,6,,,
01740,Poison,78.0,Ice Spirit,54.0,Witch,104.0,Valkyrie,102.0,,,,6,,,
01755,Poison,78.0,Ice Spirit,54.0,Lumberjack,61.0,Valkyrie,102.0,,,,6,,,
01770,Poison,78.0,Ice Spirit,54.0,Archer Queen,0.0,Valkyrie,102.0,,,,6,,,
01785,Poison,78.0,Ice Spirit,54.0,Archer Queen,0.0,Valkyrie,102.0,,,,6,,,
01800,Poison,78.0,Goblins,45.0,Archer Queen,0.0,Valkyrie,102.0,,,,6,,,
01815,Poison,78.0,Goblins,45.0,Archer Queen,0.0,Valkyrie,102.0,,,,6,,,
01830,Poison,78.0,Goblins,45.0,Archer Queen,0.0,Valkyrie,102.0,,,,6,,,
01845,Poison,78.0,Goblins,45.0,Archer Queen,0.0,Valkyrie,102.0,,,,6,,,
01860,Poison,78.0,Goblins,45.0,Archer Queen,0.0,Valkyrie,102.0,,,,6,,,
01875,Poison,78.0,Goblins,45.0,Archer Queen,0.0,Valkyrie,102.0,,,,6,,,
01890,,,Goblins,45.0,The Log,98.0,,,,,,2,,,
01905,,,Goblins,45.0,The Log,98.0,,,,,,2,,,
01920,,,Goblins,45.0,The Log,98.0,,,,,,2,,,
01935,,,Goblins,45.0,The Log,98.0,,,,,,2,,,
01950,,,Goblins,45.0,The Log,98.0,,,,,,2,,,
01965,,,Goblins,45.0,The Log,98.0,,,,,,2,,,
01980,,,Goblins,45.0,The Log,98.0,,,,,,3,,,
01995,,,Goblins,45.0,The Log,98.0,,,,,,3,,,
02010,,,Goblins,45.0,The Log,98.0,,,,,,3,,,
02025,,,Goblins,45.0,The Log,98.0,,,,,,3,,,
02040,,,Goblins,45.0,The Log,98.0,,,,,,3,,,
02055,Poison,78.0,Goblins,45.0,The Log,98.0,Valkyrie,102.0,,,,4,,,
02070,,,Goblins,45.0,The Log,98.0,,,,,,3,,,
02085,,,Goblins,45.0,The Log,98.0,,,,,,3,,,
02100,,,Goblins,45.0,The Log,98.0,,,,,,3,,,
02115,,,Goblins,45.0,The Log,98.0,,,,,,3,,,
02130,,,Goblins,45.0,The Log,98.0,,,,,,3,,,
02145,Poison,78.0,Goblins,45.0,The Log,98.0,Valkyrie,102.0,,,,4,,,
02160,Poison,78.0,Goblins,45.0,The Log,98.0,Valkyrie,102.0,,,,4,,,
02175,Poison,78.0,Goblins,45.0,The Log,98.0,Valkyrie,102.0,,,,4,,,
02190,Poison,78.0,Goblins,45.0,The Log,98.0,Valkyrie,102.0,,,,4,,,
02205,Poison,78.0,Goblins,45.0,The Log,98.0,Valkyrie,102.0,,,,4,,,
02220,Poison,78.0,Goblins,45.0,The Log,98.0,Valkyrie,102.0,,,,5,,,
02235,Poison,78.0,Goblins,45.0,The Log,98.0,Valkyrie,102.0,,,,5,,,
02250,Poison,78.0,Goblins,45.0,The Log,98.0,Valkyrie,102.0,,,,5,,,
02265,Poison,78.0,Goblins,45.0,The Log,98.0,Valkyrie,102.0,,,,5,,,
02280,Poison,78.0,Goblins,45.0,The Log,98.0,Valkyrie,102.0,,,,5,,,
02295,Poison,78.0,Goblins,45.0,The Log,98.0,Valkyrie,102.0,,,,5,,,
02310,Poison,78.0,Goblins,45.0,The Log,98.0,Valkyrie,102.0,,,,6,,,
02325,Poison,78.0,Goblins,45.0,The Log,98.0,Valkyrie,102.0,,,,6,,,
02340,Poison,78.0,Goblins,45.0,Miner,66.0,Valkyrie,102.0,,,,4,,,
02355,Poison,78.0,Goblins,45.0,Miner,66.0,Valkyrie,102.0,,,,4,,,
02370,Poison,78.0,Goblins,45.0,Miner,66.0,Valkyrie,102.0,,,,4,,,
02385,Poison,78.0,Goblins,45.0,Miner,66.0,Valkyrie,102.0,,,,5,,,
02400,Poison,78.0,Goblins,45.0,Miner,66.0,Valkyrie,102.0,,,,5,,,
02415,Poison,78.0,Goblins,45.0,Miner,66.0,Valkyrie,102.0,,,,5,,,
02430,Poison,78.0,Goblins,45.0,Miner,66.0,Valkyrie,102.0,,,,5,,,
02445,Poison,78.0,Goblins,45.0,Miner,66.0,Valkyrie,102.0,,,,5,,,
02460,Poison,78.0,Goblins,45.0,Miner,66.0,Valkyrie,102.0,,,,5,,,
02475,Poison,78.0,Goblins,45.0,Miner,66.0,Valkyrie,102.0,,,,6,,,
02490,Poison,78.0,Goblins,45.0,Miner,66.0,Valkyrie,102.0,,,,6,,,
02505,Poison,78.0,Goblins,45.0,Miner,66.0,Valkyrie,102.0,,,,6,,,
02520,Poison,78.0,Goblins,45.0,Miner,66.0,Valkyrie,102.0,,,,6,,,
02535,Poison,78.0,Goblins,45.0,Miner,66.0,Valkyrie,102.0,,,,6,,,
02550,Poison,78.0,Goblins,45.0,Miner,66.0,Valkyrie,102.0,,,,6,,,
02565,Poison,78.0,Goblins,45.0,Miner,66.0,Valkyrie,102.0,,,,7,,,
02580,Poison,78.0,Goblins,45.0,Miner,66.0,Valkyrie,102.0,,,,7,,,
02595,Poison,78.0,Goblins,45.0,Miner,66.0,Valkyrie,102.0,,,,7,,,
02610,Poison,78.0,Goblins,45.0,Miner,66.0,Valkyrie,102.0,,,,7,,,
02625,Poison,78.0,Goblins,45.0,Miner,66.0,Valkyrie,102.0,,,,7,,,
02640,Poison,78.0,Goblins,45.0,Miner,66.0,Valkyrie,102.0,,,,8,,,
02655,Poison,78.0,Goblins,45.0,Miner,66.0,Valkyrie,102.0,,,,8,,,
02670,Poison,78.0,Goblins,45.0,Miner,66.0,Valkyrie,102.0,,,,8,,,
02685,Poison,78.0,Goblins,45.0,Miner,66.0,Valkyrie,102.0,,,,8,,,
02700,Poison,78.0,Goblins,45.0,Miner,66.0,Valkyrie,102.0,,,,8,,,
02715,Poison,78.0,Goblins,45.0,Miner,66.0,Valkyrie,102.0,,,,8,,,
02730,Poison,78.0,Goblins,45.0,Miner,66.0,Valkyrie,102.0,,,,9,,,
02745,Poison,78.0,Goblins,45.0,Miner,66.0,Valkyrie,102.0,,,,9,,,
02760,Poison,78.0,Goblins,45.0,Miner,66.0,Valkyrie,102.0,,,,9,,,
02775,Poison,78.0,Goblins,45.0,Mortar,71.0,Valkyrie,102.0,,,,6,,,
02790,Poison,78.0,Goblins,45.0,Mortar,71.0,Valkyrie,102.0,,,,6,,,
02805,Poison,78.0,Goblins,45.0,Mortar,71.0,Valkyrie,102.0,,,,6,,,
02820,Poison,78.0,Goblins,45.0,Mortar,71.0,Valkyrie,102.0,,,,7,,,
02835,Poison,78.0,Goblins,45.0,Mortar,71.0,Valkyrie,102.0,,,,7,,,
02850,Poison,78.0,Goblins,45.0,Mortar,71.0,Valkyrie,102.0,,,,7,,,
02865,Poison,78.0,Goblins,45.0,Mortar,71.0,Valkyrie,102.0,,,,7,,,
02880,Poison,78.0,Goblins,45.0,Mortar,71.0,Valkyrie,102.0,,,,7,,,
02895,Poison,78.0,Goblins,45.0,Mortar,71.0,Valkyrie,102.0,,,,8,,,
02910,Poison,78.0,Goblins,45.0,Mortar,71.0,Valkyrie,102.0,,,,8,,,
02925,Poison,78.0,Goblins,45.0,Mortar,71.0,Valkyrie,102.0,,,,8,,,
02940,Poison,78.0,Goblins,45.0,Mortar,71.0,Valkyrie,102.0,,,,8,,,
02955,Poison,78.0,Goblins,45.0,Mortar,71.0,Valkyrie,102.0,,,,8,,,
02970,Poison,78.0,Goblins,45.0,Mortar,71.0,Valkyrie,102.0,,,,8,,,
02985,Poison,78.0,Goblins,45.0,Mortar,71.0,Valkyrie,102.0,,,,9,,,
03000,Poison,78.0,Goblins,45.0,Mortar,71.0,Valkyrie,102.0,,,,9,,,
03015,Poison,78.0,Goblins,45.0,Mortar,71.0,Valkyrie,102.0,,,,9,,,
03030,Poison,78.0,Goblins,45.0,Mortar,71.0,Valkyrie,102.0,,,,9,,,
03045,Poison,78.0,Goblins,45.0,Mortar,71.0,Valkyrie,102.0,,,,9,,,
03060,Poison,78.0,Goblins,45.0,Mortar,71.0,Valkyrie,102.0,,,,10,,,
03075,Poison,78.0,Goblins,45.0,Mortar,71.0,Valkyrie,102.0,,,,10,,,
03090,Poison,78.0,Goblins,45.0,Mortar,71.0,Valkyrie,102.0,,,,10,,,
03105,Poison,78.0,Witch,104.0,Mortar,71.0,Valkyrie,102.0,,,,8,,,
03120,Poison,78.0,Archer Queen,0.0,Mortar,71.0,Valkyrie,102.0,,,,8,,,
03135,Poison,78.0,Mother Witch,72.0,Mortar,71.0,Valkyrie,102.0,,,,8,,,
03150,Poison,78.0,Mother Witch,72.0,Mortar,71.0,Valkyrie,102.0,,,,8,,,
03165,Poison,78.0,Archer Queen,0.0,Mortar,71.0,Valkyrie,102.0,,,,8,,,
03180,Poison,78.0,Archer Queen,0.0,Mortar,71.0,Valkyrie,102.0,,,,9,,,
03195,Poison,78.0,Archer Queen,0.0,Mortar,71.0,Valkyrie,102.0,,,,9,,,
03210,Poison,78.0,Archer Queen,0.0,Mortar,71.0,Valkyrie,102.0,,,,9,,,
03225,Poison,78.0,Archer Queen,0.0,Mortar,71.0,Valkyrie,102.0,,,,9,,,
03240,Poison,78.0,Archer Queen,0.0,Ice Spirit,54.0,Valkyrie,102.0,,,,5,,,
03255,Poison,78.0,Archer Queen,0.0,Ice Spirit,54.0,Valkyrie,102.0,,,,5,,,
03270,Poison,78.0,Archer Queen,0.0,Ice Spirit,54.0,Valkyrie,102.0,,,,6,,,
03285,Poison,78.0,Archer Queen,0.0,Ice Spirit,54.0,Valkyrie,102.0,,,,6,,,
03300,Poison,78.0,Archer Queen,0.0,Ice Spirit,54.0,Valkyrie,102.0,,,,6,,,
03315,Poison,78.0,Archer Queen,0.0,Ice Spirit,54.0,Valkyrie,102.0,,,,6,,,
03330,Poison,78.0,Archer Queen,0.0,Ice Spirit,54.0,Valkyrie,102.0,,,,6,,,
03345,Poison,78.0,Archer Queen,0.0,Ice Spirit,54.0,Valkyrie,102.0,,,,6,,,
03360,Poison,78.0,Archer Queen,0.0,Ice Spirit,54.0,Valkyrie,102.0,,,,7,,,
03375,Poison,78.0,Archer Queen,0.0,Ice Spirit,54.0,Valkyrie,102.0,,,,7,,,
03390,Poison,78.0,Archer Queen,0.0,Ice Spirit,54.0,Valkyrie,102.0,,,,7,,,
03405,Poison,78.0,Archer Queen,0.0,Ice Spirit,54.0,Valkyrie,102.0,,,,7,,,
03420,Poison,78.0,Archer Queen,0.0,Ice Spirit,54.0,Valkyrie,102.0,,,,7,,,
03435,Poison,78.0,Archer Queen,0.0,Ice Spirit,54.0,Valkyrie,102.0,,,,8,,,
03450,Poison,78.0,Archer Queen,0.0,Ice Spirit,54.0,Valkyrie,102.0,,,,8,,,
03465,Poison,78.0,Archer Queen,0.0,Ice Spirit,54.0,Valkyrie,102.0,,,,8,,,
03480,Poison,78.0,Archer Queen,0.0,Ice Spirit,54.0,Valkyrie,102.0,,,,8,,,
03495,Poison,78.0,Archer Queen,0.0,Ice Spirit,54.0,Valkyrie,102.0,,,,8,,,
03510,Poison,78.0,Archer Queen,0.0,Ice Spirit,54.0,Valkyrie,102.0,,,,8,,,
03525,Poison,78.0,Archer Queen,0.0,Ice Spirit,54.0,Valkyrie,102.0,,,,9,,,
03540,Poison,78.0,Archer Queen,0.0,Ice Spirit,54.0,Valkyrie,102.0,,,,9,,,
03555,Poison,78.0,Archer Queen,0.0,Ice Spirit,54.0,Valkyrie,102.0,,,,9,,,
03570,Poison,78.0,Archer Queen,0.0,Ice Spirit,54.0,Valkyrie,102.0,,,,9,,,
