frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed
00000,,,,,,,,,,,,,,,
00015,,,,,,,,,,,,,,,
00030,Night Witch,74.0,Executioner,28.0,,,,,,,,,,,
00045,,,,,,,,,,,,,,,
00060,,,,,,,,,,,,,,,
00075,Elixir Collector,26.0,Executioner,28.0,,,,,,,,,,,
00090,Elixir Collector,26.0,Executioner,28.0,,,,,,,,,,,
00105,Elixir Collector,26.0,Executioner,28.0,,,,,,,,,,,
00120,Elixir Collector,26.0,Executioner,28.0,,,,,,,,,,,
00135,Elixir Collector,26.0,Executioner,28.0,,,,,,,,,,,
00150,,,Executioner,28.0,,,,,,,,,,,
00165,,,,,,,,,,,,,,,
00180,Balloon,4.0,Balloon,4.0,Balloon,4.0,Balloon,4.0,,,,10.0,,,
00195,Mirror,69.0,Hog Rider,51.0,Royal Delivery,85.0,Mirror,69.0,,,,10.0,,,
00210,Mirror,69.0,Hog Rider,51.0,Royal Delivery,85.0,Mirror,69.0,,,,10.0,,,
00225,Mirror,69.0,Hog Rider,51.0,Royal Delivery,85.0,Mirror,69.0,,,,10.0,,,
00240,Balloon,4.0,Balloon,4.0,Balloon,4.0,Balloon,4.0,,,,10.0,,,
00255,Witch,104.0,Executioner,28.0,Mega Knight,63.0,Mega Knight,63.0,,,,10.0,,,
00270,Battle Ram,11.0,Witch,104.0,Witch,104.0,Balloon,4.0,,,,10.0,,,
00285,Battle Ram,11.0,Witch,104.0,Balloon,4.0,Executioner,28.0,,,,10.0,,,
00300,Battle Ram,11.0,Witch,104.0,Balloon,4.0,Executioner,28.0,,,,10.0,,,
00315,Battle Ram,11.0,Witch,104.0,Balloon,4.0,Executioner,28.0,,,,10.0,,,
00330,Battle Ram,11.0,Witch,104.0,Balloon,4.0,P.E.K.K.A,76.0,,,,10.0,,,
00345,Battle Ram,11.0,Witch,104.0,Balloon,4.0,P.E.K.K.A,76.0,,,,10.0,,,
00360,Battle Ram,11.0,Witch,104.0,Balloon,4.0,P.E.K.K.A,76.0,,,,10.0,,,
00375,Mirror,69.0,Electro Dragon,21.0,Furnace,35.0,Mega Knight,63.0,,,,10.0,,,
00390,Mirror,69.0,Electro Dragon,21.0,Elixir Golem,27.0,Mega Knight,63.0,,,,10.0,,,
00405,Mirror,69.0,Electro Dragon,21.0,Elixir Golem,27.0,Mega Knight,63.0,,,,10.0,,,
00420,Mortar,71.0,Skeleton Barrel,91.0,Mirror,69.0,Mirror,69.0,,,,10.0,,,
