frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed
00855,Arrows,2.0,Inferno Dragon,56.0,Lava Hound,59.0,Balloon,4.0,,,,8,,,
00870,Arrows,2.0,Inferno Dragon,56.0,Lava Hound,59.0,Balloon,4.0,,,,8,,,
00885,Arrows,2.0,Inferno Dragon,56.0,Lava Hound,59.0,Balloon,4.0,,,,8,,,
00900,Arrows,2.0,Inferno Dragon,56.0,Lava Hound,59.0,Balloon,4.0,,,,8,,,
00915,Arrows,2.0,Inferno Dragon,56.0,Lava Hound,59.0,Balloon,4.0,,,,9,,,
00930,Arrows,2.0,Inferno Dragon,56.0,Lava Hound,59.0,Balloon,4.0,,,,9,,,
00945,Arrows,2.0,Inferno Dragon,56.0,Lava Hound,59.0,Balloon,4.0,,,,9,,,
00960,Arrows,2.0,Inferno Dragon,56.0,Lava Hound,59.0,Balloon,4.0,,,,9,,,
00975,Arrows,2.0,Inferno Dragon,56.0,Lava Hound,59.0,Balloon,4.0,,,,9,,,
00990,Arrows,2.0,Inferno Dragon,56.0,Lava Hound,59.0,Balloon,4.0,,,,9,,,
01005,Arrows,2.0,Inferno Dragon,56.0,Barbarians,8.0,Balloon,4.0,,,,3,,,
01020,Arrows,2.0,Inferno Dragon,56.0,Barbarians,8.0,Balloon,4.0,,,,3,,,
01035,Arrows,2.0,Inferno Dragon,56.0,Barbarians,8.0,Balloon,4.0,,,,3,,,
01050,Arrows,2.0,Inferno Dragon,56.0,Barbarians,8.0,Balloon,4.0,,,,3,,,
01065,Arrows,2.0,Inferno Dragon,56.0,Barbarians,8.0,Balloon,4.0,,,,3,,,
01080,Arrows,2.0,Inferno Dragon,56.0,Barbarians,8.0,Balloon,4.0,,,,4,,,
01095,Arrows,2.0,Inferno Dragon,56.0,Barbarians,8.0,Balloon,4.0,,,,4,,,
01110,Arrows,2.0,Inferno Dragon,56.0,Barbarians,8.0,Balloon,4.0,,,,4,,,
01125,Arrows,2.0,Inferno Dragon,56.0,Barbarians,8.0,Balloon,4.0,,,,4,,,
01140,Arrows,2.0,Inferno Dragon,56.0,Barbarians,8.0,Balloon,4.0,,,,4,,,
01155,Arrows,2.0,Inferno Dragon,56.0,Barbarians,8.0,Balloon,4.0,,,,4,,,
01170,Arrows,2.0,Inferno Dragon,56.0,Barbarians,8.0,Balloon,4.0,,,,5,,,
01185,Arrows,2.0,Inferno Dragon,56.0,Barbarians,8.0,Balloon,4.0,,,,5,,,
01200,Arrows,2.0,Inferno Dragon,56.0,Barbarians,8.0,Balloon,4.0,,,,5,,,
01215,Arrows,2.0,Inferno Dragon,56.0,Barbarians,8.0,Balloon,4.0,,,,5,,,
01230,Arrows,2.0,Inferno Dragon,56.0,Barbarians,8.0,Balloon,4.0,,,,5,,,
01245,Arrows,2.0,Inferno Dragon,56.0,Barbarians,8.0,Balloon,4.0,,,,5,,,
01260,Arrows,2.0,Inferno Dragon,56.0,Barbarians,8.0,Balloon,4.0,,,,6,,,
01275,Arrows,2.0,Inferno Dragon,56.0,Barbarians,8.0,Balloon,4.0,,,,6,,,
01290,Arrows,2.0,Inferno Dragon,56.0,Barbarians,8.0,Balloon,4.0,,,,6,,,
01305,Arrows,2.0,Inferno Dragon,56.0,Barbarians,8.0,Balloon,4.0,,,,6,,,
01320,Arrows,2.0,Inferno Dragon,56.0,Barbarians,8.0,Balloon,4.0,,,,6,,,
01335,Arrows,2.0,Inferno Dragon,56.0,Barbarians,8.0,Balloon,4.0,,,,7,,,
01350,Arrows,2.0,Inferno Dragon,56.0,Barbarians,8.0,Balloon,4.0,,,,7,,,
01365,Arrows,2.0,Inferno Dragon,56.0,Barbarians,8.0,Balloon,4.0,,,,7,,,
01380,Arrows,2.0,Inferno Dragon,56.0,Barbarians,8.0,Balloon,4.0,,,,7,,,
01395,Arrows,2.0,Inferno Dragon,56.0,Barbarians,8.0,Balloon,4.0,,,,7,,,
01410,Arrows,2.0,Inferno Dragon,56.0,Barbarians,8.0,Balloon,4.0,,,,7,,,
01425,Arrows,2.0,Inferno Dragon,56.0,Barbarians,8.0,Balloon,4.0,,,,8,,,
01440,Arrows,2.0,Inferno Dragon,56.0,Barbarians,8.0,Balloon,4.0,,,,8,,,
01455,Arrows,2.0,Inferno Dragon,56.0,Barbarians,8.0,Balloon,4.0,,,,8,,,
01470,Arrows,2.0,Inferno Dragon,56.0,Barbarians,8.0,Balloon,4.0,,,,8,,,
01485,Arrows,2.0,Inferno Dragon,56.0,Barbarians,8.0,Balloon,4.0,,,,8,,,
01500,Arrows,2.0,Inferno Dragon,56.0,Barbarians,8.0,Balloon,4.0,,,,8,,,
01515,Arrows,2.0,Inferno Dragon,56.0,Barbarians,8.0,Balloon,4.0,,,,9,,,
01530,Arrows,2.0,Inferno Dragon,56.0,Barbarians,8.0,Balloon,4.0,,,,9,,,
01545,Arrows,2.0,Miner,66.0,Barbarians,8.0,Balloon,4.0,,,,5,,,
01560,Arrows,2.0,Miner,66.0,Barbarians,8.0,Balloon,4.0,,,,5,,,
01575,Arrows,2.0,Miner,66.0,Barbarians,8.0,Balloon,4.0,,,,5,,,
01590,Arrows,2.0,Miner,66.0,Barbarians,8.0,Balloon,4.0,,,,6,,,
01605,Arrows,2.0,Miner,66.0,Barbarians,8.0,Balloon,4.0,,,,6,,,
01620,Arrows,2.0,Miner,66.0,Barbarians,8.0,Balloon,4.0,,,,6,,,
01635,Arrows,2.0,Miner,66.0,Barbarians,8.0,Balloon,4.0,,,,6,,,
01650,Arrows,2.0,Miner,66.0,Barbarians,8.0,Balloon,4.0,,,,6,,,
01665,Arrows,2.0,Miner,66.0,Barbarians,8.0,Balloon,4.0,,,,6,,,
01680,Arrows,2.0,Zap,107.0,Barbarians,8.0,Balloon,4.0,,,,4,,,
01695,Arrows,2.0,Zap,107.0,Barbarians,8.0,Balloon,4.0,,,,4,,,
01710,Arrows,2.0,Zap,107.0,Barbarians,8.0,Balloon,4.0,,,,4,,,
01725,Arrows,2.0,Zap,107.0,Barbarians,8.0,Balloon,4.0,,,,4,,,
01740,Arrows,2.0,Zap,107.0,Barbarians,8.0,Balloon,4.0,,,,4,,,
01755,Arrows,2.0,Zap,107.0,Barbarians,8.0,Balloon,4.0,,,,5,,,
01770,Arrows,2.0,Zap,107.0,Barbarians,8.0,Balloon,4.0,,,,5,,,
01785,Arrows,2.0,Zap,107.0,Barbarians,8.0,Balloon,4.0,,,,5,,,
01800,Arrows,2.0,Zap,107.0,Barbarians,8.0,Balloon,4.0,,,,5,,,
01815,Arrows,2.0,Zap,107.0,Barbarians,8.0,Balloon,4.0,,,,5,,,
01830,Arrows,2.0,Zap,107.0,Barbarians,8.0,Balloon,4.0,,,,5,,,
