frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed,0,predicted_elixirConsumed
00975,Hog Rider,51.0,Ice Spirit,54.0,Bomb Tower,12.0,Earthquake,20.0,,,,8,False,False,,,
00990,Hog Rider,51.0,Ice Spirit,54.0,Bomb Tower,12.0,Earthquake,20.0,,,,8,False,False,,,
01005,Hog Rider,51.0,Ice Spirit,54.0,Bomb Tower,12.0,Earthquake,20.0,,,,8,False,False,,,
01020,Hog Rider,51.0,Ice Spirit,54.0,Bomb Tower,12.0,Earthquake,20.0,,,,9,False,False,,,
01035,Hog Rider,51.0,Ice Spirit,54.0,Bomb Tower,12.0,Earthquake,20.0,,,,9,False,False,,,
01050,Hog Rider,51.0,Ice Spirit,54.0,Bomb Tower,12.0,Earthquake,20.0,,,,9,False,False,,,
01065,Hog Rider,51.0,Ice Spirit,54.0,Bomb Tower,12.0,Earthquake,20.0,,,,9,False,False,,,
01080,Hog Rider,51.0,Ice Spirit,54.0,Bomb Tower,12.0,Earthquake,20.0,,,,9,False,False,,,
01095,Monk,70.0,Ice Spirit,54.0,Bomb Tower,12.0,Earthquake,20.0,Hog Rider,51.0,1.0,5,True,True,,Hog Rider,4.0
01110,Monk,70.0,Ice Spirit,54.0,Bomb Tower,12.0,Earthquake,20.0,,,,6,False,False,,,
01125,Monk,70.0,Skeletons,94.0,Bomb Tower,12.0,Earthquake,20.0,Ice Spirit,54.0,2.0,5,True,True,,Ice Spirit,1.0
01140,Monk,70.0,Skeletons,94.0,Bomb Tower,12.0,Earthquake,20.0,,,,5,False,False,,,
01155,Monk,70.0,Skeletons,94.0,Bomb Tower,12.0,Earthquake,20.0,,,,5,False,False,,,
01170,Monk,70.0,Skeletons,94.0,Bomb Tower,12.0,Earthquake,20.0,,,,5,False,False,,,
01185,Monk,70.0,Skeletons,94.0,Bomb Tower,12.0,Earthquake,20.0,,,,5,False,False,,,
01200,Monk,70.0,Skeletons,94.0,Bomb Tower,12.0,Earthquake,20.0,,,,6,False,False,,,
01215,Monk,70.0,Skeletons,94.0,Bomb Tower,12.0,Earthquake,20.0,,,,6,False,False,,,
01230,Monk,70.0,Skeletons,94.0,Bomb Tower,12.0,Earthquake,20.0,,,,6,False,False,,,
01245,Monk,70.0,Skeletons,94.0,Bomb Tower,12.0,Earthquake,20.0,,,,6,False,False,,,
01260,Monk,70.0,Skeletons,94.0,Bomb Tower,12.0,Earthquake,20.0,,,,6,False,False,,,
01275,Monk,70.0,Skeletons,94.0,Bomb Tower,12.0,Earthquake,20.0,,,,7,False,False,,,
01290,Monk,70.0,Skeletons,94.0,Bomb Tower,12.0,Earthquake,20.0,,,,7,False,False,,,
01305,Monk,70.0,Skeletons,94.0,Bomb Tower,12.0,Earthquake,20.0,,,,7,False,False,,,
01320,Monk,70.0,Skeletons,94.0,Bomb Tower,12.0,Earthquake,20.0,,,,7,False,False,,,
01335,Monk,70.0,Skeletons,94.0,Bomb Tower,12.0,Earthquake,20.0,,,,7,False,False,,,
01350,Monk,70.0,Skeletons,94.0,Bomb Tower,12.0,Earthquake,20.0,,,,7,False,False,,,
01365,Monk,70.0,Skeletons,94.0,Bomb Tower,12.0,Earthquake,20.0,,,,8,False,False,,,
01380,Monk,70.0,Skeletons,94.0,Bomb Tower,12.0,Earthquake,20.0,,,,8,False,False,,,
01395,Monk,70.0,Skeletons,94.0,Bomb Tower,12.0,Earthquake,20.0,,,,8,False,False,,,
01410,Monk,70.0,Skeletons,94.0,Bomb Tower,12.0,Earthquake,20.0,,,,8,False,False,,,
01425,Monk,70.0,Skeletons,94.0,Bomb Tower,12.0,Earthquake,20.0,,,,8,False,False,,,
01440,Monk,70.0,Skeletons,94.0,Bomb Tower,12.0,Earthquake,20.0,,,,9,False,False,,,
01455,Monk,70.0,Skeletons,94.0,Bomb Tower,12.0,Earthquake,20.0,,,,9,False,False,,,
01470,Monk,70.0,Skeletons,94.0,Bomb Tower,12.0,Earthquake,20.0,,,,9,False,False,,,
01485,Monk,70.0,Skeletons,94.0,Bomb Tower,12.0,Earthquake,20.0,,,,9,False,False,,,
01500,Monk,70.0,Skeletons,94.0,Bomb Tower,12.0,Earthquake,20.0,,,,9,False,False,,,
01515,Monk,70.0,Skeletons,94.0,Bomb Tower,12.0,Earthquake,20.0,,,,9,False,False,,,
01530,Monk,70.0,The Log,98.0,Bomb Tower,12.0,Earthquake,20.0,Skeletons,94.0,2.0,9,True,False,,Skeletons,1.0
01545,Monk,70.0,The Log,98.0,Bomb Tower,12.0,Earthquake,20.0,,,,9,False,False,,,
01560,Monk,70.0,The Log,98.0,Bomb Tower,12.0,Earthquake,20.0,,,,9,False,False,,,
01575,Monk,70.0,The Log,98.0,Bomb Tower,12.0,Earthquake,20.0,,,,9,False,False,,,
01590,Monk,70.0,The Log,98.0,Bomb Tower,12.0,Earthquake,20.0,,,,9,False,False,,,
01605,Monk,70.0,The Log,98.0,Bomb Tower,12.0,Earthquake,20.0,,,,9,False,False,,,
01620,Monk,70.0,The Log,98.0,Bomb Tower,12.0,Earthquake,20.0,,,,10,False,False,,,
01635,Monk,70.0,The Log,98.0,Bomb Tower,12.0,Earthquake,20.0,,,,10,False,False,,,
01650,Monk,70.0,The Log,98.0,Bomb Tower,12.0,Earthquake,20.0,,,,10,False,False,,,
01665,Monk,70.0,Musketeer,73.0,Bomb Tower,12.0,Earthquake,20.0,The Log,98.0,2.0,8,True,True,,The Log,2.0
01680,Monk,70.0,Musketeer,73.0,Bomb Tower,12.0,Earthquake,20.0,,,,8,False,False,,,
01695,Monk,70.0,Musketeer,73.0,Bomb Tower,12.0,Earthquake,20.0,,,,8,False,False,,,
01710,Monk,70.0,Musketeer,73.0,Bomb Tower,12.0,Earthquake,20.0,,,,8,False,False,,,
01725,Monk,70.0,Musketeer,73.0,Bomb Tower,12.0,Earthquake,20.0,,,,8,False,False,,,
01740,Monk,70.0,Musketeer,73.0,Bomb Tower,12.0,Earthquake,20.0,,,,8,False,False,,,
01755,Monk,70.0,Musketeer,73.0,Bomb Tower,12.0,Earthquake,20.0,,,,9,False,False,,,
01770,Monk,70.0,Musketeer,73.0,Bomb Tower,12.0,Earthquake,20.0,,,,9,False,False,,,
01785,Monk,70.0,Musketeer,73.0,Bomb Tower,12.0,Earthquake,20.0,,,,9,False,False,,,
01800,Monk,70.0,Musketeer,73.0,Bomb Tower,12.0,Earthquake,20.0,,,,9,False,False,,,
01815,Monk,70.0,Musketeer,73.0,Bomb Tower,12.0,Earthquake,20.0,,,,9,False,False,,,
01830,Monk,70.0,Musketeer,73.0,Bomb Tower,12.0,Earthquake,20.0,,,,10,False,False,,,
01845,Monk,70.0,Musketeer,73.0,Bomb Tower,12.0,Earthquake,20.0,,,,10,False,False,,,
