frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed
00885,Lightning,60.0,Phoenix,77.0,Baby Dragon,3.0,Barbarian Barrel,6.0,,,,8,,,
00900,Lightning,60.0,Phoenix,77.0,Baby Dragon,3.0,Barbarian Barrel,6.0,,,,8,,,
00915,Lightning,60.0,Phoenix,77.0,Baby Dragon,3.0,Barbarian Barrel,6.0,,,,8,,,
00930,Lightning,60.0,Phoenix,77.0,Baby Dragon,3.0,Barbarian Barrel,6.0,,,,8,,,
00945,Lightning,60.0,Phoenix,77.0,Baby Dragon,3.0,Barbarian Barrel,6.0,,,,9,,,
00960,Lightning,60.0,Phoenix,77.0,Baby Dragon,3.0,Barbarian Barrel,6.0,,,,9,,,
00975,Lightning,60.0,Phoenix,77.0,Baby Dragon,3.0,Barbarian Barrel,6.0,,,,9,,,
00990,Lightning,60.0,Phoenix,77.0,Baby Dragon,3.0,Barbarian Barrel,6.0,,,,9,,,
01005,Lightning,60.0,Phoenix,77.0,Baby Dragon,3.0,Barbarian Barrel,6.0,,,,9,,,
01020,Lightning,60.0,Phoenix,77.0,Baby Dragon,3.0,Barbarian Barrel,6.0,,,,9,,,
01035,Lightning,60.0,Phoenix,77.0,Baby Dragon,3.0,Barbarian Barrel,6.0,,,,10,,,
01050,Lightning,60.0,Phoenix,77.0,Baby Dragon,3.0,Barbarian Barrel,6.0,,,,10,,,
01065,Lightning,60.0,Phoenix,77.0,Baby Dragon,3.0,Barbarian Barrel,6.0,,,,10,,,
01080,Lightning,60.0,Phoenix,77.0,Baby Dragon,3.0,Barbarian Barrel,6.0,,,,10,,,
01095,Lightning,60.0,Phoenix,77.0,Baby Dragon,3.0,Barbarian Barrel,6.0,,,,10,,,
01110,Lightning,60.0,Phoenix,77.0,Baby Dragon,3.0,Barbarian Barrel,6.0,,,,10,,,
01125,Lightning,60.0,Phoenix,77.0,Baby Dragon,3.0,Barbarian Barrel,6.0,,,,10,,,
01140,Lightning,60.0,Phoenix,77.0,Baby Dragon,3.0,Barbarian Barrel,6.0,,,,10,,,
01155,Lightning,60.0,Phoenix,77.0,Baby Dragon,3.0,Barbarian Barrel,6.0,,,,10,,,
01170,Lightning,60.0,Phoenix,77.0,Baby Dragon,3.0,Golden Knight,46.0,,,,8,,,
01185,Lightning,60.0,Phoenix,77.0,Baby Dragon,3.0,Golden Knight,46.0,,,,8,,,
01200,Lightning,60.0,Phoenix,77.0,Baby Dragon,3.0,Golden Knight,46.0,,,,8,,,
01215,Lightning,60.0,Phoenix,77.0,Baby Dragon,3.0,Golden Knight,46.0,,,,8,,,
01230,Lightning,60.0,Phoenix,77.0,Baby Dragon,3.0,Golden Knight,46.0,,,,8,,,
01245,Lightning,60.0,Phoenix,77.0,Baby Dragon,3.0,Golden Knight,46.0,,,,8,,,
01260,Lightning,60.0,Phoenix,77.0,Baby Dragon,3.0,Golden Knight,46.0,,,,9,,,
01275,Lightning,60.0,Phoenix,77.0,Baby Dragon,3.0,Golden Knight,46.0,,,,9,,,
01290,Lightning,60.0,Phoenix,77.0,Baby Dragon,3.0,Golden Knight,46.0,,,,9,,,
01305,Lightning,60.0,Phoenix,77.0,Baby Dragon,3.0,Golden Knight,46.0,,,,9,,,
01320,Lightning,60.0,Phoenix,77.0,Baby Dragon,3.0,Golden Knight,46.0,,,,9,,,
01335,Lightning,60.0,Phoenix,77.0,Baby Dragon,3.0,Golden Knight,46.0,,,,10,,,
01350,Lightning,60.0,Phoenix,77.0,Baby Dragon,3.0,Golden Knight,46.0,,,,10,,,
01365,Lightning,60.0,Phoenix,77.0,Baby Dragon,3.0,Golden Knight,46.0,,,,10,,,
01380,Lightning,60.0,Phoenix,77.0,Baby Dragon,3.0,Golem,47.0,,,,6,,,
01395,Lightning,60.0,Phoenix,77.0,Baby Dragon,3.0,Golem,47.0,,,,6,,,
01410,Lightning,60.0,Phoenix,77.0,Baby Dragon,3.0,Golem,47.0,,,,6,,,
01425,Lightning,60.0,Phoenix,77.0,Baby Dragon,3.0,Golem,47.0,,,,6,,,
01440,Lightning,60.0,Phoenix,77.0,Baby Dragon,3.0,Golem,47.0,,,,6,,,
01455,Lightning,60.0,Phoenix,77.0,Baby Dragon,3.0,Golem,47.0,,,,7,,,
01470,Lightning,60.0,Phoenix,77.0,Baby Dragon,3.0,Golem,47.0,,,,7,,,
01485,Lightning,60.0,Phoenix,77.0,Baby Dragon,3.0,Golem,47.0,,,,8,,,
01500,Lightning,60.0,Phoenix,77.0,Baby Dragon,3.0,Golem,47.0,,,,8,,,
01515,Lightning,60.0,Phoenix,77.0,Baby Dragon,3.0,Golem,47.0,,,,8,,,
01530,Lightning,60.0,Phoenix,77.0,Baby Dragon,3.0,Golem,47.0,,,,8,,,
01545,Lightning,60.0,Phoenix,77.0,Baby Dragon,3.0,Golem,47.0,,,,8,,,
01560,Lightning,60.0,Phoenix,77.0,Baby Dragon,3.0,Golem,47.0,,,,7,,,
01575,Lightning,60.0,Phoenix,77.0,Baby Dragon,3.0,Golem,47.0,,,,7,,,
01590,Lightning,60.0,Phoenix,77.0,Baby Dragon,3.0,Golem,47.0,,,,7,,,
01605,Lightning,60.0,Phoenix,77.0,Baby Dragon,3.0,Golem,47.0,,,,7,,,
01620,Lightning,60.0,Phoenix,77.0,Baby Dragon,3.0,Golem,47.0,,,,8,,,
01635,Lightning,60.0,Phoenix,77.0,Baby Dragon,3.0,Golem,47.0,,,,8,,,
01650,Lightning,60.0,Phoenix,77.0,Baby Dragon,3.0,Golem,47.0,,,,8,,,
01665,Lightning,60.0,Phoenix,77.0,Baby Dragon,3.0,Golem,47.0,,,,8,,,
01680,Lightning,60.0,Phoenix,77.0,Baby Dragon,3.0,Golem,47.0,,,,8,,,
01695,Lightning,60.0,Phoenix,77.0,Baby Dragon,3.0,Golem,47.0,,,,8,,,
01710,Lightning,60.0,Phoenix,77.0,Baby Dragon,3.0,Golem,47.0,,,,9,,,
01725,Lightning,60.0,Phoenix,77.0,Baby Dragon,3.0,Golem,47.0,,,,9,,,
01740,Lightning,60.0,Phoenix,77.0,Baby Dragon,3.0,Golem,47.0,,,,9,,,
01755,Lightning,60.0,Phoenix,77.0,Baby Dragon,3.0,Golem,47.0,,,,9,,,
01770,Lightning,60.0,Phoenix,77.0,Baby Dragon,3.0,Golem,47.0,,,,9,,,
01785,Lightning,60.0,Phoenix,77.0,Baby Dragon,3.0,Golem,47.0,,,,9,,,
01800,Lightning,60.0,Phoenix,77.0,Tombstone,100.0,Golem,47.0,,,,6,,,
01815,Lightning,60.0,Phoenix,77.0,Tombstone,100.0,Golem,47.0,,,,6,,,
01830,Lightning,60.0,Phoenix,77.0,Tombstone,100.0,Golem,47.0,,,,6,,,
01845,Lightning,60.0,Phoenix,77.0,Tombstone,100.0,Golem,47.0,,,,6,,,
01860,Lightning,60.0,Phoenix,77.0,Tombstone,100.0,Golem,47.0,,,,6,,,
01875,Lightning,60.0,Phoenix,77.0,Tombstone,100.0,Golem,47.0,,,,6,,,
01890,Lightning,60.0,Phoenix,77.0,Tombstone,100.0,Golem,47.0,,,,7,,,
01905,Lightning,60.0,Phoenix,77.0,Tombstone,100.0,Golem,47.0,,,,7,,,
01920,Lightning,60.0,Phoenix,77.0,Tombstone,100.0,Golem,47.0,,,,7,,,
01935,Tornado,101.0,Phoenix,77.0,Tombstone,100.0,Golem,47.0,,,,8,,,
01950,Tornado,101.0,Phoenix,77.0,Tombstone,100.0,Golem,47.0,,,,8,,,
01965,Tornado,101.0,Phoenix,77.0,Tombstone,100.0,Golem,47.0,,,,7,,,
01980,Tornado,101.0,Phoenix,77.0,Tombstone,100.0,Golem,47.0,,,,2,,,
01995,Tornado,101.0,Phoenix,77.0,Tombstone,100.0,Golem,47.0,,,,2,,,
02010,Tornado,101.0,Phoenix,77.0,Tombstone,100.0,Golem,47.0,,,,2,,,
02025,Tornado,101.0,Phoenix,77.0,Tombstone,100.0,Golem,47.0,,,,2,,,
02040,Tornado,101.0,Phoenix,77.0,Tombstone,100.0,Golem,47.0,,,,2,,,
02055,Tornado,101.0,Phoenix,77.0,Tombstone,100.0,Golem,47.0,,,,3,,,
02070,Tornado,101.0,Phoenix,77.0,Tombstone,100.0,Golem,47.0,,,,3,,,
02085,Tornado,101.0,Phoenix,77.0,Tombstone,100.0,Golem,47.0,,,,3,,,
02100,Tornado,101.0,Phoenix,77.0,Tombstone,100.0,Golem,47.0,,,,3,,,
02115,Tornado,101.0,Phoenix,77.0,Golden Knight,46.0,Golem,47.0,,,,4,,,
02130,Tornado,101.0,Phoenix,77.0,Golden Knight,46.0,Golem,47.0,,,,4,,,
02145,Tornado,101.0,Phoenix,77.0,Golden Knight,46.0,Golem,47.0,,,,4,,,
02160,Tornado,101.0,Phoenix,77.0,Golden Knight,46.0,Golem,47.0,,,,4,,,
02175,Tornado,101.0,Phoenix,77.0,Golden Knight,46.0,Golem,47.0,,,,4,,,
02190,Tornado,101.0,Phoenix,77.0,Golden Knight,46.0,Golem,47.0,,,,4,,,
02205,Tornado,101.0,Phoenix,77.0,Golden Knight,46.0,Golem,47.0,,,,4,,,
02220,Tornado,101.0,Phoenix,77.0,Golden Knight,46.0,Golem,47.0,,,,2,,,
02235,Tornado,101.0,Phoenix,77.0,Golden Knight,46.0,Golem,47.0,,,,2,,,
02250,Tornado,101.0,Phoenix,77.0,Golden Knight,46.0,Golem,47.0,,,,2,,,
02265,Tornado,101.0,Phoenix,77.0,Golden Knight,46.0,Golem,47.0,,,,2,,,
02280,Tornado,101.0,Phoenix,77.0,Golden Knight,46.0,Golem,47.0,,,,2,,,
02295,Tornado,101.0,Phoenix,77.0,Golden Knight,46.0,Golem,47.0,,,,2,,,
02310,Tornado,101.0,Phoenix,77.0,Golden Knight,46.0,Golem,47.0,,,,3,,,
02325,Tornado,101.0,Phoenix,77.0,Golden Knight,46.0,Golem,47.0,,,,3,,,
02340,Tornado,101.0,Phoenix,77.0,Golden Knight,46.0,Golem,47.0,,,,3,,,
02355,Tornado,101.0,Phoenix,77.0,Golden Knight,46.0,Golem,47.0,,,,3,,,
02370,Tornado,101.0,Phoenix,77.0,Golden Knight,46.0,Golem,47.0,,,,3,,,
02385,Tornado,101.0,Phoenix,77.0,Golden Knight,46.0,Golem,47.0,,,,3,,,
02400,Tornado,101.0,Phoenix,77.0,Golden Knight,46.0,Golem,47.0,,,,4,,,
02415,Tornado,101.0,Phoenix,77.0,Golden Knight,46.0,Golem,47.0,,,,4,,,
02430,Tornado,101.0,Phoenix,77.0,Golden Knight,46.0,Golem,47.0,,,,4,,,
