frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed
00870,Royal Delivery,85.0,Phoenix,77.0,Electro Giant,22.0,Earthquake,20.0,,,,8.0,,,
00885,Royal Delivery,85.0,Phoenix,77.0,Electro Giant,22.0,Earthquake,20.0,,,,8.0,,,
00900,Royal Delivery,85.0,Phoenix,77.0,Electro Giant,22.0,Earthquake,20.0,,,,8.0,,,
00915,Royal Delivery,85.0,Phoenix,77.0,Electro Giant,22.0,Earthquake,20.0,,,,8.0,,,
00930,Royal Delivery,85.0,Phoenix,77.0,Electro Giant,22.0,Earthquake,20.0,,,,9.0,,,
00945,Royal Delivery,85.0,Phoenix,77.0,Electro Giant,22.0,Earthquake,20.0,,,,9.0,,,
00960,Royal Delivery,85.0,Phoenix,77.0,Electro Giant,22.0,Earthquake,20.0,,,,9.0,,,
00975,Royal Delivery,85.0,Phoenix,77.0,Electro Giant,22.0,Earthquake,20.0,,,,9.0,,,
00990,Royal Delivery,85.0,Phoenix,77.0,Electro Giant,22.0,Earthquake,20.0,,,,9.0,,,
01005,Royal Delivery,85.0,Phoenix,77.0,Electro Giant,22.0,Earthquake,20.0,,,,9.0,,,
01020,Royal Delivery,85.0,Phoenix,77.0,Electro Giant,22.0,Earthquake,20.0,,,,10.0,,,
01035,Royal Delivery,85.0,Phoenix,77.0,Electro Giant,22.0,Earthquake,20.0,,,,10.0,,,
01050,Royal Delivery,85.0,Phoenix,77.0,Electro Giant,22.0,Earthquake,20.0,,,,10.0,,,
01065,Royal Delivery,85.0,Phoenix,77.0,Electro Giant,22.0,Earthquake,20.0,,,,10.0,,,
01080,Royal Delivery,85.0,Phoenix,77.0,Electro Giant,22.0,Earthquake,20.0,,,,10.0,,,
01095,Royal Delivery,85.0,Phoenix,77.0,Electro Giant,22.0,Earthquake,20.0,,,,10.0,,,
01110,Royal Delivery,85.0,Phoenix,77.0,Electro Giant,22.0,Earthquake,20.0,,,,10.0,,,
01125,Royal Delivery,85.0,Phoenix,77.0,Electro Giant,22.0,Earthquake,20.0,,,,10.0,,,
01140,Royal Delivery,85.0,Phoenix,77.0,Electro Giant,22.0,Earthquake,20.0,,,,10.0,,,
01155,Royal Delivery,85.0,Phoenix,77.0,Electro Giant,22.0,Earthquake,20.0,,,,10.0,,,
01170,Royal Delivery,85.0,Phoenix,77.0,Electro Giant,22.0,Earthquake,20.0,,,,10.0,,,
01185,Royal Delivery,85.0,Phoenix,77.0,Electro Giant,22.0,Earthquake,20.0,,,,10.0,,,
01200,Royal Delivery,85.0,Phoenix,77.0,Electro Giant,22.0,Earthquake,20.0,,,,10.0,,,
01215,Royal Delivery,85.0,Phoenix,77.0,Electro Giant,22.0,Earthquake,20.0,,,,10.0,,,
01230,Royal Delivery,85.0,Phoenix,77.0,Electro Giant,22.0,Earthquake,20.0,,,,10.0,,,
01245,Royal Delivery,85.0,Phoenix,77.0,Electro Giant,22.0,Earthquake,20.0,,,,10.0,,,
01260,Royal Delivery,85.0,Phoenix,77.0,Electro Giant,22.0,Earthquake,20.0,,,,10.0,,,
01275,Royal Delivery,85.0,Phoenix,77.0,Electro Giant,22.0,Earthquake,20.0,,,,10.0,,,
01290,Royal Delivery,85.0,Hunter,52.0,,,Earthquake,20.0,,,,6.0,,,
01305,Royal Delivery,85.0,Hunter,52.0,,,Earthquake,20.0,,,,6.0,,,
01320,Royal Delivery,85.0,Hunter,52.0,,,Earthquake,20.0,,,,6.0,,,
01335,Royal Delivery,85.0,Hunter,52.0,,,Earthquake,20.0,,,,6.0,,,
01350,Royal Delivery,85.0,Hunter,52.0,,,Earthquake,20.0,,,,6.0,,,
01365,Royal Delivery,85.0,Hunter,52.0,Electro Giant,22.0,Earthquake,20.0,,,,3.0,,,
01380,Royal Delivery,85.0,Hunter,52.0,Electro Giant,22.0,Earthquake,20.0,,,,2.0,,,
01395,Royal Delivery,85.0,Hunter,52.0,Electro Giant,22.0,Earthquake,20.0,,,,7.0,,,
01410,Royal Delivery,85.0,Hunter,52.0,Electro Giant,22.0,Earthquake,20.0,,,,7.0,,,
01425,Royal Delivery,85.0,Hunter,52.0,Electro Giant,22.0,Earthquake,20.0,,,,7.0,,,
01440,Royal Delivery,85.0,Hunter,52.0,Electro Giant,22.0,Earthquake,20.0,,,,7.0,,,
01455,Royal Delivery,85.0,Hunter,52.0,Electro Giant,22.0,Earthquake,20.0,,,,8.0,,,
01470,Royal Delivery,85.0,Hunter,52.0,Electro Giant,22.0,Earthquake,20.0,,,,8.0,,,
01485,Royal Delivery,85.0,Hunter,52.0,Electro Giant,22.0,Earthquake,20.0,,,,8.0,,,
01500,Royal Delivery,85.0,Hunter,52.0,Electro Giant,22.0,Earthquake,20.0,,,,8.0,,,
01515,Royal Delivery,85.0,Hunter,52.0,Electro Giant,22.0,Earthquake,20.0,,,,8.0,,,
01530,Royal Delivery,85.0,Hunter,52.0,Electro Giant,22.0,Earthquake,20.0,,,,9.0,,,
01545,Royal Delivery,85.0,Hunter,52.0,Electro Giant,22.0,Earthquake,20.0,,,,9.0,,,
01560,Royal Delivery,85.0,Hunter,52.0,Electro Giant,22.0,Earthquake,20.0,,,,9.0,,,
01575,Royal Delivery,85.0,Hunter,52.0,Electro Giant,22.0,Earthquake,20.0,,,,9.0,,,
01590,Royal Delivery,85.0,Hunter,52.0,Electro Giant,22.0,Earthquake,20.0,,,,9.0,,,
01605,Royal Delivery,85.0,Hunter,52.0,Electro Giant,22.0,Earthquake,20.0,,,,9.0,,,
