frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed
01020,Bandit,5.0,Skeleton Barrel,91.0,Zap,107.0,Goblin Gang,42.0,,,,8,,,
01035,Bandit,5.0,Skeleton Barrel,91.0,Zap,107.0,Goblin Gang,42.0,,,,8,,,
01050,Bandit,5.0,Skeleton Barrel,91.0,Zap,107.0,Goblin Gang,42.0,,,,8,,,
01065,Bandit,5.0,Skeleton Barrel,91.0,Zap,107.0,Goblin Gang,42.0,,,,8,,,
01080,Bandit,5.0,Skeleton Barrel,91.0,Zap,107.0,Goblin Gang,42.0,,,,8,,,
01095,Bandit,5.0,Skeleton Barrel,91.0,Zap,107.0,Goblin Gang,42.0,,,,9,,,
01110,Bandit,5.0,Skeleton Barrel,91.0,Zap,107.0,Goblin Gang,42.0,,,,9,,,
01125,Bandit,5.0,Skeleton Barrel,91.0,Zap,107.0,Goblin Gang,42.0,,,,9,,,
01140,Bandit,5.0,Null,75.0,Zap,107.0,Goblin Gang,42.0,,,,6,,,
01155,Bandit,5.0,Bats,9.0,Zap,107.0,Goblin Gang,42.0,,,,6,,,
01170,Bandit,5.0,Bats,9.0,Zap,107.0,Goblin Gang,42.0,,,,6,,,
01185,Bandit,5.0,Bats,9.0,Zap,107.0,Goblin Gang,42.0,,,,7,,,
01200,Bandit,5.0,Bats,9.0,Zap,107.0,Goblin Gang,42.0,,,,7,,,
01215,Bandit,5.0,Bats,9.0,Zap,107.0,Goblin Gang,42.0,,,,7,,,
01230,Bandit,5.0,Bats,9.0,Zap,107.0,Goblin Gang,42.0,,,,7,,,
01245,Bandit,5.0,Bats,9.0,Zap,107.0,Goblin Gang,42.0,,,,7,,,
01260,Bandit,5.0,Bats,9.0,Zap,107.0,Goblin Gang,42.0,,,,8,,,
01275,Bandit,5.0,Bats,9.0,Zap,107.0,Goblin Gang,42.0,,,,8,,,
01290,Bandit,5.0,Bats,9.0,Zap,107.0,Goblin Gang,42.0,,,,8,,,
01305,Bandit,5.0,Bats,9.0,Zap,107.0,Goblin Gang,42.0,,,,8,,,
01320,Bandit,5.0,Bats,9.0,Miner,66.0,Goblin Gang,42.0,,,,6,,,
01335,Bandit,5.0,Bats,9.0,Miner,66.0,Goblin Gang,42.0,,,,6,,,
01350,Bandit,5.0,Bats,9.0,Miner,66.0,Goblin Gang,42.0,,,,7,,,
01365,Bandit,5.0,Bats,9.0,Miner,66.0,Goblin Gang,42.0,,,,7,,,
01380,Bandit,5.0,Bats,9.0,Miner,66.0,Goblin Gang,42.0,,,,7,,,
01395,Bandit,5.0,Bats,9.0,Miner,66.0,Goblin Gang,42.0,,,,7,,,
01410,Bandit,5.0,Bats,9.0,Miner,66.0,Goblin Gang,42.0,,,,8,,,
01425,Bandit,5.0,Bats,9.0,Miner,66.0,Goblin Gang,42.0,,,,8,,,
01440,Bandit,5.0,Bats,9.0,Miner,66.0,Goblin Gang,42.0,,,,8,,,
01455,Bandit,5.0,Bats,9.0,Miner,66.0,Goblin Gang,42.0,,,,8,,,
01470,Bandit,5.0,Bats,9.0,Miner,66.0,Goblin Gang,42.0,,,,8,,,
01485,Bandit,5.0,Bats,9.0,Miner,66.0,Goblin Gang,42.0,,,,8,,,
01500,Bandit,5.0,Bats,9.0,Miner,66.0,Goblin Gang,42.0,,,,8,,,
01515,Bandit,5.0,Bats,9.0,Miner,66.0,Goblin Gang,42.0,,,,9,,,
01530,Bandit,5.0,Bats,9.0,Miner,66.0,Goblin Gang,42.0,,,,9,,,
01545,Bandit,5.0,Bats,9.0,Miner,66.0,Goblin Gang,42.0,,,,9,,,
01560,Bandit,5.0,Bats,9.0,Miner,66.0,Goblin Gang,42.0,,,,9,,,
01575,Bandit,5.0,Bats,9.0,Miner,66.0,Goblin Gang,42.0,,,,9,,,
01590,Bandit,5.0,Bats,9.0,Miner,66.0,Goblin Gang,42.0,,,,9,,,
01605,Bandit,5.0,Bats,9.0,Miner,66.0,Goblin Gang,42.0,,,,10,,,
01620,Bandit,5.0,Bats,9.0,Miner,66.0,Goblin Gang,42.0,,,,10,,,
01635,Bandit,5.0,Bats,9.0,Miner,66.0,Goblin Gang,42.0,,,,10,,,
01650,Bandit,5.0,Bats,9.0,Miner,66.0,Goblin Gang,42.0,,,,10,,,
01665,Inferno Dragon,56.0,Bats,9.0,Miner,66.0,Goblin Gang,42.0,,,,10,,,
01680,Inferno Dragon,56.0,Bats,9.0,Miner,66.0,Goblin Gang,42.0,,,,10,,,
