Arrows,854
Tesla,431
Fireball,428
X,372
Mega Knight,343
Inferno Dragon,322
Skeletons,316
Bomber,315
Zap,282
Knight,240
The Log,219
Ice Spirit,214
Witch,209
Lightning,208
Hog Rider,200
Mega Minion,199
Bats,184
Baby Dragon,177
Mini P.E.K.K.A,149
P.E.K.K.A,147
Golem,91
Tornado,72
Rascals,71
Goblin Drill,53
Executioner,26
Wall Breakers,22
Elixir Collector,21
Balloon,15
Night Witch,15
Royal Delivery,14
Goblins,13
Mortar,12
Furnace,12
Elite Barbarians,11
Mighty Miner,9
Cannon,6
Guards,4
Earthquake,4
Princess,4
Barbarians,3
Hunter,3
Electro Giant,3
Lava Hound,3
Bandit,2
Wizard,2
Electro Dragon,1
Electro Wizard,1
Goblin Giant,1
Bomb Tower,1
Golden Knight,1
Sparky,1
Three Musketeers,1
Archer Queen,1
