frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed,0,predicted_elixirConsumed
00240,Bomb Tower,12.0,Miner,66.0,Knight,58.0,Spear Goblins,96.0,,,,6,False,False,,,
00255,Bomb Tower,12.0,Miner,66.0,Knight,58.0,Spear Goblins,96.0,,,,6,False,False,,,
00270,Bomb Tower,12.0,Miner,66.0,Knight,58.0,Spear Goblins,96.0,,,,6,False,False,,,
00285,Bomb Tower,12.0,Miner,66.0,Knight,58.0,Spear Goblins,96.0,,,,7,False,False,,,
00300,Bomb Tower,12.0,Miner,66.0,Knight,58.0,Spear Goblins,96.0,,,,7,False,False,,,
00315,Bomb Tower,12.0,Miner,66.0,Knight,58.0,Spear Goblins,96.0,,,,7,False,False,,,
00330,Bomb Tower,12.0,Miner,66.0,Knight,58.0,Spear Goblins,96.0,,,,7,False,False,,,
00345,Bomb Tower,12.0,Miner,66.0,Knight,58.0,Spear Goblins,96.0,,,,7,False,False,,,
00360,Bomb Tower,12.0,Miner,66.0,Knight,58.0,Spear Goblins,96.0,,,,8,False,False,,,
00375,Bomb Tower,12.0,Miner,66.0,Knight,58.0,Spear Goblins,96.0,,,,8,False,False,,,
00390,Bomb Tower,12.0,Miner,66.0,Knight,58.0,Spear Goblins,96.0,,,,8,False,False,,,
00405,Bomb Tower,12.0,Miner,66.0,Knight,58.0,Spear Goblins,96.0,,,,8,False,False,,,
00420,Bomb Tower,12.0,Miner,66.0,Knight,58.0,Spear Goblins,96.0,,,,8,False,False,,,
00435,Bomb Tower,12.0,Miner,66.0,Knight,58.0,Spear Goblins,96.0,,,,8,False,False,,,
00450,Bomb Tower,12.0,Miner,66.0,Knight,58.0,Spear Goblins,96.0,,,,9,False,False,,,
00465,Bomb Tower,12.0,Miner,66.0,Knight,58.0,Spear Goblins,96.0,,,,9,False,False,,,
00480,Bomb Tower,12.0,Miner,66.0,Knight,58.0,Spear Goblins,96.0,,,,9,False,False,,,
00495,Bomb Tower,12.0,Miner,66.0,Knight,58.0,Spear Goblins,96.0,,,,9,False,False,,,
00510,Bomb Tower,12.0,Miner,66.0,Knight,58.0,Spear Goblins,96.0,,,,9,False,False,,,
00525,Bomb Tower,12.0,Miner,66.0,Knight,58.0,Wall Breakers,103.0,Spear Goblins,96.0,4.0,8,True,True,,Spear Goblins,2.0
00540,Bomb Tower,12.0,Miner,66.0,Knight,58.0,Wall Breakers,103.0,,,,8,False,False,,,
00555,Bomb Tower,12.0,Miner,66.0,Knight,58.0,Wall Breakers,103.0,,,,8,False,False,,,
00570,Bomb Tower,12.0,Miner,66.0,Knight,58.0,Wall Breakers,103.0,,,,8,False,False,,,
00585,Bomb Tower,12.0,Miner,66.0,Knight,58.0,Wall Breakers,103.0,,,,8,False,False,,,
00600,Bomb Tower,12.0,Miner,66.0,Knight,58.0,Wall Breakers,103.0,,,,8,False,False,,,
00615,Bomb Tower,12.0,Miner,66.0,Knight,58.0,Wall Breakers,103.0,,,,9,False,False,,,
00630,Bomb Tower,12.0,Miner,66.0,Knight,58.0,Wall Breakers,103.0,,,,9,False,False,,,
