frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed
00255,Electro Spirit,23.0,Fireball,30.0,Skeletons,94.0,The Log,98.0,,,,6,,,
00270,Electro Spirit,23.0,Fireball,30.0,Skeletons,94.0,The Log,98.0,,,,6,,,
00285,Electro Spirit,23.0,Fireball,30.0,Skeletons,94.0,The Log,98.0,,,,7,,,
00300,Electro Spirit,23.0,Fireball,30.0,Skeletons,94.0,The Log,98.0,,,,7,,,
00315,Electro Spirit,23.0,Fireball,30.0,Skeletons,94.0,The Log,98.0,,,,7,,,
00330,Electro Spirit,23.0,Fireball,30.0,Skeletons,94.0,The Log,98.0,,,,7,,,
00345,Electro Spirit,23.0,Fireball,30.0,Skeletons,94.0,The Log,98.0,,,,7,,,
00360,Electro Spirit,23.0,Fireball,30.0,Skeletons,94.0,The Log,98.0,,,,7,,,
00375,Electro Spirit,23.0,Fireball,30.0,Skeletons,94.0,The Log,98.0,,,,8,,,
00390,Electro Spirit,23.0,Fireball,30.0,Skeletons,94.0,The Log,98.0,,,,8,,,
00405,Electro Spirit,23.0,Fireball,30.0,Skeletons,94.0,The Log,98.0,,,,8,,,
00420,Electro Spirit,23.0,Fireball,30.0,Skeletons,94.0,The Log,98.0,,,,8,,,
00435,Electro Spirit,23.0,Fireball,30.0,Skeletons,94.0,The Log,98.0,,,,8,,,
00450,Electro Spirit,23.0,Fireball,30.0,Skeletons,94.0,The Log,98.0,,,,9,,,
00465,Electro Spirit,23.0,Fireball,30.0,Skeletons,94.0,The Log,98.0,,,,9,,,
00480,Electro Spirit,23.0,Fireball,30.0,Skeletons,94.0,The Log,98.0,,,,9,,,
00495,Electro Spirit,23.0,Fireball,30.0,Skeletons,94.0,The Log,98.0,,,,9,,,
00510,Electro Spirit,23.0,Fireball,30.0,Skeletons,94.0,The Log,98.0,,,,9,,,
00525,Electro Spirit,23.0,Fireball,30.0,Skeletons,94.0,The Log,98.0,,,,9,,,
00540,Electro Spirit,23.0,Fireball,30.0,Skeletons,94.0,The Log,98.0,,,,10,,,
00555,Electro Spirit,23.0,Fireball,30.0,Skeletons,94.0,The Log,98.0,,,,10,,,
00570,Electro Spirit,23.0,Fireball,30.0,Skeletons,94.0,The Log,98.0,,,,10,,,
00585,Null,75.0,Fireball,30.0,Skeletons,94.0,The Log,98.0,,,,9,,,
00600,Firecracker,31.0,Fireball,30.0,Skeletons,94.0,The Log,98.0,,,,9,,,
00615,Firecracker,31.0,Fireball,30.0,Skeletons,94.0,The Log,98.0,,,,9,,,
00630,Firecracker,31.0,Fireball,30.0,Skeletons,94.0,The Log,98.0,,,,9,,,
00645,Firecracker,31.0,Fireball,30.0,Skeletons,94.0,The Log,98.0,,,,9,,,
00660,Firecracker,31.0,Fireball,30.0,Skeletons,94.0,The Log,98.0,,,,9,,,
00675,Firecracker,31.0,Fireball,30.0,Skeletons,94.0,The Log,98.0,,,,10,,,
00690,Firecracker,31.0,Fireball,30.0,Skeletons,94.0,The Log,98.0,,,,10,,,
00705,Firecracker,31.0,Fireball,30.0,Skeletons,94.0,The Log,98.0,,,,10,,,
00720,Firecracker,31.0,Fireball,30.0,Skeletons,94.0,The Log,98.0,,,,10,,,
00735,Furnace,35.0,Fireball,30.0,Skeletons,94.0,The Log,98.0,,,,10,,,
