frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed,0,predicted_elixirConsumed
00255,Royal Hogs,88.0,Bats,9.0,Electro Spirit,23.0,Flying Machine,33.0,,,,6,False,False,,,
00270,Royal Hogs,88.0,Bats,9.0,Electro Spirit,23.0,Flying Machine,33.0,,,,6,False,False,,,
00285,Royal Hogs,88.0,Bats,9.0,Electro Spirit,23.0,Flying Machine,33.0,,,,7,False,False,,,
00300,Royal Hogs,88.0,Bats,9.0,Electro Spirit,23.0,Flying Machine,33.0,,,,7,False,False,,,
00315,Royal Hogs,88.0,Bats,9.0,Electro Spirit,23.0,Flying Machine,33.0,,,,7,False,False,,,
00330,Royal Hogs,88.0,Bats,9.0,Electro Spirit,23.0,Flying Machine,33.0,,,,7,False,False,,,
00345,Royal Hogs,88.0,Bats,9.0,Electro Spirit,23.0,Flying Machine,33.0,,,,7,False,False,,,
00360,Royal Hogs,88.0,Bats,9.0,Electro Spirit,23.0,Flying Machine,33.0,,,,7,False,False,,,
00375,Royal Hogs,88.0,Bats,9.0,Electro Spirit,23.0,Flying Machine,33.0,,,,8,False,False,,,
00390,Royal Hogs,88.0,Bats,9.0,Goblin Cage,40.0,Flying Machine,33.0,Electro Spirit,23.0,3.0,7,True,True,,Electro Spirit,1.0
00405,Royal Hogs,88.0,Bats,9.0,Goblin Cage,40.0,Flying Machine,33.0,,,,7,False,False,,,
00420,Royal Hogs,88.0,Bats,9.0,Goblin Cage,40.0,Flying Machine,33.0,,,,7,False,False,,,
00435,Royal Hogs,88.0,Bats,9.0,Goblin Cage,40.0,Flying Machine,33.0,,,,7,False,False,,,
00450,Royal Hogs,88.0,Bats,9.0,Goblin Cage,40.0,Flying Machine,33.0,,,,7,False,False,,,
00465,Royal Hogs,88.0,Bats,9.0,Goblin Cage,40.0,Flying Machine,33.0,,,,8,False,False,,,
00480,Royal Hogs,88.0,Bats,9.0,Goblin Cage,40.0,Flying Machine,33.0,,,,8,False,False,,,
00495,Royal Hogs,88.0,Bats,9.0,Goblin Cage,40.0,Flying Machine,33.0,,,,8,False,False,,,
00510,Royal Hogs,88.0,Bats,9.0,Goblin Cage,40.0,Flying Machine,33.0,,,,8,False,False,,,
00525,Royal Hogs,88.0,Bats,9.0,Goblin Cage,40.0,Flying Machine,33.0,,,,8,False,False,,,
00540,Royal Hogs,88.0,Bats,9.0,Goblin Cage,40.0,Flying Machine,33.0,,,,9,False,False,,,
00555,Royal Hogs,88.0,Bats,9.0,Goblin Cage,40.0,Flying Machine,33.0,,,,9,False,False,,,
00570,Royal Hogs,88.0,Bats,9.0,Goblin Cage,40.0,Flying Machine,33.0,,,,9,False,False,,,
00585,Spear Goblins,96.0,Bats,9.0,Goblin Cage,40.0,Flying Machine,33.0,Royal Hogs,88.0,1.0,4,True,True,,Royal Hogs,5.0
00600,Spear Goblins,96.0,Bats,9.0,Goblin Cage,40.0,Flying Machine,33.0,,,,4,False,False,,,
00615,Spear Goblins,96.0,Bats,9.0,Goblin Cage,40.0,Flying Machine,33.0,,,,4,False,False,,,
00630,Spear Goblins,96.0,Bats,9.0,Goblin Cage,40.0,Flying Machine,33.0,,,,5,False,False,,,
00645,Spear Goblins,96.0,Bats,9.0,Goblin Cage,40.0,Flying Machine,33.0,,,,5,False,False,,,
00660,Spear Goblins,96.0,Bats,9.0,Goblin Cage,40.0,Flying Machine,33.0,,,,5,False,False,,,
00675,Spear Goblins,96.0,Bats,9.0,Goblin Cage,40.0,Flying Machine,33.0,,,,5,False,False,,,
00690,Spear Goblins,96.0,Bats,9.0,Goblin Cage,40.0,Flying Machine,33.0,,,,5,False,False,,,
00705,Spear Goblins,96.0,Bats,9.0,Goblin Cage,40.0,Flying Machine,33.0,,,,6,False,False,,,
00720,Spear Goblins,96.0,Bats,9.0,Goblin Cage,40.0,Flying Machine,33.0,,,,6,False,False,,,
00735,Spear Goblins,96.0,Bats,9.0,Goblin Cage,40.0,Flying Machine,33.0,,,,6,False,False,,,
00750,Spear Goblins,96.0,Bats,9.0,Goblin Cage,40.0,Flying Machine,33.0,,,,6,False,False,,,
00765,Spear Goblins,96.0,Bats,9.0,Goblin Cage,40.0,Flying Machine,33.0,,,,6,False,False,,,
00780,Spear Goblins,96.0,Bats,9.0,Goblin Cage,40.0,Flying Machine,33.0,,,,6,False,False,,,
00795,Spear Goblins,96.0,Bats,9.0,Goblin Cage,40.0,Flying Machine,33.0,,,,7,False,False,,,
00810,Spear Goblins,96.0,Bats,9.0,Goblin Cage,40.0,Flying Machine,33.0,,,,7,False,False,,,
00825,Spear Goblins,96.0,Bats,9.0,Goblin Cage,40.0,Flying Machine,33.0,,,,7,False,False,,,
00840,Spear Goblins,96.0,Bats,9.0,Goblin Cage,40.0,Flying Machine,33.0,,,,7,False,False,,,
00855,Spear Goblins,96.0,Bats,9.0,Goblin Cage,40.0,Flying Machine,33.0,,,,7,False,False,,,
00870,Spear Goblins,96.0,Bats,9.0,Goblin Cage,40.0,Flying Machine,33.0,,,,7,False,False,,,
00885,Spear Goblins,96.0,Bats,9.0,Goblin Cage,40.0,Flying Machine,33.0,,,,8,False,False,,,
00900,Spear Goblins,96.0,Bats,9.0,Goblin Cage,40.0,Flying Machine,33.0,,,,8,False,False,,,
00915,Spear Goblins,96.0,Bats,9.0,Goblin Cage,40.0,Flying Machine,33.0,,,,8,False,False,,,
00930,Spear Goblins,96.0,Bats,9.0,Goblin Cage,40.0,Flying Machine,33.0,,,,8,False,False,,,
00945,Spear Goblins,96.0,Bats,9.0,Goblin Cage,40.0,Flying Machine,33.0,,,,8,False,False,,,
00960,Spear Goblins,96.0,Bats,9.0,Goblin Cage,40.0,Flying Machine,33.0,,,,9,False,False,,,
00975,Spear Goblins,96.0,Bats,9.0,Goblin Cage,40.0,Flying Machine,33.0,,,,9,False,False,,,
