frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed,0,predicted_elixirConsumed
00225,Rocket,84.0,Ice Spirit,54.0,Bats,9.0,The Log,98.0,,,,6,False,False,,,
00240,Rocket,84.0,Ice Spirit,54.0,Bats,9.0,The Log,98.0,,,,6,False,False,,,
00255,Rocket,84.0,Ice Spirit,54.0,Bats,9.0,The Log,98.0,,,,6,False,False,,,
00270,Rocket,84.0,Ice Spirit,54.0,Bats,9.0,The Log,98.0,,,,6,False,False,,,
00285,Rocket,84.0,Ice Spirit,54.0,Bats,9.0,The Log,98.0,,,,7,False,False,,,
00300,Rocket,84.0,Ice Spirit,54.0,Bats,9.0,The Log,98.0,,,,7,False,False,,,
00315,Rocket,84.0,Ice Spirit,54.0,Bats,9.0,The Log,98.0,,,,7,False,False,,,
00330,Rocket,84.0,Ice Spirit,54.0,Bats,9.0,The Log,98.0,,,,7,False,False,,,
00345,Rocket,84.0,Ice Spirit,54.0,Bats,9.0,The Log,98.0,,,,7,False,False,,,
00360,Rocket,84.0,Ice Spirit,54.0,Bats,9.0,The Log,98.0,,,,8,False,False,,,
00375,Rocket,84.0,Ice Spirit,54.0,Bats,9.0,The Log,98.0,,,,8,False,False,,,
00390,Rocket,84.0,Ice Spirit,54.0,Bats,9.0,The Log,98.0,,,,8,False,False,,,
00405,Rocket,84.0,Ice Spirit,54.0,Bats,9.0,The Log,98.0,,,,8,False,False,,,
00420,Rocket,84.0,Ice Spirit,54.0,Bats,9.0,The Log,98.0,,,,8,False,False,,,
00435,Rocket,84.0,Ice Spirit,54.0,Bats,9.0,The Log,98.0,,,,8,False,False,,,
00450,Rocket,84.0,Ice Spirit,54.0,Bats,9.0,The Log,98.0,,,,9,False,False,,,
00465,Rocket,84.0,Ice Spirit,54.0,Bats,9.0,The Log,98.0,,,,9,False,False,,,
00480,Rocket,84.0,Ice Spirit,54.0,Bats,9.0,The Log,98.0,,,,9,False,False,,,
00495,Rocket,84.0,Mini P.E.K.K.A,67.0,Bats,9.0,The Log,98.0,Ice Spirit,54.0,2.0,8,True,True,,Ice Spirit,1.0
00510,Rocket,84.0,Mini P.E.K.K.A,67.0,Bats,9.0,The Log,98.0,,,,8,False,False,,,
00525,Rocket,84.0,Mini P.E.K.K.A,67.0,Bats,9.0,The Log,98.0,,,,8,False,False,,,
00540,Rocket,84.0,Mini P.E.K.K.A,67.0,Bats,9.0,The Log,98.0,,,,9,False,False,,,
00555,Rocket,84.0,Mini P.E.K.K.A,67.0,Bats,9.0,The Log,98.0,,,,9,False,False,,,
00570,Rocket,84.0,Mini P.E.K.K.A,67.0,Bats,9.0,The Log,98.0,,,,9,False,False,,,
00585,Rocket,84.0,Mini P.E.K.K.A,67.0,Bats,9.0,The Log,98.0,,,,9,False,False,,,
00600,Rocket,84.0,Mini P.E.K.K.A,67.0,Bats,9.0,The Log,98.0,,,,9,False,False,,,
00615,Rocket,84.0,Mini P.E.K.K.A,67.0,Bats,9.0,The Log,98.0,,,,10,False,False,,,
00630,Rocket,84.0,Mini P.E.K.K.A,67.0,Bats,9.0,The Log,98.0,,,,10,False,False,,,
00645,Rocket,84.0,Mini P.E.K.K.A,67.0,Bats,9.0,The Log,98.0,,,,10,False,False,,,
00660,Rocket,84.0,Mini P.E.K.K.A,67.0,Bats,9.0,The Log,98.0,,,,10,False,False,,,
00675,Rocket,84.0,Mini P.E.K.K.A,67.0,Hog Rider,51.0,The Log,98.0,Bats,9.0,3.0,8,True,True,,Bats,2.0
00690,Rocket,84.0,Mini P.E.K.K.A,67.0,Hog Rider,51.0,The Log,98.0,,,,8,False,False,,,
00705,Rocket,84.0,Mini P.E.K.K.A,67.0,Hog Rider,51.0,The Log,98.0,,,,8,False,False,,,
00720,Rocket,84.0,Mini P.E.K.K.A,67.0,Hog Rider,51.0,The Log,98.0,,,,8,False,False,,,
00735,Rocket,84.0,Mini P.E.K.K.A,67.0,Hog Rider,51.0,The Log,98.0,,,,8,False,False,,,
00750,Rocket,84.0,Mini P.E.K.K.A,67.0,Hog Rider,51.0,The Log,98.0,,,,8,False,False,,,
00765,Rocket,84.0,Mini P.E.K.K.A,67.0,Hog Rider,51.0,The Log,98.0,,,,9,False,False,,,
00780,Rocket,84.0,Mini P.E.K.K.A,67.0,Hog Rider,51.0,The Log,98.0,,,,9,False,False,,,
00795,Rocket,84.0,Mini P.E.K.K.A,67.0,Hog Rider,51.0,The Log,98.0,,,,9,False,False,,,
00810,Rocket,84.0,Mini P.E.K.K.A,67.0,Hog Rider,51.0,The Log,98.0,,,,9,False,False,,,
00825,Rocket,84.0,Mini P.E.K.K.A,67.0,Hog Rider,51.0,The Log,98.0,,,,9,False,False,,,
00840,Rocket,84.0,Mini P.E.K.K.A,67.0,Hog Rider,51.0,The Log,98.0,,,,10,False,False,,,
00855,Rocket,84.0,Ice Golem,53.0,Hog Rider,51.0,The Log,98.0,Mini P.E.K.K.A,67.0,2.0,6,True,True,,Mini P.E.K.K.A,4.0
00870,Rocket,84.0,Ice Golem,53.0,Hog Rider,51.0,The Log,98.0,,,,6,False,False,,,
00885,Rocket,84.0,Ice Golem,53.0,Hog Rider,51.0,The Log,98.0,,,,6,False,False,,,
00900,Rocket,84.0,Ice Golem,53.0,Hog Rider,51.0,The Log,98.0,,,,6,False,False,,,
00915,Rocket,84.0,Ice Golem,53.0,Hog Rider,51.0,The Log,98.0,,,,6,False,False,,,
00930,Rocket,84.0,Ice Golem,53.0,Hog Rider,51.0,The Log,98.0,,,,7,False,False,,,
00945,Rocket,84.0,Ice Golem,53.0,Hog Rider,51.0,The Log,98.0,,,,7,False,False,,,
00960,Rocket,84.0,Ice Golem,53.0,Hog Rider,51.0,The Log,98.0,,,,7,False,False,,,
00975,Rocket,84.0,Princess,80.0,Hog Rider,51.0,The Log,98.0,Ice Golem,53.0,2.0,5,True,True,,Ice Golem,2.0
00990,Rocket,84.0,Princess,80.0,Hog Rider,51.0,The Log,98.0,,,,5,False,False,,,
01005,Rocket,84.0,Princess,80.0,Hog Rider,51.0,The Log,98.0,,,,5,False,False,,,
01020,Rocket,84.0,Princess,80.0,Hog Rider,51.0,The Log,98.0,,,,6,False,False,,,
01035,Rocket,84.0,Princess,80.0,Hog Rider,51.0,The Log,98.0,,,,6,False,False,,,
01050,Rocket,84.0,Princess,80.0,Ice Spirit,54.0,The Log,98.0,Hog Rider,51.0,3.0,2,True,True,,Hog Rider,4.0
01065,Rocket,84.0,Princess,80.0,Ice Spirit,54.0,The Log,98.0,,,,2,False,False,,,
01080,Rocket,84.0,Princess,80.0,Ice Spirit,54.0,The Log,98.0,,,,2,False,False,,,
01095,Rocket,84.0,Princess,80.0,Ice Spirit,54.0,The Log,98.0,,,,2,False,False,,,
01110,Rocket,84.0,Princess,80.0,Ice Spirit,54.0,The Log,98.0,,,,3,False,False,,,
