frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed,predicted_elixirConsumed
00225,Goblin Cage,40.0,Fireball,30.0,Barbarian Barrel,6.0,,,,,,6,False,False,0.0,0.0
00240,Goblin Cage,40.0,Fireball,30.0,Barbarian Barrel,6.0,,,,,,6,False,False,0.0,0.0
00255,Goblin Cage,40.0,Fireball,30.0,Barbarian Barrel,6.0,Royal Recruits,89.0,,,4.0,6,True,False,0.0,0.0
00270,Goblin Cage,40.0,Fireball,30.0,Barbarian Barrel,6.0,Royal Recruits,89.0,,,,6,False,False,0.0,0.0
00285,Goblin Cage,40.0,Fireball,30.0,Barbarian Barrel,6.0,Royal Recruits,89.0,,,,7,False,False,0.0,0.0
00300,Goblin Cage,40.0,Fireball,30.0,Barbarian Barrel,6.0,Royal Recruits,89.0,,,,7,False,False,0.0,0.0
00315,Goblin Cage,40.0,Fireball,30.0,Barbarian Barrel,6.0,Royal Recruits,89.0,,,,7,False,False,0.0,0.0
00330,Goblin Cage,40.0,Fireball,30.0,Barbarian Barrel,6.0,Royal Recruits,89.0,,,,7,False,False,0.0,0.0
00345,Goblin Cage,40.0,Fireball,30.0,Barbarian Barrel,6.0,Royal Recruits,89.0,,,,7,False,False,0.0,0.0
00360,Goblin Cage,40.0,Fireball,30.0,Barbarian Barrel,6.0,Royal Recruits,89.0,,,,8,False,False,0.0,0.0
00375,Goblin Cage,40.0,Fireball,30.0,Barbarian Barrel,6.0,Royal Recruits,89.0,,,,8,False,False,0.0,0.0
00390,Goblin Cage,40.0,Fireball,30.0,Barbarian Barrel,6.0,Royal Recruits,89.0,,,,8,False,False,0.0,0.0
00405,Goblin Cage,40.0,Fireball,30.0,Barbarian Barrel,6.0,Royal Recruits,89.0,,,,8,False,False,0.0,0.0
00420,Goblin Cage,40.0,Fireball,30.0,Barbarian Barrel,6.0,Royal Recruits,89.0,,,,8,False,False,0.0,0.0
00435,Goblin Cage,40.0,Fireball,30.0,Barbarian Barrel,6.0,Royal Recruits,89.0,,,,8,False,False,0.0,0.0
00450,Goblin Cage,40.0,Fireball,30.0,Barbarian Barrel,6.0,Royal Recruits,89.0,,,,9,False,False,0.0,0.0
00465,Goblin Cage,40.0,Fireball,30.0,Barbarian Barrel,6.0,Royal Recruits,89.0,,,,9,False,False,0.0,0.0
00480,Goblin Cage,40.0,Fireball,30.0,Barbarian Barrel,6.0,Royal Recruits,89.0,,,,9,False,False,0.0,0.0
00495,Goblin Cage,40.0,Fireball,30.0,Barbarian Barrel,6.0,Royal Recruits,89.0,,,,9,False,False,0.0,0.0
00510,Goblin Cage,40.0,Fireball,30.0,Barbarian Barrel,6.0,Royal Recruits,89.0,,,,9,False,False,0.0,0.0
00525,Goblin Cage,40.0,Fireball,30.0,Barbarian Barrel,6.0,Royal Recruits,89.0,,,,10,False,False,0.0,0.0
00540,Goblin Cage,40.0,Fireball,30.0,Barbarian Barrel,6.0,Royal Recruits,89.0,,,,10,False,False,0.0,0.0
00555,Goblin Cage,40.0,Fireball,30.0,Barbarian Barrel,6.0,Royal Recruits,89.0,,,,10,False,False,0.0,0.0
00570,Goblin Cage,40.0,Fireball,30.0,Barbarian Barrel,6.0,Royal Recruits,89.0,,,,10,False,False,0.0,0.0
00585,Goblin Cage,40.0,Fireball,30.0,Barbarian Barrel,6.0,Royal Recruits,89.0,,,,10,False,False,0.0,0.0
00600,Zappies,108.0,Fireball,30.0,Barbarian Barrel,6.0,Royal Recruits,89.0,Goblin Cage,40.0,1.0,6,True,True,4.0,4.0
00615,Zappies,108.0,Fireball,30.0,Barbarian Barrel,6.0,Royal Recruits,89.0,,,,6,False,False,0.0,0.0
00630,Zappies,108.0,Fireball,30.0,Barbarian Barrel,6.0,Royal Recruits,89.0,,,,6,False,False,0.0,0.0
00645,Zappies,108.0,Fireball,30.0,Barbarian Barrel,6.0,Royal Recruits,89.0,,,,6,False,False,0.0,0.0
00660,Zappies,108.0,Fireball,30.0,Barbarian Barrel,6.0,Royal Recruits,89.0,,,,6,False,False,0.0,0.0
00675,Zappies,108.0,Fireball,30.0,Barbarian Barrel,6.0,Royal Recruits,89.0,,,,6,False,False,0.0,0.0
00690,Zappies,108.0,Fireball,30.0,Barbarian Barrel,6.0,Royal Recruits,89.0,,,,7,False,False,0.0,0.0
00705,Zappies,108.0,Fireball,30.0,Barbarian Barrel,6.0,Royal Recruits,89.0,,,,7,False,False,0.0,0.0
00720,Zappies,108.0,Fireball,30.0,Barbarian Barrel,6.0,Royal Recruits,89.0,,,,7,False,False,0.0,0.0
00735,Zappies,108.0,Fireball,30.0,Barbarian Barrel,6.0,Royal Recruits,89.0,,,,7,False,False,0.0,0.0
00750,Zappies,108.0,Fireball,30.0,Barbarian Barrel,6.0,Royal Recruits,89.0,,,,7,False,False,0.0,0.0
00765,Zappies,108.0,Fireball,30.0,Barbarian Barrel,6.0,Royal Recruits,89.0,,,,8,False,False,0.0,0.0
00780,Zappies,108.0,Fireball,30.0,Barbarian Barrel,6.0,Royal Recruits,89.0,,,,8,False,False,0.0,0.0
00795,Zappies,108.0,Fireball,30.0,Barbarian Barrel,6.0,Royal Recruits,89.0,,,,8,False,False,0.0,0.0
00810,Zappies,108.0,Fireball,30.0,Barbarian Barrel,6.0,Royal Recruits,89.0,,,,8,False,False,0.0,0.0
00825,Zappies,108.0,Fireball,30.0,Barbarian Barrel,6.0,Royal Recruits,89.0,,,,8,False,False,0.0,0.0
00840,Zappies,108.0,Fireball,30.0,Barbarian Barrel,6.0,Royal Recruits,89.0,,,,8,False,False,0.0,0.0
00855,Zappies,108.0,Fireball,30.0,Barbarian Barrel,6.0,Royal Recruits,89.0,,,,9,False,False,0.0,0.0
00870,Zappies,108.0,Fireball,30.0,Barbarian Barrel,6.0,Royal Recruits,89.0,,,,9,False,False,0.0,0.0
00885,Zappies,108.0,Fireball,30.0,Barbarian Barrel,6.0,Royal Recruits,89.0,,,,9,False,False,0.0,0.0
00900,Zappies,108.0,Fireball,30.0,Barbarian Barrel,6.0,Royal Recruits,89.0,,,,9,False,False,0.0,0.0
00915,Zappies,108.0,Fireball,30.0,Barbarian Barrel,6.0,Royal Recruits,89.0,,,,9,False,False,0.0,0.0
00930,Zappies,108.0,Fireball,30.0,Barbarian Barrel,6.0,Flying Machine,33.0,Royal Recruits,89.0,4.0,3,True,True,6.0,7.0
00945,Zappies,108.0,Fireball,30.0,Barbarian Barrel,6.0,Flying Machine,33.0,,,,3,False,False,0.0,0.0
00960,Zappies,108.0,Fireball,30.0,Barbarian Barrel,6.0,Flying Machine,33.0,,,,3,False,False,0.0,0.0
00975,Zappies,108.0,Fireball,30.0,Barbarian Barrel,6.0,Flying Machine,33.0,,,,3,False,False,0.0,0.0
00990,Zappies,108.0,Fireball,30.0,Barbarian Barrel,6.0,Flying Machine,33.0,,,,3,False,False,0.0,0.0
01005,Zappies,108.0,Fireball,30.0,Barbarian Barrel,6.0,Flying Machine,33.0,,,,3,False,False,0.0,0.0
01020,Zappies,108.0,Fireball,30.0,Barbarian Barrel,6.0,Flying Machine,33.0,,,,4,False,False,0.0,0.0
01035,Zappies,108.0,Fireball,30.0,Barbarian Barrel,6.0,Flying Machine,33.0,,,,4,False,False,0.0,0.0
01050,Zappies,108.0,Fireball,30.0,Barbarian Barrel,6.0,Flying Machine,33.0,,,,4,False,False,0.0,0.0
01065,Zappies,108.0,Fireball,30.0,Barbarian Barrel,6.0,Flying Machine,33.0,,,,4,False,False,0.0,0.0
01080,Zappies,108.0,Fireball,30.0,Barbarian Barrel,6.0,Flying Machine,33.0,,,,4,False,False,0.0,0.0
01095,Zappies,108.0,Fireball,30.0,Barbarian Barrel,6.0,Flying Machine,33.0,,,,4,False,False,0.0,0.0
01110,Zappies,108.0,Fireball,30.0,Barbarian Barrel,6.0,Flying Machine,33.0,,,,5,False,False,0.0,0.0
01125,Zappies,108.0,Fireball,30.0,Barbarian Barrel,6.0,Flying Machine,33.0,,,,5,False,False,0.0,0.0
01140,Zappies,108.0,Fireball,30.0,Barbarian Barrel,6.0,Flying Machine,33.0,,,,5,False,False,0.0,0.0
01155,Zappies,108.0,Fireball,30.0,Barbarian Barrel,6.0,Flying Machine,33.0,,,,5,False,False,0.0,0.0
01170,Zappies,108.0,Fireball,30.0,Barbarian Barrel,6.0,Flying Machine,33.0,,,,5,False,False,0.0,0.0
01185,Zappies,108.0,Fireball,30.0,Barbarian Barrel,6.0,Flying Machine,33.0,,,,6,False,False,0.0,0.0
01200,Zappies,108.0,Fireball,30.0,Barbarian Barrel,6.0,Flying Machine,33.0,,,,6,False,False,0.0,0.0
01215,Zappies,108.0,Fireball,30.0,Barbarian Barrel,6.0,Flying Machine,33.0,,,,6,False,False,0.0,0.0
01230,Zappies,108.0,Fireball,30.0,Barbarian Barrel,6.0,Flying Machine,33.0,,,,6,False,False,0.0,0.0
01245,Zappies,108.0,Fireball,30.0,Barbarian Barrel,6.0,Flying Machine,33.0,,,,6,False,False,0.0,0.0
01260,Zappies,108.0,Fireball,30.0,Barbarian Barrel,6.0,Flying Machine,33.0,,,,6,False,False,0.0,0.0
01275,Zappies,108.0,Fireball,30.0,Barbarian Barrel,6.0,Flying Machine,33.0,,,,2,False,False,0.0,0.0
01290,Royal Hogs,88.0,Fireball,30.0,Barbarian Barrel,6.0,Flying Machine,33.0,Zappies,108.0,1.0,3,True,True,4.0,4.0
01305,Royal Hogs,88.0,Fireball,30.0,Barbarian Barrel,6.0,Flying Machine,33.0,,,,3,False,False,0.0,0.0
01320,Royal Hogs,88.0,Fireball,30.0,Barbarian Barrel,6.0,Flying Machine,33.0,,,,3,False,False,0.0,0.0
01335,Royal Hogs,88.0,Fireball,30.0,Barbarian Barrel,6.0,Flying Machine,33.0,,,,3,False,False,0.0,0.0
01350,Royal Hogs,88.0,Fireball,30.0,Barbarian Barrel,6.0,Flying Machine,33.0,,,,4,False,False,0.0,0.0
01365,Royal Hogs,88.0,Fireball,30.0,Barbarian Barrel,6.0,Flying Machine,33.0,,,,4,False,False,0.0,0.0
01380,Royal Hogs,88.0,Fireball,30.0,Barbarian Barrel,6.0,Flying Machine,33.0,,,,4,False,False,0.0,0.0
01395,Royal Hogs,88.0,Fireball,30.0,Barbarian Barrel,6.0,Flying Machine,33.0,,,,4,False,False,0.0,0.0
01410,Royal Hogs,88.0,Fireball,30.0,Barbarian Barrel,6.0,Flying Machine,33.0,,,,4,False,False,0.0,0.0
01425,Royal Hogs,88.0,Fireball,30.0,Barbarian Barrel,6.0,Flying Machine,33.0,,,,4,False,False,0.0,0.0
01440,Royal Hogs,88.0,Fireball,30.0,Barbarian Barrel,6.0,Flying Machine,33.0,,,,5,False,False,0.0,0.0
01455,Royal Hogs,88.0,Fireball,30.0,Barbarian Barrel,6.0,Flying Machine,33.0,,,,5,False,False,0.0,0.0
01470,Royal Hogs,88.0,Fireball,30.0,Barbarian Barrel,6.0,Flying Machine,33.0,,,,5,False,False,0.0,0.0
01485,Royal Hogs,88.0,Electro Spirit,23.0,Barbarian Barrel,6.0,Flying Machine,33.0,Fireball,30.0,2.0,1,True,True,4.0,4.0
01500,Royal Hogs,88.0,Electro Spirit,23.0,Barbarian Barrel,6.0,Flying Machine,33.0,,,,1,False,False,0.0,0.0
01515,Royal Hogs,88.0,Electro Spirit,23.0,Barbarian Barrel,6.0,Flying Machine,33.0,,,,1,False,False,0.0,0.0
01530,Royal Hogs,88.0,Electro Spirit,23.0,Barbarian Barrel,6.0,Flying Machine,33.0,,,,2,False,False,0.0,0.0
01545,Royal Hogs,88.0,Electro Spirit,23.0,Barbarian Barrel,6.0,Flying Machine,33.0,,,,2,False,False,0.0,0.0
01560,Royal Hogs,88.0,Electro Spirit,23.0,Barbarian Barrel,6.0,Flying Machine,33.0,,,,2,False,False,0.0,0.0
01575,Royal Hogs,88.0,Electro Spirit,23.0,Barbarian Barrel,6.0,Flying Machine,33.0,,,,2,False,False,0.0,0.0
01590,Royal Hogs,88.0,Electro Spirit,23.0,Barbarian Barrel,6.0,Flying Machine,33.0,,,,2,False,False,0.0,0.0
01605,Royal Hogs,88.0,Electro Spirit,23.0,Barbarian Barrel,6.0,Flying Machine,33.0,,,,3,False,False,0.0,0.0
01620,Royal Hogs,88.0,Electro Spirit,23.0,Barbarian Barrel,6.0,Flying Machine,33.0,,,,3,False,False,0.0,0.0
01635,Royal Hogs,88.0,Electro Spirit,23.0,Barbarian Barrel,6.0,Flying Machine,33.0,,,,3,False,False,0.0,0.0
01650,Royal Hogs,88.0,Electro Spirit,23.0,Barbarian Barrel,6.0,Flying Machine,33.0,,,,3,False,False,0.0,0.0
01665,Royal Hogs,88.0,Electro Spirit,23.0,Barbarian Barrel,6.0,Flying Machine,33.0,,,,3,False,False,0.0,0.0
01680,Royal Hogs,88.0,Electro Spirit,23.0,Barbarian Barrel,6.0,Flying Machine,33.0,,,,3,False,False,0.0,0.0
01695,Royal Hogs,88.0,Electro Spirit,23.0,Barbarian Barrel,6.0,Flying Machine,33.0,,,,4,False,False,0.0,0.0
01710,Royal Hogs,88.0,Electro Spirit,23.0,Barbarian Barrel,6.0,Flying Machine,33.0,,,,4,False,False,0.0,0.0
01725,Royal Hogs,88.0,Electro Spirit,23.0,Barbarian Barrel,6.0,Flying Machine,33.0,,,,4,False,False,0.0,0.0
01740,Royal Hogs,88.0,Electro Spirit,23.0,Barbarian Barrel,6.0,Flying Machine,33.0,,,,4,False,False,0.0,0.0
01755,Royal Hogs,88.0,Electro Spirit,23.0,Barbarian Barrel,6.0,Flying Machine,33.0,,,,4,False,False,0.0,0.0
01770,Royal Hogs,88.0,Electro Spirit,23.0,Barbarian Barrel,6.0,Flying Machine,33.0,,,,5,False,False,0.0,0.0
01785,Royal Hogs,88.0,Electro Spirit,23.0,Barbarian Barrel,6.0,Flying Machine,33.0,,,,5,False,False,0.0,0.0
01800,Royal Hogs,88.0,Electro Spirit,23.0,Barbarian Barrel,6.0,Flying Machine,33.0,,,,5,False,False,0.0,0.0
01815,Royal Hogs,88.0,Electro Spirit,23.0,Barbarian Barrel,6.0,Flying Machine,33.0,,,,5,False,False,0.0,0.0
01830,Royal Hogs,88.0,Electro Spirit,23.0,Barbarian Barrel,6.0,Flying Machine,33.0,,,,5,False,False,0.0,0.0
01845,Royal Hogs,88.0,Electro Spirit,23.0,Barbarian Barrel,6.0,Flying Machine,33.0,,,,5,False,False,0.0,0.0
01860,Royal Hogs,88.0,Electro Spirit,23.0,Barbarian Barrel,6.0,Flying Machine,33.0,,,,6,False,False,0.0,0.0
