frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed
00225,Rocket,84.0,Prince,79.0,Princess,80.0,Goblin Gang,42.0,,,,6,,,
00240,Rocket,84.0,Prince,79.0,Princess,80.0,Goblin Gang,42.0,,,,6,,,
00255,Rocket,84.0,Prince,79.0,Princess,80.0,Goblin Gang,42.0,,,,6,,,
00270,Rocket,84.0,Prince,79.0,Princess,80.0,Goblin Gang,42.0,,,,6,,,
00285,Rocket,84.0,Prince,79.0,Princess,80.0,Goblin Gang,42.0,,,,7,,,
00300,Rocket,84.0,Prince,79.0,Princess,80.0,Goblin Gang,42.0,,,,7,,,
00315,Rocket,84.0,Prince,79.0,Princess,80.0,Goblin Gang,42.0,,,,7,,,
00330,Rocket,84.0,Prince,79.0,Princess,80.0,Goblin Gang,42.0,,,,7,,,
00345,Rocket,84.0,Prince,79.0,Princess,80.0,Goblin Gang,42.0,,,,7,,,
00360,Rocket,84.0,Prince,79.0,Princess,80.0,Goblin Gang,42.0,,,,8,,,
00375,Rocket,84.0,Prince,79.0,Princess,80.0,Goblin Gang,42.0,,,,8,,,
00390,Rocket,84.0,Prince,79.0,Princess,80.0,Goblin Gang,42.0,,,,8,,,
00405,Rocket,84.0,Prince,79.0,Princess,80.0,Goblin Gang,42.0,,,,8,,,
00420,Rocket,84.0,Prince,79.0,Princess,80.0,Goblin Gang,42.0,,,,8,,,
00435,Rocket,84.0,Prince,79.0,Princess,80.0,Goblin Gang,42.0,,,,8,,,
00450,Rocket,84.0,Prince,79.0,Princess,80.0,Goblin Gang,42.0,,,,9,,,
00465,Rocket,84.0,Prince,79.0,Princess,80.0,Goblin Gang,42.0,,,,9,,,
00480,Rocket,84.0,Prince,79.0,Princess,80.0,Goblin Gang,42.0,,,,9,,,
00495,Rocket,84.0,Prince,79.0,Princess,80.0,The Log,98.0,,,,6,,,
00510,Rocket,84.0,Prince,79.0,Princess,80.0,The Log,98.0,,,,6,,,
00525,Rocket,84.0,Prince,79.0,Princess,80.0,The Log,98.0,,,,7,,,
00540,Rocket,84.0,Prince,79.0,Princess,80.0,The Log,98.0,,,,7,,,
00555,Rocket,84.0,Prince,79.0,Princess,80.0,The Log,98.0,,,,7,,,
00570,Rocket,84.0,Prince,79.0,Princess,80.0,The Log,98.0,,,,7,,,
00585,Rocket,84.0,Prince,79.0,Princess,80.0,The Log,98.0,,,,7,,,
00600,Rocket,84.0,Prince,79.0,Princess,80.0,The Log,98.0,,,,7,,,
00615,Rocket,84.0,Prince,79.0,Princess,80.0,The Log,98.0,,,,8,,,
00630,Rocket,84.0,Prince,79.0,Princess,80.0,The Log,98.0,,,,8,,,
00645,Rocket,84.0,Prince,79.0,Princess,80.0,The Log,98.0,,,,8,,,
00660,Rocket,84.0,Prince,79.0,Princess,80.0,The Log,98.0,,,,8,,,
00675,Rocket,84.0,Prince,79.0,Princess,80.0,The Log,98.0,,,,8,,,
00690,Rocket,84.0,Prince,79.0,Princess,80.0,The Log,98.0,,,,8,,,
00705,Rocket,84.0,Prince,79.0,Princess,80.0,The Log,98.0,,,,9,,,
00720,Rocket,84.0,Prince,79.0,Princess,80.0,The Log,98.0,,,,9,,,
00735,Rocket,84.0,Prince,79.0,Princess,80.0,The Log,98.0,,,,9,,,
00750,Rocket,84.0,Prince,79.0,Princess,80.0,The Log,98.0,,,,9,,,
00765,Rocket,84.0,Prince,79.0,Princess,80.0,The Log,98.0,,,,9,,,
00780,Rocket,84.0,Prince,79.0,Princess,80.0,The Log,98.0,,,,10,,,
00795,Rocket,84.0,Dart Goblin,19.0,Princess,80.0,The Log,98.0,,,,5,,,
00810,Rocket,84.0,Dart Goblin,19.0,Princess,80.0,The Log,98.0,,,,5,,,
00825,Rocket,84.0,Dart Goblin,19.0,Princess,80.0,The Log,98.0,,,,5,,,
00840,Rocket,84.0,Dart Goblin,19.0,Princess,80.0,The Log,98.0,,,,5,,,
00855,Rocket,84.0,Dart Goblin,19.0,Princess,80.0,The Log,98.0,,,,5,,,
00870,Rocket,84.0,Dart Goblin,19.0,Princess,80.0,The Log,98.0,,,,6,,,
00885,Rocket,84.0,Dart Goblin,19.0,Princess,80.0,The Log,98.0,,,,6,,,
00900,Rocket,84.0,Dart Goblin,19.0,Princess,80.0,The Log,98.0,,,,6,,,
00915,Rocket,84.0,Dart Goblin,19.0,Princess,80.0,The Log,98.0,,,,6,,,
00930,Rocket,84.0,Dart Goblin,19.0,Princess,80.0,The Log,98.0,,,,6,,,
00945,Rocket,84.0,Dart Goblin,19.0,Princess,80.0,The Log,98.0,,,,6,,,
00960,Rocket,84.0,Dart Goblin,19.0,Princess,80.0,The Log,98.0,,,,7,,,
00975,Rocket,84.0,Dart Goblin,19.0,Princess,80.0,The Log,98.0,,,,7,,,
00990,Rocket,84.0,Dart Goblin,19.0,Princess,80.0,The Log,98.0,,,,7,,,
01005,Rocket,84.0,Dart Goblin,19.0,Princess,80.0,The Log,98.0,,,,7,,,
01020,Rocket,84.0,Dart Goblin,19.0,Princess,80.0,The Log,98.0,,,,7,,,
01035,Rocket,84.0,Dart Goblin,19.0,Princess,80.0,The Log,98.0,,,,8,,,
01050,Rocket,84.0,Dart Goblin,19.0,Princess,80.0,The Log,98.0,,,,8,,,
01065,Rocket,84.0,Dart Goblin,19.0,Princess,80.0,The Log,98.0,,,,8,,,
01080,Rocket,84.0,Dart Goblin,19.0,Princess,80.0,The Log,98.0,,,,8,,,
