frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed,0,predicted_elixirConsumed
00240,Fire Spirit,29.0,Mega Minion,64.0,The Log,98.0,Rocket,84.0,,,,6,False,False,,,
00255,Fire Spirit,29.0,Mega Minion,64.0,The Log,98.0,Rocket,84.0,,,,6,False,False,,,
00270,Fire Spirit,29.0,Mega Minion,64.0,The Log,98.0,Rocket,84.0,,,,6,False,False,,,
00285,Fire Spirit,29.0,Mega Minion,64.0,The Log,98.0,Rocket,84.0,,,,7,False,False,,,
00300,Fire Spirit,29.0,Mega Minion,64.0,The Log,98.0,Rocket,84.0,,,,7,False,False,,,
00315,Fire Spirit,29.0,Mega Minion,64.0,The Log,98.0,Rocket,84.0,,,,7,False,False,,,
00330,Fire Spirit,29.0,Mega Minion,64.0,The Log,98.0,Rocket,84.0,,,,7,False,False,,,
00345,Fire Spirit,29.0,Mega Minion,64.0,The Log,98.0,Rocket,84.0,,,,7,False,False,,,
00360,Fire Spirit,29.0,Mega Minion,64.0,The Log,98.0,Rocket,84.0,,,,7,False,False,,,
00375,Fire Spirit,29.0,Mega Minion,64.0,The Log,98.0,Rocket,84.0,,,,8,False,False,,,
00390,Fire Spirit,29.0,Mega Minion,64.0,The Log,98.0,Rocket,84.0,,,,8,False,False,,,
00405,Fire Spirit,29.0,Mega Minion,64.0,The Log,98.0,Rocket,84.0,,,,8,False,False,,,
00420,Fire Spirit,29.0,Mega Minion,64.0,The Log,98.0,Rocket,84.0,,,,8,False,False,,,
00435,Fire Spirit,29.0,Mega Minion,64.0,The Log,98.0,Rocket,84.0,,,,8,False,False,,,
00450,Fire Spirit,29.0,Mega Minion,64.0,The Log,98.0,Rocket,84.0,,,,9,False,False,,,
00465,Fire Spirit,29.0,Mega Minion,64.0,The Log,98.0,Rocket,84.0,,,,9,False,False,,,
00480,Fire Spirit,29.0,Mega Minion,64.0,The Log,98.0,Rocket,84.0,,,,9,False,False,,,
00495,Fire Spirit,29.0,Mega Minion,64.0,The Log,98.0,Rocket,84.0,,,,9,False,False,,,
00510,Fire Spirit,29.0,Mega Minion,64.0,The Log,98.0,Rocket,84.0,,,,9,False,False,,,
00525,Fire Spirit,29.0,Mega Minion,64.0,The Log,98.0,Rocket,84.0,,,,9,False,False,,,
00540,Fire Spirit,29.0,Mega Minion,64.0,The Log,98.0,Rocket,84.0,,,,10,False,False,,,
00555,Fire Spirit,29.0,Mega Minion,64.0,The Log,98.0,Rocket,84.0,,,,10,False,False,,,
00570,Fire Spirit,29.0,Mega Minion,64.0,The Log,98.0,Rocket,84.0,,,,10,False,False,,,
00585,Fire Spirit,29.0,Mega Minion,64.0,The Log,98.0,Rocket,84.0,,,,10,False,False,,,
00600,Fire Spirit,29.0,Mega Minion,64.0,The Log,98.0,Rocket,84.0,,,,10,False,False,,,
00615,Fire Spirit,29.0,Mega Minion,64.0,X,106.0,Rocket,84.0,The Log,98.0,3.0,8,True,True,,The Log,2.0
00630,Fire Spirit,29.0,Mega Minion,64.0,X,106.0,Rocket,84.0,,,,8,False,False,,,
00645,Fire Spirit,29.0,Mega Minion,64.0,X,106.0,Rocket,84.0,,,,8,False,False,,,
00660,Fire Spirit,29.0,Mega Minion,64.0,X,106.0,Rocket,84.0,,,,8,False,False,,,
00675,Fire Spirit,29.0,Mega Minion,64.0,X,106.0,Rocket,84.0,,,,8,False,False,,,
00690,Fire Spirit,29.0,Mega Minion,64.0,X,106.0,Rocket,84.0,,,,9,False,False,,,
00705,Fire Spirit,29.0,Mega Minion,64.0,X,106.0,Rocket,84.0,,,,9,False,False,,,
00720,Fire Spirit,29.0,Mega Minion,64.0,X,106.0,Rocket,84.0,,,,9,False,False,,,
00735,Fire Spirit,29.0,Mega Minion,64.0,X,106.0,Rocket,84.0,,,,9,False,False,,,
00750,Fire Spirit,29.0,Mega Minion,64.0,X,106.0,Rocket,84.0,,,,9,False,False,,,
00765,Fire Spirit,29.0,Mega Minion,64.0,X,106.0,Rocket,84.0,,,,9,False,False,,,
00780,Fire Spirit,29.0,Mega Minion,64.0,X,106.0,Rocket,84.0,,,,10,False,False,,,
00795,Fire Spirit,29.0,Knight,58.0,X,106.0,Rocket,84.0,Mega Minion,64.0,2.0,7,True,True,,Mega Minion,3.0
00810,Fire Spirit,29.0,Knight,58.0,X,106.0,Rocket,84.0,,,,7,False,False,,,
00825,Fire Spirit,29.0,Knight,58.0,X,106.0,Rocket,84.0,,,,7,False,False,,,
00840,Fire Spirit,29.0,Knight,58.0,X,106.0,Rocket,84.0,,,,7,False,False,,,
00855,Fire Spirit,29.0,Knight,58.0,X,106.0,Rocket,84.0,,,,7,False,False,,,
00870,Fire Spirit,29.0,Knight,58.0,X,106.0,Rocket,84.0,,,,8,False,False,,,
00885,Fire Spirit,29.0,Knight,58.0,X,106.0,Rocket,84.0,,,,8,False,False,,,
00900,Fire Spirit,29.0,Knight,58.0,X,106.0,Rocket,84.0,,,,8,False,False,,,
