frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed
00225,Sparky,95.0,Lightning,60.0,Giant Snowball,38.0,Barbarian Barrel,6.0,,,,6,,,
00240,Sparky,95.0,Lightning,60.0,Giant Snowball,38.0,Barbarian Barrel,6.0,,,,6,,,
00255,Sparky,95.0,Lightning,60.0,Giant Snowball,38.0,Barbarian Barrel,6.0,,,,6,,,
00270,Sparky,95.0,Lightning,60.0,Giant Snowball,38.0,Barbarian Barrel,6.0,,,,6,,,
00285,Sparky,95.0,Lightning,60.0,Giant Snowball,38.0,Barbarian Barrel,6.0,,,,7,,,
00300,Sparky,95.0,Lightning,60.0,Giant Snowball,38.0,Barbarian Barrel,6.0,,,,7,,,
00315,Sparky,95.0,Lightning,60.0,Giant Snowball,38.0,Barbarian Barrel,6.0,,,,7,,,
00330,Sparky,95.0,Lightning,60.0,Giant Snowball,38.0,Barbarian Barrel,6.0,,,,7,,,
00345,Sparky,95.0,Lightning,60.0,Giant Snowball,38.0,Barbarian Barrel,6.0,,,,7,,,
00360,Sparky,95.0,Lightning,60.0,Giant Snowball,38.0,Barbarian Barrel,6.0,,,,8,,,
00375,Sparky,95.0,Lightning,60.0,Giant Snowball,38.0,Barbarian Barrel,6.0,,,,8,,,
00390,Sparky,95.0,Lightning,60.0,Giant Snowball,38.0,Barbarian Barrel,6.0,,,,8,,,
00405,Sparky,95.0,Lightning,60.0,Giant Snowball,38.0,Barbarian Barrel,6.0,,,,8,,,
00420,Sparky,95.0,Lightning,60.0,Giant Snowball,38.0,Barbarian Barrel,6.0,,,,8,,,
00435,Sparky,95.0,Lightning,60.0,Giant Snowball,38.0,Barbarian Barrel,6.0,,,,8,,,
00450,Sparky,95.0,Lightning,60.0,Giant Snowball,38.0,Barbarian Barrel,6.0,,,,9,,,
00465,Sparky,95.0,Lightning,60.0,Giant Snowball,38.0,Barbarian Barrel,6.0,,,,9,,,
00480,Sparky,95.0,Lightning,60.0,Giant Snowball,38.0,Barbarian Barrel,6.0,,,,9,,,
00495,Sparky,95.0,Lightning,60.0,Giant Snowball,38.0,Barbarian Barrel,6.0,,,,9,,,
00510,Sparky,95.0,Lightning,60.0,Giant Snowball,38.0,Barbarian Barrel,6.0,,,,9,,,
00525,Sparky,95.0,Lightning,60.0,Giant Snowball,38.0,Barbarian Barrel,6.0,,,,9,,,
00540,Sparky,95.0,Lightning,60.0,Giant Snowball,38.0,Barbarian Barrel,6.0,,,,10,,,
00555,Sparky,95.0,Lightning,60.0,Giant Snowball,38.0,Barbarian Barrel,6.0,,,,10,,,
00570,Sparky,95.0,Lightning,60.0,Giant Snowball,38.0,Barbarian Barrel,6.0,,,,10,,,
00585,Sparky,95.0,Lightning,60.0,Giant Snowball,38.0,Barbarian Barrel,6.0,,,,10,,,
00600,Sparky,95.0,Lightning,60.0,Giant Snowball,38.0,Barbarian Barrel,6.0,,,,10,,,
00615,Sparky,95.0,Lightning,60.0,Giant Snowball,38.0,Barbarian Barrel,6.0,,,,10,,,
00630,Sparky,95.0,Lightning,60.0,Giant Snowball,38.0,Barbarian Barrel,6.0,,,,10,,,
00645,Sparky,95.0,Lightning,60.0,Giant Snowball,38.0,Barbarian Barrel,6.0,,,,10,,,
00660,Sparky,95.0,Lightning,60.0,Giant Snowball,38.0,Barbarian Barrel,6.0,,,,10,,,
00675,Sparky,95.0,Lightning,60.0,Giant Snowball,38.0,Barbarian Barrel,6.0,,,,10,,,
00690,Sparky,95.0,Lightning,60.0,Giant Snowball,38.0,Barbarian Barrel,6.0,,,,10,,,
00705,Sparky,95.0,Lightning,60.0,Giant Snowball,38.0,Barbarian Barrel,6.0,,,,10,,,
00720,Sparky,95.0,Lightning,60.0,Giant Snowball,38.0,Barbarian Barrel,6.0,,,,10,,,
00735,Sparky,95.0,Lightning,60.0,Giant Snowball,38.0,Goblin Giant,43.0,,,,8,,,
00750,Sparky,95.0,Lightning,60.0,Giant Snowball,38.0,Goblin Giant,43.0,,,,8,,,
00765,Sparky,95.0,Lightning,60.0,Giant Snowball,38.0,Goblin Giant,43.0,,,,8,,,
00780,Sparky,95.0,Lightning,60.0,Giant Snowball,38.0,Goblin Giant,43.0,,,,8,,,
00795,Hunter,52.0,Lightning,60.0,Giant Snowball,38.0,Goblin Giant,43.0,,,,8,,,
00810,Hunter,52.0,Lightning,60.0,Giant Snowball,38.0,Goblin Giant,43.0,,,,3,,,
00825,Hunter,52.0,Lightning,60.0,Giant Snowball,38.0,Goblin Giant,43.0,,,,3,,,
00840,Hunter,52.0,Lightning,60.0,Giant Snowball,38.0,Goblin Giant,43.0,,,,3,,,
00855,Hunter,52.0,Lightning,60.0,Giant Snowball,38.0,Goblin Giant,43.0,,,,3,,,
00870,Hunter,52.0,Lightning,60.0,Giant Snowball,38.0,Goblin Giant,43.0,,,,3,,,
00885,Hunter,52.0,Lightning,60.0,Giant Snowball,38.0,Goblin Giant,43.0,,,,3,,,
00900,Hunter,52.0,Lightning,60.0,Giant Snowball,38.0,Goblin Giant,43.0,,,,4,,,
00915,Hunter,52.0,Lightning,60.0,Giant Snowball,38.0,Goblin Giant,43.0,,,,4,,,
00930,Hunter,52.0,Lightning,60.0,Giant Snowball,38.0,Goblin Giant,43.0,,,,4,,,
00945,Hunter,52.0,Lightning,60.0,Giant Snowball,38.0,Goblin Giant,43.0,,,,4,,,
00960,Hunter,52.0,Lightning,60.0,Giant Snowball,38.0,Goblin Giant,43.0,,,,4,,,
00975,Hunter,52.0,Lightning,60.0,Giant Snowball,38.0,Goblin Giant,43.0,,,,5,,,
00990,Hunter,52.0,Lightning,60.0,Giant Snowball,38.0,Goblin Giant,43.0,,,,5,,,
01005,Hunter,52.0,Lightning,60.0,Giant Snowball,38.0,Goblin Giant,43.0,,,,5,,,
01020,Hunter,52.0,Lightning,60.0,Giant Snowball,38.0,Goblin Giant,43.0,,,,5,,,
01035,Hunter,52.0,Lightning,60.0,Giant Snowball,38.0,Goblin Giant,43.0,,,,5,,,
01050,Hunter,52.0,Lightning,60.0,Giant Snowball,38.0,Goblin Giant,43.0,,,,5,,,
01065,Hunter,52.0,Lightning,60.0,Giant Snowball,38.0,Goblin Giant,43.0,,,,6,,,
01080,Hunter,52.0,Lightning,60.0,Giant Snowball,38.0,Goblin Giant,43.0,,,,6,,,
01095,Hunter,52.0,Lightning,60.0,Giant Snowball,38.0,Goblin Giant,43.0,,,,6,,,
01110,Dark Prince,18.0,Lightning,60.0,Giant Snowball,38.0,Goblin Giant,43.0,,,,2,,,
01125,Dark Prince,18.0,Lightning,60.0,Giant Snowball,38.0,Goblin Giant,43.0,,,,2,,,
