frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed
00240,Cannon Cart,16.0,Giant Snowball,38.0,Hunter,52.0,Magic Archer,62.0,,,,6,,,
00255,Cannon Cart,16.0,Giant Snowball,38.0,Hunter,52.0,Magic Archer,62.0,,,,6,,,
00270,Cannon Cart,16.0,Giant Snowball,38.0,Hunter,52.0,Magic Archer,62.0,,,,7,,,
00285,Cannon Cart,16.0,Giant Snowball,38.0,Hunter,52.0,Magic Archer,62.0,,,,7,,,
00300,Cannon Cart,16.0,Giant Snowball,38.0,Hunter,52.0,Magic Archer,62.0,,,,7,,,
00315,Cannon Cart,16.0,Giant Snowball,38.0,Hunter,52.0,Magic Archer,62.0,,,,7,,,
00330,Cannon Cart,16.0,Giant Snowball,38.0,Hunter,52.0,Magic Archer,62.0,,,,7,,,
00345,Cannon Cart,16.0,Giant Snowball,38.0,Hunter,52.0,Magic Archer,62.0,,,,7,,,
00360,Cannon Cart,16.0,Giant Snowball,38.0,Hunter,52.0,Magic Archer,62.0,,,,8,,,
00375,Cannon Cart,16.0,Giant Snowball,38.0,Hunter,52.0,Magic Archer,62.0,,,,8,,,
00390,Cannon Cart,16.0,Giant Snowball,38.0,Hunter,52.0,Magic Archer,62.0,,,,8,,,
00405,Cannon Cart,16.0,Giant Snowball,38.0,Hunter,52.0,Magic Archer,62.0,,,,8,,,
00420,Cannon Cart,16.0,Giant Snowball,38.0,Hunter,52.0,Magic Archer,62.0,,,,8,,,
00435,Cannon Cart,16.0,Giant Snowball,38.0,Hunter,52.0,Magic Archer,62.0,,,,8,,,
00450,Cannon Cart,16.0,Giant Snowball,38.0,Hunter,52.0,Magic Archer,62.0,,,,9,,,
00465,Cannon Cart,16.0,Giant Snowball,38.0,Hunter,52.0,Magic Archer,62.0,,,,9,,,
00480,Cannon Cart,16.0,Giant Snowball,38.0,Hunter,52.0,Magic Archer,62.0,,,,9,,,
00495,Cannon Cart,16.0,Giant Snowball,38.0,Hunter,52.0,Magic Archer,62.0,,,,9,,,
00510,Cannon Cart,16.0,Giant Snowball,38.0,Hunter,52.0,Magic Archer,62.0,,,,9,,,
00525,Cannon Cart,16.0,Giant Snowball,38.0,Hunter,52.0,Magic Archer,62.0,,,,10,,,
00540,Cannon Cart,16.0,Giant Snowball,38.0,Hunter,52.0,Magic Archer,62.0,,,,10,,,
00555,Cannon Cart,16.0,Giant Snowball,38.0,Hunter,52.0,Magic Archer,62.0,,,,10,,,
00570,Cannon Cart,16.0,Giant Snowball,38.0,Hunter,52.0,Magic Archer,62.0,,,,10,,,
00585,Cannon Cart,16.0,Giant Snowball,38.0,Hunter,52.0,Magic Archer,62.0,,,,10,,,
00600,Cannon Cart,16.0,Giant Snowball,38.0,Hunter,52.0,Magic Archer,62.0,,,,10,,,
00615,Cannon Cart,16.0,Giant Snowball,38.0,Hunter,52.0,Magic Archer,62.0,,,,10,,,
00630,Cannon Cart,16.0,Giant Snowball,38.0,Hunter,52.0,Magic Archer,62.0,,,,10,,,
00645,Cannon Cart,16.0,Giant Snowball,38.0,Hunter,52.0,Magic Archer,62.0,,,,10,,,
00660,Cannon Cart,16.0,Giant Snowball,38.0,Hunter,52.0,Magic Archer,62.0,,,,10,,,
00675,Cannon Cart,16.0,Giant Snowball,38.0,Hunter,52.0,Magic Archer,62.0,,,,10,,,
00690,Cannon Cart,16.0,Giant Snowball,38.0,Hunter,52.0,Magic Archer,62.0,,,,10,,,
00705,Cannon Cart,16.0,Giant Snowball,38.0,Hunter,52.0,Magic Archer,62.0,,,,10,,,
00720,Cannon Cart,16.0,Giant Snowball,38.0,Hunter,52.0,Magic Archer,62.0,,,,10,,,
00735,Cannon Cart,16.0,Giant Snowball,38.0,Hunter,52.0,Magic Archer,62.0,,,,10,,,
00750,Cannon Cart,16.0,Giant Snowball,38.0,Hunter,52.0,Magic Archer,62.0,,,,10,,,
00765,Cannon Cart,16.0,Giant Snowball,38.0,Hunter,52.0,Magic Archer,62.0,,,,10,,,
00780,Cannon Cart,16.0,Giant Snowball,38.0,Hunter,52.0,Magic Archer,62.0,,,,10,,,
00795,Cannon Cart,16.0,Giant Snowball,38.0,Hunter,52.0,Magic Archer,62.0,,,,10,,,
00810,Cannon Cart,16.0,Giant Snowball,38.0,Hunter,52.0,Magic Archer,62.0,,,,10,,,
00825,Cannon Cart,16.0,Giant Snowball,38.0,Hunter,52.0,Magic Archer,62.0,,,,10,,,
00840,Cannon Cart,16.0,Giant Snowball,38.0,Hunter,52.0,Magic Archer,62.0,,,,10,,,
00855,Cannon Cart,16.0,Giant Snowball,38.0,Hunter,52.0,Magic Archer,62.0,,,,10,,,
00870,Cannon Cart,16.0,Giant Snowball,38.0,Hunter,52.0,Magic Archer,62.0,,,,10,,,
00885,Cannon Cart,16.0,Giant Snowball,38.0,Hunter,52.0,Magic Archer,62.0,,,,10,,,
00900,Cannon Cart,16.0,Giant Snowball,38.0,Hunter,52.0,Magic Archer,62.0,,,,10,,,
00915,Cannon Cart,16.0,Giant Snowball,38.0,Hunter,52.0,Magic Archer,62.0,,,,10,,,
00930,Cannon Cart,16.0,Barbarian Barrel,6.0,Hunter,52.0,Magic Archer,62.0,,,,8,,,
00945,Cannon Cart,16.0,Barbarian Barrel,6.0,Hunter,52.0,Magic Archer,62.0,,,,8,,,
00960,Cannon Cart,16.0,Barbarian Barrel,6.0,Hunter,52.0,Magic Archer,62.0,,,,8,,,
00975,Cannon Cart,16.0,Barbarian Barrel,6.0,Hunter,52.0,Magic Archer,62.0,,,,8,,,
00990,Cannon Cart,16.0,Royal Ghost,86.0,Hunter,52.0,Magic Archer,62.0,,,,6,,,
01005,Cannon Cart,16.0,Royal Ghost,86.0,Hunter,52.0,Magic Archer,62.0,,,,6,,,
01020,Cannon Cart,16.0,Royal Ghost,86.0,Hunter,52.0,Magic Archer,62.0,,,,7,,,
01035,Cannon Cart,16.0,Royal Ghost,86.0,Hunter,52.0,Magic Archer,62.0,,,,7,,,
01050,Cannon Cart,16.0,Royal Ghost,86.0,Hunter,52.0,Magic Archer,62.0,,,,7,,,
01065,Cannon Cart,16.0,Royal Ghost,86.0,Hunter,52.0,Magic Archer,62.0,,,,7,,,
01080,Cannon Cart,16.0,Royal Ghost,86.0,Hunter,52.0,Magic Archer,62.0,,,,7,,,
01095,Cannon Cart,16.0,Royal Ghost,86.0,Hunter,52.0,Magic Archer,62.0,,,,8,,,
01110,Cannon Cart,16.0,Royal Ghost,86.0,Hunter,52.0,Magic Archer,62.0,,,,8,,,
01125,Cannon Cart,16.0,Royal Ghost,86.0,Hunter,52.0,Magic Archer,62.0,,,,8,,,
01140,Cannon Cart,16.0,Royal Ghost,86.0,Hunter,52.0,Magic Archer,62.0,,,,8,,,
01155,Cannon Cart,16.0,Royal Ghost,86.0,Hunter,52.0,Magic Archer,62.0,,,,8,,,
01170,Cannon Cart,16.0,Royal Ghost,86.0,Hunter,52.0,Magic Archer,62.0,,,,8,,,
01185,Cannon Cart,16.0,Royal Ghost,86.0,Hunter,52.0,Magic Archer,62.0,,,,9,,,
01200,Cannon Cart,16.0,Royal Ghost,86.0,Hunter,52.0,Magic Archer,62.0,,,,9,,,
01215,Cannon Cart,16.0,Royal Ghost,86.0,Hunter,52.0,Magic Archer,62.0,,,,9,,,
01230,Cannon Cart,16.0,Royal Ghost,86.0,Hunter,52.0,Magic Archer,62.0,,,,9,,,
01245,Cannon Cart,16.0,Royal Ghost,86.0,Hunter,52.0,Magic Archer,62.0,,,,9,,,
01260,Cannon Cart,16.0,Royal Ghost,86.0,Hunter,52.0,Magic Archer,62.0,,,,9,,,
01275,Cannon Cart,16.0,Royal Ghost,86.0,Hunter,52.0,Magic Archer,62.0,,,,10,,,
01290,Cannon Cart,16.0,Royal Ghost,86.0,Hunter,52.0,Magic Archer,62.0,,,,10,,,
01305,Cannon Cart,16.0,Royal Ghost,86.0,Hunter,52.0,Magic Archer,62.0,,,,10,,,
01320,Cannon Cart,16.0,Royal Ghost,86.0,Hunter,52.0,Magic Archer,62.0,,,,10,,,
