frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed,0,predicted_elixirConsumed
00255,Ram Rider,82.0,Bandit,5.0,Royal Ghost,86.0,Electro Wizard,24.0,,,,6,False,False,,,
00270,Ram Rider,82.0,Bandit,5.0,Royal Ghost,86.0,Electro Wizard,24.0,,,,6,False,False,,,
00285,Ram Rider,82.0,Bandit,5.0,Royal Ghost,86.0,Electro Wizard,24.0,,,,7,False,False,,,
00300,Ram Rider,82.0,Bandit,5.0,Royal Ghost,86.0,Electro Wizard,24.0,,,,7,False,False,,,
00315,Ram Rider,82.0,Bandit,5.0,Royal Ghost,86.0,Electro Wizard,24.0,,,,7,False,False,,,
00330,Ram Rider,82.0,Bandit,5.0,Royal Ghost,86.0,Electro Wizard,24.0,,,,7,False,False,,,
00345,Ram Rider,82.0,Bandit,5.0,Royal Ghost,86.0,Electro Wizard,24.0,,,,7,False,False,,,
00360,Ram Rider,82.0,Bandit,5.0,Royal Ghost,86.0,Electro Wizard,24.0,,,,7,False,False,,,
00375,Ram Rider,82.0,Bandit,5.0,Royal Ghost,86.0,Electro Wizard,24.0,,,,8,False,False,,,
00390,Ram Rider,82.0,Bandit,5.0,Royal Ghost,86.0,Electro Wizard,24.0,,,,8,False,False,,,
00405,Ram Rider,82.0,Bandit,5.0,Royal Ghost,86.0,Electro Wizard,24.0,,,,8,False,False,,,
00420,Ram Rider,82.0,Bandit,5.0,Royal Ghost,86.0,Electro Wizard,24.0,,,,8,False,False,,,
00435,Ram Rider,82.0,Bandit,5.0,Royal Ghost,86.0,Electro Wizard,24.0,,,,8,False,False,,,
00450,Ram Rider,82.0,Bandit,5.0,Royal Ghost,86.0,Electro Wizard,24.0,,,,9,False,False,,,
00465,Ram Rider,82.0,Bandit,5.0,Royal Ghost,86.0,Electro Wizard,24.0,,,,9,False,False,,,
00480,Ram Rider,82.0,Bandit,5.0,Royal Ghost,86.0,Electro Wizard,24.0,,,,9,False,False,,,
00495,Ram Rider,82.0,Bandit,5.0,Royal Ghost,86.0,Electro Wizard,24.0,,,,9,False,False,,,
00510,Ram Rider,82.0,Bandit,5.0,Royal Ghost,86.0,Electro Wizard,24.0,,,,9,False,False,,,
00525,Ram Rider,82.0,Bandit,5.0,Royal Ghost,86.0,Electro Wizard,24.0,,,,9,False,False,,,
00540,Ram Rider,82.0,Bandit,5.0,Royal Ghost,86.0,Electro Wizard,24.0,,,,10,False,False,,,
00555,Ram Rider,82.0,Bandit,5.0,Royal Ghost,86.0,Electro Wizard,24.0,,,,10,False,False,,,
00570,Ram Rider,82.0,Bandit,5.0,Royal Ghost,86.0,Electro Wizard,24.0,,,,10,False,False,,,
00585,Ram Rider,82.0,Bandit,5.0,Royal Ghost,86.0,Electro Wizard,24.0,,,,10,False,False,,,
00600,Ram Rider,82.0,Bandit,5.0,Royal Ghost,86.0,Electro Wizard,24.0,,,,10,False,False,,,
00615,Ram Rider,82.0,Bandit,5.0,Royal Ghost,86.0,Electro Wizard,24.0,,,,10,False,False,,,
00630,Ram Rider,82.0,Bandit,5.0,Royal Ghost,86.0,Electro Wizard,24.0,,,,10,False,False,,,
00645,Ram Rider,82.0,Bandit,5.0,Royal Ghost,86.0,Electro Wizard,24.0,,,,10,False,False,,,
00660,Ram Rider,82.0,Bandit,5.0,Royal Ghost,86.0,Electro Wizard,24.0,,,,10,False,False,,,
00675,Ram Rider,82.0,Bandit,5.0,Royal Ghost,86.0,Electro Wizard,24.0,,,,10,False,False,,,
00690,Ram Rider,82.0,Bandit,5.0,Royal Ghost,86.0,Electro Wizard,24.0,,,,10,False,False,,,
00705,Ram Rider,82.0,Bandit,5.0,Royal Ghost,86.0,Electro Wizard,24.0,,,,10,False,False,,,
00720,Ram Rider,82.0,Bandit,5.0,Royal Ghost,86.0,Electro Wizard,24.0,,,,10,False,False,,,
00735,Ram Rider,82.0,Bandit,5.0,Cannon Cart,16.0,Electro Wizard,24.0,Royal Ghost,86.0,3.0,7,True,True,,Royal Ghost,3.0
00750,Ram Rider,82.0,Bandit,5.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,7,False,False,,,
00765,Ram Rider,82.0,Bandit,5.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,7,False,False,,,
00780,Ram Rider,82.0,Bandit,5.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,7,False,False,,,
00795,Ram Rider,82.0,Bandit,5.0,Cannon Cart,16.0,Electro Wizard,24.0,,,,7,False,False,,,
