frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed
00255,Skeleton Dragons,91.0,Freeze,34.0,Skeleton Dragons,91.0,Royal Recruits,88.0,,,,6,,,
00270,Skeleton Dragons,91.0,Freeze,34.0,Skeleton Dragons,91.0,Royal Recruits,88.0,,,,6,,,
00285,Skeleton Dragons,91.0,Freeze,34.0,Skeleton Dragons,91.0,Royal Recruits,88.0,,,,6,,,
00300,Skeleton Dragons,91.0,Freeze,34.0,Skeleton Dragons,91.0,Royal Recruits,88.0,,,,7,,,
00315,Skeleton Dragons,91.0,Freeze,34.0,Skeleton Dragons,91.0,Royal Recruits,88.0,,,,7,,,
00330,Skeleton Dragons,91.0,Freeze,34.0,Skeleton Dragons,91.0,Royal Recruits,88.0,,,,7,,,
00345,Skeleton Dragons,91.0,Freeze,34.0,Skeleton Dragons,91.0,Royal Recruits,88.0,,,,7,,,
00360,Skeleton Dragons,91.0,Freeze,34.0,Skeleton Dragons,91.0,Royal Recruits,88.0,,,,7,,,
00375,Skeleton Dragons,91.0,Freeze,34.0,Skeleton Dragons,91.0,Royal Recruits,88.0,,,,7,,,
00390,Skeleton Dragons,91.0,Freeze,34.0,Skeleton Dragons,91.0,Royal Recruits,88.0,,,,8,,,
00405,Skeleton Dragons,91.0,Freeze,34.0,Skeleton Dragons,91.0,Royal Recruits,88.0,,,,8,,,
00420,Skeleton Dragons,91.0,Freeze,34.0,Skeleton Dragons,91.0,Royal Recruits,88.0,,,,8,,,
00435,Skeleton Dragons,91.0,Freeze,34.0,Skeleton Dragons,91.0,Royal Recruits,88.0,,,,8,,,
00450,Skeleton Dragons,91.0,Freeze,34.0,Skeleton Dragons,91.0,Royal Recruits,88.0,,,,8,,,
00465,Skeleton Dragons,91.0,Freeze,34.0,Skeleton Dragons,91.0,Royal Recruits,88.0,,,,8,,,
00480,Skeleton Dragons,91.0,Freeze,34.0,Skeleton Dragons,91.0,Royal Recruits,88.0,,,,9,,,
00495,Skeleton Dragons,91.0,Giant Snowball,38.0,Skeleton Dragons,91.0,Royal Recruits,88.0,,,,9,,,
00510,Skeleton Dragons,91.0,Giant Snowball,38.0,Skeleton Dragons,91.0,Royal Recruits,88.0,,,,9,,,
00525,Skeleton Dragons,91.0,Giant Snowball,38.0,Skeleton Dragons,91.0,Royal Recruits,88.0,,,,9,,,
00540,Skeleton Dragons,91.0,Giant Snowball,38.0,Skeleton Dragons,91.0,Royal Recruits,88.0,,,,9,,,
00555,Skeleton Dragons,91.0,Giant Snowball,38.0,Skeleton Dragons,91.0,Royal Recruits,88.0,,,,10,,,
00570,Skeleton Dragons,91.0,Royal Recruits,88.0,Skeleton Dragons,91.0,Royal Recruits,88.0,,,,9,,,
00585,Skeleton Dragons,91.0,Royal Recruits,88.0,Lumberjack,61.0,Royal Recruits,88.0,,,,9,,,
00600,Skeleton Dragons,91.0,Royal Recruits,88.0,Lumberjack,61.0,Royal Recruits,88.0,,,,9,,,
00615,Skeleton Dragons,91.0,Royal Recruits,88.0,Lumberjack,61.0,Royal Recruits,88.0,,,,9,,,
00630,Skeleton Dragons,91.0,Royal Recruits,88.0,Lumberjack,61.0,Royal Recruits,88.0,,,,9,,,
00645,Skeleton Dragons,91.0,Royal Recruits,88.0,Lumberjack,61.0,Royal Recruits,88.0,,,,10,,,
00660,Skeleton Dragons,91.0,Royal Recruits,88.0,Fireball,30.0,Royal Recruits,88.0,,,,9,,,
00675,Skeleton Dragons,91.0,Royal Recruits,88.0,Fireball,30.0,Royal Recruits,88.0,,,,9,,,
00690,Skeleton Dragons,91.0,Royal Recruits,88.0,Fireball,30.0,Royal Recruits,88.0,,,,9,,,
00705,Skeleton Dragons,91.0,Royal Recruits,88.0,Fireball,30.0,Royal Recruits,88.0,,,,9,,,
00720,Skeleton Dragons,91.0,Giant Snowball,38.0,Fireball,30.0,Royal Recruits,88.0,,,,6,,,
00735,Skeleton Dragons,91.0,Giant Snowball,38.0,Fireball,30.0,Royal Recruits,88.0,,,,7,,,
00750,Archer Queen,1.0,Giant Snowball,38.0,Fireball,30.0,Royal Recruits,88.0,,,,7,,,
00765,Archer Queen,1.0,Giant Snowball,38.0,Fireball,30.0,Royal Recruits,88.0,,,,7,,,
00780,Archer Queen,1.0,Giant Snowball,38.0,Fireball,30.0,Royal Recruits,88.0,,,,7,,,
