frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed
00225,Skeleton Dragons,91.0,Royal Recruits,88.0,Royal Recruits,88.0,Archer Queen,1.0,,,,6.0,,,
00240,Skeleton Dragons,91.0,Royal Recruits,88.0,Royal Recruits,88.0,Archer Queen,1.0,,,,6.0,,,
00255,Skeleton Dragons,91.0,Royal Recruits,88.0,Royal Recruits,88.0,Archer Queen,1.0,,,,6.0,,,
00270,Skeleton Dragons,91.0,Royal Recruits,88.0,Royal Recruits,88.0,Archer Queen,1.0,,,,6.0,,,
00285,Skeleton Dragons,91.0,Royal Recruits,88.0,Royal Recruits,88.0,Archer Queen,1.0,,,,7.0,,,
00300,Skeleton Dragons,91.0,Royal Recruits,88.0,Royal Recruits,88.0,Archer Queen,1.0,,,,7.0,,,
00315,Skeleton Dragons,91.0,Royal Recruits,88.0,Royal Recruits,88.0,Archer Queen,1.0,,,,7.0,,,
00330,Skeleton Dragons,91.0,Royal Recruits,88.0,Royal Recruits,88.0,Archer Queen,1.0,,,,7.0,,,
00345,Skeleton Dragons,91.0,Royal Recruits,88.0,Royal Recruits,88.0,Archer Queen,1.0,,,,7.0,,,
00360,Skeleton Dragons,91.0,Royal Recruits,88.0,Royal Recruits,88.0,Archer Queen,1.0,,,,7.0,,,
00375,Skeleton Dragons,91.0,Royal Recruits,88.0,Royal Recruits,88.0,Archer Queen,1.0,,,,8.0,,,
00390,Skeleton Dragons,91.0,Royal Recruits,88.0,Royal Recruits,88.0,Archer Queen,1.0,,,,8.0,,,
00405,Skeleton Dragons,91.0,Royal Recruits,88.0,Royal Recruits,88.0,Archer Queen,1.0,,,,8.0,,,
00420,Skeleton Dragons,91.0,Royal Recruits,88.0,Royal Recruits,88.0,Archer Queen,1.0,,,,8.0,,,
00435,Skeleton Dragons,91.0,Royal Recruits,88.0,Royal Recruits,88.0,Archer Queen,1.0,,,,8.0,,,
