frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed
00975,Barbarians,108.0,Skeleton Dragons,91.0,Inferno Tower,57.0,Royal Recruits,88.0,,,,8,,,
00990,Barbarians,108.0,Skeleton Dragons,91.0,Royal Hogs,87.0,Royal Recruits,88.0,,,,8,,,
01005,Barbarians,108.0,Skeleton Dragons,91.0,Royal Hogs,87.0,Royal Recruits,88.0,,,,8,,,
01020,Barbarians,108.0,Skeleton Dragons,91.0,Royal Hogs,87.0,Royal Recruits,88.0,,,,8,,,
01035,Barbarians,108.0,Skeleton Dragons,91.0,Royal Hogs,87.0,Royal Recruits,88.0,,,,9,,,
01050,Barbarians,108.0,Skeleton Dragons,91.0,Royal Hogs,87.0,Royal Recruits,88.0,,,,9,,,
01065,Barbarians,108.0,Skeleton Dragons,91.0,Royal Hogs,87.0,Royal Recruits,88.0,,,,9,,,
01080,Barbarians,108.0,Skeleton Dragons,91.0,Royal Hogs,87.0,Royal Recruits,88.0,,,,9,,,
01095,Barbarians,108.0,Skeleton Dragons,91.0,Zappies,107.0,Royal Recruits,88.0,,,,6,,,
01110,Barbarians,108.0,Skeleton Dragons,91.0,Royal Ghost,85.0,Royal Recruits,88.0,,,,6,,,
01125,Barbarians,108.0,Inferno Tower,57.0,Giant Skeleton,37.0,Royal Recruits,88.0,,,,7,,,
01140,Barbarians,108.0,Inferno Tower,57.0,Giant Skeleton,37.0,Royal Recruits,88.0,,,,7,,,
01155,Giant Snowball,38.0,Inferno Tower,57.0,Giant Skeleton,37.0,Royal Recruits,88.0,,,,7,,,
01170,Giant Snowball,38.0,Inferno Tower,57.0,Giant Skeleton,37.0,Royal Recruits,88.0,,,,7,,,
01185,Barbarians,108.0,Inferno Tower,57.0,Giant Skeleton,37.0,Royal Recruits,88.0,,,,7,,,
01200,Barbarians,108.0,Inferno Tower,57.0,Giant Skeleton,37.0,Royal Recruits,88.0,,,,7,,,
01215,Barbarians,108.0,Inferno Tower,57.0,Giant Skeleton,37.0,Royal Recruits,88.0,,,,8,,,
01230,Barbarians,108.0,Inferno Tower,57.0,Giant Skeleton,37.0,Royal Recruits,88.0,,,,8,,,
01245,Barbarians,108.0,Inferno Tower,57.0,Giant Skeleton,37.0,Royal Recruits,88.0,,,,8,,,
01260,Barbarians,108.0,Inferno Tower,57.0,Giant Skeleton,37.0,Royal Recruits,88.0,,,,8,,,
01275,Barbarians,108.0,Inferno Tower,57.0,Mortar,71.0,Royal Recruits,88.0,,,,4,,,
01290,Barbarians,108.0,Skeleton Dragons,91.0,Mortar,71.0,Royal Recruits,88.0,,,,5,,,
01305,Giant Snowball,38.0,Skeleton Dragons,91.0,Mortar,71.0,Royal Recruits,88.0,,,,5,,,
01320,Barbarians,108.0,Inferno Tower,57.0,Mortar,71.0,Royal Recruits,88.0,,,,5,,,
01335,Barbarians,108.0,Inferno Tower,57.0,Mortar,71.0,Royal Recruits,88.0,,,,5,,,
01350,Giant Snowball,38.0,Inferno Tower,57.0,Mortar,71.0,Royal Recruits,88.0,,,,5,,,
01365,Giant Snowball,38.0,Inferno Tower,57.0,Mortar,71.0,Royal Recruits,88.0,,,,5,,,
01380,Giant Snowball,38.0,Inferno Tower,57.0,Mortar,71.0,Royal Recruits,88.0,,,,6,,,
01395,Giant Snowball,38.0,Inferno Tower,57.0,Mortar,71.0,Royal Recruits,88.0,,,,6,,,
01410,Barbarians,108.0,Inferno Tower,57.0,Mortar,71.0,Royal Recruits,88.0,,,,6,,,
01425,Barbarians,108.0,Inferno Tower,57.0,Mortar,71.0,Royal Recruits,88.0,,,,6,,,
01440,Giant Snowball,38.0,Skeleton Dragons,91.0,Mortar,71.0,Royal Recruits,88.0,,,,6,,,
01455,Giant Snowball,38.0,Skeleton Dragons,91.0,Mortar,71.0,Royal Recruits,88.0,,,,7,,,
01470,Giant Snowball,38.0,Skeleton Dragons,91.0,Cannon Cart,16.0,Royal Recruits,88.0,,,,7,,,
01485,Giant Snowball,38.0,Skeleton Dragons,91.0,Cannon Cart,16.0,Royal Recruits,88.0,,,,7,,,
01500,Giant Snowball,38.0,Skeleton Dragons,91.0,Cannon Cart,16.0,Royal Recruits,88.0,,,,7,,,
01515,Giant Snowball,38.0,Skeleton Dragons,91.0,Cannon Cart,16.0,Royal Recruits,88.0,,,,7,,,
01530,Giant Snowball,38.0,Skeleton Dragons,91.0,Cannon Cart,16.0,Royal Recruits,88.0,,,,7,,,
01545,Barbarians,108.0,Skeleton Dragons,91.0,Mortar,71.0,Royal Recruits,88.0,,,,8,,,
01560,Barbarians,108.0,Skeleton Dragons,91.0,Mortar,71.0,Royal Recruits,88.0,,,,8,,,
01575,Barbarians,108.0,Skeleton Dragons,91.0,Mortar,71.0,Royal Recruits,88.0,,,,8,,,
01590,Giant Snowball,38.0,Skeleton Dragons,91.0,Mortar,71.0,Royal Recruits,88.0,,,,8,,,
01605,Giant Snowball,38.0,Inferno Tower,57.0,Mortar,71.0,Royal Recruits,88.0,,,,8,,,
01620,Giant Snowball,38.0,Inferno Tower,57.0,Mortar,71.0,Royal Recruits,88.0,,,,8,,,
01635,Giant Snowball,38.0,Inferno Tower,57.0,Mortar,71.0,Royal Recruits,88.0,,,,9,,,
01650,Giant,36.0,Inferno Tower,57.0,Mortar,71.0,Royal Recruits,88.0,,,,7,,,
01665,Giant,36.0,Inferno Tower,57.0,Mortar,71.0,Royal Recruits,88.0,,,,7,,,
01680,Giant,36.0,Inferno Tower,57.0,Mortar,71.0,Royal Recruits,88.0,,,,7,,,
01695,Giant,36.0,Inferno Tower,57.0,Mortar,71.0,Royal Recruits,88.0,,,,7,,,
01710,Giant,36.0,Inferno Tower,57.0,Mortar,71.0,Royal Recruits,88.0,,,,8,,,
01725,Giant,36.0,Inferno Tower,57.0,Mortar,71.0,Royal Recruits,88.0,,,,8,,,
01740,Giant,36.0,Inferno Tower,57.0,Mortar,71.0,Royal Recruits,88.0,,,,8,,,
01755,Giant,36.0,Inferno Tower,57.0,Mortar,71.0,Royal Recruits,88.0,,,,8,,,
01770,Giant,36.0,Inferno Tower,57.0,Mortar,71.0,Royal Recruits,88.0,,,,8,,,
01785,Giant,36.0,Inferno Tower,57.0,Cannon Cart,16.0,Royal Recruits,88.0,,,,8,,,
01800,Giant,36.0,Inferno Tower,57.0,Cannon Cart,16.0,Royal Recruits,88.0,,,,9,,,
01815,Giant,36.0,Inferno Tower,57.0,Cannon Cart,16.0,Royal Recruits,88.0,,,,9,,,
01830,Giant,36.0,Inferno Tower,57.0,Cannon Cart,16.0,Royal Recruits,88.0,,,,9,,,
01845,Giant,36.0,Inferno Tower,57.0,Cannon Cart,16.0,Fireball,30.0,,,,9,,,
01860,Giant,36.0,Skeleton Dragons,91.0,Cannon Cart,16.0,Royal Recruits,88.0,,,,9,,,
01875,Giant,36.0,Inferno Tower,57.0,Cannon Cart,16.0,Royal Recruits,88.0,,,,9,,,
01890,Giant,36.0,Inferno Tower,57.0,Cannon Cart,16.0,Royal Recruits,88.0,,,,10,,,
01905,Giant,36.0,Inferno Tower,57.0,Archer Queen,1.0,Royal Recruits,88.0,,,,5,,,
01920,Giant,36.0,Skeleton Dragons,91.0,Archer Queen,1.0,Royal Recruits,88.0,,,,5,,,
01935,Giant,36.0,Inferno Tower,57.0,Archer Queen,1.0,Royal Recruits,88.0,,,,5,,,
01950,Giant,36.0,Skeleton Dragons,91.0,Archer Queen,1.0,Royal Recruits,88.0,,,,5,,,
01965,Giant,36.0,Skeleton Dragons,91.0,Archer Queen,1.0,Royal Recruits,88.0,,,,5,,,
01980,Giant,36.0,Skeleton Dragons,91.0,Archer Queen,1.0,Royal Recruits,88.0,,,,6,,,
01995,Giant,36.0,Skeleton Dragons,91.0,Archer Queen,1.0,Royal Recruits,88.0,,,,6,,,
02010,Giant,36.0,Skeleton Dragons,91.0,Archer Queen,1.0,Royal Recruits,88.0,,,,6,,,
02025,Giant,36.0,Skeleton Dragons,91.0,Archer Queen,1.0,Royal Recruits,88.0,,,,6,,,
02040,Giant,36.0,Skeleton Dragons,91.0,Archer Queen,1.0,Royal Recruits,88.0,,,,6,,,
02055,Giant,36.0,Skeleton Dragons,91.0,Archer Queen,1.0,Royal Recruits,88.0,,,,6,,,
02070,Giant,36.0,Skeleton Dragons,91.0,Archer Queen,1.0,Royal Recruits,88.0,,,,7,,,
02085,Giant,36.0,Skeleton Dragons,91.0,Archer Queen,1.0,Royal Recruits,88.0,,,,7,,,
02100,Giant,36.0,Skeleton Dragons,91.0,Archer Queen,1.0,Royal Recruits,88.0,,,,7,,,
02115,Giant,36.0,Skeleton Dragons,91.0,Archer Queen,1.0,Royal Recruits,88.0,,,,7,,,
02130,Giant,36.0,Skeleton Dragons,91.0,Archer Queen,1.0,Royal Recruits,88.0,,,,7,,,
02145,Giant,36.0,Inferno Tower,57.0,Giant,36.0,Royal Recruits,88.0,,,,8,,,
02160,Giant,36.0,Inferno Tower,57.0,Giant,36.0,Royal Recruits,88.0,,,,8,,,
02175,Giant,36.0,Inferno Tower,57.0,Giant,36.0,Royal Recruits,88.0,,,,8,,,
02190,Giant,36.0,Magic Archer,62.0,Archer Queen,1.0,Royal Recruits,88.0,,,,8,,,
02205,Giant,36.0,Skeleton Dragons,91.0,Inferno Tower,57.0,Royal Recruits,88.0,,,,4,,,
