frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed,0,predicted_elixirConsumed
00225,Freeze,34.0,Freeze,34.0,Freeze,34.0,Freeze,34.0,,,,6,False,False,,,
00240,Freeze,34.0,Freeze,34.0,Freeze,34.0,Freeze,34.0,,,,6,False,False,,,
00255,Freeze,34.0,Freeze,34.0,Freeze,34.0,Freeze,34.0,,,,6,False,False,,,
00270,Freeze,34.0,Freeze,34.0,Freeze,34.0,Freeze,34.0,,,,6,False,False,,,
00285,Freeze,34.0,Freeze,34.0,Freeze,34.0,Freeze,34.0,,,,7,False,False,,,
00300,Freeze,34.0,Freeze,34.0,Freeze,34.0,Freeze,34.0,,,,7,False,False,,,
00315,Freeze,34.0,Freeze,34.0,Freeze,34.0,Freeze,34.0,,,,7,False,False,,,
00330,Freeze,34.0,Freeze,34.0,Freeze,34.0,Freeze,34.0,,,,7,False,False,,,
00345,Freeze,34.0,Freeze,34.0,Freeze,34.0,Monk,70.0,Freeze,34.0,4.0,7,True,False,,Freeze,4.0
00360,Freeze,34.0,Freeze,34.0,Freeze,34.0,Monk,70.0,,,,7,False,False,,,
00375,Freeze,34.0,Freeze,34.0,Freeze,34.0,Monk,70.0,,,,8,False,False,,,
00390,Freeze,34.0,Freeze,34.0,Freeze,34.0,Monk,70.0,,,,8,False,False,,,
00405,Freeze,34.0,Freeze,34.0,Freeze,34.0,Monk,70.0,,,,8,False,False,,,
00420,Freeze,34.0,Freeze,34.0,Freeze,34.0,Monk,70.0,,,,8,False,False,,,
00435,Freeze,34.0,Freeze,34.0,Freeze,34.0,Monk,70.0,,,,8,False,False,,,
00450,Freeze,34.0,Freeze,34.0,Freeze,34.0,Monk,70.0,,,,9,False,False,,,
00465,Freeze,34.0,Freeze,34.0,Freeze,34.0,Freeze,34.0,Monk,70.0,4.0,9,True,False,,Monk,5.0
00480,Freeze,34.0,Freeze,34.0,Freeze,34.0,Freeze,34.0,,,,9,False,False,,,
00495,Freeze,34.0,Freeze,34.0,Freeze,34.0,Freeze,34.0,,,,9,False,False,,,
00510,Freeze,34.0,Freeze,34.0,Freeze,34.0,Freeze,34.0,,,,9,False,False,,,
