frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed,predicted_elixirConsumed
00870,Phoenix,76.0,Fireball,30.0,Rocket,83.0,Electro Wizard,24.0,,,,8,False,False,0.0,0.0
00885,Phoenix,76.0,Fireball,30.0,Rocket,83.0,Electro Wizard,24.0,,,,8,False,False,0.0,0.0
00900,Phoenix,76.0,Fireball,30.0,Rocket,83.0,Electro Wizard,24.0,,,,8,False,False,0.0,0.0
00915,Firecracker,31.0,Fireball,30.0,Rocket,83.0,Electro Wizard,24.0,Phoenix,76.0,1.0,9,True,False,0.0,4.0
00930,Phoenix,76.0,Fireball,30.0,Rocket,83.0,Electro Wizard,24.0,Firecracker,31.0,1.0,9,True,False,0.0,3.0
00945,Phoenix,76.0,Fireball,30.0,Rocket,83.0,Electro Wizard,24.0,,,,9,False,False,0.0,0.0
00960,Phoenix,76.0,Fireball,30.0,Rocket,83.0,Electro Wizard,24.0,,,,9,False,False,0.0,0.0
00975,Phoenix,76.0,Fireball,30.0,Rocket,83.0,Electro Wizard,24.0,,,,9,False,False,0.0,0.0
00990,Phoenix,76.0,Fireball,30.0,Rocket,83.0,Electro Wizard,24.0,,,,9,False,False,0.0,0.0
01005,Phoenix,76.0,Fireball,30.0,Rocket,83.0,Phoenix,76.0,Electro Wizard,24.0,4.0,6,True,True,3.0,4.0
01020,Phoenix,76.0,Fireball,30.0,Rocket,83.0,Phoenix,76.0,,,,6,False,False,0.0,0.0
01035,Phoenix,76.0,Fireball,30.0,Rocket,83.0,Phoenix,76.0,,,,6,False,False,0.0,0.0
01050,Phoenix,76.0,Fireball,30.0,Rocket,83.0,Phoenix,76.0,,,,6,False,False,0.0,0.0
01065,Phoenix,76.0,Fireball,30.0,Rocket,83.0,Phoenix,76.0,,,,6,False,False,0.0,0.0
01080,Phoenix,76.0,Fireball,30.0,Rocket,83.0,Phoenix,76.0,,,,6,False,False,0.0,0.0
01095,Phoenix,76.0,Fireball,30.0,Rocket,83.0,Phoenix,76.0,,,,7,False,False,0.0,0.0
01110,Phoenix,76.0,Fireball,30.0,Rocket,83.0,Rocket,83.0,Phoenix,76.0,4.0,7,True,False,0.0,4.0
01125,Firecracker,31.0,Fireball,30.0,Rocket,83.0,Rocket,83.0,Phoenix,76.0,1.0,7,True,False,0.0,4.0
01140,Phoenix,76.0,Fireball,30.0,Rocket,83.0,Rocket,83.0,Firecracker,31.0,1.0,7,True,False,0.0,3.0
01155,Phoenix,76.0,Fireball,30.0,Rocket,83.0,Rocket,83.0,,,,7,False,False,0.0,0.0
01170,Firecracker,31.0,Fireball,30.0,Rocket,83.0,Rocket,83.0,Phoenix,76.0,1.0,8,True,False,0.0,4.0
01185,Firecracker,31.0,Fireball,30.0,Rocket,83.0,Rocket,83.0,,,,8,False,False,0.0,0.0
01200,Phoenix,76.0,Fireball,30.0,Rocket,83.0,Rocket,83.0,Firecracker,31.0,1.0,8,True,False,0.0,3.0
01215,Firecracker,31.0,Fireball,30.0,Rocket,83.0,Rocket,83.0,Phoenix,76.0,1.0,8,True,False,0.0,4.0
