frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed
00225,Guards,49.0,Lava Hound,59.0,Archers,109.0,Knight,58.0,,,,6.0,,,
00240,Guards,49.0,Lava Hound,59.0,Archers,109.0,Knight,58.0,,,,6.0,,,
00255,Guards,49.0,Lava Hound,59.0,Archers,109.0,Knight,58.0,,,,6.0,,,
00270,Guards,49.0,Lava Hound,59.0,Archers,109.0,Knight,58.0,,,,6.0,,,
00285,Guards,49.0,Lava Hound,59.0,Archers,109.0,Knight,58.0,,,,7.0,,,
00300,Guards,49.0,Lava Hound,59.0,Archers,109.0,Knight,58.0,,,,7.0,,,
00315,Guards,49.0,Lava Hound,59.0,Archers,109.0,Knight,58.0,,,,7.0,,,
00330,Guards,49.0,Lava Hound,59.0,Archers,109.0,Knight,58.0,,,,7.0,,,
00345,Guards,49.0,Lava Hound,59.0,Archers,109.0,Knight,58.0,,,,7.0,,,
00360,Guards,49.0,Lava Hound,59.0,Archers,109.0,Knight,58.0,,,,8.0,,,
00375,Guards,49.0,Lava Hound,59.0,Archers,109.0,Knight,58.0,,,,8.0,,,
00390,Guards,49.0,Lava Hound,59.0,Archers,109.0,Knight,58.0,,,,8.0,,,
00405,Guards,49.0,Lava Hound,59.0,Archers,109.0,Knight,58.0,,,,8.0,,,
00420,Guards,49.0,Lava Hound,59.0,Archers,109.0,Knight,58.0,,,,8.0,,,
00435,Guards,49.0,Lava Hound,59.0,Archers,109.0,Knight,58.0,,,,8.0,,,
00450,Guards,49.0,Lava Hound,59.0,Archers,109.0,Knight,58.0,,,,9.0,,,
00465,Guards,49.0,Lava Hound,59.0,Archers,109.0,Knight,58.0,,,,9.0,,,
00480,Mega Knight,63.0,Lava Hound,59.0,Archers,109.0,Knight,58.0,,,,9.0,,,
00495,Mega Knight,63.0,Lava Hound,59.0,Archers,109.0,Knight,58.0,,,,9.0,,,
00510,Mega Knight,63.0,Lava Hound,59.0,Archers,109.0,Knight,58.0,,,,9.0,,,
00525,Mega Knight,63.0,Lava Hound,59.0,Archers,109.0,Knight,58.0,,,,9.0,,,
00540,Mega Knight,63.0,Lava Hound,59.0,Archers,109.0,Knight,58.0,,,,10.0,,,
00555,Mega Knight,63.0,Lava Hound,59.0,Archers,109.0,Knight,58.0,,,,10.0,,,
00570,Mega Knight,63.0,Lava Hound,59.0,Archers,109.0,Knight,58.0,,,,10.0,,,
00585,Mega Knight,63.0,Lava Hound,59.0,Archers,109.0,Knight,58.0,,,,10.0,,,
00600,Mega Knight,63.0,Lava Hound,59.0,Archers,109.0,Knight,58.0,,,,10.0,,,
00615,Mega Knight,63.0,Lava Hound,59.0,Fisherman,32.0,Knight,58.0,,,,6.0,,,
00630,Mega Knight,63.0,Lava Hound,59.0,Fisherman,32.0,Knight,58.0,,,,6.0,,,
00645,Guards,49.0,Lava Hound,59.0,Fisherman,32.0,Knight,58.0,,,,6.0,,,
00660,Guards,49.0,Lava Hound,59.0,Fisherman,32.0,Knight,58.0,,,,6.0,,,
00675,Guards,49.0,Lava Hound,59.0,Fisherman,32.0,Knight,58.0,,,,6.0,,,
00690,Guards,49.0,Lava Hound,59.0,Fisherman,32.0,Knight,58.0,,,,7.0,,,
