frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed,0,predicted_elixirConsumed
00870,Prince,78.0,Fireball,30.0,Rage,80.0,Dark Prince,18.0,,,,8,False,False,,,
00885,Prince,78.0,Fireball,30.0,Rage,80.0,Dark Prince,18.0,,,,8,False,False,,,
00900,Archer Queen,1.0,Fireball,30.0,Rage,80.0,Dark Prince,18.0,Prince,78.0,1.0,8,True,False,,Prince,5.0
00915,Archer Queen,1.0,Fireball,30.0,Rage,80.0,Dark Prince,18.0,,,,9,False,False,,,
00930,Archer Queen,1.0,Fireball,30.0,Rage,80.0,Dark Prince,18.0,,,,9,False,False,,,
00945,Prince,78.0,Fireball,30.0,Rage,80.0,Dark Prince,18.0,Archer Queen,1.0,1.0,9,True,False,,Archer Queen,5.0
00960,Prince,78.0,Fireball,30.0,Rage,80.0,Electro Wizard,24.0,Dark Prince,18.0,4.0,9,True,False,,Dark Prince,4.0
00975,Prince,78.0,Fireball,30.0,Rage,80.0,Electro Wizard,24.0,,,,9,False,False,,,
00990,Prince,78.0,Fireball,30.0,Rage,80.0,Electro Wizard,24.0,,,,9,False,False,,,
01005,Prince,78.0,Fireball,30.0,Rage,80.0,Electro Wizard,24.0,,,,6,False,True,,,
01020,Prince,78.0,Fireball,30.0,Rage,80.0,Electro Wizard,24.0,,,,6,False,False,,,
01035,Prince,78.0,Fireball,30.0,Rage,80.0,Electro Wizard,24.0,,,,6,False,False,,,
01050,Prince,78.0,Fireball,30.0,Rage,80.0,Electro Wizard,24.0,,,,6,False,False,,,
01065,Prince,78.0,Fireball,30.0,Rage,80.0,Electro Wizard,24.0,,,,6,False,False,,,
01080,Prince,78.0,Fireball,30.0,Rage,80.0,Electro Wizard,24.0,,,,6,False,False,,,
01095,Prince,78.0,Fireball,30.0,Rage,80.0,Electro Wizard,24.0,,,,7,False,False,,,
01110,Prince,78.0,Fireball,30.0,Rage,80.0,Electro Wizard,24.0,,,,7,False,False,,,
01125,Archer Queen,1.0,Fireball,30.0,Rage,80.0,Electro Wizard,24.0,Prince,78.0,1.0,7,True,False,,Prince,5.0
01140,Archer Queen,1.0,Fireball,30.0,Rage,80.0,Electro Wizard,24.0,,,,7,False,False,,,
01155,Archer Queen,1.0,Fireball,30.0,Rage,80.0,Electro Wizard,24.0,,,,7,False,False,,,
01170,Prince,78.0,Fireball,30.0,Rage,80.0,Electro Wizard,24.0,Archer Queen,1.0,1.0,7,True,False,,Archer Queen,5.0
01185,Archer Queen,1.0,Fireball,30.0,Rage,80.0,Electro Wizard,24.0,Prince,78.0,1.0,8,True,False,,Prince,5.0
01200,Archer Queen,1.0,Fireball,30.0,Rage,80.0,Electro Wizard,24.0,,,,8,False,False,,,
01215,Prince,78.0,Fireball,30.0,Rage,80.0,Electro Wizard,24.0,Archer Queen,1.0,1.0,8,True,False,,Archer Queen,5.0
01230,Prince,78.0,Fireball,30.0,Rage,80.0,Electro Wizard,24.0,,,,8,False,False,,,
01245,Prince,78.0,Fireball,30.0,Rage,80.0,Electro Wizard,24.0,,,,8,False,False,,,
01260,Prince,78.0,Fireball,30.0,Rage,80.0,Electro Wizard,24.0,,,,9,False,False,,,
01275,Prince,78.0,Fireball,30.0,Rage,80.0,Electro Wizard,24.0,,,,9,False,False,,,
01290,Prince,78.0,Fireball,30.0,Rage,80.0,Electro Wizard,24.0,,,,9,False,False,,,
01305,Prince,78.0,Fireball,30.0,Rage,80.0,Electro Wizard,24.0,,,,9,False,False,,,
01320,Prince,78.0,Fireball,30.0,Rage,80.0,Electro Wizard,24.0,,,,9,False,False,,,
01335,Prince,78.0,Fireball,30.0,Rage,80.0,Electro Wizard,24.0,,,,5,False,True,,,
01350,Prince,78.0,Fireball,30.0,Rage,80.0,Electro Wizard,24.0,,,,5,False,False,,,
