frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed
01470,Elixir Golem,27.0,Tornado,100.0,Battle Healer,10.0,Inferno Dragon,56.0,,,,4.0,,,
01485,,,Executioner,28.0,,,,,,,,1.0,,,
01500,,,,,,,,,,,,1.0,,,
01515,,,,,,,,,,,,2.0,,,
01530,,,,,,,,,,,,2.0,,,
01545,,,,,,,,,,,,2.0,,,
01560,,,,,,,,,,,,2.0,,,
01575,,,,,,,,,,,,2.0,,,
01590,,,,,,,,,,,,2.0,,,
01605,Elixir Golem,27.0,,,,,,,,,,3.0,,,
01620,Elixir Golem,27.0,,,,,,,,,,3.0,,,
01635,,,,,,,,,,,,0.0,,,
01650,,,,,,,,,,,,0.0,,,
01665,,,,,,,,,,,,0.0,,,
01680,,,,,,,,,,,,1.0,,,
01695,,,,,,,,,,,,1.0,,,
01710,,,,,,,,,,,,1.0,,,
01725,,,,,,,,,,,,1.0,,,
01740,,,,,,,,,,,,1.0,,,
01755,,,,,,,,,,,,1.0,,,
01770,Zap,106.0,,,,,,,,,,2.0,,,
01785,Zap,106.0,,,,,,,,,,2.0,,,
01800,Zap,106.0,,,,,,,,,,2.0,,,
01815,Zap,106.0,,,,,,,,,,2.0,,,
01830,Zap,106.0,,,,,,,,,,2.0,,,
01845,Zap,106.0,,,,,,,,,,3.0,,,
01860,Zap,106.0,,,,,,,,,,3.0,,,
01875,Zap,106.0,,,,,,,,,,3.0,,,
01890,Zap,106.0,,,,,,,,,,3.0,,,
01905,Zap,106.0,,,,,,,,,,3.0,,,
01920,Zap,106.0,,,,,,,,,,3.0,,,
01935,Zap,106.0,,,Battle Healer,10.0,Inferno Dragon,56.0,,,,4.0,,,
01950,Zap,106.0,,,Battle Healer,10.0,Inferno Dragon,56.0,,,,4.0,,,
01965,Zap,106.0,,,Battle Healer,10.0,Inferno Dragon,56.0,,,,4.0,,,
01980,Zap,106.0,,,Battle Healer,10.0,Inferno Dragon,56.0,,,,4.0,,,
