frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed,0,predicted_elixirConsumed
00870,Barbarian Barrel,6.0,,,,,Golden Knight,46.0,,,,8,False,False,,,
00885,Barbarian Barrel,6.0,,,,,Golden Knight,46.0,,,,8,False,False,,,
00900,Barbarian Barrel,6.0,Zappies,107.0,Royal Hogs,87.0,Golden Knight,46.0,,,3.0,8,True,False,,,
00915,Barbarian Barrel,6.0,Zappies,107.0,Royal Hogs,87.0,Golden Knight,46.0,,,,9,False,False,,,
00930,Barbarian Barrel,6.0,Zappies,107.0,Royal Hogs,87.0,Golden Knight,46.0,,,,9,False,False,,,
00945,Barbarian Barrel,6.0,Zappies,107.0,Royal Hogs,87.0,Golden Knight,46.0,,,,9,False,False,,,
00960,Barbarian Barrel,6.0,Zappies,107.0,Royal Hogs,87.0,Golden Knight,46.0,,,,9,False,False,,,
00975,Barbarian Barrel,6.0,Zappies,107.0,Royal Hogs,87.0,Golden Knight,46.0,,,,9,False,False,,,
00990,Barbarian Barrel,6.0,Zappies,107.0,Royal Hogs,87.0,Golden Knight,46.0,,,,9,False,False,,,
01005,Barbarian Barrel,6.0,Zappies,107.0,Royal Hogs,87.0,Golden Knight,46.0,,,,10,False,False,,,
01020,Barbarian Barrel,6.0,Zappies,107.0,Royal Hogs,87.0,Golden Knight,46.0,,,,10,False,False,,,
01035,Barbarian Barrel,6.0,Zappies,107.0,Royal Hogs,87.0,Golden Knight,46.0,,,,10,False,False,,,
01050,Barbarian Barrel,6.0,Zappies,107.0,Royal Hogs,87.0,Golden Knight,46.0,,,,10,False,False,,,
01065,Barbarian Barrel,6.0,Zappies,107.0,Royal Hogs,87.0,Golden Knight,46.0,,,,10,False,False,,,
01080,Barbarian Barrel,6.0,Zappies,107.0,Royal Hogs,87.0,Golden Knight,46.0,,,,10,False,False,,,
01095,Barbarian Barrel,6.0,Zappies,107.0,Royal Hogs,87.0,Golden Knight,46.0,,,,10,False,False,,,
01110,Barbarian Barrel,6.0,Zappies,107.0,Royal Hogs,87.0,Golden Knight,46.0,,,,10,False,False,,,
01125,Barbarian Barrel,6.0,Zappies,107.0,Royal Hogs,87.0,Golden Knight,46.0,,,,10,False,False,,,
01140,Barbarian Barrel,6.0,Zappies,107.0,Royal Hogs,87.0,Golden Knight,46.0,,,,10,False,False,,,
01155,Barbarian Barrel,6.0,Zappies,107.0,Royal Hogs,87.0,Golden Knight,46.0,,,,10,False,False,,,
01170,Barbarian Barrel,6.0,Zappies,107.0,Royal Hogs,87.0,Golden Knight,46.0,,,,10,False,False,,,
01185,Barbarian Barrel,6.0,Zappies,107.0,Royal Hogs,87.0,Golden Knight,46.0,,,,10,False,False,,,
01200,Barbarian Barrel,6.0,Zappies,107.0,Royal Hogs,87.0,Golden Knight,46.0,,,,10,False,False,,,
01215,Barbarian Barrel,6.0,Zappies,107.0,Royal Hogs,87.0,Golden Knight,46.0,,,,10,False,False,,,
01230,Barbarian Barrel,6.0,Zappies,107.0,Royal Hogs,87.0,Golden Knight,46.0,,,,10,False,False,,,
01245,Barbarian Barrel,6.0,Zappies,107.0,Royal Hogs,87.0,Royal Recruits,88.0,Golden Knight,46.0,4.0,6,True,True,,Golden Knight,4.0
01260,Barbarian Barrel,6.0,Zappies,107.0,Royal Hogs,87.0,Royal Recruits,88.0,,,,6,False,False,,,
01275,Barbarian Barrel,6.0,Zappies,107.0,Royal Hogs,87.0,Royal Recruits,88.0,,,,6,False,False,,,
01290,Barbarian Barrel,6.0,Zappies,107.0,Royal Hogs,87.0,Royal Recruits,88.0,,,,6,False,False,,,
01305,Barbarian Barrel,6.0,Zappies,107.0,Royal Hogs,87.0,Royal Recruits,88.0,,,,6,False,False,,,
01320,Barbarian Barrel,6.0,Zappies,107.0,Royal Hogs,87.0,Royal Recruits,88.0,,,,6,False,False,,,
01335,Barbarian Barrel,6.0,Zappies,107.0,Royal Hogs,87.0,Royal Recruits,88.0,,,,7,False,False,,,
01350,Barbarian Barrel,6.0,Zappies,107.0,Royal Hogs,87.0,Royal Recruits,88.0,,,,7,False,False,,,
01365,Barbarian Barrel,6.0,Zappies,107.0,Royal Hogs,87.0,Royal Recruits,88.0,,,,7,False,False,,,
01380,Barbarian Barrel,6.0,Zappies,107.0,Royal Hogs,87.0,Royal Recruits,88.0,,,,7,False,False,,,
01395,Barbarian Barrel,6.0,Zappies,107.0,Royal Hogs,87.0,Royal Recruits,88.0,,,,7,False,False,,,
01410,Barbarian Barrel,6.0,Zappies,107.0,Royal Hogs,87.0,Royal Recruits,88.0,,,,7,False,False,,,
01425,Barbarian Barrel,6.0,Zappies,107.0,Royal Hogs,87.0,Royal Recruits,88.0,,,,8,False,False,,,
01440,Barbarian Barrel,6.0,Zappies,107.0,Royal Hogs,87.0,Royal Recruits,88.0,,,,8,False,False,,,
01455,Barbarian Barrel,6.0,Zappies,107.0,Royal Hogs,87.0,Royal Recruits,88.0,,,,8,False,False,,,
01470,Barbarian Barrel,6.0,Zappies,107.0,Royal Hogs,87.0,Royal Recruits,88.0,,,,8,False,False,,,
01485,Barbarian Barrel,6.0,Zappies,107.0,Royal Hogs,87.0,Royal Recruits,88.0,,,,8,False,False,,,
01500,Barbarian Barrel,6.0,Zappies,107.0,Royal Hogs,87.0,Fireball,30.0,Royal Recruits,88.0,4.0,2,True,True,,Royal Recruits,7.0
01515,Barbarian Barrel,6.0,Zappies,107.0,Royal Hogs,87.0,Fireball,30.0,,,,2,False,False,,,
01530,Barbarian Barrel,6.0,Zappies,107.0,Royal Hogs,87.0,Fireball,30.0,,,,2,False,False,,,
01545,Barbarian Barrel,6.0,Zappies,107.0,Royal Hogs,87.0,Fireball,30.0,,,,2,False,False,,,
01560,Barbarian Barrel,6.0,Zappies,107.0,Royal Hogs,87.0,Fireball,30.0,,,,2,False,False,,,
01575,Barbarian Barrel,6.0,Zappies,107.0,Royal Hogs,87.0,Fireball,30.0,,,,2,False,False,,,
01590,Barbarian Barrel,6.0,Zappies,107.0,Royal Hogs,87.0,Fireball,30.0,,,,3,False,False,,,
01605,Barbarian Barrel,6.0,Zappies,107.0,Royal Hogs,87.0,Fireball,30.0,,,,3,False,False,,,
01620,Barbarian Barrel,6.0,Zappies,107.0,Royal Hogs,87.0,Fireball,30.0,,,,3,False,False,,,
01635,Barbarian Barrel,6.0,Zappies,107.0,Royal Hogs,87.0,Fireball,30.0,,,,3,False,False,,,
01650,Barbarian Barrel,6.0,Zappies,107.0,Royal Hogs,87.0,Fireball,30.0,,,,3,False,False,,,
01665,Barbarian Barrel,6.0,Zappies,107.0,Royal Hogs,87.0,Fireball,30.0,,,,4,False,False,,,
01680,Barbarian Barrel,6.0,Zappies,107.0,Royal Hogs,87.0,Fireball,30.0,,,,4,False,False,,,
01695,Barbarian Barrel,6.0,Zappies,107.0,Royal Hogs,87.0,Fireball,30.0,,,,4,False,False,,,
01710,Barbarian Barrel,6.0,Zappies,107.0,Royal Hogs,87.0,Fireball,30.0,,,,0,False,True,,,
01725,Barbarian Barrel,6.0,Zappies,107.0,Royal Hogs,87.0,Fireball,30.0,,,,0,False,False,,,
01740,Barbarian Barrel,6.0,Zappies,107.0,Royal Hogs,87.0,Fireball,30.0,,,,0,False,False,,,
01755,Barbarian Barrel,6.0,Zappies,107.0,Royal Hogs,87.0,Fireball,30.0,,,,1,False,False,,,
01770,Barbarian Barrel,6.0,Zappies,107.0,Royal Hogs,87.0,Fireball,30.0,,,,1,False,False,,,
01785,Barbarian Barrel,6.0,Zappies,107.0,Royal Hogs,87.0,Fireball,30.0,,,,1,False,False,,,
01800,Barbarian Barrel,6.0,Zappies,107.0,Royal Hogs,87.0,Fireball,30.0,,,,0,False,True,,,
01815,Barbarian Barrel,6.0,Zappies,107.0,Royal Hogs,87.0,Fireball,30.0,,,,0,False,False,,,
01830,Barbarian Barrel,6.0,Zappies,107.0,Royal Hogs,87.0,Fireball,30.0,,,,0,False,False,,,
01845,Barbarian Barrel,6.0,Zappies,107.0,Royal Hogs,87.0,Fireball,30.0,,,,1,False,False,,,
01860,Barbarian Barrel,6.0,Zappies,107.0,Royal Hogs,87.0,Fireball,30.0,,,,1,False,False,,,
