frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed
00855,Bandit,5.0,Inferno Dragon,56.0,Golem,47.0,Arrows,2.0,,,,8.0,,,
00870,Elite Barbarians,25.0,Inferno Dragon,56.0,Golem,47.0,Arrows,2.0,,,,8.0,,,
00885,Elite Barbarians,25.0,Inferno Dragon,56.0,Golem,47.0,Arrows,2.0,,,,8.0,,,
00900,Elite Barbarians,25.0,Inferno Dragon,56.0,Golem,47.0,Arrows,2.0,,,,8.0,,,
00915,Elite Barbarians,25.0,Inferno Dragon,56.0,Golem,47.0,Arrows,2.0,,,,8.0,,,
00930,Elite Barbarians,25.0,Inferno Dragon,56.0,Golem,47.0,Arrows,2.0,,,,9.0,,,
00945,Elite Barbarians,25.0,Inferno Dragon,56.0,Golem,47.0,Arrows,2.0,,,,9.0,,,
00960,Elite Barbarians,25.0,Inferno Dragon,56.0,Golem,47.0,Arrows,2.0,,,,9.0,,,
00975,Elite Barbarians,25.0,Inferno Dragon,56.0,Golem,47.0,Arrows,2.0,,,,9.0,,,
00990,Bandit,5.0,Inferno Dragon,56.0,Golem,47.0,Arrows,2.0,,,,9.0,,,
01005,Bandit,5.0,Inferno Dragon,56.0,Golem,47.0,Arrows,2.0,,,,10.0,,,
01020,Bandit,5.0,Inferno Dragon,56.0,Golem,47.0,Arrows,2.0,,,,10.0,,,
01035,Bandit,5.0,Inferno Dragon,56.0,Golem,47.0,Arrows,2.0,,,,10.0,,,
01050,Bandit,5.0,Inferno Dragon,56.0,Golem,47.0,Arrows,2.0,,,,10.0,,,
01065,Fisherman,32.0,Inferno Dragon,56.0,,,Arrows,2.0,,,,7.0,,,
01080,Minion Horde,68.0,Inferno Dragon,56.0,,,Arrows,2.0,,,,7.0,,,
01095,Minion Horde,68.0,Inferno Dragon,56.0,,,Arrows,2.0,,,,7.0,,,
01110,Minion Horde,68.0,Inferno Dragon,56.0,,,Arrows,2.0,,,,7.0,,,
01125,Minion Horde,68.0,Inferno Dragon,56.0,,,Arrows,2.0,,,,7.0,,,
01140,Minion Horde,68.0,Inferno Dragon,56.0,,,Arrows,2.0,,,,7.0,,,
01155,Minion Horde,68.0,Inferno Dragon,56.0,Golem,47.0,Arrows,2.0,,,,8.0,,,
01170,Minion Horde,68.0,Inferno Dragon,56.0,Golem,47.0,Arrows,2.0,,,,8.0,,,
01185,Minion Horde,68.0,Inferno Dragon,56.0,Golem,47.0,Arrows,2.0,,,,8.0,,,
01200,Minion Horde,68.0,Inferno Dragon,56.0,Golem,47.0,Arrows,2.0,,,,8.0,,,
01215,Minion Horde,68.0,Inferno Dragon,56.0,Golem,47.0,Arrows,2.0,,,,8.0,,,
01230,Minion Horde,68.0,Inferno Dragon,56.0,Golem,47.0,Arrows,2.0,,,,8.0,,,
01245,Minion Horde,68.0,Inferno Dragon,56.0,Golem,47.0,Arrows,2.0,,,,9.0,,,
01260,Minion Horde,68.0,Inferno Dragon,56.0,Golem,47.0,Arrows,2.0,,,,9.0,,,
01275,Minion Horde,68.0,Inferno Dragon,56.0,Golem,47.0,Arrows,2.0,,,,9.0,,,
01290,Minion Horde,68.0,Inferno Dragon,56.0,Golem,47.0,Arrows,2.0,,,,9.0,,,
01305,Minion Horde,68.0,Inferno Dragon,56.0,Golem,47.0,Arrows,2.0,,,,9.0,,,
01320,Minion Horde,68.0,Inferno Dragon,56.0,Golem,47.0,Arrows,2.0,,,,10.0,,,
01335,Minion Horde,68.0,Inferno Dragon,56.0,Golem,47.0,Arrows,2.0,,,,10.0,,,
01350,Minion Horde,68.0,Inferno Dragon,56.0,Golem,47.0,Arrows,2.0,,,,10.0,,,
01365,Minion Horde,68.0,Inferno Dragon,56.0,Golem,47.0,Arrows,2.0,,,,10.0,,,
01380,Minion Horde,68.0,Inferno Dragon,56.0,,,Mega Knight,63.0,,,,2.0,,,
01395,Minion Horde,68.0,Inferno Dragon,56.0,,,Giant Skeleton,37.0,,,,7.0,,,
01410,Minion Horde,68.0,Inferno Dragon,56.0,,,Giant Skeleton,37.0,,,,7.0,,,
01425,Minion Horde,68.0,Inferno Dragon,56.0,,,Giant Skeleton,37.0,,,,7.0,,,
