frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed,predicted_elixirConsumed
00870,,,Furnace,35.0,The Log,97.0,Royal Delivery,84.0,,,,8,False,False,0.0,0.0
00885,,,Furnace,35.0,The Log,97.0,Royal Delivery,84.0,,,,8,False,False,0.0,0.0
00900,Lumberjack,61.0,Furnace,35.0,The Log,97.0,Royal Delivery,84.0,,,1.0,8,True,False,0.0,0.0
00915,Lumberjack,61.0,Furnace,35.0,The Log,97.0,Royal Delivery,84.0,,,,8,False,False,0.0,0.0
00930,Lumberjack,61.0,Furnace,35.0,The Log,97.0,Royal Delivery,84.0,,,,9,False,False,0.0,0.0
00945,Lumberjack,61.0,Furnace,35.0,The Log,97.0,Royal Delivery,84.0,,,,9,False,False,0.0,0.0
00960,Lumberjack,61.0,Furnace,35.0,The Log,97.0,Royal Delivery,84.0,,,,9,False,False,0.0,0.0
00975,Lumberjack,61.0,Furnace,35.0,The Log,97.0,Royal Delivery,84.0,,,,9,False,False,0.0,0.0
00990,Lumberjack,61.0,Furnace,35.0,The Log,97.0,Royal Delivery,84.0,,,,9,False,False,0.0,0.0
01005,Lumberjack,61.0,Furnace,35.0,The Log,97.0,Royal Delivery,84.0,,,,10,False,False,0.0,0.0
01020,Lumberjack,61.0,Furnace,35.0,The Log,97.0,Royal Delivery,84.0,,,,10,False,False,0.0,0.0
01035,Lumberjack,61.0,Furnace,35.0,The Log,97.0,Royal Delivery,84.0,,,,10,False,False,0.0,0.0
01050,Lumberjack,61.0,Furnace,35.0,The Log,97.0,Royal Delivery,84.0,,,,10,False,False,0.0,0.0
01065,Lumberjack,61.0,Furnace,35.0,The Log,97.0,Royal Delivery,84.0,,,,10,False,False,0.0,0.0
01080,Lumberjack,61.0,Furnace,35.0,The Log,97.0,Royal Delivery,84.0,,,,10,False,False,0.0,0.0
01095,Lumberjack,61.0,Furnace,35.0,Phoenix,76.0,Royal Delivery,84.0,The Log,97.0,3.0,8,True,True,2.0,2.0
01110,Lumberjack,61.0,Furnace,35.0,Phoenix,76.0,Royal Delivery,84.0,,,,8,False,False,0.0,0.0
01125,Lumberjack,61.0,Furnace,35.0,Phoenix,76.0,Royal Delivery,84.0,,,,8,False,False,0.0,0.0
01140,Lumberjack,61.0,Furnace,35.0,Phoenix,76.0,Royal Delivery,84.0,,,,8,False,False,0.0,0.0
01155,Lumberjack,61.0,Furnace,35.0,Phoenix,76.0,Royal Delivery,84.0,,,,8,False,False,0.0,0.0
01170,Lumberjack,61.0,Furnace,35.0,Phoenix,76.0,Royal Delivery,84.0,,,,8,False,False,0.0,0.0
01185,Lumberjack,61.0,Furnace,35.0,Phoenix,76.0,Royal Delivery,84.0,,,,9,False,False,0.0,0.0
01200,Lumberjack,61.0,Furnace,35.0,Phoenix,76.0,Royal Delivery,84.0,,,,9,False,False,0.0,0.0
01215,Lumberjack,61.0,Furnace,35.0,Phoenix,76.0,Lumberjack,61.0,Royal Delivery,84.0,4.0,9,True,False,0.0,3.0
01230,Lumberjack,61.0,Furnace,35.0,Phoenix,76.0,Royal Delivery,84.0,Lumberjack,61.0,4.0,9,True,False,0.0,4.0
01245,Lumberjack,61.0,Furnace,35.0,Phoenix,76.0,Royal Delivery,84.0,,,,9,False,False,0.0,0.0
