frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed
00915,Barbarian Barrel,6.0,Tombstone,99.0,Ice Wizard,55.0,Mighty Miner,65.0,,,,8.0,,,
00930,Barbarian Barrel,6.0,Tombstone,99.0,Ice Wizard,55.0,Mighty Miner,65.0,,,,8.0,,,
00945,Barbarian Barrel,6.0,Tombstone,99.0,Ice Wizard,55.0,Mighty Miner,65.0,,,,8.0,,,
00960,Barbarian Barrel,6.0,Tombstone,99.0,Ice Wizard,55.0,Mighty Miner,65.0,,,,8.0,,,
00975,Barbarian Barrel,6.0,Tombstone,99.0,Ice Wizard,55.0,Mighty Miner,65.0,,,,9.0,,,
00990,Barbarian Barrel,6.0,Tombstone,99.0,Ice Wizard,55.0,Ram Rider,81.0,,,,9.0,,,
01005,Barbarian Barrel,6.0,Tombstone,99.0,Ice Wizard,55.0,Ram Rider,81.0,,,,9.0,,,
01020,Barbarian Barrel,6.0,Tornado,100.0,Ice Wizard,55.0,Ram Rider,81.0,,,,6.0,,,
01035,Barbarian Barrel,6.0,Tornado,100.0,Ice Wizard,55.0,Ram Rider,81.0,,,,6.0,,,
01050,Barbarian Barrel,6.0,Tornado,100.0,Ice Wizard,55.0,Mighty Miner,65.0,,,,6.0,,,
01065,Barbarian Barrel,6.0,Tornado,100.0,Ice Wizard,55.0,Mighty Miner,65.0,,,,7.0,,,
01080,Barbarian Barrel,6.0,Tornado,100.0,Ice Wizard,55.0,Mighty Miner,65.0,,,,7.0,,,
01095,Barbarian Barrel,6.0,Tornado,100.0,Ice Wizard,55.0,Mighty Miner,65.0,,,,7.0,,,
01110,Barbarian Barrel,6.0,Tornado,100.0,Ice Wizard,55.0,Mighty Miner,65.0,,,,7.0,,,
01125,Barbarian Barrel,6.0,Tornado,100.0,Ice Wizard,55.0,Mighty Miner,65.0,,,,7.0,,,
01140,Barbarian Barrel,6.0,Tornado,100.0,Ice Wizard,55.0,Mighty Miner,65.0,,,,8.0,,,
01155,Barbarian Barrel,6.0,Poison,77.0,Ice Wizard,55.0,Mighty Miner,65.0,,,,5.0,,,
01170,Barbarian Barrel,6.0,Poison,77.0,Ice Wizard,55.0,Mighty Miner,65.0,,,,5.0,,,
01185,Barbarian Barrel,6.0,Poison,77.0,Ice Wizard,55.0,Mighty Miner,65.0,,,,5.0,,,
01200,Barbarian Barrel,6.0,Poison,77.0,Ice Wizard,55.0,Mighty Miner,65.0,,,,5.0,,,
01215,Barbarian Barrel,6.0,Poison,77.0,Ice Wizard,55.0,Mighty Miner,65.0,,,,5.0,,,
01230,Barbarian Barrel,6.0,Poison,77.0,Ice Wizard,55.0,Ram Rider,81.0,,,,6.0,,,
01245,Barbarian Barrel,6.0,Poison,77.0,Ice Wizard,55.0,Mighty Miner,65.0,,,,6.0,,,
01260,Barbarian Barrel,6.0,Poison,77.0,Ice Wizard,55.0,Valkyrie,101.0,,,,6.0,,,
01275,Barbarian Barrel,6.0,Poison,77.0,Ice Wizard,55.0,Mighty Miner,65.0,,,,6.0,,,
01290,Barbarian Barrel,6.0,Poison,77.0,Ice Wizard,55.0,Ram Rider,81.0,,,,6.0,,,
01305,Barbarian Barrel,6.0,Poison,77.0,Ice Wizard,55.0,Mighty Miner,65.0,,,,7.0,,,
01320,Barbarian Barrel,6.0,Poison,77.0,Ice Wizard,55.0,Mighty Miner,65.0,,,,7.0,,,
01335,Barbarian Barrel,6.0,Poison,77.0,Ice Wizard,55.0,Mighty Miner,65.0,,,,7.0,,,
01350,Barbarian Barrel,6.0,Poison,77.0,Ice Wizard,55.0,Mighty Miner,65.0,,,,7.0,,,
01365,Barbarian Barrel,6.0,Poison,77.0,Ice Wizard,55.0,Mighty Miner,65.0,,,,7.0,,,
01380,Barbarian Barrel,6.0,Poison,77.0,Ice Wizard,55.0,Mighty Miner,65.0,,,,7.0,,,
01395,Barbarian Barrel,6.0,Poison,77.0,Ice Wizard,55.0,Mighty Miner,65.0,,,,8.0,,,
01410,Barbarian Barrel,6.0,,,Ice Wizard,55.0,Mighty Miner,65.0,,,,4.0,,,
01425,Barbarian Barrel,6.0,,,Ice Wizard,55.0,Mighty Miner,65.0,,,,4.0,,,
01440,Barbarian Barrel,6.0,,,Ice Wizard,55.0,Ram Rider,81.0,,,,4.0,,,
01455,Barbarian Barrel,6.0,,,Ice Wizard,55.0,Ram Rider,81.0,,,,4.0,,,
01470,Barbarian Barrel,6.0,,,Ice Wizard,55.0,Ram Rider,81.0,,,,4.0,,,
01485,Barbarian Barrel,6.0,Graveyard,48.0,Ice Wizard,55.0,Mighty Miner,65.0,,,,5.0,,,
01500,Barbarian Barrel,6.0,Graveyard,48.0,Ice Wizard,55.0,Ram Rider,81.0,,,,5.0,,,
01515,Barbarian Barrel,6.0,Graveyard,48.0,Ice Wizard,55.0,Ram Rider,81.0,,,,5.0,,,
01530,Barbarian Barrel,6.0,Graveyard,48.0,Ice Wizard,55.0,Ram Rider,81.0,,,,5.0,,,
01545,Barbarian Barrel,6.0,Graveyard,48.0,Ice Wizard,55.0,Mighty Miner,65.0,,,,5.0,,,
01560,Barbarian Barrel,6.0,Graveyard,48.0,Ice Wizard,55.0,Ram Rider,81.0,,,,6.0,,,
01575,Barbarian Barrel,6.0,Graveyard,48.0,Ice Wizard,55.0,Valkyrie,101.0,,,,6.0,,,
01590,Barbarian Barrel,6.0,Graveyard,48.0,Ice Wizard,55.0,Ram Rider,81.0,,,,6.0,,,
01605,Barbarian Barrel,6.0,Graveyard,48.0,Ice Wizard,55.0,Ram Rider,81.0,,,,6.0,,,
01620,Barbarian Barrel,6.0,Graveyard,48.0,Ice Wizard,55.0,Mighty Miner,65.0,,,,6.0,,,
01635,Barbarian Barrel,6.0,Graveyard,48.0,Ice Wizard,55.0,Mighty Miner,65.0,,,,6.0,,,
01650,Barbarian Barrel,6.0,Graveyard,48.0,Ice Wizard,55.0,Ram Rider,81.0,,,,7.0,,,
01665,Barbarian Barrel,6.0,Graveyard,48.0,Ice Wizard,55.0,Mighty Miner,65.0,,,,7.0,,,
01680,Barbarian Barrel,6.0,Graveyard,48.0,Ice Wizard,55.0,Valkyrie,101.0,,,,7.0,,,
