frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed,0,predicted_elixirConsumed
00915,Witch,103.0,Cannon,15.0,Fire Spirit,29.0,Skeletons,93.0,,,,8,False,False,,,
00930,Witch,103.0,Cannon,15.0,Fire Spirit,29.0,Skeletons,93.0,,,,8,False,False,,,
00945,Witch,103.0,Cannon,15.0,Fire Spirit,29.0,Skeletons,93.0,,,,8,False,False,,,
00960,Witch,103.0,Cannon,15.0,Fire Spirit,29.0,Skeletons,93.0,,,,8,False,False,,,
00975,Witch,103.0,Cannon,15.0,Rocket,83.0,Skeletons,93.0,Fire Spirit,29.0,3.0,7,True,True,,Fire Spirit,1.0
00990,Witch,103.0,Cannon,15.0,Rocket,83.0,Skeletons,93.0,,,,8,False,False,,,
01005,Witch,103.0,Cannon,15.0,Rocket,83.0,Skeletons,93.0,,,,8,False,False,,,
01020,Witch,103.0,Cannon,15.0,Rocket,83.0,Skeletons,93.0,,,,8,False,False,,,
01035,Witch,103.0,Cannon,15.0,Rocket,83.0,Skeletons,93.0,,,,8,False,False,,,
01050,Witch,103.0,Cannon,15.0,Rocket,83.0,Skeletons,93.0,,,,8,False,False,,,
01065,Witch,103.0,Cannon,15.0,Rocket,83.0,Skeletons,93.0,,,,8,False,False,,,
01080,Witch,103.0,Cannon,15.0,Rocket,83.0,Skeletons,93.0,,,,9,False,False,,,
01095,Witch,103.0,Cannon,15.0,Rocket,83.0,Skeletons,93.0,,,,9,False,False,,,
01110,Witch,103.0,Cannon,15.0,Rocket,83.0,Skeletons,93.0,,,,9,False,False,,,
01125,Witch,103.0,Cannon,15.0,Rocket,83.0,Skeletons,93.0,,,,9,False,False,,,
01140,Witch,103.0,Cannon,15.0,Rocket,83.0,Skeletons,93.0,,,,9,False,False,,,
01155,Witch,103.0,Cannon,15.0,Rocket,83.0,Skeletons,93.0,,,,10,False,False,,,
01170,Witch,103.0,The Log,97.0,Rocket,83.0,Skeletons,93.0,Cannon,15.0,2.0,7,True,True,,Cannon,3.0
01185,Witch,103.0,The Log,97.0,Rocket,83.0,Skeletons,93.0,,,,7,False,False,,,
01200,Witch,103.0,The Log,97.0,Rocket,83.0,Skeletons,93.0,,,,7,False,False,,,
01215,Witch,103.0,The Log,97.0,Rocket,83.0,Skeletons,93.0,,,,7,False,False,,,
01230,Witch,103.0,The Log,97.0,Rocket,83.0,Skeletons,93.0,,,,7,False,False,,,
01245,Witch,103.0,The Log,97.0,Rocket,83.0,Skeletons,93.0,,,,7,False,False,,,
01260,Witch,103.0,The Log,97.0,Rocket,83.0,Skeletons,93.0,,,,8,False,False,,,
