frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed
00000,,,,,,,,,,,,,,,
00015,,,,,,,,,,,,,,,
00030,Mega Minion,64.0,Bandit,5.0,,,,,,,,,,,
00045,,,,,,,,,,,,,,,
00060,,,,,,,,,,,,,,,
00075,,,Bandit,5.0,,,,,,,,,,,
00090,,,Bandit,5.0,,,,,,,,,,,
00105,,,Bandit,5.0,,,,,,,,,,,
00120,,,Bandit,5.0,,,,,,,,,,,
00135,,,Bandit,5.0,,,,,,,,,,,
00150,Mega Minion,64.0,Bandit,5.0,,,,,,,,,,,
00165,,,,,,,,,,,,,,,
00180,Electro Dragon,21.0,Electro Dragon,21.0,Electro Dragon,21.0,Electro Dragon,21.0,,,,2.0,,,
00195,Electro Dragon,21.0,The Log,97.0,Mega Knight,63.0,Freeze,34.0,,,,2.0,,,
00210,Electro Dragon,21.0,The Log,97.0,Mega Knight,63.0,Freeze,34.0,,,,2.0,,,
00225,Electro Dragon,21.0,The Log,97.0,Mega Knight,63.0,Freeze,34.0,,,,2.0,,,
00240,Electro Dragon,21.0,Electro Dragon,21.0,Electro Dragon,21.0,Electro Dragon,21.0,,,,2.0,,,
00255,Electro Dragon,21.0,Guards,49.0,Minion Horde,68.0,Mini P.E.K.K.A,67.0,,,,2.0,,,
00270,Skeleton Barrel,90.0,Mini P.E.K.K.A,67.0,Electro Giant,22.0,Bats,9.0,,,,1.0,,,
00285,P.E.K.K.A,75.0,Mini P.E.K.K.A,67.0,Bats,9.0,Bats,9.0,,,,1.0,,,
00300,P.E.K.K.A,75.0,Mini P.E.K.K.A,67.0,Bats,9.0,Bats,9.0,,,,1.0,,,
00315,P.E.K.K.A,75.0,Mini P.E.K.K.A,67.0,Bats,9.0,Bats,9.0,,,,1.0,,,
00330,Executioner,28.0,Mini P.E.K.K.A,67.0,Ice Golem,53.0,Bats,9.0,,,,1.0,,,
00345,Executioner,28.0,Mini P.E.K.K.A,67.0,Ice Golem,53.0,Bats,9.0,,,,1.0,,,
00360,Executioner,28.0,Mini P.E.K.K.A,67.0,Ice Golem,53.0,Bats,9.0,,,,1.0,,,
00375,Zap,106.0,Mini P.E.K.K.A,67.0,Goblin Drill,41.0,Royal Ghost,85.0,,,,1.0,,,
00390,Zap,106.0,Mini P.E.K.K.A,67.0,Goblin Drill,41.0,Royal Ghost,85.0,,,,1.0,,,
