frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed,0,predicted_elixirConsumed
00855,Arrows,2.0,Inferno Dragon,56.0,Lava Hound,59.0,Balloon,4.0,,,,8,False,False,,,
00870,Arrows,2.0,Inferno Dragon,56.0,Lava Hound,59.0,Balloon,4.0,,,,8,False,False,,,
00885,Arrows,2.0,Inferno Dragon,56.0,Lava Hound,59.0,Balloon,4.0,,,,8,False,False,,,
00900,Arrows,2.0,Inferno Dragon,56.0,Lava Hound,59.0,Balloon,4.0,,,,8,False,False,,,
00915,Arrows,2.0,Inferno Dragon,56.0,Lava Hound,59.0,Balloon,4.0,,,,9,False,False,,,
00930,Arrows,2.0,Inferno Dragon,56.0,Lava Hound,59.0,Balloon,4.0,,,,9,False,False,,,
00945,Arrows,2.0,Inferno Dragon,56.0,Lava Hound,59.0,Balloon,4.0,,,,9,False,False,,,
00960,Arrows,2.0,Inferno Dragon,56.0,Lava Hound,59.0,Balloon,4.0,,,,9,False,False,,,
00975,Arrows,2.0,Inferno Dragon,56.0,Lava Hound,59.0,Balloon,4.0,,,,9,False,False,,,
00990,Arrows,2.0,Inferno Dragon,56.0,Lava Hound,59.0,Balloon,4.0,,,,9,False,False,,,
01005,Arrows,2.0,Inferno Dragon,56.0,Barbarians,8.0,Balloon,4.0,Lava Hound,59.0,3.0,3,True,True,,Lava Hound,7.0
01020,Arrows,2.0,Inferno Dragon,56.0,Barbarians,8.0,Balloon,4.0,,,,3,False,False,,,
01035,Arrows,2.0,Inferno Dragon,56.0,Barbarians,8.0,Balloon,4.0,,,,3,False,False,,,
01050,Arrows,2.0,Inferno Dragon,56.0,Barbarians,8.0,Balloon,4.0,,,,3,False,False,,,
01065,Arrows,2.0,Inferno Dragon,56.0,Barbarians,8.0,Balloon,4.0,,,,3,False,False,,,
01080,Arrows,2.0,Inferno Dragon,56.0,Barbarians,8.0,Balloon,4.0,,,,4,False,False,,,
01095,Arrows,2.0,Inferno Dragon,56.0,Barbarians,8.0,Balloon,4.0,,,,4,False,False,,,
01110,Arrows,2.0,Inferno Dragon,56.0,Barbarians,8.0,Balloon,4.0,,,,4,False,False,,,
01125,Arrows,2.0,Inferno Dragon,56.0,Barbarians,8.0,Balloon,4.0,,,,4,False,False,,,
01140,Arrows,2.0,Inferno Dragon,56.0,Barbarians,8.0,Balloon,4.0,,,,4,False,False,,,
01155,Arrows,2.0,Inferno Dragon,56.0,Barbarians,8.0,Balloon,4.0,,,,4,False,False,,,
01170,Arrows,2.0,Inferno Dragon,56.0,Barbarians,8.0,Balloon,4.0,,,,5,False,False,,,
01185,Arrows,2.0,Inferno Dragon,56.0,Barbarians,8.0,Balloon,4.0,,,,5,False,False,,,
01200,Arrows,2.0,Inferno Dragon,56.0,Barbarians,8.0,Balloon,4.0,,,,5,False,False,,,
01215,Arrows,2.0,Inferno Dragon,56.0,Barbarians,8.0,Balloon,4.0,,,,5,False,False,,,
01230,Arrows,2.0,Inferno Dragon,56.0,Barbarians,8.0,Balloon,4.0,,,,5,False,False,,,
01245,Arrows,2.0,Inferno Dragon,56.0,Barbarians,8.0,Balloon,4.0,,,,5,False,False,,,
01260,Arrows,2.0,Inferno Dragon,56.0,Barbarians,8.0,Balloon,4.0,,,,6,False,False,,,
01275,Arrows,2.0,Inferno Dragon,56.0,Barbarians,8.0,Balloon,4.0,,,,6,False,False,,,
01290,Arrows,2.0,Inferno Dragon,56.0,Barbarians,8.0,Balloon,4.0,,,,6,False,False,,,
01305,Arrows,2.0,Inferno Dragon,56.0,Barbarians,8.0,Balloon,4.0,,,,6,False,False,,,
