frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed
01005,Flying Machine,33.0,Barbarian Barrel,6.0,Golden Knight,46.0,Zappies,107.0,,,,8,,,
01020,Flying Machine,33.0,Barbarian Barrel,6.0,Golden Knight,46.0,Zappies,107.0,,,,8,,,
01035,Flying Machine,33.0,Barbarian Barrel,6.0,Golden Knight,46.0,Zappies,107.0,,,,8,,,
01050,Flying Machine,33.0,Barbarian Barrel,6.0,Golden Knight,46.0,Zappies,107.0,,,,9,,,
01065,Flying Machine,33.0,Barbarian Barrel,6.0,Golden Knight,46.0,Zappies,107.0,,,,9,,,
01080,Flying Machine,33.0,Barbarian Barrel,6.0,Golden Knight,46.0,Zappies,107.0,,,,9,,,
01095,Flying Machine,33.0,Barbarian Barrel,6.0,Golden Knight,46.0,Zappies,107.0,,,,9,,,
01110,Flying Machine,33.0,Barbarian Barrel,6.0,Golden Knight,46.0,Zappies,107.0,,,,9,,,
01125,Flying Machine,33.0,Barbarian Barrel,6.0,Golden Knight,46.0,Zappies,107.0,,,,9,,,
01140,Flying Machine,33.0,Barbarian Barrel,6.0,Golden Knight,46.0,Zappies,107.0,,,,10,,,
01155,Flying Machine,33.0,Barbarian Barrel,6.0,Golden Knight,46.0,Zappies,107.0,,,,10,,,
01170,Flying Machine,33.0,Barbarian Barrel,6.0,Golden Knight,46.0,Zappies,107.0,,,,10,,,
01185,Flying Machine,33.0,Barbarian Barrel,6.0,Golden Knight,46.0,Zappies,107.0,,,,10,,,
01200,Flying Machine,33.0,Barbarian Barrel,6.0,Golden Knight,46.0,Zappies,107.0,,,,10,,,
01215,Flying Machine,33.0,Barbarian Barrel,6.0,Golden Knight,46.0,Zappies,107.0,,,,10,,,
01230,Flying Machine,33.0,Barbarian Barrel,6.0,Golden Knight,46.0,Zappies,107.0,,,,10,,,
01245,Flying Machine,33.0,Barbarian Barrel,6.0,Golden Knight,46.0,Zappies,107.0,,,,10,,,
01260,Flying Machine,33.0,Barbarian Barrel,6.0,Golden Knight,46.0,Zappies,107.0,,,,10,,,
01275,Flying Machine,33.0,Barbarian Barrel,6.0,Golden Knight,46.0,Zappies,107.0,,,,10,,,
01290,Flying Machine,33.0,Barbarian Barrel,6.0,Golden Knight,46.0,Zappies,107.0,,,,10,,,
