frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed
00855,Phoenix,76.0,Ice Wizard,55.0,Barbarian Barrel,6.0,Tornado,100.0,,,,8,,,
00870,Phoenix,76.0,Ice Wizard,55.0,Barbarian Barrel,6.0,Tornado,100.0,,,,8,,,
00885,Phoenix,76.0,Ice Wizard,55.0,Barbarian Barrel,6.0,Tornado,100.0,,,,8,,,
00900,Phoenix,76.0,Ice Wizard,55.0,Barbarian Barrel,6.0,Tornado,100.0,,,,8,,,
00915,Phoenix,76.0,Ice Wizard,55.0,Barbarian Barrel,6.0,Tornado,100.0,,,,8,,,
00930,Phoenix,76.0,Ice Wizard,55.0,Barbarian Barrel,6.0,Tornado,100.0,,,,9,,,
00945,Phoenix,76.0,Ice Wizard,55.0,Barbarian Barrel,6.0,Tornado,100.0,,,,9,,,
00960,Phoenix,76.0,Ice Wizard,55.0,Barbarian Barrel,6.0,Tornado,100.0,,,,9,,,
00975,Phoenix,76.0,Ice Wizard,55.0,Barbarian Barrel,6.0,Tornado,100.0,,,,9,,,
00990,Phoenix,76.0,Ice Wizard,55.0,Barbarian Barrel,6.0,Tornado,100.0,,,,9,,,
01005,Phoenix,76.0,Ice Wizard,55.0,Barbarian Barrel,6.0,Tornado,100.0,,,,9,,,
01020,Phoenix,76.0,Ice Wizard,55.0,Barbarian Barrel,6.0,Tornado,100.0,,,,10,,,
01035,Phoenix,76.0,Ice Wizard,55.0,Barbarian Barrel,6.0,Tornado,100.0,,,,10,,,
01050,Phoenix,76.0,Ice Wizard,55.0,Barbarian Barrel,6.0,Tornado,100.0,,,,10,,,
01065,Phoenix,76.0,Ice Wizard,55.0,Barbarian Barrel,6.0,Tornado,100.0,,,,10,,,
01080,Phoenix,76.0,Ice Wizard,55.0,Barbarian Barrel,6.0,Tornado,100.0,,,,10,,,
01095,Phoenix,76.0,Ice Wizard,55.0,Barbarian Barrel,6.0,Tornado,100.0,,,,10,,,
01110,Phoenix,76.0,Ice Wizard,55.0,Barbarian Barrel,6.0,Tornado,100.0,,,,10,,,
01125,Phoenix,76.0,Ice Wizard,55.0,Barbarian Barrel,6.0,Tornado,100.0,,,,10,,,
01140,Phoenix,76.0,Ice Wizard,55.0,Barbarian Barrel,6.0,Tornado,100.0,,,,10,,,
01155,Phoenix,76.0,Ice Wizard,55.0,Barbarian Barrel,6.0,Tornado,100.0,,,,10,,,
01170,Phoenix,76.0,Ice Wizard,55.0,Barbarian Barrel,6.0,Tornado,100.0,,,,10,,,
01185,Phoenix,76.0,Ice Wizard,55.0,Barbarian Barrel,6.0,Tornado,100.0,,,,10,,,
01200,Phoenix,76.0,Ice Wizard,55.0,Barbarian Barrel,6.0,Tornado,100.0,,,,10,,,
01215,Phoenix,76.0,Ice Wizard,55.0,Barbarian Barrel,6.0,Tornado,100.0,,,,10,,,
