frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed
00855,Phoenix,76.0,Ice Wizard,55.0,Barbarian Barrel,6.0,Tornado,100.0,,,,8.0,,,
00870,Phoenix,76.0,Ice Wizard,55.0,Barbarian Barrel,6.0,Tornado,100.0,,,,8.0,,,
00885,Phoenix,76.0,Ice Wizard,55.0,Barbarian Barrel,6.0,Tornado,100.0,,,,8.0,,,
00900,Phoenix,76.0,Ice Wizard,55.0,Barbarian Barrel,6.0,Tornado,100.0,,,,8.0,,,
00915,Phoenix,76.0,Ice Wizard,55.0,Barbarian Barrel,6.0,Tornado,100.0,,,,8.0,,,
00930,Phoenix,76.0,Ice Wizard,55.0,Barbarian Barrel,6.0,Tornado,100.0,,,,9.0,,,
00945,Phoenix,76.0,Ice Wizard,55.0,Barbarian Barrel,6.0,Tornado,100.0,,,,9.0,,,
00960,Phoenix,76.0,Ice Wizard,55.0,Barbarian Barrel,6.0,Tornado,100.0,,,,9.0,,,
00975,Phoenix,76.0,Ice Wizard,55.0,Barbarian Barrel,6.0,Tornado,100.0,,,,9.0,,,
00990,Phoenix,76.0,Ice Wizard,55.0,Barbarian Barrel,6.0,Tornado,100.0,,,,9.0,,,
01005,Phoenix,76.0,Ice Wizard,55.0,Barbarian Barrel,6.0,Tornado,100.0,,,,9.0,,,
01020,Phoenix,76.0,Ice Wizard,55.0,Barbarian Barrel,6.0,Tornado,100.0,,,,10.0,,,
01035,Phoenix,76.0,Ice Wizard,55.0,Barbarian Barrel,6.0,Tornado,100.0,,,,10.0,,,
01050,Phoenix,76.0,Ice Wizard,55.0,Barbarian Barrel,6.0,Tornado,100.0,,,,10.0,,,
01065,Phoenix,76.0,Ice Wizard,55.0,Barbarian Barrel,6.0,Tornado,100.0,,,,10.0,,,
01080,Phoenix,76.0,Ice Wizard,55.0,Barbarian Barrel,6.0,Tornado,100.0,,,,10.0,,,
01095,Phoenix,76.0,Ice Wizard,55.0,Barbarian Barrel,6.0,Tornado,100.0,,,,10.0,,,
01110,Phoenix,76.0,Ice Wizard,55.0,Barbarian Barrel,6.0,Tornado,100.0,,,,10.0,,,
01125,Phoenix,76.0,Ice Wizard,55.0,Barbarian Barrel,6.0,Tornado,100.0,,,,10.0,,,
01140,Phoenix,76.0,Ice Wizard,55.0,Barbarian Barrel,6.0,Tornado,100.0,,,,10.0,,,
01155,Phoenix,76.0,Ice Wizard,55.0,Barbarian Barrel,6.0,Tornado,100.0,,,,10.0,,,
01170,Phoenix,76.0,Ice Wizard,55.0,Barbarian Barrel,6.0,Tornado,100.0,,,,10.0,,,
01185,Phoenix,76.0,Ice Wizard,55.0,Barbarian Barrel,6.0,Tornado,100.0,,,,10.0,,,
01200,Phoenix,76.0,Ice Wizard,55.0,Barbarian Barrel,6.0,Tornado,100.0,,,,10.0,,,
01215,Phoenix,76.0,Ice Wizard,55.0,Barbarian Barrel,6.0,Tornado,100.0,,,,10.0,,,
01230,Phoenix,76.0,Ice Wizard,55.0,Barbarian Barrel,6.0,Tornado,100.0,,,,10.0,,,
01245,Phoenix,76.0,Tombstone,99.0,Barbarian Barrel,6.0,Tornado,100.0,,,,7.0,,,
01260,Phoenix,76.0,Tombstone,99.0,Barbarian Barrel,6.0,Tornado,100.0,,,,7.0,,,
01275,Phoenix,76.0,Tombstone,99.0,Barbarian Barrel,6.0,Tornado,100.0,,,,7.0,,,
01290,Phoenix,76.0,Tombstone,99.0,Barbarian Barrel,6.0,Tornado,100.0,,,,7.0,,,
01305,Phoenix,76.0,Tombstone,99.0,Barbarian Barrel,6.0,Tornado,100.0,,,,7.0,,,
01320,Phoenix,76.0,Tombstone,99.0,Barbarian Barrel,6.0,Tornado,100.0,,,,8.0,,,
01335,Phoenix,76.0,Tombstone,99.0,Barbarian Barrel,6.0,Tornado,100.0,,,,8.0,,,
01350,Phoenix,76.0,Tombstone,99.0,Barbarian Barrel,6.0,Tornado,100.0,,,,8.0,,,
01365,Phoenix,76.0,Tombstone,99.0,Barbarian Barrel,6.0,Tornado,100.0,,,,8.0,,,
01380,Phoenix,76.0,Tombstone,99.0,Barbarian Barrel,6.0,Tornado,100.0,,,,8.0,,,
01395,Phoenix,76.0,Tombstone,99.0,Barbarian Barrel,6.0,Tornado,100.0,,,,8.0,,,
01410,Phoenix,76.0,Tombstone,99.0,Barbarian Barrel,6.0,Tornado,100.0,,,,9.0,,,
01425,Phoenix,76.0,Tombstone,99.0,Barbarian Barrel,6.0,Tornado,100.0,,,,9.0,,,
01440,Phoenix,76.0,Tombstone,99.0,Barbarian Barrel,6.0,Tornado,100.0,,,,9.0,,,
01455,Phoenix,76.0,Tombstone,99.0,Barbarian Barrel,6.0,Tornado,100.0,,,,9.0,,,
01470,Phoenix,76.0,Tombstone,99.0,Barbarian Barrel,6.0,Tornado,100.0,,,,9.0,,,
01485,Phoenix,76.0,Tombstone,99.0,Barbarian Barrel,6.0,Tornado,100.0,,,,10.0,,,
01500,Phoenix,76.0,Tombstone,99.0,Barbarian Barrel,6.0,Tornado,100.0,,,,10.0,,,
01515,Phoenix,76.0,Tombstone,99.0,Barbarian Barrel,6.0,Tornado,100.0,,,,10.0,,,
01530,Phoenix,76.0,Graveyard,48.0,Barbarian Barrel,6.0,Tornado,100.0,,,,7.0,,,
01545,Phoenix,76.0,Graveyard,48.0,Barbarian Barrel,6.0,Tornado,100.0,,,,7.0,,,
01560,Phoenix,76.0,Graveyard,48.0,Barbarian Barrel,6.0,Tornado,100.0,,,,7.0,,,
01575,Phoenix,76.0,Graveyard,48.0,Barbarian Barrel,6.0,Tornado,100.0,,,,7.0,,,
01590,Phoenix,76.0,Graveyard,48.0,Barbarian Barrel,6.0,Tornado,100.0,,,,7.0,,,
01605,Phoenix,76.0,Graveyard,48.0,Barbarian Barrel,6.0,Tornado,100.0,,,,7.0,,,
01620,Phoenix,76.0,Graveyard,48.0,Barbarian Barrel,6.0,Tornado,100.0,,,,8.0,,,
01635,Phoenix,76.0,Graveyard,48.0,Barbarian Barrel,6.0,Tornado,100.0,,,,8.0,,,
