frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed
00855,Hog Rider,51.0,Hunter,52.0,Electro Spirit,23.0,Fisherman,32.0,,,,8.0,,,
00870,Hog Rider,51.0,Hunter,52.0,Electro Spirit,23.0,Fisherman,32.0,,,,8.0,,,
00885,Hog Rider,51.0,Hunter,52.0,Electro Spirit,23.0,Fisherman,32.0,,,,8.0,,,
00900,Hog Rider,51.0,Hunter,52.0,Electro Spirit,23.0,Fisherman,32.0,,,,8.0,,,
00915,Hog Rider,51.0,Hunter,52.0,Electro Spirit,23.0,Fisherman,32.0,,,,8.0,,,
00930,Hog Rider,51.0,Hunter,52.0,Electro Spirit,23.0,Fisherman,32.0,,,,9.0,,,
00945,Hog Rider,51.0,Hunter,52.0,Electro Spirit,23.0,Fisherman,32.0,,,,9.0,,,
00960,Lava Hound,59.0,Hunter,52.0,Electro Spirit,23.0,Fisherman,32.0,,,,9.0,,,
00975,Lava Hound,59.0,Hunter,52.0,Electro Spirit,23.0,Fisherman,32.0,,,,9.0,,,
00990,Lava Hound,59.0,Hunter,52.0,Giant Snowball,38.0,Fisherman,32.0,,,,8.0,,,
01005,Lava Hound,59.0,Hunter,52.0,Giant Snowball,38.0,Fisherman,32.0,,,,8.0,,,
01020,Lava Hound,59.0,Hunter,52.0,Giant Snowball,38.0,Fisherman,32.0,,,,9.0,,,
01035,Lava Hound,59.0,Hunter,52.0,Giant Snowball,38.0,Fisherman,32.0,,,,9.0,,,
01050,Lava Hound,59.0,Hunter,52.0,Giant Snowball,38.0,Fisherman,32.0,,,,9.0,,,
01065,Lava Hound,59.0,Hunter,52.0,Royal Ghost,85.0,Fisherman,32.0,,,,9.0,,,
01080,Hog Rider,51.0,Hunter,52.0,Royal Ghost,85.0,Fisherman,32.0,,,,9.0,,,
01095,Lava Hound,59.0,Hunter,52.0,Royal Ghost,85.0,Fisherman,32.0,,,,10.0,,,
01110,Hog Rider,51.0,Hunter,52.0,Royal Ghost,85.0,Fisherman,32.0,,,,10.0,,,
01125,Lava Hound,59.0,Hunter,52.0,Royal Ghost,85.0,Fisherman,32.0,,,,10.0,,,
01140,Monk,70.0,Hunter,52.0,Royal Ghost,85.0,Fisherman,32.0,,,,10.0,,,
