frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed,0,predicted_elixirConsumed
00870,Miner,66.0,Bomb Tower,12.0,Tornado,100.0,Spear Goblins,95.0,,,,8,False,False,,,
00885,Miner,66.0,Bomb Tower,12.0,Tornado,100.0,Spear Goblins,95.0,,,,8,False,False,,,
00900,Miner,66.0,Bomb Tower,12.0,Tornado,100.0,Spear Goblins,95.0,,,,8,False,False,,,
00915,Miner,66.0,Bomb Tower,12.0,Tornado,100.0,Spear Goblins,95.0,,,,8,False,False,,,
00930,Miner,66.0,Bomb Tower,12.0,Tornado,100.0,Spear Goblins,95.0,,,,8,False,False,,,
00945,Miner,66.0,Bomb Tower,12.0,Tornado,100.0,Spear Goblins,95.0,,,,9,False,False,,,
00960,Miner,66.0,Bomb Tower,12.0,Tornado,100.0,Spear Goblins,95.0,,,,9,False,False,,,
00975,Miner,66.0,Bomb Tower,12.0,Tornado,100.0,Spear Goblins,95.0,,,,9,False,False,,,
00990,Miner,66.0,Bomb Tower,12.0,Tornado,100.0,Spear Goblins,95.0,,,,9,False,False,,,
01005,Miner,66.0,Bomb Tower,12.0,Tornado,100.0,Spear Goblins,95.0,,,,9,False,False,,,
01020,Miner,66.0,Bomb Tower,12.0,Tornado,100.0,Magic Archer,62.0,Spear Goblins,95.0,4.0,7,True,True,,Spear Goblins,2.0
01035,Miner,66.0,Bomb Tower,12.0,Tornado,100.0,Magic Archer,62.0,,,,8,False,False,,,
01050,Miner,66.0,Bomb Tower,12.0,Tornado,100.0,Magic Archer,62.0,,,,8,False,False,,,
01065,Miner,66.0,Bomb Tower,12.0,Tornado,100.0,Magic Archer,62.0,,,,8,False,False,,,
01080,Miner,66.0,Bomb Tower,12.0,Tornado,100.0,Magic Archer,62.0,,,,8,False,False,,,
01095,Miner,66.0,Bomb Tower,12.0,Tornado,100.0,Magic Archer,62.0,,,,8,False,False,,,
01110,Miner,66.0,Bomb Tower,12.0,Tornado,100.0,Magic Archer,62.0,,,,9,False,False,,,
01125,Miner,66.0,Bomb Tower,12.0,Tornado,100.0,Magic Archer,62.0,,,,9,False,False,,,
01140,Miner,66.0,Bomb Tower,12.0,Tornado,100.0,Magic Archer,62.0,,,,9,False,False,,,
01155,Miner,66.0,Bomb Tower,12.0,Tornado,100.0,Magic Archer,62.0,,,,9,False,False,,,
01170,Miner,66.0,Bomb Tower,12.0,Tornado,100.0,Magic Archer,62.0,,,,9,False,False,,,
01185,Miner,66.0,Bomb Tower,12.0,Tornado,100.0,Magic Archer,62.0,,,,9,False,False,,,
01200,Monk,70.0,Bomb Tower,12.0,Tornado,100.0,Magic Archer,62.0,Miner,66.0,1.0,7,True,True,,Miner,3.0
01215,Monk,70.0,Bomb Tower,12.0,Tornado,100.0,Magic Archer,62.0,,,,7,False,False,,,
01230,Monk,70.0,Bomb Tower,12.0,Tornado,100.0,Magic Archer,62.0,,,,7,False,False,,,
01245,Monk,70.0,Bomb Tower,12.0,Tornado,100.0,Magic Archer,62.0,,,,7,False,False,,,
01260,Monk,70.0,Bomb Tower,12.0,Tornado,100.0,Magic Archer,62.0,,,,7,False,False,,,
01275,Monk,70.0,Bomb Tower,12.0,Tornado,100.0,Magic Archer,62.0,,,,7,False,False,,,
01290,Monk,70.0,Bomb Tower,12.0,Tornado,100.0,Magic Archer,62.0,,,,8,False,False,,,
01305,Monk,70.0,Bomb Tower,12.0,Tornado,100.0,Magic Archer,62.0,,,,8,False,False,,,
01320,Monk,70.0,Bomb Tower,12.0,Tornado,100.0,Wall Breakers,102.0,Magic Archer,62.0,4.0,4,True,True,,Magic Archer,4.0
01335,Monk,70.0,Bomb Tower,12.0,Tornado,100.0,Wall Breakers,102.0,,,,4,False,False,,,
01350,Monk,70.0,Bomb Tower,12.0,Tornado,100.0,Wall Breakers,102.0,,,,4,False,False,,,
01365,Monk,70.0,Bomb Tower,12.0,Tornado,100.0,Wall Breakers,102.0,,,,5,False,False,,,
01380,Monk,70.0,Bomb Tower,12.0,Tornado,100.0,Wall Breakers,102.0,,,,5,False,False,,,
