frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed,0,predicted_elixirConsumed
00900,Electro Wizard,24.0,Rascals,82.0,Baby Dragon,3.0,Tombstone,99.0,,,,8,False,False,,,
00915,Electro Wizard,24.0,Rascals,82.0,Baby Dragon,3.0,Tombstone,99.0,,,,8,False,False,,,
00930,Electro Wizard,24.0,Rascals,82.0,Baby Dragon,3.0,Tombstone,99.0,,,,8,False,False,,,
00945,Electro Wizard,24.0,Rascals,82.0,Baby Dragon,3.0,Tombstone,99.0,,,,8,False,False,,,
00960,Electro Wizard,24.0,Rascals,82.0,Baby Dragon,3.0,Tombstone,99.0,,,,9,False,False,,,
00975,Electro Wizard,24.0,Rascals,82.0,Baby Dragon,3.0,Tombstone,99.0,,,,9,False,False,,,
00990,Electro Wizard,24.0,Rascals,82.0,Baby Dragon,3.0,Tombstone,99.0,,,,9,False,False,,,
01005,Electro Wizard,24.0,Rascals,82.0,Baby Dragon,3.0,Tombstone,99.0,,,,9,False,False,,,
01020,Electro Wizard,24.0,Rascals,82.0,Baby Dragon,3.0,Tombstone,99.0,,,,9,False,False,,,
01035,Electro Wizard,24.0,Rascals,82.0,Baby Dragon,3.0,Tombstone,99.0,,,,10,False,False,,,
01050,Electro Wizard,24.0,Rascals,82.0,Baby Dragon,3.0,Tombstone,99.0,,,,10,False,False,,,
01065,Electro Wizard,24.0,Rascals,82.0,Baby Dragon,3.0,Tombstone,99.0,,,,10,False,False,,,
01080,Electro Wizard,24.0,Rascals,82.0,Baby Dragon,3.0,Tombstone,99.0,,,,10,False,False,,,
01095,Electro Wizard,24.0,Rascals,82.0,Baby Dragon,3.0,Tombstone,99.0,,,,10,False,False,,,
01110,Electro Wizard,24.0,Rascals,82.0,Baby Dragon,3.0,Tombstone,99.0,,,,10,False,False,,,
01125,Electro Wizard,24.0,Rascals,82.0,Baby Dragon,3.0,Tombstone,99.0,,,,10,False,False,,,
01140,Electro Wizard,24.0,Rascals,82.0,Baby Dragon,3.0,Tombstone,99.0,,,,10,False,False,,,
01155,Electro Wizard,24.0,Rascals,82.0,Baby Dragon,3.0,Tombstone,99.0,,,,10,False,False,,,
01170,Electro Wizard,24.0,Rascals,82.0,Baby Dragon,3.0,Tornado,100.0,Tombstone,99.0,4.0,7,True,True,,Tombstone,3.0
01185,Electro Wizard,24.0,Rascals,82.0,Baby Dragon,3.0,Tornado,100.0,,,,7,False,False,,,
01200,Electro Wizard,24.0,Rascals,82.0,Baby Dragon,3.0,Tornado,100.0,,,,7,False,False,,,
01215,Electro Wizard,24.0,Rascals,82.0,Baby Dragon,3.0,Tornado,100.0,,,,7,False,False,,,
01230,Electro Wizard,24.0,Rascals,82.0,Baby Dragon,3.0,Tornado,100.0,,,,7,False,False,,,
01245,Electro Wizard,24.0,Rascals,82.0,Baby Dragon,3.0,Tornado,100.0,,,,7,False,False,,,
01260,Electro Wizard,24.0,Rascals,82.0,Baby Dragon,3.0,Tornado,100.0,,,,8,False,False,,,
01275,Electro Wizard,24.0,Rascals,82.0,Baby Dragon,3.0,Tornado,100.0,,,,8,False,False,,,
01290,Electro Wizard,24.0,Rascals,82.0,Baby Dragon,3.0,Tornado,100.0,,,,8,False,False,,,
01305,Electro Wizard,24.0,Rascals,82.0,Baby Dragon,3.0,Tornado,100.0,,,,8,False,False,,,
01320,Electro Wizard,24.0,Royal Giant,86.0,Baby Dragon,3.0,Tornado,100.0,Rascals,82.0,2.0,4,True,True,,Rascals,5.0
01335,Electro Wizard,24.0,Royal Giant,86.0,Baby Dragon,3.0,Tornado,100.0,,,,5,False,False,,,
01350,Electro Wizard,24.0,Royal Giant,86.0,Baby Dragon,3.0,Tornado,100.0,,,,5,False,False,,,
01365,Electro Wizard,24.0,Royal Giant,86.0,Baby Dragon,3.0,Tornado,100.0,,,,5,False,False,,,
01380,Electro Wizard,24.0,Royal Giant,86.0,Baby Dragon,3.0,Tornado,100.0,,,,5,False,False,,,
01395,Electro Wizard,24.0,Royal Giant,86.0,Baby Dragon,3.0,Tornado,100.0,,,,5,False,False,,,
01410,Electro Wizard,24.0,Royal Giant,86.0,Baby Dragon,3.0,Tornado,100.0,,,,5,False,False,,,
01425,Electro Wizard,24.0,Royal Giant,86.0,Baby Dragon,3.0,Tornado,100.0,,,,6,False,False,,,
01440,Electro Wizard,24.0,Royal Giant,86.0,Baby Dragon,3.0,Tornado,100.0,,,,6,False,False,,,
01455,Electro Wizard,24.0,Royal Giant,86.0,Baby Dragon,3.0,Tornado,100.0,,,,6,False,False,,,
01470,Electro Wizard,24.0,Royal Giant,86.0,Baby Dragon,3.0,Tornado,100.0,,,,6,False,False,,,
01485,Electro Wizard,24.0,Royal Giant,86.0,Baby Dragon,3.0,Tornado,100.0,,,,6,False,False,,,
01500,Electro Wizard,24.0,Royal Giant,86.0,Baby Dragon,3.0,Tornado,100.0,,,,6,False,False,,,
01515,Electro Wizard,24.0,Royal Giant,86.0,Baby Dragon,3.0,Tornado,100.0,,,,7,False,False,,,
01530,Electro Wizard,24.0,Royal Giant,86.0,Baby Dragon,3.0,Tornado,100.0,,,,7,False,False,,,
