frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed
00915,Poison,77.0,The Log,97.0,Bats,9.0,Bomb Tower,12.0,,,,8,,,
00930,Poison,77.0,The Log,97.0,Bats,9.0,Bomb Tower,12.0,,,,8,,,
00945,Poison,77.0,The Log,97.0,Bats,9.0,Bomb Tower,12.0,,,,8,,,
00960,Poison,77.0,The Log,97.0,Bats,9.0,Bomb Tower,12.0,,,,8,,,
00975,Poison,77.0,The Log,97.0,Bats,9.0,Bomb Tower,12.0,,,,8,,,
00990,Poison,77.0,The Log,97.0,Bats,9.0,Bomb Tower,12.0,,,,9,,,
01005,Poison,77.0,The Log,97.0,Bats,9.0,Bomb Tower,12.0,,,,9,,,
01020,Poison,77.0,The Log,97.0,Bats,9.0,Bomb Tower,12.0,,,,9,,,
01035,Poison,77.0,The Log,97.0,Bats,9.0,Bomb Tower,12.0,,,,9,,,
01050,Poison,77.0,The Log,97.0,Bats,9.0,Bomb Tower,12.0,,,,9,,,
01065,Poison,77.0,The Log,97.0,Bats,9.0,Bomb Tower,12.0,,,,10,,,
01080,Poison,77.0,The Log,97.0,Wall Breakers,102.0,Bomb Tower,12.0,,,,8,,,
01095,Poison,77.0,The Log,97.0,Wall Breakers,102.0,Bomb Tower,12.0,,,,8,,,
01110,Poison,77.0,The Log,97.0,Wall Breakers,102.0,Bomb Tower,12.0,,,,8,,,
01125,Poison,77.0,The Log,97.0,Wall Breakers,102.0,Bomb Tower,12.0,,,,8,,,
01140,Poison,77.0,The Log,97.0,Wall Breakers,102.0,Bomb Tower,12.0,,,,8,,,
01155,Poison,77.0,The Log,97.0,Wall Breakers,102.0,Bomb Tower,12.0,,,,8,,,
01170,Poison,77.0,The Log,97.0,Wall Breakers,102.0,Bomb Tower,12.0,,,,9,,,
01185,Poison,77.0,The Log,97.0,Wall Breakers,102.0,Bomb Tower,12.0,,,,9,,,
01200,Poison,77.0,The Log,97.0,Wall Breakers,102.0,Bomb Tower,12.0,,,,9,,,
01215,Poison,77.0,The Log,97.0,Wall Breakers,102.0,Bomb Tower,12.0,,,,9,,,
01230,Poison,77.0,The Log,97.0,Wall Breakers,102.0,Bomb Tower,12.0,,,,9,,,
