frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed,0,predicted_elixirConsumed
00915,Poison,77.0,The Log,97.0,Bats,9.0,Bomb Tower,12.0,,,,8,False,False,,,
00930,Poison,77.0,The Log,97.0,Bats,9.0,Bomb Tower,12.0,,,,8,False,False,,,
00945,Poison,77.0,The Log,97.0,Bats,9.0,Bomb Tower,12.0,,,,8,False,False,,,
00960,Poison,77.0,The Log,97.0,Bats,9.0,Bomb Tower,12.0,,,,8,False,False,,,
00975,Poison,77.0,The Log,97.0,Bats,9.0,Bomb Tower,12.0,,,,8,False,False,,,
00990,Poison,77.0,The Log,97.0,Bats,9.0,Bomb Tower,12.0,,,,9,False,False,,,
01005,Poison,77.0,The Log,97.0,Bats,9.0,Bomb Tower,12.0,,,,9,False,False,,,
01020,Poison,77.0,The Log,97.0,Bats,9.0,Bomb Tower,12.0,,,,9,False,False,,,
01035,Poison,77.0,The Log,97.0,Bats,9.0,Bomb Tower,12.0,,,,9,False,False,,,
01050,Poison,77.0,The Log,97.0,Bats,9.0,Bomb Tower,12.0,,,,9,False,False,,,
01065,Poison,77.0,The Log,97.0,Bats,9.0,Bomb Tower,12.0,,,,10,False,False,,,
01080,Poison,77.0,The Log,97.0,Wall Breakers,102.0,Bomb Tower,12.0,Bats,9.0,3.0,8,True,True,,Bats,2.0
01095,Poison,77.0,The Log,97.0,Wall Breakers,102.0,Bomb Tower,12.0,,,,8,False,False,,,
01110,Poison,77.0,The Log,97.0,Wall Breakers,102.0,Bomb Tower,12.0,,,,8,False,False,,,
01125,Poison,77.0,The Log,97.0,Wall Breakers,102.0,Bomb Tower,12.0,,,,8,False,False,,,
01140,Poison,77.0,The Log,97.0,Wall Breakers,102.0,Bomb Tower,12.0,,,,8,False,False,,,
01155,Poison,77.0,The Log,97.0,Wall Breakers,102.0,Bomb Tower,12.0,,,,8,False,False,,,
01170,Poison,77.0,The Log,97.0,Wall Breakers,102.0,Bomb Tower,12.0,,,,9,False,False,,,
01185,Poison,77.0,The Log,97.0,Wall Breakers,102.0,Bomb Tower,12.0,,,,9,False,False,,,
01200,Poison,77.0,The Log,97.0,Wall Breakers,102.0,Bomb Tower,12.0,,,,9,False,False,,,
01215,Poison,77.0,The Log,97.0,Wall Breakers,102.0,Bomb Tower,12.0,,,,9,False,False,,,
01230,Poison,77.0,The Log,97.0,Wall Breakers,102.0,Bomb Tower,12.0,,,,9,False,False,,,
01245,Poison,77.0,The Log,97.0,Wall Breakers,102.0,Bomb Tower,12.0,,,,10,False,False,,,
01260,Poison,77.0,The Log,97.0,Spear Goblins,95.0,Bomb Tower,12.0,Wall Breakers,102.0,3.0,8,True,True,,Wall Breakers,2.0
01275,Poison,77.0,The Log,97.0,Spear Goblins,95.0,Bomb Tower,12.0,,,,8,False,False,,,
01290,Poison,77.0,The Log,97.0,Spear Goblins,95.0,Bomb Tower,12.0,,,,8,False,False,,,
01305,Poison,77.0,The Log,97.0,Spear Goblins,95.0,Bomb Tower,12.0,,,,8,False,False,,,
01320,Poison,77.0,The Log,97.0,Spear Goblins,95.0,Bomb Tower,12.0,,,,8,False,False,,,
01335,Poison,77.0,The Log,97.0,Spear Goblins,95.0,Bomb Tower,12.0,,,,8,False,False,,,
01350,Poison,77.0,Mighty Miner,65.0,Spear Goblins,95.0,Bomb Tower,12.0,The Log,97.0,2.0,7,True,True,,The Log,2.0
01365,Poison,77.0,Mighty Miner,65.0,Spear Goblins,95.0,Bomb Tower,12.0,,,,7,False,False,,,
01380,Poison,77.0,Mighty Miner,65.0,Spear Goblins,95.0,Bomb Tower,12.0,,,,7,False,False,,,
01395,Poison,77.0,Mighty Miner,65.0,Spear Goblins,95.0,Bomb Tower,12.0,,,,7,False,False,,,
01410,Poison,77.0,Mighty Miner,65.0,Spear Goblins,95.0,Bomb Tower,12.0,,,,7,False,False,,,
01425,Poison,77.0,Mighty Miner,65.0,Spear Goblins,95.0,Bomb Tower,12.0,,,,6,False,True,,,
01440,Poison,77.0,Mighty Miner,65.0,Spear Goblins,95.0,Bomb Tower,12.0,,,,8,False,False,,,
01455,Poison,77.0,Mighty Miner,65.0,Spear Goblins,95.0,Bomb Tower,12.0,,,,8,False,False,,,
01470,Poison,77.0,Mighty Miner,65.0,Spear Goblins,95.0,Bomb Tower,12.0,,,,8,False,False,,,
01485,Poison,77.0,Mighty Miner,65.0,Spear Goblins,95.0,Bomb Tower,12.0,,,,8,False,False,,,
01500,Poison,77.0,Mighty Miner,65.0,Spear Goblins,95.0,Bomb Tower,12.0,,,,8,False,False,,,
01515,Poison,77.0,Mighty Miner,65.0,Spear Goblins,95.0,Bomb Tower,12.0,,,,9,False,False,,,
01530,Poison,77.0,Mighty Miner,65.0,Spear Goblins,95.0,Bomb Tower,12.0,,,,9,False,False,,,
01545,Poison,77.0,Mighty Miner,65.0,Miner,66.0,Bomb Tower,12.0,Spear Goblins,95.0,3.0,7,True,True,,Spear Goblins,2.0
01560,Poison,77.0,Mighty Miner,65.0,Miner,66.0,Bomb Tower,12.0,,,,7,False,False,,,
01575,Poison,77.0,Mighty Miner,65.0,Miner,66.0,Bomb Tower,12.0,,,,7,False,False,,,
01590,Poison,77.0,Mighty Miner,65.0,Miner,66.0,Bomb Tower,12.0,,,,8,False,False,,,
01605,Poison,77.0,Mighty Miner,65.0,Miner,66.0,Bomb Tower,12.0,,,,8,False,False,,,
01620,Poison,77.0,Mighty Miner,65.0,Miner,66.0,Bomb Tower,12.0,,,,8,False,False,,,
01635,Poison,77.0,Mighty Miner,65.0,Miner,66.0,Bomb Tower,12.0,,,,8,False,False,,,
01650,Poison,77.0,Mighty Miner,65.0,Miner,66.0,Bomb Tower,12.0,,,,8,False,False,,,
01665,Poison,77.0,Mighty Miner,65.0,Miner,66.0,Bomb Tower,12.0,,,,8,False,False,,,
01680,Poison,77.0,Mighty Miner,65.0,Miner,66.0,Bomb Tower,12.0,,,,9,False,False,,,
