frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed
01005,Ice Golem,53.0,The Log,97.0,Cannon,15.0,Witch,103.0,,,,8,,,
01020,Ice Golem,53.0,The Log,97.0,Cannon,15.0,Witch,103.0,,,,8,,,
01035,Ice Golem,53.0,The Log,97.0,Cannon,15.0,Witch,103.0,,,,8,,,
01050,Ice Golem,53.0,The Log,97.0,Cannon,15.0,Witch,103.0,,,,9,,,
01065,Ice Golem,53.0,The Log,97.0,Cannon,15.0,Witch,103.0,,,,9,,,
01080,Ice Golem,53.0,The Log,97.0,Cannon,15.0,Witch,103.0,,,,9,,,
01095,Ice Golem,53.0,The Log,97.0,Cannon,15.0,Witch,103.0,,,,9,,,
01110,Ice Golem,53.0,The Log,97.0,Cannon,15.0,Witch,103.0,,,,9,,,
01125,Ice Golem,53.0,The Log,97.0,Cannon,15.0,Witch,103.0,,,,9,,,
01140,Ice Golem,53.0,Fire Spirit,29.0,Cannon,15.0,Witch,103.0,,,,8,,,
01155,Ice Golem,53.0,Fire Spirit,29.0,Cannon,15.0,Witch,103.0,,,,8,,,
01170,Ice Golem,53.0,Fire Spirit,29.0,Cannon,15.0,Witch,103.0,,,,8,,,
01185,Ice Golem,53.0,Fire Spirit,29.0,Cannon,15.0,Witch,103.0,,,,8,,,
01200,Ice Golem,53.0,Fire Spirit,29.0,Cannon,15.0,Witch,103.0,,,,8,,,
01215,Ice Golem,53.0,Fire Spirit,29.0,Inferno Tower,57.0,Witch,103.0,,,,5,,,
01230,Ice Golem,53.0,Fire Spirit,29.0,Hog Rider,51.0,Witch,103.0,,,,6,,,
01245,Ice Golem,53.0,Fire Spirit,29.0,Hog Rider,51.0,Witch,103.0,,,,6,,,
01260,Ice Golem,53.0,Fire Spirit,29.0,Hog Rider,51.0,Witch,103.0,,,,6,,,
01275,Ice Golem,53.0,Fire Spirit,29.0,Skeletons,93.0,,,,,,2,,,
01290,Ice Golem,53.0,Fire Spirit,29.0,Skeletons,93.0,,,,,,2,,,
01305,Ice Golem,53.0,Fire Spirit,29.0,Skeletons,93.0,,,,,,3,,,
01320,Ice Golem,53.0,Fire Spirit,29.0,Skeletons,93.0,,,,,,3,,,
01335,Ice Golem,53.0,Fire Spirit,29.0,Skeletons,93.0,,,,,,3,,,
01350,Ice Golem,53.0,Fire Spirit,29.0,Skeletons,93.0,,,,,,3,,,
01365,Ice Golem,53.0,Fire Spirit,29.0,Skeletons,93.0,,,,,,3,,,
01380,Ice Golem,53.0,Fire Spirit,29.0,Skeletons,93.0,,,,,,3,,,
01395,Ice Golem,53.0,Fire Spirit,29.0,Skeletons,93.0,,,,,,4,,,
01410,Ice Golem,53.0,Fire Spirit,29.0,Skeletons,93.0,,,,,,4,,,
01425,Ice Golem,53.0,Fire Spirit,29.0,Skeletons,93.0,,,,,,4,,,
01440,Ice Golem,53.0,Fire Spirit,29.0,Skeletons,93.0,,,,,,4,,,
