frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed
00240,Giant,36.0,Bowler,14.0,Inferno Dragon,56.0,Graveyard,48.0,,,,6.0,,,
00255,Giant,36.0,Bowler,14.0,Inferno Dragon,56.0,Graveyard,48.0,,,,6.0,,,
00270,Giant,36.0,Bowler,14.0,Inferno Dragon,56.0,Graveyard,48.0,,,,6.0,,,
00285,Giant,36.0,Bowler,14.0,Inferno Dragon,56.0,Graveyard,48.0,,,,6.0,,,
00300,Giant,36.0,Bowler,14.0,Inferno Dragon,56.0,Graveyard,48.0,,,,7.0,,,
00315,Giant,36.0,Bowler,14.0,Inferno Dragon,56.0,Graveyard,48.0,,,,7.0,,,
00330,Giant,36.0,Bowler,14.0,Inferno Dragon,56.0,Graveyard,48.0,,,,7.0,,,
00345,Giant,36.0,Bowler,14.0,Inferno Dragon,56.0,Graveyard,48.0,,,,7.0,,,
00360,Giant,36.0,Bowler,14.0,Inferno Dragon,56.0,Graveyard,48.0,,,,7.0,,,
00375,Giant,36.0,Bowler,14.0,Inferno Dragon,56.0,Graveyard,48.0,,,,8.0,,,
00390,Giant,36.0,Bowler,14.0,Inferno Dragon,56.0,Graveyard,48.0,,,,8.0,,,
00405,Giant,36.0,Bowler,14.0,Inferno Dragon,56.0,Graveyard,48.0,,,,8.0,,,
00420,Giant,36.0,Bowler,14.0,Inferno Dragon,56.0,Graveyard,48.0,,,,8.0,,,
00435,Giant,36.0,Bowler,14.0,Inferno Dragon,56.0,Graveyard,48.0,,,,8.0,,,
00450,Giant,36.0,Bowler,14.0,Inferno Dragon,56.0,Graveyard,48.0,,,,8.0,,,
00465,Giant,36.0,Bowler,14.0,Inferno Dragon,56.0,Graveyard,48.0,,,,9.0,,,
00480,Giant,36.0,Bowler,14.0,Inferno Dragon,56.0,Graveyard,48.0,,,,9.0,,,
00495,Giant,36.0,Bowler,14.0,Inferno Dragon,56.0,Graveyard,48.0,,,,9.0,,,
00510,Giant,36.0,Bowler,14.0,Inferno Dragon,56.0,Graveyard,48.0,,,,9.0,,,
00525,Giant,36.0,Bowler,14.0,Inferno Dragon,56.0,Graveyard,48.0,,,,9.0,,,
