frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed
00255,Rocket,83.0,Inferno Tower,57.0,Goblin Barrel,39.0,Knight,58.0,,,,6,,,
00270,Rocket,83.0,Inferno Tower,57.0,Goblin Barrel,39.0,Knight,58.0,,,,6,,,
00285,Rocket,83.0,Inferno Tower,57.0,Goblin Barrel,39.0,Knight,58.0,,,,6,,,
00300,Rocket,83.0,Inferno Tower,57.0,Goblin Barrel,39.0,Knight,58.0,,,,7,,,
00315,Rocket,83.0,Inferno Tower,57.0,Goblin Barrel,39.0,Knight,58.0,,,,7,,,
00330,Rocket,83.0,Inferno Tower,57.0,Goblin Barrel,39.0,Knight,58.0,,,,7,,,
00345,Rocket,83.0,Inferno Tower,57.0,Goblin Barrel,39.0,Knight,58.0,,,,7,,,
00360,Rocket,83.0,Inferno Tower,57.0,Goblin Barrel,39.0,Knight,58.0,,,,7,,,
00375,Rocket,83.0,Inferno Tower,57.0,Goblin Barrel,39.0,Knight,58.0,,,,8,,,
00390,Rocket,83.0,Inferno Tower,57.0,Goblin Barrel,39.0,Knight,58.0,,,,8,,,
00405,Rocket,83.0,Inferno Tower,57.0,Goblin Barrel,39.0,Knight,58.0,,,,8,,,
00420,Rocket,83.0,Inferno Tower,57.0,Goblin Barrel,39.0,Knight,58.0,,,,8,,,
00435,Rocket,83.0,Inferno Tower,57.0,Goblin Barrel,39.0,Knight,58.0,,,,8,,,
00450,Rocket,83.0,Inferno Tower,57.0,Goblin Barrel,39.0,Knight,58.0,,,,8,,,
00465,Rocket,83.0,Inferno Tower,57.0,Goblin Barrel,39.0,Knight,58.0,,,,9,,,
00480,Rocket,83.0,Inferno Tower,57.0,Goblin Barrel,39.0,Knight,58.0,,,,9,,,
00495,Rocket,83.0,Inferno Tower,57.0,Goblin Barrel,39.0,Knight,58.0,,,,9,,,
00510,Rocket,83.0,Inferno Tower,57.0,Goblin Barrel,39.0,Knight,58.0,,,,9,,,
00525,Rocket,83.0,Inferno Tower,57.0,Goblin Barrel,39.0,Knight,58.0,,,,9,,,
00540,Rocket,83.0,Inferno Tower,57.0,Goblin Gang,42.0,Knight,58.0,,,,7,,,
00555,Rocket,83.0,Inferno Tower,57.0,Goblin Gang,42.0,Knight,58.0,,,,7,,,
00570,Rocket,83.0,Inferno Tower,57.0,Goblin Gang,42.0,Knight,58.0,,,,7,,,
00585,Rocket,83.0,Inferno Tower,57.0,Goblin Gang,42.0,Knight,58.0,,,,7,,,
00600,Rocket,83.0,Inferno Tower,57.0,Goblin Gang,42.0,Knight,58.0,,,,7,,,
00615,Rocket,83.0,Inferno Tower,57.0,Goblin Gang,42.0,Knight,58.0,,,,7,,,
00630,Rocket,83.0,Inferno Tower,57.0,Goblin Gang,42.0,Knight,58.0,,,,8,,,
00645,Rocket,83.0,Inferno Tower,57.0,Goblin Gang,42.0,Knight,58.0,,,,8,,,
00660,Rocket,83.0,Inferno Tower,57.0,Goblin Gang,42.0,Knight,58.0,,,,8,,,
00675,Rocket,83.0,Inferno Tower,57.0,Goblin Gang,42.0,Knight,58.0,,,,8,,,
00690,Rocket,83.0,Inferno Tower,57.0,Goblin Gang,42.0,Knight,58.0,,,,8,,,
00705,Rocket,83.0,Inferno Tower,57.0,Goblin Gang,42.0,Knight,58.0,,,,8,,,
00720,Rocket,83.0,Inferno Tower,57.0,Goblin Gang,42.0,Knight,58.0,,,,9,,,
00735,Rocket,83.0,Inferno Tower,57.0,Goblin Gang,42.0,Knight,58.0,,,,9,,,
00750,Rocket,83.0,Inferno Tower,57.0,Goblin Gang,42.0,Knight,58.0,,,,9,,,
00765,Rocket,83.0,Inferno Tower,57.0,Goblin Gang,42.0,Knight,58.0,,,,9,,,
00780,Rocket,83.0,Inferno Tower,57.0,Goblin Gang,42.0,Knight,58.0,,,,9,,,
00795,Rocket,83.0,Inferno Tower,57.0,Goblin Gang,42.0,Knight,58.0,,,,10,,,
00810,Rocket,83.0,Inferno Tower,57.0,Goblin Gang,42.0,Knight,58.0,,,,10,,,
00825,Rocket,83.0,Inferno Tower,57.0,Goblin Gang,42.0,Knight,58.0,,,,10,,,
00840,Rocket,83.0,Inferno Tower,57.0,Goblin Gang,42.0,Knight,58.0,,,,10,,,
00855,Rocket,83.0,Inferno Tower,57.0,Goblin Gang,42.0,Knight,58.0,,,,10,,,
00870,Rocket,83.0,Inferno Tower,57.0,Goblin Gang,42.0,Knight,58.0,,,,10,,,
00885,Rocket,83.0,Inferno Tower,57.0,Goblin Gang,42.0,Knight,58.0,,,,10,,,
00900,Rocket,83.0,Inferno Tower,57.0,Goblin Gang,42.0,Knight,58.0,,,,10,,,
00915,Rocket,83.0,Inferno Tower,57.0,Goblin Gang,42.0,Knight,58.0,,,,10,,,
00930,Rocket,83.0,Inferno Tower,57.0,Goblin Gang,42.0,Knight,58.0,,,,10,,,
00945,Rocket,83.0,Inferno Tower,57.0,Goblin Gang,42.0,Knight,58.0,,,,10,,,
00960,Rocket,83.0,Inferno Tower,57.0,Goblin Gang,42.0,Knight,58.0,,,,10,,,
00975,Rocket,83.0,Inferno Tower,57.0,Goblin Gang,42.0,Knight,58.0,,,,10,,,
00990,Rocket,83.0,Inferno Tower,57.0,Goblin Gang,42.0,Knight,58.0,,,,10,,,
01005,Rocket,83.0,Inferno Tower,57.0,Goblin Gang,42.0,Knight,58.0,,,,10,,,
01020,Rocket,83.0,Inferno Tower,57.0,Goblin Gang,42.0,Knight,58.0,,,,10,,,
01035,Rocket,83.0,Inferno Tower,57.0,Goblin Gang,42.0,Knight,58.0,,,,10,,,
01050,Rocket,83.0,Inferno Tower,57.0,Goblin Gang,42.0,Knight,58.0,,,,10,,,
01065,Rocket,83.0,Inferno Tower,57.0,Goblin Gang,42.0,Knight,58.0,,,,10,,,
01080,Rocket,83.0,Inferno Tower,57.0,Goblin Gang,42.0,Knight,58.0,,,,10,,,
01095,Rocket,83.0,Inferno Tower,57.0,Goblin Gang,42.0,Princess,79.0,,,,7,,,
01110,Rocket,83.0,Inferno Tower,57.0,Goblin Gang,42.0,Princess,79.0,,,,7,,,
01125,Rocket,83.0,Inferno Tower,57.0,Goblin Gang,42.0,Princess,79.0,,,,7,,,
