frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed
00225,Wall Breakers,102.0,Knight,58.0,Hunter,52.0,Earthquake,20.0,,,,6.0,,,
00240,Wall Breakers,102.0,Knight,58.0,Hunter,52.0,Earthquake,20.0,,,,6.0,,,
00255,Wall Breakers,102.0,Knight,58.0,Hunter,52.0,Earthquake,20.0,,,,6.0,,,
00270,Wall Breakers,102.0,Knight,58.0,Hunter,52.0,Earthquake,20.0,,,,6.0,,,
00285,Wall Breakers,102.0,Knight,58.0,Hunter,52.0,Earthquake,20.0,,,,7.0,,,
00300,Wall Breakers,102.0,Knight,58.0,Hunter,52.0,Earthquake,20.0,,,,7.0,,,
00315,Wall Breakers,102.0,Knight,58.0,Hunter,52.0,Earthquake,20.0,,,,7.0,,,
00330,Wall Breakers,102.0,Knight,58.0,Hunter,52.0,Earthquake,20.0,,,,7.0,,,
00345,Wall Breakers,102.0,Knight,58.0,Hunter,52.0,Earthquake,20.0,,,,7.0,,,
00360,Wall Breakers,102.0,Knight,58.0,Hunter,52.0,Earthquake,20.0,,,,8.0,,,
00375,Wall Breakers,102.0,Knight,58.0,Hunter,52.0,Earthquake,20.0,,,,8.0,,,
00390,Wall Breakers,102.0,Knight,58.0,Hunter,52.0,Earthquake,20.0,,,,8.0,,,
00405,Wall Breakers,102.0,Knight,58.0,Hunter,52.0,Earthquake,20.0,,,,8.0,,,
00420,Wall Breakers,102.0,Knight,58.0,Hunter,52.0,Earthquake,20.0,,,,8.0,,,
00435,Wall Breakers,102.0,Knight,58.0,Hunter,52.0,Earthquake,20.0,,,,8.0,,,
00450,Wall Breakers,102.0,Knight,58.0,Hunter,52.0,Earthquake,20.0,,,,9.0,,,
00465,Wall Breakers,102.0,Knight,58.0,Hunter,52.0,Earthquake,20.0,,,,9.0,,,
00480,Wall Breakers,102.0,Knight,58.0,Hunter,52.0,Earthquake,20.0,,,,9.0,,,
00495,Wall Breakers,102.0,Knight,58.0,Hunter,52.0,Earthquake,20.0,,,,9.0,,,
00510,Spear Goblins,95.0,Knight,58.0,Hunter,52.0,Earthquake,20.0,,,,7.0,,,
00525,Spear Goblins,95.0,Knight,58.0,Hunter,52.0,Earthquake,20.0,,,,8.0,,,
00540,Spear Goblins,95.0,Knight,58.0,Hunter,52.0,Earthquake,20.0,,,,8.0,,,
00555,Spear Goblins,95.0,Knight,58.0,Hunter,52.0,Earthquake,20.0,,,,8.0,,,
00570,Spear Goblins,95.0,Knight,58.0,Hunter,52.0,Earthquake,20.0,,,,8.0,,,
00585,Spear Goblins,95.0,Knight,58.0,Hunter,52.0,Earthquake,20.0,,,,8.0,,,
00600,Spear Goblins,95.0,Knight,58.0,Hunter,52.0,Earthquake,20.0,,,,8.0,,,
