frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed,0,predicted_elixirConsumed
00240,Night Witch,74.0,Goblin Cage,40.0,Ice Wizard,55.0,Lightning,60.0,,,,6,False,False,,,
00255,Night Witch,74.0,Goblin Cage,40.0,Ice Wizard,55.0,Lightning,60.0,,,,6,False,False,,,
00270,Night Witch,74.0,Goblin Cage,40.0,Ice Wizard,55.0,Lightning,60.0,,,,6,False,False,,,
00285,Night Witch,74.0,Goblin Cage,40.0,Ice Wizard,55.0,Lightning,60.0,,,,7,False,False,,,
00300,Night Witch,74.0,Goblin Cage,40.0,Ice Wizard,55.0,Lightning,60.0,,,,7,False,False,,,
00315,Night Witch,74.0,Goblin Cage,40.0,Ice Wizard,55.0,Lightning,60.0,,,,7,False,False,,,
00330,Night Witch,74.0,Goblin Cage,40.0,Ice Wizard,55.0,Lightning,60.0,,,,7,False,False,,,
00345,Night Witch,74.0,Goblin Cage,40.0,Ice Wizard,55.0,Lightning,60.0,,,,7,False,False,,,
00360,Night Witch,74.0,Goblin Cage,40.0,Ice Wizard,55.0,Lightning,60.0,,,,7,False,False,,,
00375,Night Witch,74.0,Goblin Cage,40.0,Ice Wizard,55.0,Lightning,60.0,,,,8,False,False,,,
00390,Night Witch,74.0,Goblin Cage,40.0,Ice Wizard,55.0,Lightning,60.0,,,,8,False,False,,,
00405,Night Witch,74.0,Goblin Cage,40.0,Ice Wizard,55.0,Lightning,60.0,,,,8,False,False,,,
00420,Night Witch,74.0,Goblin Cage,40.0,Ice Wizard,55.0,Lightning,60.0,,,,8,False,False,,,
00435,Night Witch,74.0,Goblin Cage,40.0,Ice Wizard,55.0,Lightning,60.0,,,,8,False,False,,,
00450,Night Witch,74.0,Goblin Cage,40.0,Ice Wizard,55.0,Lightning,60.0,,,,9,False,False,,,
00465,Night Witch,74.0,Goblin Cage,40.0,Ice Wizard,55.0,Lightning,60.0,,,,9,False,False,,,
00480,Night Witch,74.0,Goblin Cage,40.0,Ice Wizard,55.0,Lightning,60.0,,,,9,False,False,,,
00495,Night Witch,74.0,Goblin Cage,40.0,Ice Wizard,55.0,Lightning,60.0,,,,9,False,False,,,
00510,Night Witch,74.0,Goblin Cage,40.0,Ice Wizard,55.0,Lightning,60.0,,,,9,False,False,,,
00525,Night Witch,74.0,Goblin Cage,40.0,Ice Wizard,55.0,Lightning,60.0,,,,9,False,False,,,
00540,Night Witch,74.0,Goblin Cage,40.0,Ice Wizard,55.0,Lightning,60.0,,,,10,False,False,,,
00555,Night Witch,74.0,Goblin Cage,40.0,Ice Wizard,55.0,Lightning,60.0,,,,10,False,False,,,
00570,Night Witch,74.0,Goblin Cage,40.0,Ice Wizard,55.0,Lightning,60.0,,,,10,False,False,,,
00585,Night Witch,74.0,Goblin Cage,40.0,Ice Wizard,55.0,Lightning,60.0,,,,10,False,False,,,
00600,Night Witch,74.0,Goblin Cage,40.0,Ice Wizard,55.0,Lightning,60.0,,,,10,False,False,,,
00615,Night Witch,74.0,Goblin Cage,40.0,Ice Wizard,55.0,Lightning,60.0,,,,10,False,False,,,
00630,Night Witch,74.0,Goblin Cage,40.0,Ice Wizard,55.0,Lightning,60.0,,,,10,False,False,,,
00645,Night Witch,74.0,Goblin Cage,40.0,Ice Wizard,55.0,Lightning,60.0,,,,10,False,False,,,
00660,Night Witch,74.0,Goblin Cage,40.0,Ice Wizard,55.0,Lightning,60.0,,,,10,False,False,,,
00675,Night Witch,74.0,Goblin Cage,40.0,Ice Wizard,55.0,Lightning,60.0,,,,10,False,False,,,
00690,Night Witch,74.0,Goblin Cage,40.0,Ice Wizard,55.0,Lightning,60.0,,,,10,False,False,,,
00705,Night Witch,74.0,Goblin Cage,40.0,Ice Wizard,55.0,Lightning,60.0,,,,10,False,False,,,
