frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed,0,predicted_elixirConsumed
00225,Skeletons,93.0,Tesla,96.0,Archers,109.0,Fireball,30.0,,,,6,False,False,,,
00240,Skeletons,93.0,Tesla,96.0,Archers,109.0,Fireball,30.0,,,,6,False,False,,,
00255,Skeletons,93.0,Tesla,96.0,Archers,109.0,Fireball,30.0,,,,6,False,False,,,
00270,Skeletons,93.0,Tesla,96.0,Archers,109.0,Fireball,30.0,,,,6,False,False,,,
00285,Skeletons,93.0,Tesla,96.0,Archers,109.0,Fireball,30.0,,,,7,False,False,,,
00300,Skeletons,93.0,Tesla,96.0,Archers,109.0,Fireball,30.0,,,,7,False,False,,,
00315,Skeletons,93.0,Tesla,96.0,Archers,109.0,Fireball,30.0,,,,7,False,False,,,
00330,Skeletons,93.0,Tesla,96.0,Archers,109.0,Fireball,30.0,,,,7,False,False,,,
00345,Skeletons,93.0,Tesla,96.0,Archers,109.0,Fireball,30.0,,,,7,False,False,,,
00360,Skeletons,93.0,Tesla,96.0,Archers,109.0,Fireball,30.0,,,,8,False,False,,,
00375,Skeletons,93.0,Tesla,96.0,Archers,109.0,Fireball,30.0,,,,8,False,False,,,
00390,Skeletons,93.0,Tesla,96.0,Archers,109.0,Fireball,30.0,,,,8,False,False,,,
00405,Skeletons,93.0,Tesla,96.0,Archers,109.0,Fireball,30.0,,,,8,False,False,,,
00420,Skeletons,93.0,Tesla,96.0,Archers,109.0,Fireball,30.0,,,,8,False,False,,,
00435,Skeletons,93.0,Tesla,96.0,Archers,109.0,Fireball,30.0,,,,8,False,False,,,
00450,Skeletons,93.0,Tesla,96.0,Archers,109.0,Fireball,30.0,,,,9,False,False,,,
00465,Skeletons,93.0,Tesla,96.0,Archers,109.0,Fireball,30.0,,,,9,False,False,,,
00480,Skeletons,93.0,Tesla,96.0,Archers,109.0,Fireball,30.0,,,,9,False,False,,,
00495,Knight,58.0,Tesla,96.0,Archers,109.0,Fireball,30.0,Skeletons,93.0,1.0,8,True,True,,Skeletons,1.0
00510,Knight,58.0,Tesla,96.0,Archers,109.0,Fireball,30.0,,,,8,False,False,,,
00525,Knight,58.0,Tesla,96.0,Archers,109.0,Fireball,30.0,,,,8,False,False,,,
00540,Knight,58.0,Tesla,96.0,Archers,109.0,Fireball,30.0,,,,9,False,False,,,
00555,Knight,58.0,Tesla,96.0,Archers,109.0,Fireball,30.0,,,,9,False,False,,,
00570,Knight,58.0,Tesla,96.0,X,105.0,Fireball,30.0,Archers,109.0,3.0,6,True,True,,Archers,3.0
00585,Knight,58.0,Tesla,96.0,X,105.0,Fireball,30.0,,,,6,False,False,,,
00600,Knight,58.0,Tesla,96.0,X,105.0,Fireball,30.0,,,,6,False,False,,,
00615,Knight,58.0,Tesla,96.0,X,105.0,Fireball,30.0,,,,7,False,False,,,
00630,Knight,58.0,Tesla,96.0,X,105.0,Fireball,30.0,,,,7,False,False,,,
00645,Knight,58.0,Tesla,96.0,X,105.0,Fireball,30.0,,,,7,False,False,,,
00660,Knight,58.0,Tesla,96.0,X,105.0,Fireball,30.0,,,,7,False,False,,,
00675,Knight,58.0,Tesla,96.0,X,105.0,Fireball,30.0,,,,7,False,False,,,
00690,Knight,58.0,Tesla,96.0,X,105.0,Fireball,30.0,,,,7,False,False,,,
00705,Knight,58.0,Tesla,96.0,X,105.0,Fireball,30.0,,,,8,False,False,,,
00720,Knight,58.0,Tesla,96.0,X,105.0,Fireball,30.0,,,,8,False,False,,,
00735,Knight,58.0,Tesla,96.0,X,105.0,Fireball,30.0,,,,8,False,False,,,
00750,Knight,58.0,Tesla,96.0,X,105.0,Fireball,30.0,,,,8,False,False,,,
00765,Knight,58.0,Tesla,96.0,X,105.0,Fireball,30.0,,,,8,False,False,,,
00780,Knight,58.0,Tesla,96.0,X,105.0,Fireball,30.0,,,,9,False,False,,,
00795,Knight,58.0,Tesla,96.0,X,105.0,Fireball,30.0,,,,9,False,False,,,
00810,Knight,58.0,Tesla,96.0,X,105.0,Fireball,30.0,,,,9,False,False,,,
00825,Knight,58.0,Tesla,96.0,X,105.0,Fireball,30.0,,,,9,False,False,,,
00840,Knight,58.0,Tesla,96.0,The Log,97.0,Fireball,30.0,X,105.0,3.0,3,True,True,,X,6.0
00855,Knight,58.0,Tesla,96.0,The Log,97.0,Fireball,30.0,,,,3,False,False,,,
00870,Knight,58.0,Tesla,96.0,The Log,97.0,Fireball,30.0,,,,4,False,False,,,
00885,Knight,58.0,Tesla,96.0,The Log,97.0,Fireball,30.0,,,,4,False,False,,,
00900,Knight,58.0,Tesla,96.0,The Log,97.0,Fireball,30.0,,,,4,False,False,,,
00915,Knight,58.0,Tesla,96.0,The Log,97.0,Fireball,30.0,,,,4,False,False,,,
00930,Knight,58.0,Tesla,96.0,The Log,97.0,Fireball,30.0,,,,4,False,False,,,
00945,Knight,58.0,Tesla,96.0,The Log,97.0,Fireball,30.0,,,,4,False,False,,,
00960,Knight,58.0,Tesla,96.0,The Log,97.0,Fireball,30.0,,,,5,False,False,,,
00975,Knight,58.0,Tesla,96.0,The Log,97.0,Fireball,30.0,,,,5,False,False,,,
00990,Knight,58.0,Tesla,96.0,The Log,97.0,Fireball,30.0,,,,5,False,False,,,
01005,Knight,58.0,Tesla,96.0,The Log,97.0,Fireball,30.0,,,,5,False,False,,,
01020,Knight,58.0,Tesla,96.0,The Log,97.0,Fireball,30.0,,,,5,False,False,,,
01035,Knight,58.0,Tesla,96.0,The Log,97.0,Fireball,30.0,,,,6,False,False,,,
01050,Knight,58.0,Tesla,96.0,The Log,97.0,Fireball,30.0,,,,6,False,False,,,
01065,Knight,58.0,Tesla,96.0,The Log,97.0,Fireball,30.0,,,,6,False,False,,,
01080,Knight,58.0,Tesla,96.0,The Log,97.0,Fireball,30.0,,,,6,False,False,,,
01095,Knight,58.0,Tesla,96.0,The Log,97.0,Fireball,30.0,,,,6,False,False,,,
01110,Knight,58.0,Tesla,96.0,The Log,97.0,Fireball,30.0,,,,6,False,False,,,
01125,Knight,58.0,Tesla,96.0,The Log,97.0,Fireball,30.0,,,,7,False,False,,,
01140,Knight,58.0,Tesla,96.0,The Log,97.0,Fireball,30.0,,,,7,False,False,,,
01155,Knight,58.0,Tesla,96.0,The Log,97.0,Fireball,30.0,,,,7,False,False,,,
01170,Knight,58.0,Tesla,96.0,The Log,97.0,Fireball,30.0,,,,7,False,False,,,
01185,Knight,58.0,Tesla,96.0,The Log,97.0,Fireball,30.0,,,,7,False,False,,,
01200,Knight,58.0,Tesla,96.0,The Log,97.0,Fireball,30.0,,,,8,False,False,,,
01215,Knight,58.0,Tesla,96.0,The Log,97.0,Fireball,30.0,,,,8,False,False,,,
01230,Knight,58.0,Tesla,96.0,The Log,97.0,Fireball,30.0,,,,8,False,False,,,
