frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed,0,predicted_elixirConsumed
00240,Ice Spirit,54.0,Fireball,30.0,Archers,109.0,The Log,97.0,,,,6,False,False,,,
00255,Ice Spirit,54.0,Fireball,30.0,Archers,109.0,The Log,97.0,,,,6,False,False,,,
00270,Ice Spirit,54.0,Fireball,30.0,Archers,109.0,The Log,97.0,,,,6,False,False,,,
00285,Ice Spirit,54.0,Fireball,30.0,Archers,109.0,The Log,97.0,,,,6,False,False,,,
00300,Ice Spirit,54.0,Fireball,30.0,Archers,109.0,The Log,97.0,,,,7,False,False,,,
00315,Ice Spirit,54.0,Fireball,30.0,Archers,109.0,The Log,97.0,,,,7,False,False,,,
00330,Ice Spirit,54.0,Fireball,30.0,Archers,109.0,The Log,97.0,,,,7,False,False,,,
00345,Ice Spirit,54.0,Fireball,30.0,Archers,109.0,The Log,97.0,,,,7,False,False,,,
00360,Ice Spirit,54.0,Fireball,30.0,Archers,109.0,The Log,97.0,,,,7,False,False,,,
00375,Ice Spirit,54.0,Fireball,30.0,Archers,109.0,The Log,97.0,,,,8,False,False,,,
00390,Ice Spirit,54.0,Fireball,30.0,Archers,109.0,The Log,97.0,,,,8,False,False,,,
00405,Ice Spirit,54.0,Fireball,30.0,Archers,109.0,The Log,97.0,,,,8,False,False,,,
00420,Ice Spirit,54.0,Fireball,30.0,Archers,109.0,The Log,97.0,,,,8,False,False,,,
00435,Ice Spirit,54.0,Fireball,30.0,Archers,109.0,The Log,97.0,,,,8,False,False,,,
00450,Ice Spirit,54.0,Fireball,30.0,Archers,109.0,The Log,97.0,,,,8,False,False,,,
00465,Ice Spirit,54.0,Fireball,30.0,Archers,109.0,The Log,97.0,,,,9,False,False,,,
00480,Ice Spirit,54.0,Fireball,30.0,Archers,109.0,The Log,97.0,,,,9,False,False,,,
00495,Ice Spirit,54.0,Fireball,30.0,Archers,109.0,The Log,97.0,,,,9,False,False,,,
00510,Ice Spirit,54.0,Fireball,30.0,Archers,109.0,The Log,97.0,,,,9,False,False,,,
00525,Ice Spirit,54.0,Fireball,30.0,Archers,109.0,The Log,97.0,,,,9,False,False,,,
00540,Ice Spirit,54.0,Fireball,30.0,Archers,109.0,The Log,97.0,,,,9,False,False,,,
00555,Skeletons,93.0,Fireball,30.0,Archers,109.0,The Log,97.0,Ice Spirit,54.0,1.0,9,True,False,,Ice Spirit,1.0
00570,Skeletons,93.0,Fireball,30.0,Archers,109.0,The Log,97.0,,,,9,False,False,,,
00585,Skeletons,93.0,Fireball,30.0,Archers,109.0,The Log,97.0,,,,9,False,False,,,
00600,Skeletons,93.0,Fireball,30.0,Archers,109.0,The Log,97.0,,,,9,False,False,,,
00615,Skeletons,93.0,Fireball,30.0,Archers,109.0,The Log,97.0,,,,9,False,False,,,
00630,X,105.0,Fireball,30.0,Archers,109.0,The Log,97.0,Skeletons,93.0,1.0,9,True,False,,Skeletons,1.0
00645,X,105.0,Fireball,30.0,Archers,109.0,The Log,97.0,,,,9,False,False,,,
00660,X,105.0,Fireball,30.0,Archers,109.0,The Log,97.0,,,,9,False,False,,,
00675,X,105.0,Fireball,30.0,Archers,109.0,The Log,97.0,,,,9,False,False,,,
00690,X,105.0,Fireball,30.0,Archers,109.0,The Log,97.0,,,,9,False,False,,,
00705,X,105.0,Fireball,30.0,Archers,109.0,The Log,97.0,,,,9,False,False,,,
00720,X,105.0,Fireball,30.0,Archers,109.0,The Log,97.0,,,,10,False,False,,,
00735,X,105.0,Fireball,30.0,Tesla,96.0,The Log,97.0,Archers,109.0,3.0,7,True,True,,Archers,3.0
00750,X,105.0,Fireball,30.0,Tesla,96.0,The Log,97.0,,,,7,False,False,,,
00765,X,105.0,Fireball,30.0,Tesla,96.0,The Log,97.0,,,,7,False,False,,,
00780,X,105.0,Fireball,30.0,Tesla,96.0,The Log,97.0,,,,7,False,False,,,
00795,X,105.0,Fireball,30.0,Tesla,96.0,The Log,97.0,,,,7,False,False,,,
00810,X,105.0,Fireball,30.0,Tesla,96.0,The Log,97.0,,,,7,False,False,,,
00825,X,105.0,Fireball,30.0,Tesla,96.0,The Log,97.0,,,,8,False,False,,,
00840,X,105.0,Fireball,30.0,Tesla,96.0,The Log,97.0,,,,8,False,False,,,
00855,X,105.0,Fireball,30.0,Tesla,96.0,The Log,97.0,,,,8,False,False,,,
00870,X,105.0,Fireball,30.0,Tesla,96.0,The Log,97.0,,,,8,False,False,,,
00885,X,105.0,Fireball,30.0,Tesla,96.0,The Log,97.0,,,,8,False,False,,,
00900,X,105.0,Fireball,30.0,Tesla,96.0,The Log,97.0,,,,9,False,False,,,
00915,X,105.0,Fireball,30.0,Tesla,96.0,The Log,97.0,,,,9,False,False,,,
00930,X,105.0,Fireball,30.0,Tesla,96.0,The Log,97.0,,,,9,False,False,,,
00945,X,105.0,Fireball,30.0,Tesla,96.0,The Log,97.0,,,,9,False,False,,,
00960,X,105.0,Fireball,30.0,Tesla,96.0,The Log,97.0,,,,9,False,False,,,
00975,X,105.0,Fireball,30.0,Tesla,96.0,The Log,97.0,,,,9,False,False,,,
00990,X,105.0,Fireball,30.0,Tesla,96.0,The Log,97.0,,,,10,False,False,,,
01005,X,105.0,Fireball,30.0,Tesla,96.0,The Log,97.0,,,,10,False,False,,,
01020,X,105.0,Fireball,30.0,Tesla,96.0,The Log,97.0,,,,10,False,False,,,
01035,X,105.0,Fireball,30.0,Tesla,96.0,The Log,97.0,,,,10,False,False,,,
01050,X,105.0,Fireball,30.0,Tesla,96.0,The Log,97.0,,,,10,False,False,,,
01065,X,105.0,Fireball,30.0,Tesla,96.0,The Log,97.0,,,,10,False,False,,,
01080,X,105.0,Fireball,30.0,Tesla,96.0,The Log,97.0,,,,10,False,False,,,
01095,X,105.0,Fireball,30.0,Tesla,96.0,The Log,97.0,,,,10,False,False,,,
01110,X,105.0,Fireball,30.0,Tesla,96.0,The Log,97.0,,,,10,False,False,,,
01125,X,105.0,Fireball,30.0,Tesla,96.0,The Log,97.0,,,,10,False,False,,,
01140,X,105.0,Fireball,30.0,Tesla,96.0,Knight,58.0,The Log,97.0,4.0,8,True,True,,The Log,2.0
01155,X,105.0,Fireball,30.0,Tesla,96.0,Knight,58.0,,,,8,False,False,,,
01170,X,105.0,Fireball,30.0,Tesla,96.0,Knight,58.0,,,,8,False,False,,,
01185,X,105.0,Fireball,30.0,Tesla,96.0,Knight,58.0,,,,8,False,False,,,
01200,X,105.0,Fireball,30.0,Tesla,96.0,Knight,58.0,,,,8,False,False,,,
01215,X,105.0,Fireball,30.0,Tesla,96.0,Knight,58.0,,,,9,False,False,,,
01230,X,105.0,Fireball,30.0,Tesla,96.0,Knight,58.0,,,,9,False,False,,,
01245,X,105.0,Fireball,30.0,Tesla,96.0,Knight,58.0,,,,9,False,False,,,
01260,X,105.0,Fireball,30.0,Tesla,96.0,Knight,58.0,,,,9,False,False,,,
01275,X,105.0,Fireball,30.0,Tesla,96.0,Knight,58.0,,,,9,False,False,,,
01290,X,105.0,Fireball,30.0,Tesla,96.0,Knight,58.0,,,,9,False,False,,,
01305,X,105.0,Fireball,30.0,Tesla,96.0,Knight,58.0,,,,10,False,False,,,
01320,X,105.0,Fireball,30.0,Tesla,96.0,Knight,58.0,,,,10,False,False,,,
01335,X,105.0,Fireball,30.0,Tesla,96.0,Ice Spirit,54.0,Knight,58.0,4.0,7,True,True,,Knight,3.0
01350,X,105.0,Fireball,30.0,Tesla,96.0,Ice Spirit,54.0,,,,7,False,False,,,
01365,X,105.0,Fireball,30.0,Tesla,96.0,Ice Spirit,54.0,,,,7,False,False,,,
01380,X,105.0,Fireball,30.0,Tesla,96.0,Ice Spirit,54.0,,,,7,False,False,,,
01395,X,105.0,Fireball,30.0,Tesla,96.0,Ice Spirit,54.0,,,,7,False,False,,,
01410,X,105.0,Fireball,30.0,Tesla,96.0,Ice Spirit,54.0,,,,7,False,False,,,
01425,X,105.0,Fireball,30.0,Tesla,96.0,Ice Spirit,54.0,,,,8,False,False,,,
01440,X,105.0,Fireball,30.0,Tesla,96.0,Ice Spirit,54.0,,,,8,False,False,,,
01455,X,105.0,Fireball,30.0,Tesla,96.0,Ice Spirit,54.0,,,,8,False,False,,,
01470,X,105.0,Fireball,30.0,Tesla,96.0,Ice Spirit,54.0,,,,8,False,False,,,
01485,X,105.0,Fireball,30.0,Tesla,96.0,Skeletons,93.0,Ice Spirit,54.0,4.0,7,True,True,,Ice Spirit,1.0
01500,X,105.0,Fireball,30.0,Tesla,96.0,Skeletons,93.0,,,,8,False,False,,,
01515,X,105.0,Fireball,30.0,Tesla,96.0,Skeletons,93.0,,,,8,False,False,,,
01530,X,105.0,Fireball,30.0,Tesla,96.0,Skeletons,93.0,,,,8,False,False,,,
01545,X,105.0,Fireball,30.0,Tesla,96.0,Archers,109.0,Skeletons,93.0,4.0,7,True,True,,Skeletons,1.0
