frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed
00225,The Log,97.0,Spear Goblins,95.0,Knight,58.0,Skeletons,93.0,,,,6,,,
00240,The Log,97.0,Spear Goblins,95.0,Knight,58.0,Skeletons,93.0,,,,6,,,
00255,The Log,97.0,Spear Goblins,95.0,Knight,58.0,Skeletons,93.0,,,,6,,,
00270,The Log,97.0,Spear Goblins,95.0,Knight,58.0,Skeletons,93.0,,,,6,,,
00285,The Log,97.0,Spear Goblins,95.0,Knight,58.0,Skeletons,93.0,,,,7,,,
00300,The Log,97.0,Spear Goblins,95.0,Knight,58.0,Skeletons,93.0,,,,7,,,
00315,The Log,97.0,Spear Goblins,95.0,Knight,58.0,Skeletons,93.0,,,,7,,,
00330,The Log,97.0,Spear Goblins,95.0,Knight,58.0,Skeletons,93.0,,,,7,,,
00345,The Log,97.0,Spear Goblins,95.0,Knight,58.0,Skeletons,93.0,,,,7,,,
00360,The Log,97.0,Spear Goblins,95.0,Knight,58.0,Skeletons,93.0,,,,8,,,
00375,The Log,97.0,Spear Goblins,95.0,Knight,58.0,Skeletons,93.0,,,,8,,,
00390,The Log,97.0,Spear Goblins,95.0,Knight,58.0,Skeletons,93.0,,,,8,,,
00405,The Log,97.0,Spear Goblins,95.0,Knight,58.0,Skeletons,93.0,,,,8,,,
00420,The Log,97.0,Spear Goblins,95.0,Knight,58.0,Skeletons,93.0,,,,8,,,
00435,The Log,97.0,Spear Goblins,95.0,Knight,58.0,Skeletons,93.0,,,,8,,,
00450,The Log,97.0,Spear Goblins,95.0,Knight,58.0,Skeletons,93.0,,,,9,,,
00465,The Log,97.0,Spear Goblins,95.0,Knight,58.0,Skeletons,93.0,,,,9,,,
00480,The Log,97.0,Spear Goblins,95.0,Knight,58.0,Skeletons,93.0,,,,9,,,
00495,The Log,97.0,Spear Goblins,95.0,Knight,58.0,Skeletons,93.0,,,,9,,,
00510,The Log,97.0,Spear Goblins,95.0,Knight,58.0,Skeletons,93.0,,,,9,,,
00525,The Log,97.0,Spear Goblins,95.0,Knight,58.0,Skeletons,93.0,,,,10,,,
00540,The Log,97.0,Spear Goblins,95.0,Knight,58.0,Skeletons,93.0,,,,10,,,
00555,The Log,97.0,Spear Goblins,95.0,Knight,58.0,Skeletons,93.0,,,,10,,,
00570,The Log,97.0,Spear Goblins,95.0,Knight,58.0,Skeletons,93.0,,,,10,,,
00585,The Log,97.0,Spear Goblins,95.0,Knight,58.0,Skeletons,93.0,,,,10,,,
00600,The Log,97.0,Spear Goblins,95.0,Knight,58.0,Tornado,100.0,,,,9,,,
00615,The Log,97.0,Null,9999.0,Knight,58.0,Tornado,100.0,,,,7,,,
00630,The Log,97.0,Mortar,71.0,Knight,58.0,Tornado,100.0,,,,7,,,
00645,The Log,97.0,Mortar,71.0,Knight,58.0,Tornado,100.0,,,,7,,,
00660,The Log,97.0,Mortar,71.0,Knight,58.0,Tornado,100.0,,,,7,,,
00675,The Log,97.0,Mortar,71.0,Knight,58.0,Tornado,100.0,,,,8,,,
00690,The Log,97.0,Mortar,71.0,Knight,58.0,Tornado,100.0,,,,8,,,
00705,The Log,97.0,Mortar,71.0,Knight,58.0,Tornado,100.0,,,,8,,,
00720,The Log,97.0,Mortar,71.0,Knight,58.0,Tornado,100.0,,,,8,,,
00735,The Log,97.0,Mortar,71.0,Knight,58.0,Tornado,100.0,,,,8,,,
00750,The Log,97.0,Mortar,71.0,Knight,58.0,Tornado,100.0,,,,8,,,
00765,The Log,97.0,Mortar,71.0,Knight,58.0,Tornado,100.0,,,,9,,,
00780,The Log,97.0,Mortar,71.0,Knight,58.0,Tornado,100.0,,,,9,,,
00795,The Log,97.0,Mortar,71.0,Knight,58.0,Tornado,100.0,,,,9,,,
00810,The Log,97.0,Mortar,71.0,Knight,58.0,Tornado,100.0,,,,9,,,
00825,Firecracker,31.0,Mortar,71.0,Knight,58.0,Tornado,100.0,,,,7,,,
00840,Firecracker,31.0,Mortar,71.0,Knight,58.0,Tornado,100.0,,,,8,,,
00855,Firecracker,31.0,Mortar,71.0,Knight,58.0,Tornado,100.0,,,,8,,,
00870,Firecracker,31.0,Mortar,71.0,Knight,58.0,Tornado,100.0,,,,8,,,
00885,Earthquake,20.0,Mortar,71.0,Knight,58.0,Tornado,100.0,,,,5,,,
00900,Earthquake,20.0,Mortar,71.0,Knight,58.0,Tornado,100.0,,,,5,,,
00915,Earthquake,20.0,Mortar,71.0,Knight,58.0,Tornado,100.0,,,,5,,,
00930,Earthquake,20.0,Mortar,71.0,Knight,58.0,Tornado,100.0,,,,6,,,
00945,Earthquake,20.0,Mortar,71.0,Knight,58.0,Tornado,100.0,,,,6,,,
00960,Earthquake,20.0,Mortar,71.0,Knight,58.0,Tornado,100.0,,,,6,,,
00975,Earthquake,20.0,Mortar,71.0,Knight,58.0,Tornado,100.0,,,,6,,,
00990,Earthquake,20.0,Mortar,71.0,Knight,58.0,Tornado,100.0,,,,6,,,
01005,Earthquake,20.0,Mortar,71.0,Knight,58.0,Tornado,100.0,,,,6,,,
01020,Earthquake,20.0,Mortar,71.0,Skeletons,93.0,Tornado,100.0,,,,4,,,
01035,Earthquake,20.0,Mortar,71.0,Skeletons,93.0,Tornado,100.0,,,,4,,,
01050,Earthquake,20.0,Mortar,71.0,Skeletons,93.0,Tornado,100.0,,,,4,,,
