frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed
00255,Electro Spirit,23.0,Fisherman,32.0,Zappies,107.0,Giant Skeleton,37.0,,,,6.0,,,
00270,Electro Spirit,23.0,Fisherman,32.0,Zappies,107.0,Giant Skeleton,37.0,,,,6.0,,,
00285,Electro Spirit,23.0,Fisherman,32.0,Zappies,107.0,Giant Skeleton,37.0,,,,7.0,,,
00300,Electro Spirit,23.0,Fisherman,32.0,Zappies,107.0,Giant Skeleton,37.0,,,,7.0,,,
00315,Electro Spirit,23.0,Fisherman,32.0,Zappies,107.0,Giant Skeleton,37.0,,,,7.0,,,
00330,Electro Spirit,23.0,Fisherman,32.0,Zappies,107.0,Giant Skeleton,37.0,,,,7.0,,,
00345,Electro Spirit,23.0,Fisherman,32.0,Zappies,107.0,Giant Skeleton,37.0,,,,7.0,,,
00360,Electro Spirit,23.0,Fisherman,32.0,Zappies,107.0,Giant Skeleton,37.0,,,,7.0,,,
00375,Electro Spirit,23.0,Fisherman,32.0,Zappies,107.0,Giant Skeleton,37.0,,,,8.0,,,
00390,Electro Spirit,23.0,Fisherman,32.0,Zappies,107.0,Giant Skeleton,37.0,,,,8.0,,,
00405,Electro Spirit,23.0,Fisherman,32.0,Zappies,107.0,Giant Skeleton,37.0,,,,8.0,,,
00420,Electro Spirit,23.0,Fisherman,32.0,Zappies,107.0,Giant Skeleton,37.0,,,,8.0,,,
00435,Electro Spirit,23.0,Fisherman,32.0,Zappies,107.0,Giant Skeleton,37.0,,,,8.0,,,
00450,Electro Spirit,23.0,Fisherman,32.0,Zappies,107.0,Giant Skeleton,37.0,,,,9.0,,,
00465,Electro Spirit,23.0,Fisherman,32.0,Zappies,107.0,Giant Skeleton,37.0,,,,9.0,,,
00480,Electro Spirit,23.0,Fisherman,32.0,Zappies,107.0,Giant Skeleton,37.0,,,,9.0,,,
00495,Electro Spirit,23.0,Fisherman,32.0,Zappies,107.0,Giant Skeleton,37.0,,,,9.0,,,
00510,Electro Spirit,23.0,Fisherman,32.0,Zappies,107.0,Giant Skeleton,37.0,,,,9.0,,,
00525,Electro Spirit,23.0,Fisherman,32.0,Zappies,107.0,Giant Skeleton,37.0,,,,9.0,,,
00540,Electro Spirit,23.0,Fisherman,32.0,Zappies,107.0,Giant Skeleton,37.0,,,,10.0,,,
00555,Electro Spirit,23.0,Fisherman,32.0,Zappies,107.0,Giant Skeleton,37.0,,,,10.0,,,
00570,Electro Spirit,23.0,Fisherman,32.0,Zappies,107.0,Giant Skeleton,37.0,,,,10.0,,,
00585,Electro Spirit,23.0,Fisherman,32.0,Zappies,107.0,Giant Skeleton,37.0,,,,10.0,,,
00600,Electro Spirit,23.0,Fisherman,32.0,Zappies,107.0,Giant Skeleton,37.0,,,,10.0,,,
00615,Electro Spirit,23.0,Fisherman,32.0,Zappies,107.0,Giant Skeleton,37.0,,,,10.0,,,
00630,Electro Spirit,23.0,Fisherman,32.0,Zappies,107.0,Giant Skeleton,37.0,,,,10.0,,,
00645,Electro Spirit,23.0,Fisherman,32.0,Zappies,107.0,Giant Skeleton,37.0,,,,10.0,,,
00660,Electro Spirit,23.0,Fisherman,32.0,Zappies,107.0,Giant Skeleton,37.0,,,,10.0,,,
00675,Electro Spirit,23.0,Fisherman,32.0,Zappies,107.0,Giant Skeleton,37.0,,,,10.0,,,
00690,Electro Spirit,23.0,Fisherman,32.0,Prince,78.0,Giant Skeleton,37.0,,,,6.0,,,
00705,Electro Spirit,23.0,Fisherman,32.0,Barbarian Barrel,6.0,Giant Skeleton,37.0,,,,6.0,,,
00720,Electro Spirit,23.0,Fisherman,32.0,Barbarian Barrel,6.0,Giant Skeleton,37.0,,,,6.0,,,
00735,Electro Spirit,23.0,Fisherman,32.0,Barbarian Barrel,6.0,Giant Skeleton,37.0,,,,6.0,,,
00750,Electro Spirit,23.0,Fisherman,32.0,Barbarian Barrel,6.0,Giant Skeleton,37.0,,,,6.0,,,
00765,Electro Spirit,23.0,Fisherman,32.0,Barbarian Barrel,6.0,Giant Skeleton,37.0,,,,6.0,,,
00780,Electro Spirit,23.0,Fisherman,32.0,Barbarian Barrel,6.0,Giant Skeleton,37.0,,,,7.0,,,
00795,Electro Spirit,23.0,Fisherman,32.0,Barbarian Barrel,6.0,Giant Skeleton,37.0,,,,7.0,,,
00810,Electro Spirit,23.0,Fisherman,32.0,Barbarian Barrel,6.0,Giant Skeleton,37.0,,,,7.0,,,
00825,Electro Spirit,23.0,Fisherman,32.0,Barbarian Barrel,6.0,Giant Skeleton,37.0,,,,7.0,,,
00840,Electro Spirit,23.0,Fisherman,32.0,Barbarian Barrel,6.0,Giant Skeleton,37.0,,,,7.0,,,
00855,Electro Spirit,23.0,Fisherman,32.0,Barbarian Barrel,6.0,Giant Skeleton,37.0,,,,8.0,,,
00870,Electro Spirit,23.0,Fisherman,32.0,Barbarian Barrel,6.0,Giant Skeleton,37.0,,,,8.0,,,
00885,Electro Spirit,23.0,Fisherman,32.0,Barbarian Barrel,6.0,Giant Skeleton,37.0,,,,8.0,,,
00900,Electro Spirit,23.0,Fisherman,32.0,Barbarian Barrel,6.0,Giant Skeleton,37.0,,,,8.0,,,
00915,Electro Spirit,23.0,Fisherman,32.0,Barbarian Barrel,6.0,Giant Skeleton,37.0,,,,8.0,,,
00930,Electro Spirit,23.0,Fisherman,32.0,Barbarian Barrel,6.0,Giant Skeleton,37.0,,,,8.0,,,
00945,Electro Spirit,23.0,Fisherman,32.0,Barbarian Barrel,6.0,Giant Skeleton,37.0,,,,9.0,,,
00960,Electro Spirit,23.0,Fisherman,32.0,Barbarian Barrel,6.0,Giant Skeleton,37.0,,,,9.0,,,
00975,Electro Spirit,23.0,Fisherman,32.0,Barbarian Barrel,6.0,Giant Skeleton,37.0,,,,9.0,,,
00990,Electro Spirit,23.0,Fisherman,32.0,Barbarian Barrel,6.0,Giant Skeleton,37.0,,,,9.0,,,
01005,Electro Spirit,23.0,Fisherman,32.0,Barbarian Barrel,6.0,Giant Skeleton,37.0,,,,9.0,,,
01020,Electro Spirit,23.0,Fisherman,32.0,Hunter,52.0,Giant Skeleton,37.0,,,,8.0,,,
