frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed
00225,Skeletons,93.0,Rocket,83.0,X,105.0,The Log,97.0,,,,6,,,
00240,Skeletons,93.0,Rocket,83.0,X,105.0,The Log,97.0,,,,6,,,
00255,Skeletons,93.0,Rocket,83.0,X,105.0,The Log,97.0,,,,6,,,
00270,Skeletons,93.0,Rocket,83.0,X,105.0,The Log,97.0,,,,6,,,
00285,Skeletons,93.0,Rocket,83.0,X,105.0,The Log,97.0,,,,7,,,
00300,Skeletons,93.0,Rocket,83.0,X,105.0,The Log,97.0,,,,7,,,
00315,Skeletons,93.0,Rocket,83.0,X,105.0,The Log,97.0,,,,7,,,
00330,Skeletons,93.0,Rocket,83.0,X,105.0,The Log,97.0,,,,7,,,
00345,Skeletons,93.0,Rocket,83.0,X,105.0,The Log,97.0,,,,7,,,
00360,Skeletons,93.0,Rocket,83.0,X,105.0,The Log,97.0,,,,8,,,
00375,Skeletons,93.0,Rocket,83.0,X,105.0,The Log,97.0,,,,8,,,
00390,Skeletons,93.0,Rocket,83.0,X,105.0,The Log,97.0,,,,8,,,
00405,Skeletons,93.0,Rocket,83.0,X,105.0,The Log,97.0,,,,8,,,
00420,Skeletons,93.0,Rocket,83.0,X,105.0,The Log,97.0,,,,8,,,
00435,Skeletons,93.0,Rocket,83.0,X,105.0,The Log,97.0,,,,8,,,
00450,Skeletons,93.0,Rocket,83.0,X,105.0,The Log,97.0,,,,9,,,
00465,Skeletons,93.0,Rocket,83.0,X,105.0,The Log,97.0,,,,9,,,
00480,Skeletons,93.0,Rocket,83.0,X,105.0,The Log,97.0,,,,9,,,
00495,Skeletons,93.0,Rocket,83.0,X,105.0,The Log,97.0,,,,9,,,
00510,Skeletons,93.0,Rocket,83.0,X,105.0,The Log,97.0,,,,9,,,
00525,Skeletons,93.0,Rocket,83.0,X,105.0,The Log,97.0,,,,9,,,
00540,Skeletons,93.0,Rocket,83.0,X,105.0,The Log,97.0,,,,10,,,
00555,Skeletons,93.0,Rocket,83.0,X,105.0,The Log,97.0,,,,10,,,
00570,Skeletons,93.0,Rocket,83.0,X,105.0,The Log,97.0,,,,10,,,
00585,Giant Skeleton,37.0,Rocket,83.0,X,105.0,The Log,97.0,,,,9,,,
00600,Ice Wizard,55.0,Rocket,83.0,X,105.0,The Log,97.0,,,,9,,,
00615,Ice Wizard,55.0,Rocket,83.0,X,105.0,The Log,97.0,,,,9,,,
00630,Ice Wizard,55.0,Rocket,83.0,X,105.0,The Log,97.0,,,,9,,,
00645,Ice Wizard,55.0,Rocket,83.0,X,105.0,The Log,97.0,,,,9,,,
00660,Ice Wizard,55.0,Rocket,83.0,X,105.0,The Log,97.0,,,,9,,,
00675,Ice Wizard,55.0,Rocket,83.0,X,105.0,The Log,97.0,,,,10,,,
00690,Ice Wizard,55.0,Rocket,83.0,X,105.0,The Log,97.0,,,,10,,,
00705,Ice Wizard,55.0,Rocket,83.0,X,105.0,The Log,97.0,,,,10,,,
00720,Ice Wizard,55.0,Rocket,83.0,X,105.0,The Log,97.0,,,,10,,,
00735,Ice Wizard,55.0,Rocket,83.0,X,105.0,The Log,97.0,,,,10,,,
00750,Tornado,100.0,Rocket,83.0,X,105.0,The Log,97.0,,,,7,,,
00765,Tornado,100.0,Rocket,83.0,X,105.0,The Log,97.0,,,,7,,,
00780,Tornado,100.0,Rocket,83.0,X,105.0,The Log,97.0,,,,7,,,
00795,Tornado,100.0,Rocket,83.0,X,105.0,The Log,97.0,,,,7,,,
00810,Tornado,100.0,Rocket,83.0,X,105.0,The Log,97.0,,,,7,,,
00825,Tornado,100.0,Rocket,83.0,X,105.0,The Log,97.0,,,,8,,,
00840,Tornado,100.0,Rocket,83.0,X,105.0,The Log,97.0,,,,8,,,
00855,Tornado,100.0,Rocket,83.0,X,105.0,The Log,97.0,,,,8,,,
00870,Tornado,100.0,Rocket,83.0,X,105.0,The Log,97.0,,,,8,,,
00885,Tornado,100.0,Rocket,83.0,X,105.0,The Log,97.0,,,,8,,,
00900,Tornado,100.0,Rocket,83.0,X,105.0,Tesla,96.0,,,,6,,,
00915,Tornado,100.0,Rocket,83.0,X,105.0,Tesla,96.0,,,,7,,,
00930,Tornado,100.0,Rocket,83.0,X,105.0,Tesla,96.0,,,,7,,,
00945,Tornado,100.0,Rocket,83.0,X,105.0,Tesla,96.0,,,,7,,,
00960,Knight,58.0,Rocket,83.0,X,105.0,Tesla,96.0,,,,4,,,
00975,Knight,58.0,Rocket,83.0,X,105.0,Tesla,96.0,,,,4,,,
00990,Knight,58.0,Rocket,83.0,X,105.0,Tesla,96.0,,,,5,,,
01005,Knight,58.0,Rocket,83.0,X,105.0,Tesla,96.0,,,,5,,,
01020,Skeletons,93.0,Rocket,83.0,X,105.0,Tesla,96.0,,,,2,,,
01035,Skeletons,93.0,Rocket,83.0,X,105.0,Tesla,96.0,,,,2,,,
01050,Skeletons,93.0,Rocket,83.0,X,105.0,Tesla,96.0,,,,2,,,
01065,Skeletons,93.0,Rocket,83.0,X,105.0,Tesla,96.0,,,,2,,,
01080,Skeletons,93.0,Rocket,83.0,X,105.0,Tesla,96.0,,,,3,,,
01095,Skeletons,93.0,Rocket,83.0,X,105.0,Tesla,96.0,,,,3,,,
01110,Skeletons,93.0,Rocket,83.0,X,105.0,Tesla,96.0,,,,3,,,
01125,Skeletons,93.0,Rocket,83.0,X,105.0,Tesla,96.0,,,,3,,,
01140,Skeletons,93.0,Rocket,83.0,X,105.0,Tesla,96.0,,,,3,,,
01155,Skeletons,93.0,Rocket,83.0,X,105.0,Tesla,96.0,,,,4,,,
01170,Skeletons,93.0,Rocket,83.0,X,105.0,Tesla,96.0,,,,4,,,
01185,Skeletons,93.0,Rocket,83.0,X,105.0,Tesla,96.0,,,,4,,,
01200,Skeletons,93.0,Rocket,83.0,X,105.0,Tesla,96.0,,,,4,,,
01215,Skeletons,93.0,Rocket,83.0,X,105.0,Tesla,96.0,,,,4,,,
01230,Skeletons,93.0,Rocket,83.0,X,105.0,Tesla,96.0,,,,4,,,
01245,Skeletons,93.0,Rocket,83.0,X,105.0,Tesla,96.0,,,,5,,,
01260,Skeletons,93.0,Rocket,83.0,X,105.0,Tesla,96.0,,,,5,,,
01275,Skeletons,93.0,Rocket,83.0,X,105.0,Tesla,96.0,,,,5,,,
01290,Skeletons,93.0,Rocket,83.0,X,105.0,Tesla,96.0,,,,5,,,
01305,Skeletons,93.0,Rocket,83.0,X,105.0,Tesla,96.0,,,,5,,,
01320,Skeletons,93.0,Rocket,83.0,X,105.0,Tesla,96.0,,,,5,,,
01335,Skeletons,93.0,Rocket,83.0,X,105.0,Tesla,96.0,,,,6,,,
01350,Skeletons,93.0,Rocket,83.0,X,105.0,Tesla,96.0,,,,6,,,
01365,Skeletons,93.0,Rocket,83.0,X,105.0,Tesla,96.0,,,,6,,,
01380,Skeletons,93.0,Rocket,83.0,X,105.0,Tesla,96.0,,,,6,,,
01395,Skeletons,93.0,Rocket,83.0,X,105.0,Tesla,96.0,,,,6,,,
01410,Skeletons,93.0,Rocket,83.0,X,105.0,Tesla,96.0,,,,7,,,
01425,Skeletons,93.0,Rocket,83.0,X,105.0,Tesla,96.0,,,,7,,,
01440,Skeletons,93.0,Rocket,83.0,X,105.0,Tesla,96.0,,,,7,,,
01455,Skeletons,93.0,Rocket,83.0,X,105.0,Tesla,96.0,,,,7,,,
01470,Skeletons,93.0,Rocket,83.0,X,105.0,Tesla,96.0,,,,7,,,
01485,Skeletons,93.0,Rocket,83.0,X,105.0,Tesla,96.0,,,,7,,,
01500,Skeletons,93.0,Rocket,83.0,X,105.0,Tesla,96.0,,,,8,,,
01515,Skeletons,93.0,Rocket,83.0,X,105.0,Tesla,96.0,,,,8,,,
01530,Skeletons,93.0,Rocket,83.0,X,105.0,Tesla,96.0,,,,8,,,
01545,Skeletons,93.0,Rocket,83.0,X,105.0,Tesla,96.0,,,,8,,,
01560,Skeletons,93.0,Rocket,83.0,X,105.0,Tesla,96.0,,,,8,,,
01575,Skeletons,93.0,Rocket,83.0,X,105.0,Tesla,96.0,,,,9,,,
01590,Skeletons,93.0,Rocket,83.0,X,105.0,Tesla,96.0,,,,9,,,
01605,Skeletons,93.0,Rocket,83.0,X,105.0,Tesla,96.0,,,,9,,,
01620,Skeletons,93.0,Rocket,83.0,X,105.0,Tesla,96.0,,,,9,,,
01635,Skeletons,93.0,Rocket,83.0,X,105.0,Tesla,96.0,,,,9,,,
01650,Skeletons,93.0,Rocket,83.0,X,105.0,Tesla,96.0,,,,9,,,
01665,Skeletons,93.0,Rocket,83.0,Ice Wizard,55.0,Tesla,96.0,,,,4,,,
01680,Skeletons,93.0,Rocket,83.0,Ice Wizard,55.0,Tesla,96.0,,,,4,,,
01695,Skeletons,93.0,Rocket,83.0,Ice Wizard,55.0,Tesla,96.0,,,,4,,,
01710,Skeletons,93.0,Rocket,83.0,Ice Wizard,55.0,Tesla,96.0,,,,4,,,
01725,Skeletons,93.0,Rocket,83.0,Ice Wizard,55.0,Tesla,96.0,,,,4,,,
01740,Skeletons,93.0,Rocket,83.0,Ice Wizard,55.0,Tesla,96.0,,,,4,,,
01755,Skeletons,93.0,Rocket,83.0,Ice Wizard,55.0,Tesla,96.0,,,,5,,,
01770,Skeletons,93.0,Rocket,83.0,Ice Wizard,55.0,Tesla,96.0,,,,5,,,
01785,Skeletons,93.0,Rocket,83.0,Ice Wizard,55.0,Tesla,96.0,,,,5,,,
01800,Skeletons,93.0,Rocket,83.0,Ice Wizard,55.0,Tesla,96.0,,,,5,,,
01815,Skeletons,93.0,Rocket,83.0,Ice Wizard,55.0,Tesla,96.0,,,,5,,,
01830,Skeletons,93.0,Rocket,83.0,Ice Wizard,55.0,Tesla,96.0,,,,6,,,
01845,Skeletons,93.0,Rocket,83.0,Ice Wizard,55.0,The Log,97.0,,,,2,,,
01860,Skeletons,93.0,Rocket,83.0,Ice Wizard,55.0,The Log,97.0,,,,2,,,
01875,Tornado,100.0,Rocket,83.0,Ice Wizard,55.0,Skeleton Barrel,90.0,,,,1,,,
01890,Tornado,100.0,Rocket,83.0,Ice Wizard,55.0,The Log,97.0,,,,1,,,
01905,Tornado,100.0,Rocket,83.0,Ice Wizard,55.0,The Log,97.0,,,,1,,,
01920,Tornado,100.0,Rocket,83.0,Ice Wizard,55.0,The Log,97.0,,,,2,,,
01935,Tornado,100.0,Rocket,83.0,Ice Wizard,55.0,The Log,97.0,,,,2,,,
01950,Tornado,100.0,Rocket,83.0,Ice Wizard,55.0,The Log,97.0,,,,2,,,
01965,Tornado,100.0,Rocket,83.0,Ice Wizard,55.0,The Log,97.0,,,,2,,,
01980,Tornado,100.0,Rocket,83.0,Ice Wizard,55.0,The Log,97.0,,,,2,,,
01995,Tornado,100.0,Rocket,83.0,Ice Wizard,55.0,The Log,97.0,,,,3,,,
02010,Tornado,100.0,Rocket,83.0,Ice Wizard,55.0,The Log,97.0,,,,3,,,
02025,Tornado,100.0,Rocket,83.0,Ice Wizard,55.0,The Log,97.0,,,,3,,,
02040,Tornado,100.0,Rocket,83.0,Ice Wizard,55.0,The Log,97.0,,,,3,,,
02055,Tornado,100.0,Rocket,83.0,Ice Wizard,55.0,The Log,97.0,,,,3,,,
02070,Tornado,100.0,Rocket,83.0,Ice Wizard,55.0,The Log,97.0,,,,3,,,
02085,Tornado,100.0,Rocket,83.0,Ice Wizard,55.0,The Log,97.0,,,,4,,,
02100,Tornado,100.0,Rocket,83.0,Ice Wizard,55.0,The Log,97.0,,,,4,,,
02115,Tornado,100.0,Rocket,83.0,Ice Wizard,55.0,The Log,97.0,,,,4,,,
02130,Tornado,100.0,Rocket,83.0,Ice Wizard,55.0,The Log,97.0,,,,4,,,
02145,Tornado,100.0,Rocket,83.0,Ice Wizard,55.0,The Log,97.0,,,,4,,,
02160,Tornado,100.0,Rocket,83.0,Ice Wizard,55.0,The Log,97.0,,,,4,,,
02175,Knight,58.0,Rocket,83.0,Ice Wizard,55.0,The Log,97.0,,,,2,,,
02190,Knight,58.0,Rocket,83.0,Ice Wizard,55.0,The Log,97.0,,,,2,,,
02205,Knight,58.0,Rocket,83.0,Ice Wizard,55.0,The Log,97.0,,,,2,,,
02220,Knight,58.0,Rocket,83.0,Ice Wizard,55.0,The Log,97.0,,,,2,,,
02235,Knight,58.0,Rocket,83.0,Ice Wizard,55.0,The Log,97.0,,,,2,,,
02250,Knight,58.0,Rocket,83.0,Ice Wizard,55.0,The Log,97.0,,,,3,,,
02265,Knight,58.0,Rocket,83.0,Ice Wizard,55.0,The Log,97.0,,,,3,,,
02280,Knight,58.0,Rocket,83.0,Ice Wizard,55.0,The Log,97.0,,,,3,,,
02295,Knight,58.0,Rocket,83.0,Ice Wizard,55.0,The Log,97.0,,,,3,,,
02310,Knight,58.0,Rocket,83.0,Ice Wizard,55.0,The Log,97.0,,,,3,,,
02325,Knight,58.0,Rocket,83.0,Ice Wizard,55.0,The Log,97.0,,,,3,,,
02340,Knight,58.0,Rocket,83.0,Ice Wizard,55.0,The Log,97.0,,,,4,,,
02355,Knight,58.0,Rocket,83.0,Ice Wizard,55.0,The Log,97.0,,,,4,,,
02370,Knight,58.0,Rocket,83.0,Ice Wizard,55.0,The Log,97.0,,,,4,,,
02385,Knight,58.0,Rocket,83.0,Ice Wizard,55.0,The Log,97.0,,,,4,,,
02400,Knight,58.0,Rocket,83.0,Ice Wizard,55.0,The Log,97.0,,,,4,,,
02415,Knight,58.0,Rocket,83.0,Ice Wizard,55.0,The Log,97.0,,,,5,,,
02430,Knight,58.0,Rocket,83.0,Ice Wizard,55.0,The Log,97.0,,,,5,,,
02445,Knight,58.0,Rocket,83.0,Ice Wizard,55.0,The Log,97.0,,,,5,,,
02460,Knight,58.0,Rocket,83.0,Ice Wizard,55.0,The Log,97.0,,,,5,,,
02475,Knight,58.0,Rocket,83.0,Ice Wizard,55.0,The Log,97.0,,,,5,,,
02490,Knight,58.0,Rocket,83.0,Ice Wizard,55.0,The Log,97.0,,,,5,,,
02505,Knight,58.0,Rocket,83.0,Ice Wizard,55.0,The Log,97.0,,,,6,,,
02520,Knight,58.0,Rocket,83.0,Ice Wizard,55.0,The Log,97.0,,,,6,,,
02535,Knight,58.0,Rocket,83.0,Ice Wizard,55.0,The Log,97.0,,,,6,,,
02550,Knight,58.0,Rocket,83.0,Ice Wizard,55.0,The Log,97.0,,,,6,,,
02565,Knight,58.0,Rocket,83.0,Ice Wizard,55.0,The Log,97.0,,,,6,,,
02580,Knight,58.0,Rocket,83.0,Ice Wizard,55.0,The Log,97.0,,,,6,,,
02595,Knight,58.0,Rocket,83.0,Ice Wizard,55.0,The Log,97.0,,,,7,,,
02610,Knight,58.0,Rocket,83.0,Ice Wizard,55.0,The Log,97.0,,,,7,,,
02625,Knight,58.0,Rocket,83.0,Ice Wizard,55.0,The Log,97.0,,,,7,,,
02640,Knight,58.0,Rocket,83.0,Ice Wizard,55.0,The Log,97.0,,,,7,,,
02655,Knight,58.0,Rocket,83.0,Ice Wizard,55.0,The Log,97.0,,,,7,,,
02670,Knight,58.0,Rocket,83.0,Ice Wizard,55.0,The Log,97.0,,,,8,,,
02685,Knight,58.0,X,105.0,Ice Wizard,55.0,The Log,97.0,,,,2,,,
02700,Knight,58.0,X,105.0,Ice Wizard,55.0,The Log,97.0,,,,2,,,
02715,Knight,58.0,X,105.0,Ice Wizard,55.0,The Log,97.0,,,,2,,,
02730,Knight,58.0,X,105.0,Ice Wizard,55.0,The Log,97.0,,,,2,,,
02745,Knight,58.0,X,105.0,Ice Wizard,55.0,The Log,97.0,,,,2,,,
02760,Knight,58.0,X,105.0,Ice Wizard,55.0,The Log,97.0,,,,3,,,
02775,Knight,58.0,X,105.0,Ice Wizard,55.0,The Log,97.0,,,,3,,,
02790,Knight,58.0,X,105.0,Ice Wizard,55.0,The Log,97.0,,,,3,,,
02805,Knight,58.0,X,105.0,Ice Wizard,55.0,The Log,97.0,,,,3,,,
02820,Knight,58.0,X,105.0,Ice Wizard,55.0,The Log,97.0,,,,3,,,
02835,Knight,58.0,X,105.0,Ice Wizard,55.0,The Log,97.0,,,,4,,,
02850,Knight,58.0,X,105.0,Ice Wizard,55.0,The Log,97.0,,,,4,,,
02865,Knight,58.0,X,105.0,Ice Wizard,55.0,The Log,97.0,,,,4,,,
02880,Knight,58.0,X,105.0,Ice Wizard,55.0,The Log,97.0,,,,4,,,
02895,Knight,58.0,X,105.0,Ice Wizard,55.0,The Log,97.0,,,,4,,,
02910,Knight,58.0,X,105.0,Ice Wizard,55.0,The Log,97.0,,,,4,,,
02925,Knight,58.0,X,105.0,Ice Wizard,55.0,The Log,97.0,,,,5,,,
02940,Knight,58.0,X,105.0,Ice Wizard,55.0,The Log,97.0,,,,5,,,
02955,Knight,58.0,X,105.0,Ice Wizard,55.0,The Log,97.0,,,,5,,,
02970,Knight,58.0,X,105.0,Ice Wizard,55.0,The Log,97.0,,,,5,,,
02985,Knight,58.0,X,105.0,Ice Wizard,55.0,The Log,97.0,,,,5,,,
03000,Knight,58.0,X,105.0,Ice Wizard,55.0,The Log,97.0,,,,5,,,
03015,Knight,58.0,X,105.0,Ice Wizard,55.0,The Log,97.0,,,,6,,,
03030,Knight,58.0,X,105.0,Ice Wizard,55.0,The Log,97.0,,,,6,,,
03045,Knight,58.0,X,105.0,Ice Wizard,55.0,The Log,97.0,,,,6,,,
03060,Knight,58.0,X,105.0,Ice Wizard,55.0,The Log,97.0,,,,6,,,
03075,Knight,58.0,X,105.0,Ice Wizard,55.0,The Log,97.0,,,,6,,,
03090,Knight,58.0,X,105.0,Ice Wizard,55.0,The Log,97.0,,,,7,,,
03105,Knight,58.0,X,105.0,Ice Wizard,55.0,The Log,97.0,,,,7,,,
03120,Knight,58.0,X,105.0,Ice Wizard,55.0,The Log,97.0,,,,7,,,
03135,Knight,58.0,X,105.0,Ice Wizard,55.0,The Log,97.0,,,,7,,,
03150,Knight,58.0,X,105.0,Ice Wizard,55.0,The Log,97.0,,,,7,,,
03165,Knight,58.0,X,105.0,Ice Wizard,55.0,The Log,97.0,,,,7,,,
03180,Knight,58.0,X,105.0,Ice Wizard,55.0,The Log,97.0,,,,8,,,
03195,Knight,58.0,X,105.0,Ice Wizard,55.0,The Log,97.0,,,,8,,,
03210,Knight,58.0,X,105.0,Ice Wizard,55.0,The Log,97.0,,,,8,,,
03225,Knight,58.0,X,105.0,Ice Wizard,55.0,The Log,97.0,,,,8,,,
03240,Knight,58.0,X,105.0,Ice Wizard,55.0,The Log,97.0,,,,8,,,
03255,Knight,58.0,X,105.0,Ice Wizard,55.0,The Log,97.0,,,,9,,,
03270,Knight,58.0,X,105.0,Ice Wizard,55.0,The Log,97.0,,,,9,,,
03285,Knight,58.0,X,105.0,Ice Wizard,55.0,The Log,97.0,,,,9,,,
03300,Knight,58.0,X,105.0,Ice Wizard,55.0,The Log,97.0,,,,9,,,
03315,Knight,58.0,X,105.0,Ice Wizard,55.0,The Log,97.0,,,,9,,,
03330,Knight,58.0,X,105.0,Ice Wizard,55.0,The Log,97.0,,,,9,,,
03345,Knight,58.0,X,105.0,Ice Wizard,55.0,The Log,97.0,,,,10,,,
03360,Tesla,96.0,X,105.0,Ice Wizard,55.0,The Log,97.0,,,,7,,,
03375,Tesla,96.0,X,105.0,Ice Wizard,55.0,The Log,97.0,,,,7,,,
03390,Tesla,96.0,X,105.0,Skeletons,93.0,The Log,97.0,,,,4,,,
03405,Tesla,96.0,X,105.0,Skeletons,93.0,The Log,97.0,,,,4,,,
03420,Tesla,96.0,X,105.0,Skeletons,93.0,The Log,97.0,,,,4,,,
03435,Tesla,96.0,X,105.0,Skeletons,93.0,The Log,97.0,,,,5,,,
03450,Tesla,96.0,X,105.0,Tornado,100.0,The Log,97.0,,,,4,,,
03465,Tesla,96.0,X,105.0,Tornado,100.0,The Log,97.0,,,,4,,,
03480,Tesla,96.0,X,105.0,Tornado,100.0,The Log,97.0,,,,4,,,
03495,Tesla,96.0,X,105.0,Tornado,100.0,The Log,97.0,,,,4,,,
03510,Tesla,96.0,X,105.0,Tornado,100.0,The Log,97.0,,,,4,,,
03525,Tesla,96.0,X,105.0,Tornado,100.0,The Log,97.0,,,,5,,,
03540,Tesla,96.0,X,105.0,Tornado,100.0,The Log,97.0,,,,5,,,
03555,Tesla,96.0,X,105.0,Tornado,100.0,The Log,97.0,,,,5,,,
03570,Tesla,96.0,X,105.0,Tornado,100.0,The Log,97.0,,,,5,,,
03585,Tesla,96.0,X,105.0,Tornado,100.0,The Log,97.0,,,,5,,,
03600,Tesla,96.0,X,105.0,Tornado,100.0,The Log,97.0,,,,5,,,
03615,Tesla,96.0,X,105.0,Tornado,100.0,The Log,97.0,,,,6,,,
03630,Tesla,96.0,X,105.0,Tornado,100.0,The Log,97.0,,,,6,,,
03645,Tesla,96.0,Rocket,83.0,Tornado,100.0,The Log,97.0,,,,0,,,
03660,Tesla,96.0,Rocket,83.0,Tornado,100.0,The Log,97.0,,,,0,,,
03675,Tesla,96.0,Rocket,83.0,Tornado,100.0,The Log,97.0,,,,0,,,
03690,Tesla,96.0,Rocket,83.0,Tornado,100.0,The Log,97.0,,,,1,,,
03705,Tesla,96.0,Rocket,83.0,Tornado,100.0,The Log,97.0,,,,1,,,
03720,Tesla,96.0,Rocket,83.0,Tornado,100.0,The Log,97.0,,,,1,,,
03735,Tesla,96.0,Rocket,83.0,Tornado,100.0,The Log,97.0,,,,1,,,
03750,Tesla,96.0,Rocket,83.0,Tornado,100.0,The Log,97.0,,,,1,,,
03765,Tesla,96.0,Rocket,83.0,Tornado,100.0,The Log,97.0,,,,1,,,
03780,Tesla,96.0,Rocket,83.0,Tornado,100.0,The Log,97.0,,,,2,,,
03795,Tesla,96.0,Rocket,83.0,Tornado,100.0,The Log,97.0,,,,2,,,
03810,Tesla,96.0,Rocket,83.0,Tornado,100.0,The Log,97.0,,,,2,,,
03825,Tesla,96.0,Rocket,83.0,Tornado,100.0,The Log,97.0,,,,3,,,
03840,Tesla,96.0,Rocket,83.0,Tornado,100.0,The Log,97.0,,,,3,,,
03855,Tesla,96.0,Rocket,83.0,Tornado,100.0,The Log,97.0,,,,4,,,
03870,Tesla,96.0,Rocket,83.0,Tornado,100.0,The Log,97.0,,,,4,,,
03885,Tesla,96.0,Rocket,83.0,Tornado,100.0,The Log,97.0,,,,4,,,
03900,Tesla,96.0,Rocket,83.0,Tornado,100.0,The Log,97.0,,,,5,,,
03915,Tesla,96.0,Rocket,83.0,Tornado,100.0,The Log,97.0,,,,5,,,
03930,Knight,58.0,Rocket,83.0,Tornado,100.0,Skeleton Barrel,90.0,,,,1,,,
03945,Knight,58.0,Rocket,83.0,Tornado,100.0,The Log,97.0,,,,2,,,
03960,Knight,58.0,Rocket,83.0,Tornado,100.0,The Log,97.0,,,,2,,,
03975,Knight,58.0,Rocket,83.0,Tornado,100.0,The Log,97.0,,,,2,,,
03990,Knight,58.0,Rocket,83.0,Tornado,100.0,The Log,97.0,,,,3,,,
04005,Knight,58.0,Rocket,83.0,Tornado,100.0,The Log,97.0,,,,3,,,
04020,Knight,58.0,Rocket,83.0,Tornado,100.0,The Log,97.0,,,,3,,,
04035,Knight,58.0,Rocket,83.0,Tornado,100.0,The Log,97.0,,,,4,,,
04050,Knight,58.0,Rocket,83.0,Tornado,100.0,The Log,97.0,,,,4,,,
04065,Knight,58.0,Rocket,83.0,Tornado,100.0,The Log,97.0,,,,5,,,
04080,Knight,58.0,Rocket,83.0,Tornado,100.0,The Log,97.0,,,,5,,,
04095,Knight,58.0,Rocket,83.0,Tornado,100.0,The Log,97.0,,,,5,,,
04110,Knight,58.0,Rocket,83.0,Tornado,100.0,The Log,97.0,,,,6,,,
04125,Knight,58.0,Rocket,83.0,Tornado,100.0,The Log,97.0,,,,6,,,
04140,Knight,58.0,Rocket,83.0,Tornado,100.0,The Log,97.0,,,,6,,,
04155,Knight,58.0,Rocket,83.0,Tornado,100.0,The Log,97.0,,,,7,,,
04170,Knight,58.0,Rocket,83.0,Tornado,100.0,The Log,97.0,,,,7,,,
04185,Knight,58.0,Rocket,83.0,Tornado,100.0,The Log,97.0,,,,7,,,
04200,Knight,58.0,Rocket,83.0,Tornado,100.0,The Log,97.0,,,,8,,,
04215,Mega Minion,64.0,Rocket,83.0,Tornado,100.0,The Log,97.0,,,,5,,,
04230,Ice Wizard,55.0,Rocket,83.0,Tornado,100.0,The Log,97.0,,,,5,,,
04245,Ice Wizard,55.0,Rocket,83.0,Tornado,100.0,The Log,97.0,,,,6,,,
04260,Ice Wizard,55.0,Rocket,83.0,Tornado,100.0,Skeletons,93.0,,,,4,,,
04275,Ice Wizard,55.0,Rocket,83.0,Tornado,100.0,Skeletons,93.0,,,,5,,,
04290,Ice Wizard,55.0,Rocket,83.0,Tornado,100.0,Skeletons,93.0,,,,5,,,
04305,Ice Wizard,55.0,Rocket,83.0,Tornado,100.0,Skeletons,93.0,,,,5,,,
04320,Ice Wizard,55.0,Rocket,83.0,Tornado,100.0,Skeletons,93.0,,,,6,,,
04335,Ice Wizard,55.0,Rocket,83.0,Tornado,100.0,Skeletons,93.0,,,,6,,,
04350,Ice Wizard,55.0,Rocket,83.0,Tornado,100.0,Skeletons,93.0,,,,6,,,
04365,Ice Wizard,55.0,Rocket,83.0,Tornado,100.0,Skeletons,93.0,,,,7,,,
04380,Ice Wizard,55.0,Rocket,83.0,Tornado,100.0,Skeletons,93.0,,,,7,,,
