frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed,0,predicted_elixirConsumed
00225,Electro Spirit,23.0,Skeletons,93.0,X,105.0,Fireball,30.0,,,,6,False,False,,,
00240,Electro Spirit,23.0,Skeletons,93.0,X,105.0,Fireball,30.0,,,,6,False,False,,,
00255,Electro Spirit,23.0,Skeletons,93.0,X,105.0,Fireball,30.0,,,,6,False,False,,,
00270,Electro Spirit,23.0,Skeletons,93.0,X,105.0,Fireball,30.0,,,,6,False,False,,,
00285,Electro Spirit,23.0,Skeletons,93.0,X,105.0,Fireball,30.0,,,,7,False,False,,,
00300,Electro Spirit,23.0,Skeletons,93.0,X,105.0,Fireball,30.0,,,,7,False,False,,,
00315,Electro Spirit,23.0,Skeletons,93.0,X,105.0,Fireball,30.0,,,,7,False,False,,,
00330,Electro Spirit,23.0,Skeletons,93.0,X,105.0,Fireball,30.0,,,,7,False,False,,,
00345,Electro Spirit,23.0,Skeletons,93.0,X,105.0,Fireball,30.0,,,,7,False,False,,,
00360,Electro Spirit,23.0,Skeletons,93.0,X,105.0,Fireball,30.0,,,,8,False,False,,,
00375,Electro Spirit,23.0,Skeletons,93.0,X,105.0,Fireball,30.0,,,,8,False,False,,,
00390,Electro Spirit,23.0,Skeletons,93.0,X,105.0,Fireball,30.0,,,,8,False,False,,,
00405,Electro Spirit,23.0,Skeletons,93.0,X,105.0,Fireball,30.0,,,,8,False,False,,,
00420,Electro Spirit,23.0,Skeletons,93.0,X,105.0,Fireball,30.0,,,,8,False,False,,,
00435,Electro Spirit,23.0,Skeletons,93.0,X,105.0,Fireball,30.0,,,,8,False,False,,,
00450,Electro Spirit,23.0,Skeletons,93.0,X,105.0,Fireball,30.0,,,,9,False,False,,,
00465,Electro Spirit,23.0,Skeletons,93.0,X,105.0,Fireball,30.0,,,,9,False,False,,,
00480,Electro Spirit,23.0,Skeletons,93.0,X,105.0,Fireball,30.0,,,,9,False,False,,,
00495,Electro Spirit,23.0,Skeletons,93.0,X,105.0,Fireball,30.0,,,,9,False,False,,,
00510,Electro Spirit,23.0,Skeletons,93.0,X,105.0,Fireball,30.0,,,,9,False,False,,,
00525,Electro Spirit,23.0,Skeletons,93.0,X,105.0,Fireball,30.0,,,,9,False,False,,,
