frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed
00240,Battle Ram,11.0,,,Zap,106.0,Bandit,5.0,,,,6.0,,,
00255,Battle Ram,11.0,,,Zap,106.0,Bandit,5.0,,,,6.0,,,
00270,Battle Ram,11.0,,,Zap,106.0,Bandit,5.0,,,,6.0,,,
00285,Battle Ram,11.0,P.E.K.K.A,75.0,Zap,106.0,Bandit,5.0,,,,7.0,,,
00300,Battle Ram,11.0,P.E.K.K.A,75.0,Zap,106.0,Bandit,5.0,,,,7.0,,,
00315,Battle Ram,11.0,P.E.K.K.A,75.0,Zap,106.0,Elite Barbarians,25.0,,,,7.0,,,
00330,Battle Ram,11.0,P.E.K.K.A,75.0,Zap,106.0,Elite Barbarians,25.0,,,,7.0,,,
00345,Battle Ram,11.0,P.E.K.K.A,75.0,Zap,106.0,Elite Barbarians,25.0,,,,7.0,,,
00360,Battle Ram,11.0,P.E.K.K.A,75.0,Zap,106.0,Bandit,5.0,,,,7.0,,,
00375,Battle Ram,11.0,P.E.K.K.A,75.0,Zap,106.0,Bandit,5.0,,,,8.0,,,
00390,Battle Ram,11.0,P.E.K.K.A,75.0,Zap,106.0,Bandit,5.0,,,,8.0,,,
00405,Battle Ram,11.0,P.E.K.K.A,75.0,Zap,106.0,Bandit,5.0,,,,8.0,,,
00420,Battle Ram,11.0,P.E.K.K.A,75.0,Zap,106.0,Bandit,5.0,,,,8.0,,,
00435,Battle Ram,11.0,P.E.K.K.A,75.0,Zap,106.0,Bandit,5.0,,,,8.0,,,
00450,Battle Ram,11.0,P.E.K.K.A,75.0,Zap,106.0,Bandit,5.0,,,,9.0,,,
00465,Battle Ram,11.0,P.E.K.K.A,75.0,Zap,106.0,Bandit,5.0,,,,9.0,,,
00480,Battle Ram,11.0,P.E.K.K.A,75.0,Zap,106.0,Bandit,5.0,,,,9.0,,,
00495,Battle Ram,11.0,P.E.K.K.A,75.0,Zap,106.0,Bandit,5.0,,,,9.0,,,
00510,Battle Ram,11.0,P.E.K.K.A,75.0,Zap,106.0,Bandit,5.0,,,,9.0,,,
00525,Battle Ram,11.0,P.E.K.K.A,75.0,Zap,106.0,Bandit,5.0,,,,9.0,,,
00540,Battle Ram,11.0,P.E.K.K.A,75.0,Zap,106.0,Bandit,5.0,,,,10.0,,,
00555,Battle Ram,11.0,P.E.K.K.A,75.0,Zap,106.0,Bandit,5.0,,,,10.0,,,
00570,Battle Ram,11.0,P.E.K.K.A,75.0,Zap,106.0,Bandit,5.0,,,,10.0,,,
00585,Battle Ram,11.0,P.E.K.K.A,75.0,Zap,106.0,Null,9999.0,,,,7.0,,,
00600,Battle Ram,11.0,P.E.K.K.A,75.0,Zap,106.0,Royal Ghost,85.0,,,,7.0,,,
00615,Battle Ram,11.0,P.E.K.K.A,75.0,Zap,106.0,Royal Ghost,85.0,,,,7.0,,,
00630,Battle Ram,11.0,P.E.K.K.A,75.0,Zap,106.0,Royal Ghost,85.0,,,,7.0,,,
00645,Battle Ram,11.0,P.E.K.K.A,75.0,Zap,106.0,Royal Ghost,85.0,,,,7.0,,,
00660,Battle Ram,11.0,P.E.K.K.A,75.0,Zap,106.0,Royal Ghost,85.0,,,,7.0,,,
00675,Battle Ram,11.0,P.E.K.K.A,75.0,Zap,106.0,Royal Ghost,85.0,,,,8.0,,,
00690,Battle Ram,11.0,P.E.K.K.A,75.0,Zap,106.0,Royal Ghost,85.0,,,,8.0,,,
00705,Battle Ram,11.0,P.E.K.K.A,75.0,Zap,106.0,Royal Ghost,85.0,,,,8.0,,,
00720,Battle Ram,11.0,P.E.K.K.A,75.0,Zap,106.0,Royal Ghost,85.0,,,,8.0,,,
00735,Battle Ram,11.0,P.E.K.K.A,75.0,Zap,106.0,Royal Ghost,85.0,,,,8.0,,,
00750,Battle Ram,11.0,P.E.K.K.A,75.0,Zap,106.0,Royal Ghost,85.0,,,,8.0,,,
00765,Battle Ram,11.0,P.E.K.K.A,75.0,Zap,106.0,Royal Ghost,85.0,,,,9.0,,,
00780,Battle Ram,11.0,P.E.K.K.A,75.0,Zap,106.0,Royal Ghost,85.0,,,,9.0,,,
00795,Battle Ram,11.0,P.E.K.K.A,75.0,Zap,106.0,Royal Ghost,85.0,,,,9.0,,,
00810,Null,9999.0,P.E.K.K.A,75.0,Zap,106.0,Royal Ghost,85.0,,,,5.0,,,
00825,Poison,77.0,P.E.K.K.A,75.0,Zap,106.0,Royal Ghost,85.0,,,,5.0,,,
00840,Poison,77.0,P.E.K.K.A,75.0,Zap,106.0,Royal Ghost,85.0,,,,6.0,,,
00855,Poison,77.0,P.E.K.K.A,75.0,Zap,106.0,Royal Ghost,85.0,,,,6.0,,,
00870,Poison,77.0,P.E.K.K.A,75.0,Zap,106.0,Royal Ghost,85.0,,,,6.0,,,
00885,Poison,77.0,P.E.K.K.A,75.0,Zap,106.0,Royal Ghost,85.0,,,,6.0,,,
00900,Poison,77.0,P.E.K.K.A,75.0,Zap,106.0,Royal Ghost,85.0,,,,6.0,,,
00915,Poison,77.0,P.E.K.K.A,75.0,Zap,106.0,Royal Ghost,85.0,,,,6.0,,,
00930,Poison,77.0,P.E.K.K.A,75.0,Zap,106.0,Royal Ghost,85.0,,,,7.0,,,
00945,Poison,77.0,P.E.K.K.A,75.0,Zap,106.0,Royal Ghost,85.0,,,,7.0,,,
00960,Poison,77.0,P.E.K.K.A,75.0,Zap,106.0,Royal Ghost,85.0,,,,7.0,,,
00975,Poison,77.0,P.E.K.K.A,75.0,Zap,106.0,Royal Ghost,85.0,,,,7.0,,,
00990,Poison,77.0,P.E.K.K.A,75.0,Zap,106.0,Royal Ghost,85.0,,,,7.0,,,
01005,Poison,77.0,P.E.K.K.A,75.0,Zap,106.0,Royal Ghost,85.0,,,,8.0,,,
01020,Poison,77.0,P.E.K.K.A,75.0,Zap,106.0,Royal Ghost,85.0,,,,8.0,,,
01035,Poison,77.0,P.E.K.K.A,75.0,Zap,106.0,Royal Ghost,85.0,,,,8.0,,,
01050,Poison,77.0,P.E.K.K.A,75.0,Zap,106.0,Royal Ghost,85.0,,,,8.0,,,
01065,Poison,77.0,P.E.K.K.A,75.0,Zap,106.0,Royal Ghost,85.0,,,,8.0,,,
01080,Poison,77.0,P.E.K.K.A,75.0,Zap,106.0,Royal Ghost,85.0,,,,8.0,,,
01095,Poison,77.0,P.E.K.K.A,75.0,Zap,106.0,Royal Ghost,85.0,,,,9.0,,,
01110,Poison,77.0,P.E.K.K.A,75.0,Zap,106.0,Royal Ghost,85.0,,,,9.0,,,
01125,Poison,77.0,P.E.K.K.A,75.0,Zap,106.0,Royal Ghost,85.0,,,,9.0,,,
01140,Poison,77.0,P.E.K.K.A,75.0,Zap,106.0,Royal Ghost,85.0,,,,9.0,,,
01155,Poison,77.0,P.E.K.K.A,75.0,Zap,106.0,Royal Ghost,85.0,,,,9.0,,,
01170,Poison,77.0,P.E.K.K.A,75.0,Zap,106.0,Royal Ghost,85.0,,,,9.0,,,
01185,Poison,77.0,P.E.K.K.A,75.0,Zap,106.0,Electro Wizard,24.0,,,,7.0,,,
01200,Poison,77.0,P.E.K.K.A,75.0,Zap,106.0,Electro Wizard,24.0,,,,7.0,,,
01215,Poison,77.0,P.E.K.K.A,75.0,Zap,106.0,Electro Wizard,24.0,,,,7.0,,,
01230,Poison,77.0,P.E.K.K.A,75.0,Zap,106.0,Electro Wizard,24.0,,,,7.0,,,
01245,Poison,77.0,P.E.K.K.A,75.0,Zap,106.0,Electro Wizard,24.0,,,,7.0,,,
01260,Poison,77.0,P.E.K.K.A,75.0,Zap,106.0,Electro Wizard,24.0,,,,8.0,,,
01275,Poison,77.0,P.E.K.K.A,75.0,Zap,106.0,Electro Wizard,24.0,,,,8.0,,,
01290,Poison,77.0,P.E.K.K.A,75.0,Zap,106.0,Electro Wizard,24.0,,,,8.0,,,
01305,Poison,77.0,P.E.K.K.A,75.0,Zap,106.0,Electro Wizard,24.0,,,,8.0,,,
01320,Poison,77.0,P.E.K.K.A,75.0,Zap,106.0,Electro Wizard,24.0,,,,8.0,,,
01335,Poison,77.0,P.E.K.K.A,75.0,Zap,106.0,Electro Wizard,24.0,,,,8.0,,,
01350,Poison,77.0,P.E.K.K.A,75.0,Zap,106.0,Electro Wizard,24.0,,,,9.0,,,
01365,Poison,77.0,P.E.K.K.A,75.0,Zap,106.0,Electro Wizard,24.0,,,,9.0,,,
01380,Poison,77.0,P.E.K.K.A,75.0,Zap,106.0,Electro Wizard,24.0,,,,9.0,,,
01395,Poison,77.0,P.E.K.K.A,75.0,Zap,106.0,Electro Wizard,24.0,,,,9.0,,,
01410,Poison,77.0,P.E.K.K.A,75.0,Zap,106.0,Electro Wizard,24.0,,,,9.0,,,
01425,,,,,Zap,106.0,Electro Giant,22.0,,,,2.0,,,
01440,,,,,Zap,106.0,,,,,,3.0,,,
01455,,,,,Zap,106.0,,,,,,3.0,,,
01470,,,,,Zap,106.0,,,,,,3.0,,,
01485,,,,,Zap,106.0,,,,,,3.0,,,
01500,,,,,Zap,106.0,,,,,,3.0,,,
01515,Poison,77.0,Magic Archer,62.0,Zap,106.0,Electro Wizard,24.0,,,,4.0,,,
