frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed,0,predicted_elixirConsumed
00240,Battle Ram,11.0,,,Zap,106.0,Bandit,5.0,,,,6,False,False,,,
00255,Battle Ram,11.0,,,Zap,106.0,Bandit,5.0,,,,6,False,False,,,
00270,Battle Ram,11.0,P.E.K.K.A,75.0,Zap,106.0,Bandit,5.0,,,2.0,6,True,False,,,
00285,Battle Ram,11.0,P.E.K.K.A,75.0,Zap,106.0,Bandit,5.0,,,,7,False,False,,,
00300,Battle Ram,11.0,P.E.K.K.A,75.0,Zap,106.0,Bandit,5.0,,,,7,False,False,,,
00315,Battle Ram,11.0,P.E.K.K.A,75.0,Zap,106.0,Bandit,5.0,,,,7,False,False,,,
00330,Battle Ram,11.0,P.E.K.K.A,75.0,Zap,106.0,Bandit,5.0,,,,7,False,False,,,
00345,Battle Ram,11.0,P.E.K.K.A,75.0,Zap,106.0,Bandit,5.0,,,,7,False,False,,,
00360,Battle Ram,11.0,P.E.K.K.A,75.0,Zap,106.0,Bandit,5.0,,,,7,False,False,,,
00375,Battle Ram,11.0,P.E.K.K.A,75.0,Zap,106.0,Bandit,5.0,,,,8,False,False,,,
00390,Battle Ram,11.0,P.E.K.K.A,75.0,Zap,106.0,Bandit,5.0,,,,8,False,False,,,
00405,Battle Ram,11.0,P.E.K.K.A,75.0,Zap,106.0,Bandit,5.0,,,,8,False,False,,,
00420,Battle Ram,11.0,P.E.K.K.A,75.0,Zap,106.0,Bandit,5.0,,,,8,False,False,,,
00435,Battle Ram,11.0,P.E.K.K.A,75.0,Zap,106.0,Bandit,5.0,,,,8,False,False,,,
00450,Battle Ram,11.0,P.E.K.K.A,75.0,Zap,106.0,Bandit,5.0,,,,9,False,False,,,
00465,Battle Ram,11.0,P.E.K.K.A,75.0,Zap,106.0,Bandit,5.0,,,,9,False,False,,,
00480,Battle Ram,11.0,P.E.K.K.A,75.0,Zap,106.0,Bandit,5.0,,,,9,False,False,,,
00495,Battle Ram,11.0,P.E.K.K.A,75.0,Zap,106.0,Bandit,5.0,,,,9,False,False,,,
00510,Battle Ram,11.0,P.E.K.K.A,75.0,Zap,106.0,Bandit,5.0,,,,9,False,False,,,
00525,Battle Ram,11.0,P.E.K.K.A,75.0,Zap,106.0,Bandit,5.0,,,,9,False,False,,,
00540,Battle Ram,11.0,P.E.K.K.A,75.0,Zap,106.0,Bandit,5.0,,,,10,False,False,,,
00555,Battle Ram,11.0,P.E.K.K.A,75.0,Zap,106.0,Bandit,5.0,,,,10,False,False,,,
00570,Battle Ram,11.0,P.E.K.K.A,75.0,Zap,106.0,Bandit,5.0,,,,10,False,False,,,
00585,Battle Ram,11.0,P.E.K.K.A,75.0,Zap,106.0,Royal Ghost,85.0,Bandit,5.0,4.0,7,True,True,,Bandit,3.0
00600,Battle Ram,11.0,P.E.K.K.A,75.0,Zap,106.0,Royal Ghost,85.0,,,,7,False,False,,,
00615,Battle Ram,11.0,P.E.K.K.A,75.0,Zap,106.0,Royal Ghost,85.0,,,,7,False,False,,,
00630,Battle Ram,11.0,P.E.K.K.A,75.0,Zap,106.0,Royal Ghost,85.0,,,,7,False,False,,,
00645,Battle Ram,11.0,P.E.K.K.A,75.0,Zap,106.0,Royal Ghost,85.0,,,,7,False,False,,,
00660,Battle Ram,11.0,P.E.K.K.A,75.0,Zap,106.0,Royal Ghost,85.0,,,,7,False,False,,,
00675,Battle Ram,11.0,P.E.K.K.A,75.0,Zap,106.0,Royal Ghost,85.0,,,,8,False,False,,,
00690,Battle Ram,11.0,P.E.K.K.A,75.0,Zap,106.0,Royal Ghost,85.0,,,,8,False,False,,,
00705,Battle Ram,11.0,P.E.K.K.A,75.0,Zap,106.0,Royal Ghost,85.0,,,,8,False,False,,,
00720,Battle Ram,11.0,P.E.K.K.A,75.0,Zap,106.0,Royal Ghost,85.0,,,,8,False,False,,,
00735,Battle Ram,11.0,P.E.K.K.A,75.0,Zap,106.0,Royal Ghost,85.0,,,,8,False,False,,,
00750,Battle Ram,11.0,P.E.K.K.A,75.0,Zap,106.0,Royal Ghost,85.0,,,,8,False,False,,,
00765,Battle Ram,11.0,P.E.K.K.A,75.0,Zap,106.0,Royal Ghost,85.0,,,,9,False,False,,,
