frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed,0,predicted_elixirConsumed
00225,Goblin Cage,40.0,Fireball,30.0,Barbarian Barrel,6.0,,,,,,6,False,False,,,
00240,Goblin Cage,40.0,Fireball,30.0,Barbarian Barrel,6.0,,,,,,6,False,False,,,
00255,Goblin Cage,40.0,Fireball,30.0,Barbarian Barrel,6.0,Royal Recruits,88.0,,,4.0,6,True,False,,,
00270,Goblin Cage,40.0,Fireball,30.0,Barbarian Barrel,6.0,Royal Recruits,88.0,,,,6,False,False,,,
00285,Goblin Cage,40.0,Fireball,30.0,Barbarian Barrel,6.0,Royal Recruits,88.0,,,,7,False,False,,,
00300,Goblin Cage,40.0,Fireball,30.0,Barbarian Barrel,6.0,Royal Recruits,88.0,,,,7,False,False,,,
00315,Goblin Cage,40.0,Fireball,30.0,Barbarian Barrel,6.0,Royal Recruits,88.0,,,,7,False,False,,,
00330,Goblin Cage,40.0,Fireball,30.0,Barbarian Barrel,6.0,Royal Recruits,88.0,,,,7,False,False,,,
00345,Goblin Cage,40.0,Fireball,30.0,Barbarian Barrel,6.0,Royal Recruits,88.0,,,,7,False,False,,,
00360,Goblin Cage,40.0,Fireball,30.0,Barbarian Barrel,6.0,Royal Recruits,88.0,,,,8,False,False,,,
00375,Goblin Cage,40.0,Fireball,30.0,Barbarian Barrel,6.0,Royal Recruits,88.0,,,,8,False,False,,,
00390,Goblin Cage,40.0,Fireball,30.0,Barbarian Barrel,6.0,Royal Recruits,88.0,,,,8,False,False,,,
00405,Goblin Cage,40.0,Fireball,30.0,Barbarian Barrel,6.0,Royal Recruits,88.0,,,,8,False,False,,,
00420,Goblin Cage,40.0,Fireball,30.0,Barbarian Barrel,6.0,Royal Recruits,88.0,,,,8,False,False,,,
00435,Goblin Cage,40.0,Fireball,30.0,Barbarian Barrel,6.0,Royal Recruits,88.0,,,,8,False,False,,,
00450,Goblin Cage,40.0,Fireball,30.0,Barbarian Barrel,6.0,Royal Recruits,88.0,,,,9,False,False,,,
